LeSaS	Code = 1000	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
1000	2	1	0	1	1	39	23	4	5	5	2	1	NaN	0	0	4917	1	NaN
1000	2	2	0	1	2	48	47	5	2	2	2	1	NaN	0	0	2412	1	1
1000	2	3	0	2	1	27	1	4	5	4	1	1	NaN	0	0	1191	1	2
1000	2	4	0	2	2	34	36	5	3	5	1	1	NaN	0	0	1725	1	1
1000	2	5	0	2	3	41	38	2	5	2	1	1	NaN	0	0	2219	1	1
1000	2	6	0	2	4	2	40	2	3	2	1	1	NaN	0	0	2777	1	1
1000	2	7	0	2	5	21	18	2	3	3	2	1	NaN	0	0	1257	0	2
1000	2	8	0	2	6	11	2	4	2	4	1	1	NaN	0	0	2837	1	2
1000	2	9	0	1	1	49	33	5	4	5	1	1	NaN	0	0	2981	0	1
1000	2	10	0	1	2	22	10	5	4	4	2	1	NaN	0	0	2683	1	2
1000	2	1	1	1	1	51	2	2	4	4	2	1	1	3.700000e-01	3.700000e-01	1194	1	NaN
1000	2	2	1	1	2	23	19	2	5	5	2	1	1	2.600000e-01	6.300000e-01	2402	1	1
1000	2	3	1	2	1	27	14	4	5	4	1	1	1	-3.000000e-02	6.000000e-01	2123	1	2
1000	2	4	1	2	2	29	9	4	2	4	1	1	1	5.200000e-01	1.120000e+00	3654	1	1
1000	2	5	1	2	3	31	37	3	2	3	1	1	1	2.900000e-01	1.410000e+00	4117	1	1
1000	2	6	1	2	4	10	11	4	5	4	1	1	1	5.000000e-01	1.910000e+00	1810	1	1
1000	2	7	1	2	5	14	49	2	3	3	2	1	2	5.100000e-01	2.420000e+00	2958	0	2
1000	2	8	1	2	6	50	6	4	5	4	1	1	1	4.400000e-01	2.860000e+00	2492	1	2
1000	2	9	1	1	1	43	9	3	5	5	2	1	1	4.000000e-01	3.260000e+00	7150	1	2
1000	2	10	1	1	2	41	50	4	3	3	2	1	1	2.800000e-01	3.540000e+00	2884	1	1
1000	2	11	1	1	3	15	36	2	5	5	2	1	1	6.200000e-01	4.160000e+00	4272	1	1
1000	2	12	1	1	4	18	5	3	5	5	2	1	1	5.700000e-01	4.730000e+00	3399	1	1
1000	2	13	1	1	5	19	8	3	4	4	2	1	1	4.300000e-01	5.160000e+00	1560	1	1
1000	2	14	1	2	1	11	25	5	2	5	1	1	1	3.400000e-01	5.500000e+00	1535	1	2
1000	2	15	1	2	2	10	5	5	4	5	1	1	1	4.000000e-01	5.900000e+00	2010	1	1
1000	2	16	1	1	1	26	22	3	4	4	2	1	1	4.100000e-01	6.310000e+00	3971	1	2
1000	2	17	1	2	1	38	40	5	2	5	1	1	1	2.600000e-01	6.570000e+00	3763	1	2
1000	2	18	1	2	2	51	31	3	4	4	2	1	2	6.400000e-01	7.210000e+00	3300	0	2
1000	2	19	1	2	3	39	38	4	2	4	1	1	1	5.100000e-01	7.720000e+00	3534	1	2
1000	2	20	1	2	4	9	53	2	5	2	1	1	1	4.500000e-01	8.170000e+00	2414	1	1
1000	2	21	1	2	5	33	48	4	2	4	1	1	1	3.700000e-01	8.540000e+00	3769	1	1
1000	2	22	1	1	1	47	22	5	3	5	1	1	2	5.700000e-01	9.110000e+00	3193	0	1
1000	2	23	1	1	2	38	39	3	5	4	0	0	0	0	9.110000e+00	1746	NaN	NaN
1000	2	24	1	1	3	26	21	3	2	3	1	1	2	6.100000e-01	9.720000e+00	1664	0	NaN
1000	2	25	1	1	4	41	50	5	4	4	2	1	1	4.400000e-01	1.016000e+01	2470	1	2
1000	2	26	1	2	1	22	33	5	3	5	1	1	1	3.800000e-01	1.054000e+01	2272	1	2
1000	2	27	1	1	1	11	36	3	2	3	1	1	2	6.600000e-01	1.120000e+01	2466	0	1
1000	2	28	1	1	2	7	36	3	5	3	1	1	2	7.600000e-01	1.196000e+01	1619	0	1
1000	2	29	1	1	3	13	51	2	5	2	1	1	2	4.600000e-01	1.242000e+01	4569	0	1
1000	2	30	1	2	1	50	17	4	2	2	2	1	2	8.100000e-01	1.323000e+01	2036	0	2
1000	2	31	1	2	2	41	26	4	5	4	1	1	1	3.300000e-01	1.356000e+01	2477	1	2
1000	2	32	1	2	3	1	49	5	3	3	2	1	2	6.200000e-01	1.418000e+01	4705	0	2
1000	2	33	1	2	4	39	43	4	3	3	2	1	2	7.400000e-01	1.492000e+01	2964	0	1
1000	2	34	1	1	1	30	31	2	4	2	1	1	2	7.400000e-01	1.566000e+01	3447	0	2
1000	2	35	1	1	2	48	16	5	4	3	0	0	0	0	1.566000e+01	1989	NaN	NaN
1000	2	36	1	1	3	45	34	3	5	5	2	1	1	4.500000e-01	1.611000e+01	2631	1	NaN
