LeSaS1	Code = 45	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
45	1	1	0	1	1	54	1	2	3	3	2	1	NaN	0	0	8640	1	NaN
45	1	2	0	1	2	42	6	5	4	4	2	1	NaN	0	0	4562	1	1
45	1	3	0	1	3	32	12	2	4	5	0	0	NaN	0	0	6289	NaN	NaN
45	1	4	0	2	1	33	37	2	3	3	2	1	NaN	0	0	4598	0	NaN
45	1	5	0	2	2	25	28	3	5	4	0	0	NaN	0	0	4876	NaN	NaN
45	1	6	0	2	3	6	48	5	2	3	0	0	NaN	0	0	5800	NaN	NaN
45	1	7	0	1	1	41	2	4	2	2	2	1	NaN	0	0	2415	1	NaN
45	1	8	0	1	2	18	1	4	5	2	0	0	NaN	0	0	2515	NaN	NaN
45	1	9	0	1	3	52	37	4	3	3	2	1	NaN	0	0	23197	1	NaN
45	1	10	0	1	4	9	23	3	5	3	1	1	NaN	0	0	3290	0	2
45	1	1	1	1	1	19	22	2	3	3	2	1	2	6.200000e-01	6.200000e-01	8312	1	NaN
45	1	2	1	1	2	54	22	4	5	5	2	1	2	4.700000e-01	1.090000e+00	4095	1	1
45	1	3	1	1	3	31	44	5	2	2	2	1	2	6.800000e-01	1.770000e+00	6984	1	1
45	1	4	1	2	1	16	4	4	5	4	1	1	2	7.000000e-01	2.470000e+00	12702	1	2
45	1	5	1	2	2	44	48	4	5	5	2	1	1	2.000000e-01	2.670000e+00	13168	0	2
45	1	6	1	2	3	50	3	5	3	5	1	1	2	8.100000e-01	3.480000e+00	3991	1	2
45	1	7	1	1	1	54	43	3	2	3	1	1	1	4.700000e-01	3.950000e+00	3132	0	1
45	1	8	1	1	2	36	15	3	4	4	2	1	2	6.600000e-01	4.610000e+00	15292	1	2
45	1	9	1	1	3	29	26	4	3	4	1	1	1	3.700000e-01	4.980000e+00	2519	0	2
45	1	10	1	1	4	1	6	4	3	4	1	1	1	3.500000e-01	5.330000e+00	11735	0	1
45	1	11	1	2	1	39	46	5	2	2	2	1	1	3.100000e-01	5.640000e+00	4271	0	2
45	1	12	1	2	2	31	32	3	4	4	2	1	1	4.200000e-01	6.060000e+00	8438	0	1
45	1	13	1	1	1	37	18	4	2	4	1	1	1	2.600000e-01	6.320000e+00	4275	0	2
45	1	14	1	1	2	6	33	2	5	2	1	1	1	5.900000e-01	6.910000e+00	10120	0	1
45	1	15	1	2	1	21	26	4	2	4	1	1	2	6.500000e-01	7.560000e+00	3361	1	1
45	1	16	1	2	2	37	30	3	2	2	2	1	1	3.500000e-01	7.910000e+00	2032	0	2
45	1	17	1	2	3	2	16	5	2	5	1	1	2	7.900000e-01	8.700000e+00	2676	1	2
45	1	18	1	2	4	42	24	3	5	5	2	1	1	3.400000e-01	9.040000e+00	9015	0	2
45	1	19	1	2	5	19	39	2	3	3	2	1	1	3.200000e-01	9.360000e+00	3876	0	1
45	1	20	1	1	1	49	29	4	2	4	1	1	1	2.300000e-01	9.590000e+00	4870	0	2
45	1	21	1	1	2	2	45	5	2	5	1	1	1	3.700000e-01	9.960000e+00	8800	0	1
45	1	22	1	1	3	6	37	5	4	5	1	1	1	1.800000e-01	1.014000e+01	2421	0	1
45	1	23	1	1	4	34	38	5	4	4	2	1	2	7.500000e-01	1.089000e+01	10193	1	2
45	1	24	1	1	5	51	25	2	5	2	1	1	1	5.200000e-01	1.141000e+01	3415	0	2
45	1	25	1	2	1	38	14	2	4	2	1	1	2	5.900000e-01	1.200000e+01	5547	1	1
45	1	26	1	2	2	27	48	5	2	2	2	1	1	4.300000e-01	1.243000e+01	2321	0	2
45	1	27	1	2	3	52	10	3	5	3	1	1	2	8.100000e-01	1.324000e+01	9770	1	2
45	1	28	1	2	4	35	13	3	4	4	2	1	1	1.500000e-01	1.339000e+01	2576	0	2
45	1	29	1	2	5	25	26	4	3	3	2	1	1	1.600000e-01	1.355000e+01	6191	0	1
