participant_id,Group
1,1
2,2
3,2
4,1
5,2
6,1
7,2
8,2
9,2
10,1
11,2
12,1
13,2
14,1
15,2
16,1
17,2
18,1
19,2
20,2
21,1
22,2
23,2
24,1
25,2
26,1
27,2
28,1
29,1
30,2
31,1
32,2
33,1
34,2
35,1
36,2
37,1
38,2
39,1
40,2
41,2
42,1
43,2
44,1
45,2
46,1
47,2
48,1
49,2
50,1
51,1
52,2
53,1
54,2
55,1
56,2
57,1
58,2
59,1
60,2
61,1
62,2
63,1
64,2
65,1
66,1
67,2
68,1
69,2
70,1
71,1
72,2
73,1
74,2
75,1
76,1
77,2
78,1
79,2
80,1
81,2
82,2
83,1
84,2
85,1
86,2
87,1
88,2
89,1
90,2
91,1
92,1
93,1
94,2
95,1
96,2
97,1
98,2
99,1
