Group,AIC,BIC,Model
1,320.6430985742643,335.01548597428706,decay_PVL
2,313.4361660712347,327.863217215798,decay_PVL
1,319.13533086771463,326.321524567726,decay
2,317.366017161221,324.57954273350265,decay
1,322.0569804660576,329.243174166069,decay_RPUT
2,319.6810297423005,326.8945553145822,decay_RPUT
1,328.3994172834562,339.1787078334733,delta_perseveration
2,319.7836267638433,330.6039151222658,delta_perseveration
1,328.5519496340302,342.924337034053,delta_PVL
2,318.98223312381396,333.4092842683773,delta_PVL
1,328.06197787477265,335.248171574784,delta
2,324.8599839441302,332.07350951641183,delta
1,328.75171098809204,335.93790468810334,delta_RPUT
2,326.47880073868896,333.69232631097066,delta_RPUT
1,327.3940858440754,341.76647324409817,dual_process
2,318.4781144223129,332.90516556687624,dual_process
1,319.3109085429414,340.8694896429755,hybrid_decay_delta_3
2,312.83284763573664,334.47342435258173,hybrid_decay_delta_3
1,321.3225207742343,339.28800502426276,hybrid_decay_delta
2,315.64317587756494,333.67698980826907,hybrid_decay_delta
1,328.767368988392,350.3259500884261,hybrid_delta_delta_3
2,320.3811040781814,342.02168079502644,hybrid_delta_delta_3
1,327.7940256528732,345.75950990290164,hybrid_delta_delta
2,319.7473878555419,337.781201786246,hybrid_delta_delta
1,383.1298214278251,404.68840252785924,RT_decay_PVL
2,387.6710975592204,409.31167427606545,RT_decay_PVL
1,382.6061992885321,396.97858668855486,RT_decay
2,387.487496545086,401.9145476896493,RT_decay
1,329.41528777601854,350.9738688760527,RT_delta_PVL
2,322.4301234630956,344.0707001799407,RT_delta_PVL
1,329.2960898532185,343.6684772532413,RT_delta
2,326.84452771604606,341.2715788606094,RT_delta
1,332.4768543593855,346.8492417594083,RT_exp_basic
2,329.4205680698548,343.84761921441816,RT_exp_basic
1,338.8874399707813,356.8529242208099,RT_exp_decay
2,339.04679166680387,357.0806055975081,RT_exp_decay
1,330.06184245833464,348.0273267083631,RT_exp_delta
2,327.9626614151894,345.9964753458936,RT_exp_delta
1,319.9545929242871,337.92007717431557,WSLS_decay_weight
2,314.757610086066,332.7914240167701,WSLS_decay_weight
1,330.78684378078344,341.5661343308005,WSLS_delta
2,327.95242810268695,338.77271646110944,WSLS_delta
1,336.7776123139117,354.7430965639402,WSLS_delta_weight
2,333.8138187784951,351.84763270919933,WSLS_delta_weight
1,330.7776123139117,337.96380601392303,WSLS
2,327.8138187784952,335.02734435077684,WSLS
