SubNo,Group(1=OptHighReward;2=OptLowReward),Block_trial,Block,VarDist_cond,Run_number,Targ1_position,Targ2_position,Red_targ_digit,Blue_targ_digit,Response,Targ_Choice,Acc,OutcomeCond(0=inaccurate;1=lowReward;2=highReward),OutcomeValue,Points,RT,Optimal_Choice,Repeat_Switch
1,1,1,1,2,1,3,10,4,2,4,1,1,2.0,0.74,0.74,1929,1.0,
1,1,2,1,2,2,22,27,5,2,2,2,1,1.0,0.49,1.23,4313,0.0,2.0
1,1,3,1,2,3,40,13,5,3,3,2,1,1.0,0.37,1.6,6114,0.0,1.0
1,1,4,1,2,4,12,13,3,2,2,2,1,1.0,0.25,1.85,947,0.0,1.0
1,1,5,1,2,5,52,48,2,3,3,2,1,1.0,0.32,2.17,2426,0.0,1.0
1,1,6,1,2,6,29,45,4,5,4,1,1,2.0,0.38,2.55,3438,1.0,2.0
1,1,7,1,1,1,43,27,4,2,2,2,1,2.0,0.72,3.27,2586,1.0,2.0
1,1,8,1,2,1,9,52,3,2,3,1,1,2.0,0.68,3.95,3088,1.0,2.0
1,1,9,1,2,2,16,32,5,4,2,0,0,0.0,0.0,3.95,898,,
1,1,10,1,2,3,13,12,2,3,3,2,1,1.0,0.26,4.21,942,0.0,
1,1,11,1,2,4,40,3,3,4,4,2,1,1.0,0.26,4.47,3661,0.0,1.0
1,1,12,1,1,1,29,19,2,5,2,1,1,1.0,0.21,4.68,904,0.0,2.0
1,1,13,1,1,2,10,27,2,5,2,1,1,1.0,0.33,5.01,4802,0.0,1.0
1,1,14,1,1,3,37,2,2,5,2,1,1,1.0,0.38,5.39,1551,0.0,1.0
1,1,15,1,1,4,12,1,5,2,5,1,1,1.0,0.29,5.68,6462,0.0,1.0
1,1,16,1,1,5,39,1,5,3,3,2,1,2.0,0.61,6.29,929,1.0,2.0
1,1,17,1,2,1,13,7,4,5,4,1,1,2.0,0.66,6.95,1953,1.0,2.0
1,1,18,1,2,2,32,28,2,4,2,1,1,2.0,0.65,7.6,1360,1.0,1.0
1,1,19,1,2,3,9,24,4,3,4,1,1,2.0,0.55,8.15,3936,1.0,1.0
1,1,20,1,2,4,25,17,5,3,5,1,1,2.0,0.82,8.97,3216,1.0,1.0
1,1,21,1,2,5,23,4,3,4,3,1,1,2.0,0.72,9.69,2717,1.0,1.0
