SubNo,OutcomeValue,Optimal_Choice,model_type,participant_id,Group
1,0.6251242236024844,0.8944099378881988,value_based,1,1
2,0.5160162601626016,0.44308943089430897,value_based,2,2
3,0.49943548387096776,0.49193548387096775,value_based,3,2
4,0.5134441087613293,0.5589123867069486,RPUT_based,4,1
5,0.4885714285714286,0.5265306122448979,RT_based,5,2
6,0.5995121951219512,0.8130081300813008,RPUT_based,6,1
7,0.5488663967611336,0.31983805668016196,value_based,7,2
8,0.4742857142857143,0.563265306122449,RT_based,8,2
9,0.458739837398374,0.6097560975609756,RT_based,9,2
10,0.5051851851851852,0.5267489711934157,RT_based,10,1
11,0.5659349593495935,0.2886178861788618,value_based,11,2
12,0.4881230769230769,0.5169230769230769,RT_based,12,2
13,0.5236144578313253,0.5823293172690763,RPUT_based,13,1
14,0.53988,0.368,value_based,14,2
15,0.47037974683544304,0.4219409282700422,RT_based,15,1
16,0.34497959183673466,0.9551020408163265,RT_based,16,2
17,0.5193081761006288,0.5817610062893082,RPUT_based,17,1
18,0.5021138211382113,0.46747967479674796,RPUT_based,18,2
19,0.471219512195122,0.4268292682926829,RT_based,19,1
20,0.35736196319018404,0.9141104294478528,RPUT_based,20,2
21,0.5018518518518519,0.48559670781893005,RPUT_based,21,2
22,0.5532615384615385,0.6738461538461539,value_based,22,1
23,0.4117427385892116,0.7593360995850622,value_based,23,2
24,0.5124844720496895,0.4472049689440994,RPUT_based,24,2
25,0.5003647416413374,0.5167173252279635,RPUT_based,25,1
26,0.6100409836065573,0.13934426229508196,RPUT_based,26,2
27,0.613951367781155,0.851063829787234,value_based,27,1
28,0.5525,0.325,value_based,28,2
29,0.6397499999999999,0.925,value_based,29,1
30,0.5632926829268292,0.6829268292682927,value_based,30,1
31,0.34868098159509203,0.9325153374233128,value_based,31,2
32,0.5364133738601823,0.6200607902735562,value_based,32,1
33,0.3532628398791541,0.9274924471299094,value_based,33,2
34,0.5582298136645962,0.6894409937888198,RT_based,34,1
35,0.49141700404858296,0.5141700404858299,value_based,35,2
36,0.5899595141700404,0.7813765182186235,RPUT_based,36,1
37,0.47952830188679246,0.5440251572327044,RPUT_based,37,2
38,0.4878600823045267,0.4732510288065844,value_based,38,1
39,0.5132113821138211,0.44715447154471544,RPUT_based,39,2
40,0.6222131147540984,0.8729508196721312,value_based,40,1
41,0.41803076923076926,0.7230769230769231,RT_based,41,2
42,0.46468277945619335,0.595166163141994,RT_based,42,2
43,0.552530612244898,0.6693877551020408,value_based,43,1
44,0.4920661157024793,0.512396694214876,RT_based,44,2
45,0.49138655462184877,0.48739495798319327,value_based,45,1
46,0.5668163265306123,0.2857142857142857,RPUT_based,46,2
47,0.49874233128834355,0.50920245398773,RT_based,47,1
48,0.4930612244897959,0.4897959183673469,RPUT_based,48,2
49,0.5128925619834711,0.5495867768595041,RPUT_based,49,1
50,0.36843373493975906,0.8765060240963856,RT_based,50,2
51,0.5869538461538462,0.7784615384615384,value_based,51,1
52,0.5485620915032681,0.6601307189542484,value_based,52,1
53,0.500609756097561,0.483739837398374,RPUT_based,53,2
54,0.5061206896551724,0.5344827586206896,RPUT_based,54,1
55,0.4899586776859504,0.5206611570247934,RT_based,55,2
56,0.48056910569105693,0.45528455284552843,RPUT_based,56,1
57,0.4148979591836735,0.7428571428571429,RT_based,57,2
58,0.4817372881355932,0.4788135593220339,value_based,58,1
59,0.6117269076305221,0.15261044176706828,value_based,59,2
60,0.4905785123966942,0.4793388429752066,RT_based,60,1
61,0.5326969696969697,0.37272727272727274,RPUT_based,61,2
62,0.576183574879227,0.7536231884057971,value_based,62,1
63,0.5356790123456789,0.38271604938271603,value_based,63,2
64,0.4867622950819672,0.4713114754098361,RPUT_based,64,1
65,0.5370850202429149,0.3562753036437247,RPUT_based,65,2
66,0.49972644376899694,0.5106382978723404,RPUT_based,66,1
67,0.536178861788618,0.6382113821138211,value_based,67,1
68,0.5168032786885246,0.4385245901639344,RPUT_based,68,2
69,0.49212,0.488,RPUT_based,69,1
70,0.5295528455284553,0.4024390243902439,value_based,70,2
71,0.4563114754098361,0.3770491803278688,RT_based,71,1
72,0.5023886639676114,0.5222672064777328,RPUT_based,72,1
73,0.41641337386018235,0.7355623100303952,RT_based,73,2
74,0.4723206751054852,0.4345991561181435,RPUT_based,74,1
75,0.6279878048780487,0.10060975609756098,value_based,75,2
76,0.5818518518518518,0.757201646090535,value_based,76,1
77,0.47813253012048196,0.4608433734939759,RPUT_based,77,1
78,0.5551440329218107,0.3292181069958848,value_based,78,2
79,0.60375,0.825,value_based,79,1
80,0.4880753138075314,0.5271966527196653,value_based,80,2
81,0.4955601659751038,0.49377593360995853,RT_based,81,1
82,0.5307258064516129,0.3951612903225806,value_based,82,2
83,0.4385425101214575,0.6720647773279352,RT_based,83,2
84,0.6169207317073171,0.8597560975609756,value_based,84,1
85,0.4955988023952096,0.5059880239520959,RPUT_based,85,2
86,0.49402439024390243,0.491869918699187,RPUT_based,86,1
87,0.5382278481012658,0.350210970464135,value_based,87,2
88,0.5015290519877675,0.5107033639143731,value_based,88,1
89,0.48779816513761465,0.5198776758409785,value_based,89,2
90,0.6288787878787879,0.906060606060606,value_based,90,1
91,0.5046504559270517,0.47416413373860183,RPUT_based,91,2
92,0.48914285714285716,0.4775510204081633,RPUT_based,92,1
93,0.5621632653061224,0.6979591836734694,value_based,93,1
94,0.5010162601626016,0.5,value_based,94,1
95,0.5074923547400612,0.46788990825688076,RPUT_based,95,2
96,0.4971527777777778,0.5069444444444444,value_based,96,1
97,0.5290031152647975,0.3956386292834891,value_based,97,2
98,0.5689751552795032,0.7236024844720497,value_based,98,1
99,0.4927743902439024,0.5121951219512195,RT_based,99,2
100,0.6254655870445345,0.8866396761133604,RPUT_based,100,1
