Sub	group	acc	RT	RTopt	RTsubopt	propOpt	Switches	totalPoints	Nblocks
1	1	0.967262	2174.72	2181.25	2119.41	0.889231	0.329032	202.5	4
2	2	0.985119	2640.85	2586.34	3221	0.912387	0.301242	118.07	4
3	1	0.996032	3195.98	3354.18	2855.24	0.685259	0.433198	141.81	3
4	2	0.985119	2414.65	2510.48	2164.44	0.725076	0.329193	138.88	4
5	1	0.928571	2950.55	2876.66	3094.06	0.657051	0.254355	170.63	4
6	2	0.956349	9082.02	9611.61	8674.94	0.431535	0.374449	124.9	3
7	1	0.992063	3887.97	3830.72	3950.55	0.524	0.5	125.88	3
9	1	0.992063	3757.95	3478.85	4402.88	0.692	0.265306	139.99	3
10	2	0.988095	3614.12	3079.16	4039.74	0.441767	0.303279	128.54	3
11	1	0.984127	3389.34	2896.82	3937.53	0.528226	0.124481	125.41	3
12	2	0.988095	2410.49	2087.57	2756.04	0.518072	0.0555556	162.19	4
13	1	1	3566.45	3319.7	3910.46	0.583333	0.321285	131.99	3
14	2	1	2356.04	2351.88	2358.46	0.365079	0.26506	136.41	3
15	1	0.948413	2922.89	2881.25	2953.29	0.422594	0.482143	112.32	3
16	2	0.980159	2848.02	2838.86	3042.91	0.955466	0.280335	85.09	3
17	1	0.970238	2665.26	2526.59	2858.14	0.576687	0.130573	169.39	4
18	2	0.996032	5176.3	6002.3	4451.19	0.458167	0.538462	126.59	3
19	1	0.996032	4698.17	5329.5	4228.03	0.426295	0.497976	118.33	3
20	2	0.988095	4698.09	4836.82	4567.13	0.48996	0.485597	124.55	3
21	1	0.979167	2453.53	2449.08	2462.73	0.674772	0.273585	181.8	4
22	2	0.97619	3540.98	3577.48	3425.84	0.764228	0.324895	100.43	3
24	2	0.973214	2881.82	2764.37	2976.83	0.449541	0.444444	167.2	4
25	1	0.985119	2570.08	2469.68	2677.42	0.519637	0.459627	165.89	4
26	2	0.984127	3312.92	3566.88	3271.8	0.149194	0.319502	150.75	3
27	1	0.994048	2498.21	2507.71	2443.9	0.847305	0.277439	204.34	4
28	2	0.964286	3070.97	2719.58	3240.17	0.325103	0.251082	134.62	3
