participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,167.74161769550707,"[4.939199216732409, 0.5672261491254833, 14.031484656694339, 14.149567278377127]",[4.99990000e+00 1.00000000e-04 1.40314847e+01 2.39999000e+01],343.48323539101415,357.4389862956409
2,170.51420641774686,"[2.6529572566290454, 0.012445268192919396, 4.256850213864131, 8.1189635429206]",[4.99990000e+00 1.00000000e-04 4.25685021e+00 1.11320787e+01],349.0284128354937,363.04973897922315
3,171.19885694371962,"[1.434374713810143, 0.02853668942991643, 4.996756254065435, 23.72132707628991]",[3.14261007e-03 1.00000000e-04 1.00000000e-04 2.39999000e+01],350.39771388743924,364.45142887209914
4,171.2073535983078,"[2.8663772588417467, 0.03591456724893066, 23.903143555956753, 1.0783541745900398]",[4.99990e+00 1.00000e-04 2.39999e+01 1.00000e-04],350.4147071966156,364.4684221812755
5,169.53638953222597,"[2.577069702221156, 0.270838164833913, 4.5918527490050804, 17.410670333900637]",[4.97891157e+00 9.99900000e-01 2.39999000e+01 1.00000000e-04],347.07277906445194,361.07781190663087
6,169.8210592371879,"[4.94126546860624, 0.03822975406430774, 1.184540388797261, 3.721919883639242]",[4.94126547 0.03822975 1.18454039 3.72191988],347.6421184743758,361.66344461810525
7,170.51420641774786,"[4.522647585602005, 0.23400922533498922, 5.627785025097933, 1.2704451004522865]",[4.99990000e+00 1.00000000e-04 5.62864905e+00 2.44755859e+00],349.0284128354957,363.0659661820076
8,169.82105923718692,"[4.76584142809735, 0.3572420020767874, 10.368108421546157, 22.21663966705963]",[4.99990000e+00 1.00000000e-04 1.04014413e+01 2.22166397e+01],347.64211847437383,361.64715131655277
9,169.8210592371879,"[4.394959177391621, 0.3428850436078694, 1.912133200092176, 8.739450148068858]",[4.99990000e+00 1.00000000e-04 1.91249700e+00 1.85195642e+01],347.6421184743758,361.66344461810525
10,167.74161769550807,"[3.665313131338132, 0.0002642852390317418, 11.254781144927463, 10.576748853142542]",[3.66531313e+00 2.64285239e-04 1.12547811e+01 1.05767489e+01],343.48323539101614,357.45548116437834
11,165.66217615383025,"[4.491219084417816, 0.5493295917126304, 12.965848902520785, 23.22025117051983]",[3.32177563e+00 1.00000000e-04 1.29657495e+01 2.32203505e+01],339.3243523076605,353.28010321228726
12,171.20735359830883,"[3.4659885138414284, 0.026499280085449568, 5.407925574009981, 18.881749973767604]",[ 3.46598851  0.02649928  5.40792557 18.88174997],350.41470719661766,364.48451878247647
13,172.5936479594277,"[2.720463477631309, 0.023481339488903158, 21.302679183760116, 9.318405558581384]",[4.99990e+00 1.00000e-04 2.39999e+01 1.00000e-04],353.1872959188554,367.27313959030437
14,163.58273461214839,"[3.8567604894086367, 0.11345913931141562, 6.0272843434915755, 1.9150322180596664]",[4.99990000e+00 1.00000000e-04 1.20782642e+00 6.75122484e+00],335.16546922429677,349.0377097888373
