participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,70.03237102938834,"[0.20884801253479587, 0.7703529713181985, 20.31869814541032, 7.3212701714153186, 0.73093314175021, 1.0241727266200618]","[1.26653324e+00 7.11851695e-03 8.79301277e+00 8.67756073e+00
 9.99900000e-01 4.99990000e+00]",152.0647420587767,172.9983684157168
2,53.689386545329796,"[4.324435958689795, 0.09589345168937088, 9.957644040180964, 9.995612615556489, 0.37679403111774185, 1.6054717766156044]","[3.42582064e+00 1.22704943e-01 8.82302762e-01 1.00000000e-04
 1.00000000e-04 6.97802363e-01]",119.37877309065959,140.41076230625376
3,165.26259195974424,"[1.151726950349653, 0.17405318944850115, 0.2566923472117886, 15.453249462868518, 0.44104376374657644, 3.6827846643294873]","[4.99990000e+00 7.04510336e-01 9.79958598e-01 1.00000000e-04
 4.45982633e-03 9.94755444e-01]",342.5251839194885,363.6057563964784
4,168.14741955742934,"[1.97364931349, 0.9480163611304291, 16.44429812963967, 20.166698545627565, 0.006774022929385757, 0.9279957686821689]",[ 0.0543151   0.80749791 15.61648913 20.07551959  0.53776774  4.9999    ],348.2948391148587,369.3754115918486
5,167.630656371167,"[0.2668148930959836, 0.4130511757242001, 5.551299842865423, 23.34855909480326, 0.3455875664173666, 4.90173957505509]","[3.89433474e-01 7.39377330e-02 1.00000000e-04 2.12190089e+00
 9.99900000e-01 1.00000000e-04]",347.261312742334,368.26886200560233
6,101.9942207309919,"[1.1382223693467155, 0.7042193880597006, 6.497081028854368, 20.89637548926128, 0.5542502946326844, 0.1649064503757822]",[ 0.14139556  0.04851733 23.9999     21.99010089  0.9999      4.9999    ],215.9884414619838,237.02043067757796
7,154.36342559999594,"[4.204700988494559, 0.7567278654224088, 6.965314732934906, 5.8980226969000515, 0.5706429456446861, 4.834888696043561]","[2.60049534e+00 3.45848480e-04 3.95240112e+00 3.98557927e+00
 1.44340366e-01 4.99990000e+00]",320.72685119999187,341.78318121975974
8,166.50195047082377,"[2.3676473421158337, 0.4835113099927063, 11.541893553666226, 12.566559868821148, 0.5784161040156205, 2.718079192802138]","[4.15988574e+00 1.05644764e-04 6.72010771e-03 1.00281797e-04
 9.99900000e-01 1.00000000e-04]",345.00390094164754,366.0114502049159
9,164.30350092178656,"[1.5994490238910644, 0.6681929131209254, 17.335474383796743, 20.82615364853796, 0.6059327941253525, 3.6043435427732176]","[3.28307732e+00 1.76259930e-04 1.92448258e-02 1.00000000e-04
 4.63874725e-01 2.44023571e-02]",340.60700184357313,361.6389910591673
10,163.1481251482623,"[3.3447299076207826, 0.2951990592622855, 16.02741948225536, 3.367582697941746, 0.1577192224267652, 0.45005017692689253]","[4.92482710e+00 6.42469743e-01 5.64215072e-02 1.00000000e-04
 1.00000000e-04 1.00185857e+00]",338.2962502965246,359.25461895656787
