participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,92.73094300684222,"[4.955913340091305, 0.8609493569698348, 1.0425183316373796]",[2.17565684 0.08832146 1.04251833],"[np.float64(-2.0385237653695785), np.float64(-1.9049606030861965)]",[2.03852377 1.9049606 ],191.46188601368445,201.9286991921545
2,170.50059406689894,"[3.7669431481568982, 0.43176138244529844, 21.228717664334305]",[7.79340018e-03 9.99900000e-01 2.12287177e+01],"[np.float64(-1.185538050809833), np.float64(-2.599907125209816)]",[1.18553805 2.59990713],347.0011881337979,357.517182741595
3,171.89967678440067,"[4.494449588327208, 0.4405041671220578, 18.58009657900981]",[7.03840439e-01 1.00000000e-04 1.85800966e+01],"[np.float64(-2.725681145119051), np.float64(-2.718739325809983)]",[2.72568115 2.71873933],349.79935356880134,360.3396398072963
4,171.71949755115287,"[0.0582080044823529, 0.6091493982882963, 22.084626372154066]",[ 0.22913526  0.04538449 22.08462637],"[np.float64(-3.065663689515594), np.float64(-2.986444219107156)]",[3.06566369 2.98644422],349.43899510230574,359.9792813408007
5,169.4859977111076,"[3.7198070853382874, 0.6287024348375563, 2.7516818629031032]",[0.04105845 0.9415613  2.75168186],"[np.float64(-2.6821181868186916), np.float64(-1.4292372109234441)]",[2.68211819 1.42923721],344.9719954222152,355.4757700538494
6,114.84379858950247,"[0.6910529017596527, 0.21898513614451068, 12.738788371460098]",[ 0.66847872  0.0437833  12.73878837],"[np.float64(-5.230034448035985), np.float64(-4.192334383295918)]",[5.23003445 4.19233438],235.68759717900494,246.20359178680204
7,155.57464834060025,"[0.17524136670079574, 0.718090694287378, 3.1009368942533033]",[0.40431214 0.00961217 3.10093689],"[np.float64(-5.026703059031073), np.float64(-7.128687396147398)]",[5.02670306 7.1286874 ],317.1492966812005,327.67746169108443
8,169.82105923718692,"[4.579415408612927, 0.3150790528719416, 8.83781121549644]",[4.99990000e+00 1.00000000e-04 8.83781122e+00],"[np.float64(-5.140871596917849), np.float64(-5.138554882991339)]",[5.1408716  5.13855488],345.64211847437383,356.14589310600803
9,167.74161823215448,"[4.773517750126459, 0.22183759406516712, 20.22745363461304]",[ 4.99971048  0.06562139 20.22745363],"[np.float64(-3.9323302876393837), np.float64(-4.158664036286245)]",[3.93233029 4.15866404],341.48323646430896,351.99923107210606
10,165.99752315451332,"[0.04795751285299943, 0.4257786692861454, 23.766537826694016]",[ 0.09448213  0.9999     23.76653783],"[np.float64(-2.3122800670349277), np.float64(-3.3279037870306887)]",[2.31228007 3.32790379],337.99504630902663,348.4742306390483
11,149.75312868685265,"[1.4542042800175015, 0.18449530508030473, 20.999957847615462]",[1.00470365e+00 7.49241992e-03 2.09999578e+01],"[np.float64(-3.706896638520111), np.float64(-4.451469775274154)]",[3.70689664 4.45146978],305.5062573737053,316.0222519815024
12,167.1280329044969,"[2.7938167387895008, 0.8141978085847033, 19.368689932293357]",[ 0.16429792  0.17504938 19.36868993],"[np.float64(-2.4243018011464104), np.float64(-2.082374969999629)]",[2.4243018  2.08237497],340.2560658089938,350.7228789874639
13,169.67044763435314,"[1.4092315018496728, 0.8830201399701307, 2.285510703411965]",[0.3949312  0.02098475 2.2855107 ],"[np.float64(-3.9228920209012816), np.float64(-3.4282664954544186)]",[3.92289202 3.4282665 ],345.3408952687063,355.8932539581004
14,150.49859082091157,"[2.6859790293076777, 0.46670301257340746, 10.911752664256232]",[4.99990000e+00 7.69099516e-04 1.09117527e+01],"[np.float64(-2.5737211578472277), np.float64(-2.5754172964251905)]",[2.57372116 2.5754173 ],306.99718164182315,317.5615643954099
15,164.0119081462746,"[3.7560461243199468, 0.42858605250272097, 3.3449047042383007]",[0.10379961 0.1717595  3.3449047 ],"[np.float64(-2.585053972857093), np.float64(-2.4301502331840905)]",[2.58505397 2.43015023],334.0238162925492,344.4279967159546
16,31.552308221042836,"[3.4692706177206323, 0.05379908367634047, 12.31250467275543]",[ 1.48506421  0.0367944  12.31250467],"[np.float64(-4.099236877562027), np.float64(-2.558567516573017)]",[4.09923688 2.55856752],69.10461644208567,79.60839107371986
17,158.09555314092142,"[1.1711760947599006, 0.9411870601332409, 9.671321084281555]",[0.40646927 0.05946364 9.67132108],"[np.float64(-2.5831785299077135), np.float64(-2.525831417224431)]",[2.58317853 2.52583142],322.19110628184285,332.6079183028573
18,170.51420641774686,"[4.118955408187233, 0.9780067017881171, 22.55472567185297]",[4.99990000e+00 1.00000000e-04 2.25547257e+01],"[np.float64(-5.989254154500007), np.float64(-5.986295458015533)]",[5.98925415 5.98629546],347.0284128354937,357.5444074432908
19,166.37977247590945,"[0.14468344385411053, 0.7456148233517442, 11.235298554263544]",[ 0.39340169  0.02161321 11.23529855],"[np.float64(-4.872006059468469), np.float64(-5.57528955717377)]",[4.87200606 5.57528956],338.7595449518189,349.275539559616
20,47.85419807548134,"[2.5693705549686094, 0.48287904412077803, 3.9847798985197573]",[0.98855024 0.04530743 3.9847799 ],"[np.float64(-4.125747017322956), np.float64(-2.4243774357250993)]",[4.12574702 2.42437744],101.70839615096268,112.18758048098434
21,168.12469383887245,"[4.154027814623061, 0.006014892454424407, 11.476266403296842]",[3.21547827e+00 1.00000000e-04 1.14762664e+01],"[np.float64(-2.5736415311154035), np.float64(-2.576174726601802)]",[2.57364153 2.57617473],342.2493876777449,352.72857200776656
22,157.8014710529687,"[0.10884886922164193, 0.6671600501679259, 10.997387889772908]",[ 0.99830472  0.02110781 10.99738789],"[np.float64(-2.803606751254193), np.float64(-2.642200694367379)]",[2.80360675 2.64220069],321.6029421059374,332.0697552844075
23,142.77620546467938,"[1.918049879256252, 0.46450765182387127, 17.55324593113072]",[1.08222097e+00 1.43914584e-02 1.75532459e+01],"[np.float64(-4.058109372697553), np.float64(-3.625475398006686)]",[4.05810937 3.6254754 ],291.55241092935876,302.0068017298307
24,166.80127013106113,"[1.9056731266872076, 0.39248158070959116, 16.98677864012274]",[3.71873252e+00 1.00000000e-04 1.69867786e+01],"[np.float64(-1.423136854791739), np.float64(-1.421395180732699)]",[1.42313685 1.42139518],339.60254026212226,350.05693106259423
25,170.2840034725674,"[0.13692417312632738, 0.25303181521138074, 17.752753846450958]",[ 0.08889589  0.31717487 17.75275385],"[np.float64(-1.6677270745337751), np.float64(-2.615081878035318)]",[1.66772707 2.61508188],346.5680069451348,357.0840015529319
26,73.65189172934564,"[0.6929418214853424, 0.8969165422680165, 19.40615442427408]",[2.09290497e+00 3.13010819e-03 1.94061544e+01],"[np.float64(-4.599845003541654), np.float64(-5.500576579083175)]",[4.599845   5.50057658],153.30378345869127,163.79528813457088
27,108.03345810223938,"[2.954692342157204, 0.05117202661361597, 22.38139034536148]",[1.67043011e+00 1.63349198e-02 2.23813903e+01],"[np.float64(-2.783537322351713), np.float64(-2.6338532062137334)]",[2.78353732 2.63385321],222.06691620447876,232.5950812143627
28,162.79695116179408,"[4.570047094062708, 0.24668531355436116, 14.839009164802665]",[ 0.13454956  0.9999     14.83900916],"[np.float64(-3.2697747076718238), np.float64(-7.173547341295632)]",[3.26977471 7.17354734],331.59390232358817,342.0358190936141
29,61.41487671247317,"[4.094908886231118, 0.797641931856611, 1.4813631983353928]",[0.63366729 0.05260391 1.4813632 ],"[np.float64(-4.486071540259965), np.float64(-2.9599823950766115)]",[4.48607154 2.9599824 ],128.82975342494635,139.27167019497233
30,158.8678558592787,"[0.8589911039272803, 0.05115402348515204, 22.431188822603936]",[4.68173711e+00 4.67492303e-04 2.24311888e+01],"[np.float64(-4.110403705447936), np.float64(-4.093923673173806)]",[4.11040371 4.09392367],323.7357117185574,334.2517063263545
31,151.8463845728327,"[0.2518190469947246, 0.7009310998745255, 7.91741279798348]",[0.8862056  0.22181266 7.9174128 ],"[np.float64(-2.5093269653169985), np.float64(-2.5753205901378653)]",[2.50932697 2.57532059],309.6927691456654,320.1719534756871
32,169.36846872264547,"[3.1554861732238635, 0.6000839490496097, 21.21433648198479]",[4.99990000e+00 1.33830188e-04 2.12143365e+01],"[np.float64(-1.221864719704187), np.float64(-1.2205947883424955)]",[1.22186472 1.22059479],344.73693744529095,355.24071207692515
33,172.59372868390906,"[2.0150428059328593, 0.7714143582073334, 5.620212255584397]",[1.00000000e-04 1.00000000e-04 5.62023953e+00],"[np.float64(-1.3475745802517505), np.float64(-1.3594877191163566)]",[1.34757458 1.35948772],351.1874573678181,361.73981605721224
