participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,78.34203353679823,"[0.5250864739210879, 0.0021194157696750437, 19.23652104037893]",[2.30602990e-01 1.00000000e-02 1.91589846e+01],"[np.float64(-15.07099106963513), np.float64(-2.1657609437710765)]",[15.07099107  2.16576094],162.68406707359645,173.15088025206651
2,154.5952155632342,"[4.340776031479838, 0.003701424314755034, 9.867357569542952]",[4.41784204e+00 5.36560456e-03 1.00372146e+01],"[np.float64(-4.812476498972781), np.float64(-5.5926248802503995)]",[4.8124765  5.59262488],315.1904311264684,325.7064257342655
3,172.5936479594267,"[0.6523004302818088, 0.004518380808416507, 7.65000095890807]",[1.00000000e-04 0.00000000e+00 6.75885531e+00],"[np.float64(-6.75885531731886), np.float64(-6.75885531731886)]",[6.75885532 6.75885532],351.1872959188534,361.72758215734837
4,171.51356320015648,"[0.04979277733656833, 0.0011404603206884145, 21.82498854607921]",[8.27501535e-02 1.00000000e-02 2.18250693e+01],"[np.float64(-7.4861846767061335), np.float64(-5.3284440835996385)]",[7.48618468 5.32844408],349.02712640031297,359.5674126388079
5,170.51420641774686,"[0.6148021428008363, 0.0012157184261225918, 22.20009550659726]",[1.00000000e-04 0.00000000e+00 2.20205954e+01],"[np.float64(-22.020595383388248), np.float64(-22.020595383388248)]",[22.02059538 22.02059538],347.0284128354937,357.5321874671279
6,113.65756126659197,"[1.758749591515522, 0.0028839566946123663, 4.299043472437808]",[1.01930282 0.01       2.61767721],"[np.float64(-1.6524968190807239), np.float64(-0.35426408817910593)]",[1.65249682 0.35426409],233.31512253318394,243.83111714098104
7,156.51691405559984,"[0.25932952424439887, 0.008715914623796032, 2.627196908734745]",[0.79661996 0.00888333 2.87443589],"[np.float64(-0.6462666713630499), np.float64(-1.4248596903793262)]",[0.64626667 1.42485969],319.0338281111997,329.5619931210836
8,169.67190522272284,"[3.9573788438566218, 0.009958273005352632, 5.988613579091481]",[0.6714568  0.01       1.49409015],"[np.float64(-0.5124856522472885), np.float64(-0.3758810417493939)]",[0.51248565 0.37588104],345.3438104454457,355.8475850770799
9,167.16688257237945,"[0.030294175075461317, 0.000714273704270455, 1.1797030485312057]",[0.97008415 0.01       1.3245931 ],"[np.float64(-0.5071772769528715), np.float64(-0.2955566717880857)]",[0.50717728 0.29555667],340.3337651447589,350.849759752556
10,169.12791205662697,"[2.720399460823519, 0.005379501338645647, 21.68887331820252]",[1.e-04 0.e+00 3.e-01],"[np.float64(-0.30000001), np.float64(-0.30000001)]",[0.30000001 0.30000001],344.25582411325394,354.7350084432756
11,148.04510326280982,"[4.669524604511061, 0.0039031286554622024, 0.4007387116915735]",[2.21701033 0.00900703 0.43389592],"[np.float64(-0.08970933114866368), np.float64(-0.22890469127650387)]",[0.08970933 0.22890469],302.09020652561964,312.60620113341673
12,168.43476487606702,"[4.683097857130178, 0.007687561557955448, 4.935907334058483]",[1.e-04 0.e+00 3.e-01],"[np.float64(-0.30000001), np.float64(-0.30000001)]",[0.30000001 0.30000001],342.86952975213404,353.33634293060413
13,171.07328107127034,"[2.190492905445987, 0.00992642512715435, 20.397086534025334]",[0.4100659  0.01       5.16634402],"[np.float64(-1.8260684872531854), np.float64(-1.2118708083316299)]",[1.82606849 1.21187081],348.1465621425407,358.6989208319348
14,150.04612315869787,"[0.14615103118941059, 0.007599302801198674, 14.784935709440333]",[3.51138115e+00 8.40706040e-05 1.52108308e+01],"[np.float64(-15.010118990196476), np.float64(-15.09363652587476)]",[15.01011899 15.09363653],306.09224631739573,316.6566290709825
15,163.48517499457125,"[2.6356978037597716, 0.007416081557986321, 12.240448170557004]",[0.48222027 0.01       3.07433088],"[np.float64(-0.7812088751224655), np.float64(-1.1309831297969892)]",[0.78120888 1.13098313],332.9703499891425,343.37453041254787
16,34.62377511379068,"[3.8233489054835075, 0.00266318766642512, 1.781290205511019]",[2.14573625 0.01       1.13149274],"[np.float64(-1.013629830243739), np.float64(-0.10899402438492281)]",[1.01362983 0.10899402],75.24755022758136,85.75132485921554
17,162.688705626835,"[0.5054551606931775, 0.0025296043581785055, 3.746207122476974]",[0.34664658 0.01       3.72959526],"[np.float64(-1.4423874915648143), np.float64(-0.89252542432923)]",[1.44238749 0.89252542],331.37741125367,341.79422327468444
18,171.2066206226108,"[0.07032095300042361, 0.0016611808723950173, 8.353275202379367]",[1.66991182e+00 1.33619537e-05 8.36622799e+00],"[np.float64(-8.351596428204035), np.float64(-8.35338211739611)]",[8.35159643 8.35338212],348.4132412452216,358.9292358530187
19,167.1345455687041,"[0.5235042862505251, 0.0042416756237048025, 19.608226518370927]",[3.16955083e+00 4.00931143e-05 2.22754573e+01],"[np.float64(-22.149886495135977), np.float64(-22.18187966383618)]",[22.1498865  22.18187966],340.2690911374082,350.7850857452053
20,55.30657922979165,"[4.044295376103025, 0.0073371361754297005, 14.5574770351164]",[3.43318132e-01 1.00000000e-02 1.41369674e+01],"[np.float64(-12.290089062459504), np.float64(-1.4316006734018782)]",[12.29008906  1.43160067],116.6131584595833,127.09234278960494
21,167.04983946285358,"[4.190136845960311, 0.009464157323207765, 22.50776234308666]",[4.18054147e+00 9.46595323e-03 2.25073782e+01],"[np.float64(-6.893638440779884), np.float64(-7.36589596192332)]",[6.89363844 7.36589596],340.09967892570717,350.57886325572883
22,160.5633559795181,"[0.14848277897282106, 0.006636778210904928, 4.2092876107724715]",[0.54726624 0.01       4.25554374],"[np.float64(-1.765126828226966), np.float64(-0.9123081567162112)]",[1.76512683 0.91230816],327.1267119590362,337.5935251375063
23,140.783000117864,"[0.05580793204071319, 0.009566109500351241, 1.0642533173448898]",[1.0684511  0.01       1.30527427],"[np.float64(-0.7308209395111878), np.float64(-0.20938370481582763)]",[0.73082094 0.2093837 ],287.566000235728,298.02039103619995
24,167.71757529822335,"[0.5996882974671388, 0.0006531970090474015, 13.089685738940348]",[3.61461730e+00 5.87039309e-06 1.31906673e+01],"[np.float64(-13.180682081157913), np.float64(-13.181997535140935)]",[13.18068208 13.18199754],341.4351505964467,351.8895413969187
25,171.2073535983068,"[3.042962211212133, 0.00530768298402785, 7.4629042561656656]",[1.e-04 0.e+00 3.e-01],"[np.float64(-0.30000001), np.float64(-0.30000001)]",[0.30000001 0.30000001],348.4147071966136,358.9307018044107
26,69.77810184789229,"[4.557628835459561, 0.0008895508219585379, 4.855611722530122]",[4.55500139e+00 9.66488082e-05 4.74188672e+00],"[np.float64(-4.646614318876244), np.float64(-4.726330181288631)]",[4.64661432 4.72633018],145.55620369578457,156.04770837166419
27,115.11902801767881,"[4.332411886911544, 0.00810739093238908, 15.845547401479468]",[0.32744923 0.01       7.4430482 ],"[np.float64(-5.245027423362977), np.float64(-0.89340119749266)]",[5.24502742 0.8934012 ],236.23805603535763,246.76622104524156
28,137.63742125795997,"[1.5507553174080497, 0.0003957882338306662, 18.819999645147362]",[2.84739352e+00 1.05987860e-04 1.89748696e+01],"[np.float64(-18.651851525161582), np.float64(-18.818649991239297)]",[18.65185153 18.81864999],281.27484251591994,291.7167592859459
29,73.80841110237154,"[0.41451848398498153, 0.0014055845016592505, 10.582612617798477]",[3.44861950e-01 1.00000000e-02 1.05297717e+01],"[np.float64(-8.795204671702463), np.float64(-1.1436291253733921)]",[8.79520467 1.14362913],153.61682220474307,164.05873897476906
30,155.1124437926414,"[4.754211638285337, 0.0013392228783422767, 2.293519089964544]",[4.51864925e+00 2.45241993e-05 4.92240585e+00],"[np.float64(-4.912998848554588), np.float64(-4.902166944250229)]",[4.91299885 4.90216694],316.2248875852828,326.74088219307987
31,74.37180061430473,"[1.1319440245063512, 0.008289747079844737, 3.2607948076446753]",[0.93998466 0.01       2.75868793],"[np.float64(-2.2813221909062236), np.float64(-0.2936857922990342)]",[2.28132219 0.29368579],154.74360122860946,165.2227855586311
32,169.14232101875476,"[4.5847659935052745, 0.006084650014199543, 9.696029525096556]",[4.58283668e+00 6.08629446e-03 9.69357104e+00],"[np.float64(-4.698267607615783), np.float64(-4.502306339840096)]",[4.69826761 4.50230634],344.2846420375095,354.7884166691437
33,64.06713321698354,"[1.4863317677485686, 0.001068157208761764, 23.43394619193041]",[2.12928238e-01 1.00000000e-02 1.78788734e+01],"[np.float64(-16.01650506075707), np.float64(-1.6547000551388422)]",[16.01650506  1.65470006],134.13426643396707,144.68662512336118
34,150.4138820732285,"[2.1955055573927704, 0.0021748344134123023, 8.546166809208069]",[4.46187394e+00 1.00000000e-02 1.70588403e+01],"[np.float64(-6.46671701092704), np.float64(-4.041712800171737)]",[6.46671701 4.0417128 ],306.827764146457,317.282154946929
35,171.90050077886676,"[1.222457906076857, 0.009775617650747978, 3.576395894772458]",[1.e-04 0.e+00 3.e-01],"[np.float64(-0.30000001), np.float64(-0.30000001)]",[0.30000001 0.30000001],349.8010015577335,360.32916656761745
36,129.9751230281219,"[3.6513667595144055, 0.009489678621679017, 3.4994257135541766]",[1.14346122 0.01       1.74554456],"[np.float64(-1.0172130478357164), np.float64(-0.25336264976499073)]",[1.01721305 0.25336265],265.9502460562438,276.47841106612776
37,163.54118511016503,"[1.3237230862626923, 0.00045491147154124833, 20.106871017617603]",[2.50278510e-02 1.00000000e-02 1.96711871e+01],"[np.float64(-6.613777565645572), np.float64(-5.579811436929652)]",[6.61377757 5.57981144],333.08237022033006,343.46112676276255
38,169.12791205662697,"[3.9615048086275277, 0.005290116658435168, 18.157205600788107]",[3.96150481e+00 5.29011666e-03 1.81572056e+01],"[np.float64(-9.22514172539833), np.float64(-9.881892772299121)]",[9.22514173 9.88189277],344.25582411325394,354.7350084432756
39,170.74044317512704,"[0.6195134009380934, 0.00864550540640155, 16.60108906982311]",[3.28132637e+00 1.62123110e-05 1.49911887e+01],"[np.float64(-14.958171471742212), np.float64(-14.964477970530991)]",[14.95817147 14.96447797],347.4808863502541,357.9968809580512
40,86.72380635388862,"[1.6346172078991155, 0.008167325128889296, 6.79141909403423]",[0.77836859 0.01       4.40468733],"[np.float64(-3.230604522318096), np.float64(-0.5234411236989861)]",[3.23060452 0.52344112],179.44761270777724,189.93911738365685
