participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,72.37866330230898,"[2.511477102304819, 0.4107352327628868, 20.24244042477146, 0.002586186997332659]",[0.95299344 0.03443303 5.09207978 0.01      ],"[np.float64(-3.439455625735901), np.float64(-2.0758401837664517)]",[3.43945563 2.07584018],152.75732660461796,166.7130775092447
2,133.28539488978012,"[4.417622797857178, 0.8533341820063508, 1.9110135490262299, 0.008051955087973788]",[ 0.12641336  0.19437723 23.9999      0.        ],"[np.float64(-4.487287773568205), np.float64(-3.214610854747612)]",[4.48728777 3.21461085],274.57078977956024,288.59211592328967
3,171.66339497600174,"[4.482583869384356, 0.4382428562270467, 16.871807619619215, 0.0011288261476299721]",[ 0.04159963  0.9999     23.9999      0.        ],"[np.float64(-2.516894555115713), np.float64(-1.5591023090167526)]",[2.51689456 1.55910231],351.3267899520035,365.3805049366634
4,170.05664833599616,"[0.5939816711143844, 0.48078152566287563, 11.300489978382016, 0.004868515181686981]",[0.15502513 0.73112197 3.04311056 0.0099099 ],"[np.float64(-4.552833301840906), np.float64(-4.148586621353769)]",[4.5528333  4.14858662],348.1132966719923,362.1670116566522
5,170.27467338012923,"[0.0539443844493303, 0.1242042259067216, 6.0884229673970856, 0.0033293927600884588]",[ 0.0390048   0.19922305 23.9999      0.        ],"[np.float64(-2.306515903770109), np.float64(-2.7952824685184305)]",[2.3065159  2.79528247],348.54934676025846,362.5543796024374
6,104.43416466419774,"[1.7897001588337365, 0.9541156107097447, 16.924633741608, 0.002176935283736229]",[0.6725242  0.05678822 6.40575567 0.00998185],"[np.float64(-5.074355644962403), np.float64(-4.610398622272455)]",[5.07435564 4.61039862],216.86832932839548,230.88965547212493
7,156.64504266311044,"[2.7869335961596646, 0.40784195783259, 4.323164582424557, 0.008447739843744258]",[1.59473246e-01 8.77543741e-03 2.39999000e+01 0.00000000e+00],"[np.float64(-8.276843391778664), np.float64(-14.036656809046528)]",[ 8.27684339 14.03665681],321.2900853262209,335.3276386727328
8,169.48363214505994,"[1.3465258307322427, 0.321923681925421, 22.17417388423093, 0.005902849655981661]",[7.86181091e-02 2.26393923e-02 2.39999000e+01 0.00000000e+00],"[np.float64(-4.805713689853343), np.float64(-4.158173766139264)]",[4.80571369 4.15817377],346.9672642901199,360.9722971322988
9,167.03783971937676,"[2.215214469194229, 0.7052208880384011, 10.386055546446025, 0.006521593943571618]",[1.08408756e-01 1.69878501e-02 2.39999000e+01 0.00000000e+00],"[np.float64(-7.731657197747083), np.float64(-5.516392255905707)]",[7.7316572  5.51639226],342.0756794387535,356.09700558248295
10,168.8858495592689,"[0.6369846110778546, 0.2943803800562414, 2.200907658922596, 0.009516728880968259]",[2.77628791e+00 1.00000000e-04 3.00000000e-01 1.00000000e-02],"[np.float64(-0.34162386927651484), np.float64(-0.33304319764978474)]",[0.34162387 0.3330432 ],345.7716991185378,359.7439448919
11,147.89029263659347,"[3.3935932661733714, 0.3807477834569921, 17.892009279222584, 0.007679151125650765]",[0.6009469  0.01174259 8.65088443 0.01      ],"[np.float64(-4.120588644107786), np.float64(-5.52715372168131)]",[4.12058864 5.52715372],303.78058527318694,317.80191141691637
12,168.13548274177694,"[4.387790609323624, 0.552390746089524, 5.15520914129071, 0.008762234310626256]",[0.09857673 0.10896946 0.3        0.01      ],"[np.float64(-2.6418299383713237), np.float64(-2.02263215813695)]",[2.64182994 2.02263216],344.2709654835539,358.22671638818065
13,167.76874663772065,"[4.556151912231103, 0.15009532475084225, 21.150913719223432, 0.008224404823955029]",[4.99990000e+00 1.00099111e-04 2.32960421e+00 1.00000000e-02],"[np.float64(-2.3462068442342505), np.float64(-2.3441894961400913)]",[2.34620684 2.3441895 ],343.5374932754413,357.6073048613001
14,143.05698326556436,"[0.9531151832605197, 0.2894513577622951, 3.1105527225738623, 0.009155337424617055]",[4.96624598e+00 3.03662316e-04 3.01400166e+00 1.00000000e-02],"[np.float64(-2.9848129334839837), np.float64(-2.996543092809222)]",[2.98481293 2.99654309],294.1139665311287,308.1998102025777
15,163.56819639961736,"[1.6147431807948043, 0.3290091968000932, 23.9092496407641, 0.008196864008810542]",[8.60318245e-02 1.25297374e-02 2.39999000e+01 0.00000000e+00],"[np.float64(-6.556994282266859), np.float64(-8.888710427879003)]",[6.55699428 8.88871043],335.1363927992347,349.00863336377523
16,31.612414901487195,"[0.4311211686075411, 0.35169619168741234, 3.2400017969405623, 0.0032285522903947685]",[ 0.28110984  0.03630911 23.9999      0.        ],"[np.float64(-16.970151875390908), np.float64(-2.5357971584876497)]",[16.97015188  2.53579716],71.2248298029744,85.2298626451533
17,157.8299563245226,"[3.0681717240438693, 0.39002224901184596, 22.733557485590143, 0.006502355418696329]",[3.10489688e-01 6.69184477e-02 1.25253574e+01 9.85923475e-03],"[np.float64(-2.979427663835843), np.float64(-2.515214050275686)]",[2.97942766 2.51521405],323.6599126490452,337.5489953437311
18,168.9548972696825,"[1.16987407065379, 0.570382195711818, 2.1787588687834485, 0.0006506764375230057]",[3.20345727e+00 1.00000000e-04 3.00000000e-01 1.00000000e-02],"[np.float64(-0.3540256307571597), np.float64(-0.36522866876786725)]",[0.35402563 0.36522867],345.909794539365,359.93112068309443
19,167.16650861783907,"[4.208826782279879, 0.9616328246532051, 11.576033369076002, 0.006322590252526096]",[3.86284862e+00 1.00000000e-04 3.48771232e+00 1.00000000e-02],"[np.float64(-3.4985517401410964), np.float64(-3.5073175237886685)]",[3.49855174 3.50731752],342.33301723567814,356.35434337940757
20,47.009860271147375,"[0.13165883718526125, 0.2716741757758839, 5.690032670916389, 0.0019866129742529127]",[3.23905007e-01 5.35940655e-02 1.67485061e+01 6.15643623e-09],"[np.float64(-9.49793898313987), np.float64(-2.508396449722343)]",[9.49793898 2.50839645],102.01972054229475,115.99196631565694
21,168.51114883819167,"[2.774097084689754, 0.10452988935478247, 6.999462453994787, 0.009722571225872296]",[3.59059915e+00 1.00000000e-04 3.00000000e-01 1.00000000e-02],"[np.float64(-0.35305180180734574), np.float64(-0.35324759106870857)]",[0.3530518  0.35324759],345.02229767638335,358.99454344974555
22,157.15536679257738,"[0.7345639222412419, 0.26166553908882817, 5.438552939204673, 0.0004990478146309197]",[4.99990000e+00 1.38161602e-04 2.75213048e+00 9.99999785e-03],"[np.float64(-2.748961435896502), np.float64(-2.7474351490563493)]",[2.74896144 2.74743515],322.31073358515476,336.26648448978153
23,138.49000816995,"[0.8702189748952415, 0.3398732273772287, 7.0050724709343815, 0.0008328684717889157]",[1.18028864e-01 2.33011460e-02 2.39999000e+01 0.00000000e+00],"[np.float64(-8.679910511162625), np.float64(-3.7535241740212304)]",[8.67991051 3.75352417],284.9800163399,298.9192040738626
24,167.74161769550707,"[4.510792074209063, 0.005751416047045781, 22.35046491289828, 0.0016658632964252575]",[4.51079207e+00 5.75141605e-03 2.23504649e+01 1.66586330e-03],"[np.float64(-12.232429534368856), np.float64(-13.05080253360382)]",[12.23242953 13.05080253],343.48323539101415,357.4224231249768
25,170.746412338101,"[2.285259648574452, 0.8163670669208328, 4.5566118967766265, 0.0037844643978133643]",[3.40535504e+00 1.00000000e-04 3.00000000e-01 1.00000000e-02],"[np.float64(-0.32869117452864643), np.float64(-0.3269722692986338)]",[0.32869117 0.32697227],349.492824676202,363.51415081993144
26,72.3196172908217,"[4.118645025051355, 0.07949009203899457, 14.864154843794681, 0.0015718986911893507]",[4.3215935e-01 6.6475044e-03 2.3999900e+01 0.0000000e+00],"[np.float64(-8.40165151791915), np.float64(-19.861341987798287)]",[ 8.40165152 19.86134199],152.6392345816434,166.6279074828162
27,104.51853563093755,"[3.920255954988044, 0.6113193293602774, 18.22142906573641, 0.0042505930082409995]",[ 0.14105719  0.04318374 23.9999      0.        ],"[np.float64(-7.125354572751519), np.float64(-2.5003656312402356)]",[7.12535457 2.50036563],217.0370712618751,231.074624608387
28,135.54550481232386,"[4.597950766614075, 0.7512481269504703, 6.770962916427862, 0.0024773272052903837]",[4.02173924e+00 1.21837752e-04 8.58983496e+00 0.00000000e+00],"[np.float64(-8.485310355877251), np.float64(-8.534316397692669)]",[8.48531036 8.5343164 ],279.0910096246477,293.01356531801565
29,61.77236385178514,"[0.7964931971994952, 0.2379313577475858, 20.90498917748773, 0.008675630658065635]",[ 0.21586387  0.06239488 23.9999      0.        ],"[np.float64(-9.39260375232717), np.float64(-3.0215854828197988)]",[9.39260375 3.02158548],131.5447277035703,145.46728339693823
30,155.17262515430468,"[0.7834282949043596, 0.30888701835343807, 7.2109652054582165, 0.00820615736511809]",[2.06426258e+00 1.00000000e-04 2.39999000e+01 0.00000000e+00],"[np.float64(-23.83560798128296), np.float64(-23.65591967701511)]",[23.83560798 23.65591968],318.34525030860937,332.3665764523388
