participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,87.56989409145778,"[3.4272733142505896, 0.9106392343980434, 0.39579094905046686, 0.35640687884192274, 0.3440271209797105]",[3.42727331 0.91063923 0.94       0.25274724 0.34402712],[0.23156204 0.70196953],[0. 0.],185.13978818291557,202.58447681369898
2,62.85030913396109,"[4.319445175903995, 0.45829098697895515, 0.7096009315674513, 0.18576172938748367, 0.15965850905829532]",[4.31944518 0.45829099 0.94475138 0.10937499 0.15965851],[0.69025976 0.31985857],[0. 0.],135.70061826792218,153.227275947584
3,171.24606348752576,"[3.636309242657684, 0.4743329637052243, 0.6964668557500736, 0.17183515409493746, 0.5282095918084393]",[3.63630924 0.47433296 0.57600002 0.4508197  0.52820959],[0.72445083 0.35445001],[0. 0.],352.4921269750515,370.05927070587643
4,171.68005526581896,"[3.618834027655527, 0.43977013053719416, 0.2750141002711484, 0.7965750036284832, 0.7849154702100862]",[3.61883403 0.43977013 0.57812501 0.48739498 0.78491547],[0.41208065 0.65836649],[0. 0.],353.36011053163793,370.92725426246284
5,170.83574454931545,"[1.122269074225895, 0.7843367374326693, 0.27415916467334844, 0.47793395435918545, 0.5198468939452334]",[1.12226907 0.78433674 0.46280994 0.51219511 0.51984689],[0.67685142 0.38899951],[0. 0.],351.6714890986309,369.1777801513545
6,134.39674985646448,"[4.899890477663588, 0.034504033745350694, 0.7927549298337021, 0.7381359359444478, 0.6547762918785244]",[4.89989048 0.03450403 0.82165606 0.3863636  0.65477629],[0.36995157 0.66368078],[0. 0.],278.79349971292896,296.3201573925908
7,161.55367644581972,"[1.4292406716797028, 0.21153195344130366, 0.6208504638900881, 0.45272811596442053, 0.546576309542612]",[1.42924067 0.21153195 0.625      0.67647061 0.54657631],[0.62011199 0.30210024],[0. 0.],333.10735289163944,350.6542945747793
8,166.83040749295037,"[2.3304875617744085, 0.2589991888312097, 0.7739113524724895, 0.46311304099435713, 0.7963878104920019]",[2.33048756 0.25899919 0.52173914 0.37209301 0.79638781],[0.60260909 0.38297305],[0. 0.],343.66081498590074,361.16710603862435
9,168.0470280494724,"[0.9926998325234899, 0.3134312245190146, 0.7822942738055453, 0.7084032624641351, 0.561092831596293]",[0.99269983 0.31343122 0.44859815 0.39130436 0.56109283],[0.60561998 0.36574302],[0. 0.],346.0940560989448,363.6207137786066
10,160.0133428362828,"[4.085152365614853, 0.7971063954064512, 0.2737588744918071, 0.1416255762150578, 0.9879337808824029]",[4.08515237 0.7971064  0.65573772 0.37499999 0.98793378],[0.25366237 0.67651763],[0. 0.],330.0266856725656,347.4919928892683
11,155.14367663427885,"[4.451520431743148, 0.7916958759013849, 0.7767752324318892, 0.32232076481211636, 0.6578289576010161]",[4.45152043 0.79169588 0.72027973 0.60784312 0.65782896],[0.71283979 0.37355271],[0. 0.],320.2873532685577,337.8140109482195
12,153.05997187273442,"[3.778791928845037, 0.0006988842095558793, 0.9033752076240177, 0.4326970274729092, 0.637275529662502]","[3.77879193e+00 6.98884210e-04 6.77685939e-01 3.16666659e-01
 6.37275530e-01]",[0.51222816 0.48638306],[0. 0.],316.11994374546885,333.5646323762523
13,169.74526800121876,"[0.8741678288284687, 0.9944348618973209, 0.9902573242545006, 0.24719369086942522, 0.9530454230124548]",[0.87416783 0.99443486 0.62043795 0.46846849 0.95304542],[0.27155604 0.69048885],[0. 0.],349.4905360024375,367.07780048476104
14,151.9474409754787,"[0.20806718461390103, 0.33228831579588497, 0.38627407986016216, 0.47983988668568783, 0.63828370408281]",[0.20806718 0.33228832 0.74999999 0.43209874 0.6382837 ],[0.67465736 0.28802403],[0. 0.],313.8948819509574,331.50218654026867
