participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,87.56989409145763,"[0.46730663577845616, 0.6257365543856277]",[0.94       0.25274724],[0.5 0.5],[0. 0.],179.13978818291525,186.11766363522864
2,62.85030913396118,"[0.6532588312862133, 0.3766930663233027]",[0.94475138 0.10937501],[0.5 0.5],[0. 0.],129.70061826792238,136.7112813397871
3,171.24606348752536,"[0.7606976205010446, 0.4631306894955408]",[0.57600001 0.45081968],[0.5 0.5],[0. 0.],346.4921269750507,353.5189844673807
4,171.68005526581874,"[0.31615861691190383, 0.7571250464234704]",[0.57812503 0.48739496],[0.5 0.5],[0. 0.],347.3601105316375,354.3869680239674
5,170.8357445493151,"[0.2854711507250848, 0.669499118713353]",[0.4628099 0.5121951],[0.5 0.5],[0. 0.],345.6714890986302,352.6740055197197
6,134.39674985646425,"[0.6208409451893134, 0.15363746817947124]",[0.82165606 0.38636361],[0.5 0.5],[0. 0.],272.7934997129285,279.8041627847932
7,161.55367644582,"[0.6318658516349942, 0.14255202777364068]",[0.62499999 0.67647059],[0.5 0.5],[0. 0.],327.10735289164,334.12612956489596
8,166.83040749295077,"[0.8222556850922665, 0.1301702033114155]",[0.52173913 0.37209303],[0.5 0.5],[0. 0.],337.66081498590154,344.663331406991
9,168.04702804947257,"[0.5668341436619821, 0.30816214673557185]",[0.44859811 0.39130436],[0.5 0.5],[0. 0.],340.09405609894515,347.10471917080986
10,160.0133428362825,"[0.08070466068641508, 0.6349070224873171]",[0.65573769 0.37499999],[0.5 0.5],[0. 0.],324.026685672565,331.0128085592461
11,155.1436766342789,"[0.6275064899642979, 0.7520975600420354]",[0.72027971 0.60784316],[0.5 0.5],[0. 0.],314.2873532685578,321.2980163404225
12,153.05997187273456,"[0.09760223461715588, 0.3999360383941284]",[0.67768597 0.31666665],[0.5 0.5],[0. 0.],310.11994374546913,317.0978191977825
13,169.74526800121916,"[0.48727359369257506, 0.29215711139453904]",[0.62043791 0.46846847],[0.5 0.5],[0. 0.],343.4905360024383,350.5254417953677
14,151.94744097547894,"[0.20802225224752577, 0.08514179779477588]",[0.75000002 0.43209875],[0.5 0.5],[0. 0.],307.8948819509579,314.93780378668237
15,162.06976595984392,"[0.4310183056007768, 0.6949453815140405]",[0.45454547 0.38888887],[0.5 0.5],[0. 0.],328.13953191968784,335.0756522019581
16,53.09109402376912,"[0.18161180125081766, 0.566837353492614]",[0.89534883 0.03164557],[0.5 0.5],[0. 0.],110.18218804753823,117.18470446862769
17,150.6710947802272,"[0.4034570312743733, 0.08510226730684001]",[0.71428569 0.36440676],[0.5 0.5],[0. 0.],305.3421895604544,312.2867309077974
18,171.55035162778032,"[0.20569506694879136, 0.8245328892130206]",[0.47058823 0.52293577],[0.5 0.5],[0. 0.],347.10070325556063,354.11136632742534
19,168.7638767989312,"[0.9970780747313261, 0.4512640365890344]",[0.42727271 0.41481483],[0.5 0.5],[0. 0.],341.5277535978624,348.5384166697271
20,61.63668501396121,"[0.8006298689045703, 0.8639465646833753]",[0.88505747 0.04516129],[0.5 0.5],[0. 0.],127.27337002792243,134.25949291460353
21,169.67345871961933,"[0.08434013447991433, 0.6910930765797287]",[0.52459017 0.49999999],[0.5 0.5],[0. 0.],343.34691743923867,350.33304032591974
22,140.28786190686154,"[0.7518860548700445, 0.11817555639546928]",[0.78985508 0.35922328],[0.5 0.5],[0. 0.],284.5757238137231,291.55359926603643
23,140.49493875194503,"[0.6851987463688454, 0.3079518889483108]",[0.63207547 0.20895523],[0.5 0.5],[0. 0.],284.98987750389006,291.95947137087137
24,166.61050487354774,"[0.9782479949055619, 0.4498396852241196]",[0.53968252 0.57894738],[0.5 0.5],[0. 0.],337.2210097470955,344.1906036140768
25,171.20772749750716,"[0.4658606119247878, 0.96854483266086]",[0.45081967 0.52032521],[0.5 0.5],[0. 0.],346.41545499501433,353.42611806687904
26,79.60103660590794,"[0.8975214579182043, 0.38283821160570675]",[0.91764707 0.1369863 ],[0.5 0.5],[0. 0.],163.20207321181587,170.1964096624023
27,124.35893880742583,"[0.7653212736316111, 0.0470423402486326]",[0.88636364 0.37719299],[0.5 0.5],[0. 0.],252.71787761485166,259.7366542881076
28,130.97406731709145,"[0.9829996510627093, 0.8483741914598859]",[0.81632652 0.3369565 ],[0.5 0.5],[0. 0.],265.9481346341829,272.9094124808669
29,82.16732314771444,"[0.6794748846316873, 0.3869504170744978]",[0.93984962 0.17924528],[0.5 0.5],[0. 0.],168.33464629542888,175.29592414211285
30,159.96596167860017,"[0.6703203372559406, 0.7984929595540441]",[0.70212765 0.51923081],[0.5 0.5],[0. 0.],323.93192335720033,330.94258642906505
31,93.55874860559288,"[0.298092574183324, 0.9716146715329995]",[0.76237624 0.070922  ],[0.5 0.5],[0. 0.],191.11749721118576,198.10362009786687
32,147.52904388711818,"[0.11776649130313917, 0.2346279547534652]",[0.74803149 0.32478629],[0.5 0.5],[0. 0.],299.05808777423636,306.0606041953258
33,74.2003761024275,"[0.30784816616147964, 0.9001202134414085]",[0.87179487 0.05343511],[0.5 0.5],[0. 0.],152.400752204855,159.4356579977844
34,151.60471813906113,"[0.011748561825110512, 0.10675128405025203]",[0.74045803 0.43119264],[0.5 0.5],[0. 0.],307.20943627812227,314.1790301451036
35,169.62307996816085,"[0.4705833475163939, 0.7727839861494956]",[0.58399999 0.42975205],[0.5 0.5],[0. 0.],343.2461599363217,350.26493660957766
36,142.23538285835306,"[0.15659700471451188, 0.3963206328296338]",[0.80272109 0.41414143],[0.5 0.5],[0. 0.],288.4707657167061,295.4895423899621
37,159.26028520566652,"[0.2845743079368481, 0.6086382128819924]",[0.55172413 0.36440676],[0.5 0.5],[0. 0.],322.52057041133304,329.43974143962134
38,164.81161439249274,"[0.28881538941183466, 0.5666053832593508]",[0.54385965 0.36718748],[0.5 0.5],[0. 0.],333.6232287849855,340.60935167166656
39,171.1617536365523,"[0.5487634686136481, 0.8251409266489368]",[0.53731345 0.54054054],[0.5 0.5],[0. 0.],346.3235072731046,353.3341703449693
40,95.42200689605792,"[0.44439549434570336, 0.6498412328449563]",[0.93377483 0.30434783],[0.5 0.5],[0. 0.],194.84401379211585,201.83835024270226
41,146.5581705441251,"[0.5633413329291015, 0.7160651475966076]",[0.54901962 0.21985815],[0.5 0.5],[0. 0.],297.1163410882502,304.11067753883657
