participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,68.16523041356388,"[0.5429258497034511, 0.9765403837986076, 0.8798038596812701, 2.691612729257924]",[0.07247651 0.00505763 0.51223529 4.9999    ],"[np.float64(-25.471064929480665), np.float64(3.50083908020177)]",[0. 0.],144.33046082712775,158.2862117317545
2,41.20436923489781,"[1.23089844250897, 0.2949392598821329, 0.0090861569410243, 0.5679732406206193]",[7.49151698e-01 1.66577245e-01 1.00000000e-04 1.00000000e-04],"[np.float64(2.6550288228457593), np.float64(-1.0527977938464333e-06)]",[0. 0.],90.40873846979562,104.43006461352508
3,170.0600590864132,"[4.479548248834563, 0.9070376508519794, 0.5877405137969183, 1.6494182417196959]",[2.81135532e-01 7.35989558e-01 1.00000000e-04 1.00000000e-04],"[np.float64(0.0017166765469370862), np.float64(0.9997679547558449)]",[0. 0.],348.1201181728264,362.1738331574863
4,169.63529801038203,"[0.5463073523560817, 0.6902989547379422, 0.27699169636949017, 2.961066213687363]",[8.02952205e-01 4.35610931e-01 9.99900000e-01 1.00000000e-04],"[np.float64(0.0012487739371589987), np.float64(0.3166331992720435)]",[0. 0.],347.27059602076406,361.32431100542397
5,169.391972450324,"[1.153289826668648, 0.11576356439749057, 0.7236412661340395, 1.5464004444242547]",[5.67774196e-02 9.84827762e-01 1.00000000e-04 4.16784718e+00],"[np.float64(0.014212352169543196), np.float64(-4.167299975720327)]",[0. 0.],346.783944900648,360.78897774282694
6,103.77834961419003,"[0.15791997399653268, 0.4879096061469887, 0.4109672760903345, 0.767172650012431]",[0.07566685 0.02358408 0.0001     0.0001    ],"[np.float64(0.004653383484794792), np.float64(23.380621062453717)]",[0. 0.],215.55669922838007,229.57802537210952
7,154.27964400902292,"[3.0742968001248734, 0.1287707533160761, 0.7200182002565888, 4.342858627651045]",[0.22798987 0.24174038 0.72336796 4.9999    ],"[np.float64(0.31944989195789775), np.float64(-3.5334513539447405)]",[0. 0.],316.55928801804583,330.59684136455775
8,169.29531038192317,"[4.988509384841422, 0.4202237082849648, 0.46661004689440416, 4.266311141944064]",[4.26054244e-01 9.99900000e-01 4.88282753e-01 1.00000000e-04],"[np.float64(-1.480080678048705e-05), np.float64(4.209074202896638e-05)]",[0. 0.],346.59062076384635,360.5956536060253
9,171.00157939046957,"[3.7685943763164325, 0.0664385882361192, 0.556776123118584, 1.0192160160444657]",[1.08130919e-01 9.99900000e-01 4.90235266e-02 1.00000000e-04],"[np.float64(-8.255095603613386e-05), np.float64(-9.141630424851741e-09)]",[0. 0.],350.00315878093915,364.02448492466857
10,161.54565775428492,"[4.076233668889951, 0.018256872693311707, 0.7662563671067815, 1.9615481429677968]",[4.68946142e-01 8.36543780e-01 1.00000000e-04 1.00000000e-04],"[np.float64(-9.68848325740656e-05), np.float64(0.1684755959848001)]",[0. 0.],331.09131550856983,345.06356128193204
11,146.4363051594029,"[0.9842294935549278, 0.7130162734436062, 0.8738972403792045, 3.3100580866931106]",[9.38860581e-03 4.08278730e-03 3.98247751e-01 4.99990000e+00],"[np.float64(27.689363626941734), np.float64(-97.97514424935531)]",[0. 0.],300.8726103188058,314.89393646253524
12,161.0913541620032,"[0.040394929654438215, 0.10759112524574874, 0.76598852315569, 1.04623462011158]",[5.86542334e-01 9.99900000e-01 1.25073270e-01 1.00000000e-04],"[np.float64(0.8070597089717184), np.float64(7.29099604988288e-09)]",[0. 0.],330.1827083240064,344.13845922863317
13,168.2616863058819,"[3.1481591263099995, 0.9472838983038924, 0.9217117955969663, 2.414958247477106]",[4.00632145e-03 1.87383517e-02 1.00000000e-04 4.99990000e+00],"[np.float64(-97.70937062453831), np.float64(6.631920640213046)]",[0. 0.],344.5233726117638,358.59318419762263
14,142.67405143767343,"[2.988037421578197, 0.9622229804481159, 0.8581312373031312, 1.5072996322746803]",[0.01558499 0.0001     0.0001     0.0001    ],"[np.float64(148.98326188768047), np.float64(7.351331522598372)]",[0. 0.],293.34810287534685,307.4339465467958
15,164.92035635127692,"[2.5200557442115468, 0.944266301044806, 0.29059996762272716, 3.2402401750518046]",[1.55578316e-01 9.99900000e-01 8.53662292e-01 1.00000000e-04],"[np.float64(-1.4013763218431425e-05), np.float64(3.3731101950494884e-09)]",[0. 0.],337.84071270255384,351.71295326709435
16,56.40776720576817,"[1.5524637613790546, 0.8841836212647295, 0.6636479679887592, 2.7277417846583947]",[5.38539550e-01 1.23464319e-01 1.00000000e-04 1.00000000e-04],"[np.float64(0.0001283188206865895), np.float64(3.5221217903537876)]",[0. 0.],120.81553441153633,134.82056725371524
17,151.68687734204323,"[2.345027934017714, 0.530301928981522, 0.2302324690031426, 1.1389028555066503]",[6.21154831e-01 8.78438510e-01 1.00000000e-04 1.00000000e-04],"[np.float64(1.1212984469048175), np.float64(0.00021876279459132812)]",[0. 0.],311.37375468408646,325.26283737877236
18,169.4755802547448,"[3.2168341542422745, 0.6894071435492325, 0.398244830619969, 0.4157897236389242]",[2.89554728e-03 1.00000000e-04 9.40268085e-01 4.99990000e+00],"[np.float64(20.89287540157524), np.float64(-107.74514225582776)]",[0. 0.],346.9511605094896,360.97248665321905
19,170.52291843079385,"[2.2991621354903966, 0.8492827592023414, 0.2948799528468027, 1.2672573573058363]",[1.61505914e-01 9.99900000e-01 1.00000000e-04 4.25589127e-01],"[np.float64(0.9997186909107838), np.float64(-4.254227019679294e-05)]",[0. 0.],349.0458368615877,363.0671630053171
20,61.634264954514755,"[1.8459344039952132, 0.5090748739466938, 0.026218349891377845, 0.6897434404784889]",[6.02271673e-01 1.46263366e-01 1.00000000e-04 1.00000000e-04],"[np.float64(1.5824058288695748), np.float64(1.9373762599692481)]",[0. 0.],131.2685299090295,145.2407756823917
21,168.63716112930163,"[0.8668909143165936, 0.5538840143896867, 0.46578988743064725, 4.204680240421873]",[4.74410096e-01 9.99900000e-01 9.99900000e-01 1.00000000e-04],"[np.float64(0.18001986853218574), np.float64(7.00546227685044e-18)]",[0. 0.],345.27432225860326,359.24656803196547
22,145.45449737961073,"[3.6931234083870255, 0.23382240602754906, 0.36442747166859624, 1.7839860979394926]",[7.87542713e-01 8.97914552e-01 1.00000000e-04 1.00000000e-04],"[np.float64(-1.6202985502388264e-06), np.float64(0.011483517930985513)]",[0. 0.],298.90899475922146,312.8647456638482
23,155.1161324690687,"[1.6746405364422015, 0.9174326501197344, 0.4123372623620625, 0.7198440187246755]",[6.06881816e-01 8.53002935e-01 1.00000000e-04 1.00000000e-04],"[np.float64(6.885165155052204e-05), np.float64(0.16846636303198925)]",[0. 0.],318.2322649381374,332.17145267210003
24,165.1834421529668,"[2.1928288429579035, 0.05145988254199435, 0.797777808177868, 2.3801711588752004]",[6.38334909e-02 6.76211481e-01 1.00000000e-04 4.99990000e+00],"[np.float64(0.5221365507666147), np.float64(-1.6385269066131332)]",[0. 0.],338.3668843059336,352.3060720398962
25,170.528719762477,"[4.155814729948565, 0.8767331467845769, 0.3993839102537604, 1.5288831874909332]",[0.0536155  0.9999     0.23551351 4.9999    ],"[np.float64(-4.467453021682585e-08), np.float64(-2.972667771547829)]",[0. 0.],349.057439524954,363.07876566868345
26,60.76465360199808,"[3.963751488894623, 0.9686257243232176, 0.8750491814568274, 2.798095461603222]",[2.31240688e-01 3.59383239e-03 9.99900000e-01 1.00000000e-04],"[np.float64(18.966880902162217), np.float64(0.24679004576835056)]",[0. 0.],129.52930720399615,143.51798010516896
27,101.63723954805758,"[2.5194943738368223, 0.7864021189441874, 0.2635442971061428, 4.617810003208853]",[8.00430824e-01 8.35905550e-02 7.27494301e-01 1.00000000e-04],"[np.float64(-0.00010722315269197484), np.float64(1.6125263858079397)]",[0. 0.],211.27447909611516,225.31203244262707
28,134.22656423578405,"[1.6565156722921404, 0.07203607846292302, 0.17703059856883996, 1.9295618512802772]",[0.01508748 0.0001     0.0001     0.0001    ],"[np.float64(150.94914142887404), np.float64(2.4486187537373967)]",[0. 0.],276.4531284715681,290.37568416493605
29,54.517915108769195,"[3.6174473384024477, 0.06436490656967349, 0.4639288520074966, 1.2328842202488617]",[0.39116439 0.0111269  0.9999     4.9999    ],"[np.float64(-8.177587123687875), np.float64(-2.229560681094018)]",[0. 0.],117.03583021753839,130.95838591090634
30,154.18903236044196,"[0.874305649767649, 0.3644568290193075, 0.5283511642891782, 1.1343116491309615]",[3.23728342e-01 3.25067919e-01 1.00000000e-04 2.43457415e-01],"[np.float64(-0.00038996065075224074), np.float64(2.1397483496260854)]",[0. 0.],316.3780647208839,330.39939086461334
31,85.56929309822702,"[2.8441944826614916, 0.5704313499374496, 0.7568207280204863, 2.6238980712588815]",[4.27132308e-01 7.74043761e-02 1.00000000e-04 1.00000000e-04],"[np.float64(0.9200880662485952), np.float64(6.103970144318354)]",[0. 0.],179.13858619645404,193.11083196981625
32,155.27511218746216,"[2.3835954051592276, 0.19518815672700235, 0.1993321148956816, 0.3519657575191016]",[1.43900858e+00 7.98840902e-01 7.84564339e-01 1.00000000e-04],"[np.float64(0.00047894397203437444), np.float64(0.07499266230617353)]",[0. 0.],318.5502243749243,332.55525721710325
33,54.98304169070861,"[1.3275481484558178, 0.4717436473923465, 0.5896533806464517, 0.4152918109395695]",[4.77791683e-01 8.32822212e-02 1.00000000e-04 1.00000000e-04],"[np.float64(1.3396536840683773), np.float64(4.249966254210455)]",[0. 0.],117.96608338141722,132.03589496727605
34,158.72484132190917,"[4.540771728516253, 0.34003490984217294, 0.7834239676434666, 0.5791204305763943]",[1.13889869e+00 5.63725857e-01 8.67425797e-01 1.00000000e-04],"[np.float64(2.1523000832862992e-13), np.float64(0.05474953814681776)]",[0. 0.],325.44968264381833,339.38887037778096
35,167.651960403413,"[0.13136735912708022, 0.8242284131488495, 0.5283486004889274, 1.6009860673200735]",[3.83604641e-01 9.00288987e-01 1.00000000e-04 1.00000000e-04],"[np.float64(0.09960410520275698), np.float64(0.0009999129337816143)]",[0. 0.],343.303920806826,357.3414741533379
36,122.04749539329114,"[2.3245997489448182, 0.6383328949799889, 0.927812471394235, 1.1762363310535184]",[0.0608829  0.02197998 0.0001     0.0001    ],"[np.float64(0.7146238135780826), np.float64(23.920796444367138)]",[0. 0.],252.0949907865823,266.1325441330942
37,161.03821106684205,"[4.647851668216311, 0.4677074817530519, 0.18396077565861163, 0.9717533750960531]",[3.23948668e-01 9.99900000e-01 1.00000000e-04 1.00000000e-04],"[np.float64(0.9998796079677499), np.float64(-9.99918686387133e-09)]",[0. 0.],330.0764221336841,343.9147641902607
38,167.25122777865244,"[0.9328462022148498, 0.9322838951758059, 0.09770146095809128, 0.5640395422966421]",[2.81740585e-01 9.71615294e-01 1.00000000e-04 1.00000000e-04],"[np.float64(-0.00010008436811203925), np.float64(0.02838276739913871)]",[0. 0.],342.50245555730487,356.4747013306671
39,169.6396246250609,"[1.3536579211860258, 0.5999264009851711, 0.9613237638607633, 2.3727999007172067]",[2.34990571e-03 2.49678033e-02 1.00000000e-04 4.99990000e+00],"[np.float64(10.740884124219118), np.float64(-77.72521992043981)]",[0. 0.],347.2792492501218,361.3005753938512
40,81.45657959351392,"[3.0505181022925583, 0.8180981992016559, 0.5133611952528144, 4.786992648827482]",[3.75867827e-02 7.29560656e-03 1.00000000e-04 1.09050378e+00],"[np.float64(-9.050451275109587), np.float64(54.67866990297065)]",[0. 0.],170.91315918702784,184.90183208820065
41,166.7304625489463,"[4.758793855583903, 0.4332401684845537, 0.822574123978948, 1.55895705817688]",[3.44906369e-01 9.72011273e-01 1.00000000e-04 1.00000000e-04],"[np.float64(0.9999089461402473), np.float64(0.0008022884572055536)]",[0. 0.],341.4609250978926,355.4495979990654
