participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,71.88696027352557,"[3.268980356751967, 0.4173496241347265]",[0.32532512 0.04961322],"[np.float64(0.3589379301350507), np.float64(7.543700849935534)]",[0. 0.],147.77392054705115,154.75179599936453
2,47.258170722379155,"[0.16867607568745255, 0.20851547591818076]",[1.3629872  0.14772938],"[np.float64(1.7177524323371545), np.float64(0.0012932996081392956)]",[0. 0.],98.51634144475831,105.52700451662304
3,171.07926317252284,"[3.2520522731825534, 0.31703380984828106]",[0.59887817 0.9999    ],"[np.float64(3.2599070793070787e-21), np.float64(0.2629983955049685)]",[0. 0.],346.1585263450457,353.18538383737564
4,170.45042152739742,"[2.204126522483221, 0.9601748217065683]",[0.66258135 0.9371679 ],"[np.float64(2.1117511422050645e-05), np.float64(0.17084329425526285)]",[0. 0.],344.90084305479485,351.9277005471248
5,170.22119436785079,"[3.9574403296327816, 0.8865709130070993]",[0.20467455 0.32975267],"[np.float64(0.8184531525558774), np.float64(0.1268884979673404)]",[0. 0.],344.44238873570157,351.44490515679104
6,103.23500070910085,"[1.0019762786000992, 0.6615014069122801]",[0.82638171 0.10208448],"[np.float64(0.2556259093570359), np.float64(1.3652314829733354)]",[0. 0.],210.4700014182017,217.4806644900664
7,156.54360109539846,"[4.720893118374359, 0.4017833768629967]",[0.06734473 0.00751961],"[np.float64(19.61990631496736), np.float64(3.9893415338516673)]",[0. 0.],317.0872021907969,324.1059788640529
8,169.29433288106708,"[3.3477759461839853, 0.1949666099232315]",[0.5818715 0.9999   ],"[np.float64(0.10658649904369429), np.float64(1.4443492265117765e-05)]",[0. 0.],342.58866576213416,349.5911821832236
9,171.1689475222463,"[2.9859316747259688, 0.3229466039483367]",[0.13879757 0.9999    ],"[np.float64(0.0698924740980253), np.float64(1.1314597208975624e-05)]",[0. 0.],346.3378950444926,353.3485581163573
10,161.65069386066602,"[4.245712225602535, 0.6980184142339877]",[0.99542479 0.9999    ],"[np.float64(0.02622091117666339), np.float64(2.9416539558013558e-05)]",[0. 0.],327.30138772133205,334.2875106080131
11,147.49486534891497,"[4.437540215004602, 0.552381552440083]",[0.1242038  0.01701262],"[np.float64(11.100973010290778), np.float64(2.2036750568527887)]",[0. 0.],298.98973069782994,306.00039376969465
12,153.9746876959363,"[3.8922300015288105, 0.6045876945666089]",[1.14856705 0.9999    ],"[np.float64(0.47114842131764917), np.float64(1.8300868373553603e-09)]",[0. 0.],311.9493753918726,318.92725084418595
13,168.23293465467356,"[0.17741209265199995, 0.8656856351655859]",[0.88316745 0.9999    ],"[np.float64(6.434774495852864e-26), np.float64(0.24366481661811906)]",[0. 0.],340.4658693093471,347.5007751022765
14,140.89988134906272,"[1.3229232987542074, 0.6706359612151697]",[0.06974408 0.00138253],"[np.float64(48.49553402047633), np.float64(12.21514418799673)]",[0. 0.],285.79976269812545,292.84268453384993
15,164.58645464486497,"[3.208458474139924, 0.7456820785487177]",[0.30644982 0.9999    ],"[np.float64(0.10197847957076975), np.float64(1.57050388258853e-09)]",[0. 0.],333.17290928972994,340.1090295720002
16,40.195489582592586,"[0.9701195093861353, 0.4260882595602423]",[0.80600323 0.03663664],"[np.float64(0.054832787905189785), np.float64(4.28517341431267)]",[0. 0.],84.39097916518517,91.39349558627462
17,143.83255835462697,"[3.346480084477102, 0.020479069420615864]",[1.34264151 0.9999    ],"[np.float64(0.07904423297002496), np.float64(5.0091972305768e-17)]",[0. 0.],291.66511670925394,298.6096580565969
18,169.70880694843564,"[3.6166264932454975, 0.38835886534713077]",[0.02303781 0.0001    ],"[np.float64(27.29749504289049), np.float64(9.819288797700912)]",[0. 0.],343.4176138968713,350.428276968736
19,170.7427353669283,"[3.8009742515535017, 0.959445638915272]",[0.44538336 0.74235419],"[np.float64(0.2647178455997176), np.float64(0.02953468905192693)]",[0. 0.],345.4854707338566,352.4961338057213
20,50.25688247157251,"[2.7433269247174334, 0.6374492447493063]",[0.90625283 0.06770155],"[np.float64(0.9377640233008023), np.float64(2.106958430372867)]",[0. 0.],104.51376494314502,111.49988782982612
21,169.0180226562002,"[4.7708168141772, 0.052623593268316594]",[0.00857338 0.0001    ],"[np.float64(22.68581620116494), np.float64(11.139364897832477)]",[0. 0.],342.0360453124004,349.0221681990815
22,145.949073765752,"[1.1482146250077416, 0.38464591544111426]",[1.2568443  0.96216129],"[np.float64(0.10398229586804357), np.float64(0.0007495396273833213)]",[0. 0.],295.898147531504,302.87602298381734
23,141.3051939564629,"[2.0085150276717703, 0.8669021739405843]",[0.29206197 0.00805981],"[np.float64(7.030998035694518), np.float64(9.558268746711164)]",[0. 0.],286.6103879129258,293.5799817799071
24,167.07057567918548,"[4.9621743304963655, 0.8655424980315138]",[0.01301342 0.0001    ],"[np.float64(37.291248806306605), np.float64(17.931358993798717)]",[0. 0.],338.14115135837096,345.1107452253523
25,171.03595237478544,"[2.5930857404869454, 0.5673309586835291]",[0.00514466 0.0001    ],"[np.float64(21.134688140050844), np.float64(46.021745373768525)]",[0. 0.],346.0719047495709,353.0825678214356
26,59.047749145246975,"[0.7752965018211927, 0.35049948423728333]",[0.84984814 0.10641023],"[np.float64(2.353247822383178), np.float64(0.0003876906720443788)]",[0. 0.],122.09549829049395,129.08983474108035
27,104.10400916494525,"[3.7270286662815244, 0.20076888967368864]",[0.5850673  0.12293168],"[np.float64(0.20268143849478173), np.float64(1.9697528168179228)]",[0. 0.],212.2080183298905,219.22679500314646
28,132.66774940421513,"[1.2186690748183087, 0.6284800790347154]",[1.32979058 0.58509605],"[np.float64(0.3741200363483993), np.float64(2.170684309036547e-06)]",[0. 0.],269.33549880843026,276.29677665511423
29,62.56884081578732,"[2.6756708897527193, 0.6353423876105331]",[0.64012791 0.09749021],"[np.float64(0.0639215166923136), np.float64(2.5510878650419193)]",[0. 0.],129.13768163157465,136.09895947825862
30,155.31785847441498,"[1.6185554064883345, 0.3582652187827955]",[0.04421873 0.0001    ],"[np.float64(11.992638288090024), np.float64(41.4415291790569)]",[0. 0.],314.63571694882995,321.64638002069466
31,71.18004409173295,"[4.758833200670581, 0.6203611412921733]",[0.61042082 0.04147038],"[np.float64(0.3073993437134659), np.float64(4.077539475949534)]",[0. 0.],146.3600881834659,153.346211070147
32,150.76153038187937,"[1.9491716599419522, 0.9834833239186782]",[1.08666815 0.9999    ],"[np.float64(2.141472483172301e-13), np.float64(0.16096080432609475)]",[0. 0.],305.52306076375874,312.5255771848482
33,53.433468868442176,"[0.5314959128408493, 0.38355036751053473]",[0.71332418 0.06398234],"[np.float64(0.6819572702400194), np.float64(3.8551736617353436)]",[0. 0.],110.86693773688435,117.90184352981376
34,153.12467194194662,"[3.5403862582976657, 0.20628252408750145]",[1.15303407 0.9999    ],"[np.float64(1.2291108395649773e-105), np.float64(0.4670629486106981)]",[0. 0.],310.24934388389323,317.21893775087455
