participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,70.05681423105605,"[0.8635158601641119, 0.69779298455995]",[0.2931334  0.08310817],[0.26558609 6.8571979 ],[0. 0.],144.1136284621121,151.0915039144255
2,44.38382693667882,"[4.301071622369829, 0.9335762641910936]",[0.91847118 0.22520741],[3.07951533e+00 5.59999514e-04],[0. 0.],92.76765387335765,99.77831694522237
3,170.38621768569448,"[0.7536178339706074, 0.8663870084411025]",[0.3150656 0.9999   ],[8.20473127e-21 4.10024006e-01],[0. 0.],344.77243537138895,351.7992928637189
4,170.54830866429106,"[3.7406001246107294, 0.6318003796178729]",[0.01261552 0.01040097],[13.17044376 33.00598894],[0. 0.],345.0966173285821,352.12347482091207
5,169.77230802208004,"[3.6154051992974034, 0.5831758143334834]",[0.04200222 0.3325301 ],[1.3145043  0.45906565],[0. 0.],343.5446160441601,350.54713246524955
6,102.50576840041755,"[0.4680578699592052, 0.2197069006456047]",[0.2203301  0.06995295],[0.93476536 7.84846615],[0. 0.],209.0115368008351,216.02219987269982
7,155.5002936171837,"[1.733826424414726, 0.6263984529289972]",[0.02723287 0.00876897],[46.14302653  9.50510276],[0. 0.],315.0005872343674,322.01936390762336
8,168.90964578687326,"[0.7478151254812718, 0.7086786385781568]",[0.26417124 0.9999    ],[3.90000000e-01 4.10065005e-05],[0. 0.],341.8192915737465,348.821807994836
9,170.40539839619254,"[3.391357553530958, 0.534988922159023]",[0.10287015 0.9999    ],[3.90000006e-01 4.10041004e-05],[0. 0.],344.8107967923851,351.8214598642498
10,159.6083565791515,"[2.9487240851239007, 0.9680922234810946]",[0.64105734 0.9999    ],[2.40000000e-01 6.80129021e-05],[0. 0.],323.216713158303,330.20283604498405
11,146.81139850410196,"[0.13436378668080767, 0.9437629861598341]",[0.03828902 0.01160155],[40.28042678  7.06445397],[0. 0.],297.6227970082039,304.63346008006863
12,153.97958968903987,"[4.6701985687138645, 0.28980738395860495]",[0.77461296 0.9999    ],[7.50057006e-01 3.50097017e-09],[0. 0.],311.95917937807974,318.9370548303931
13,167.8869148458169,"[2.3966723891449178, 0.015315752046903231]",[0.49035167 0.9999    ],[2.70217084e-25 6.90078012e-01],[0. 0.],339.7738296916338,346.8087354845632
14,140.0758516136698,"[1.9995133927000128, 0.8975364455395959]",[0.05065045 0.00674424],[59.44939426 10.13003272],[0. 0.],284.1517032273396,291.1946250630641
15,164.16989057958108,"[4.641552512132245, 0.17968191922197904]",[0.10191536 0.9999    ],[3.40044004e-01 6.70134007e-09],[0. 0.],332.33978115916216,339.27590144143244
16,40.472773686785175,"[3.9489310919520446, 0.894266982433718]",[0.41710985 0.03860143],[0.04722701 9.03659054],[0. 0.],84.94554737357035,91.9480637946598
17,146.2527893295773,"[3.6918279642971457, 0.5120488579278842]",[0.83531961 0.9999    ],[5.50048008e-01 7.20342077e-17],[0. 0.],296.5055786591546,303.45012000649757
18,169.0245717462762,"[1.9586867004915793, 0.19388320710142196]",[0.00806331 0.0001    ],[85.27579561 37.20808623],[0. 0.],342.0491434925524,349.0598065644171
19,170.5143679758002,"[1.7335972463081424, 0.10937765373732508]",[1.00000000e-04 6.94324523e-01],[0.49179312 0.13727909],[0. 0.],345.0287359516004,352.03939902346514
20,49.57036843517307,"[0.25143208214371526, 0.6486020993350589]",[0.53237835 0.06898211],[1.34099993 4.51527873],[0. 0.],103.14073687034615,110.12685975702725
21,168.30114183017787,"[4.284160088181612, 0.6472804282542716]",[0.00267556 0.0001    ],[81.05992737 40.0402824 ],[0. 0.],340.60228366035574,347.5884065470368
22,137.9962237699396,"[2.6945915486533747, 0.3987909439766567]",[0.96512805 0.9999    ],[2.70055006e-01 8.20231028e-09],[0. 0.],279.9924475398792,286.97032299219256
23,139.37337217332066,"[0.12087776872906843, 0.14528978448448074]",[0.15128445 0.01362644],[12.92438033 17.34160908],[0. 0.],282.7467443466413,289.71633821362263
24,166.3322011968845,"[3.522789310419942, 0.6566873206886948]",[0.00551431 0.0001    ],[84.46947963 37.34004578],[0. 0.],336.664402393769,343.63399626075034
25,170.35062940946577,"[1.7041479515268767, 0.49655107839320667]",[0.00285638 0.0001    ],[38.84573749 83.08221106],[0. 0.],344.70125881893154,351.71192189079625
26,57.9495946204007,"[1.3086526632302966, 0.3616802364562499]",[0.4901874  0.12700902],[5.26661187e+00 1.26703388e-03],[0. 0.],119.8991892408014,126.89352569138781
27,101.70055636444623,"[0.5160292750471717, 0.9244638183443359]",[0.41965254 0.1671419 ],[0.31866904 3.17432611],[0. 0.],207.40111272889246,214.4198894021484
28,125.07740694368891,"[1.338047749908532, 0.33816398875922343]",[0.84718857 0.55935964],[1.15867924e+00 7.09339414e-06],[0. 0.],254.15481388737783,261.1160917340618
29,58.360181261585545,"[2.890331139343277, 0.30251557722033723]",[0.44483203 0.13191237],[0.05829302 5.40048745],[0. 0.],120.72036252317109,127.68164036985507
30,154.5142596238028,"[4.188084700961772, 0.3357576378944293]",[0.01529027 0.0001    ],[ 26.27686416 111.31280025],[0. 0.],313.0285192476056,320.0391823194703
31,70.59917171747885,"[0.12338043869863502, 0.2891254925853963]",[0.37686662 0.04697938],[0.86084136 7.02797476],[0. 0.],145.1983434349577,152.1844663216388
32,148.40199592331751,"[3.918598703588245, 0.5387484684972577]",[0.8950637 0.9999   ],[3.50132027e-13 3.90075013e-01],[0. 0.],300.80399184663503,307.8065082677245
33,49.967538030021856,"[4.202059712281771, 0.4821324951390943]",[0.69035799 0.10355548],[0.53418234 3.1651391 ],[0. 0.],103.93507606004371,110.96998185297312
