participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,68.4390680965527,"[4.843890182796901, 0.4505652192806518, 0.6114070145159295, 1.1276385716009083]",[1.82053793 0.04056225 0.9999     4.9999    ],[0.08579742 0.48807534],[0. 0.],144.8781361931054,158.83388709773214
2,39.8663886991428,"[1.3945719263773628, 0.6956547937049775, 0.3121098623471088, 2.7782707711516457]",[2.11666727e+00 1.40016052e-01 1.00000000e-04 2.63410453e+00],[0.99848678 0.52843557],[0. 0.],87.7327773982856,101.75410354201506
3,170.87395966916054,"[4.664797008948748, 0.5279806770853901, 0.6285219221799149, 2.7797483300447237]",[2.93707209e+00 9.70494264e-01 1.00000000e-04 1.00355938e+00],[0.99997938 0.99636286],[0. 0.],349.7479193383211,363.801634322981
4,169.21108744424117,"[4.571846454708122, 0.7537888749838405, 0.0004544453076868931, 0.1422635935033801]",[0.30819743 0.9999     0.61558903 4.9999    ],[0.11552305 0.79579401],[0. 0.],346.42217488848235,360.47588987314225
5,167.38365972873993,"[2.5291179756902555, 0.6386061215815044, 0.7872799752218498, 4.985743180936192]",[1.00753097 0.171836   0.16105677 0.77590915],[0.94852275 1.07434651],[0. 0.],342.76731945747986,356.7723522996588
6,101.89070791975358,"[3.682901128501667, 0.4062919320881321, 0.23706732553365348, 1.9338201079831099]",[1.66464151e+00 3.32781413e-02 1.00000000e-04 1.71330444e+00],[0.49377378 0.8819513 ],[0. 0.],211.78141583950716,225.80274198323661
7,154.26141570474178,"[0.8582634137179942, 0.05171578058541469, 0.030530402202810177, 1.6274044074477705]",[1.04424159 0.01282013 0.9999     4.9999    ],[0.52751573 0.05437351],[0. 0.],316.52283140948356,330.56038475599547
8,166.55144129036432,"[1.4534868605656117, 0.5519411681160997, 0.875526035061134, 1.3711830468427442]",[0.60512239 0.59186889 0.50335491 0.48042926],[1.09927189 1.16242815],[0. 0.],341.10288258072865,355.1079154229076
9,164.0896193579426,"[2.0463667229701232, 0.8721642480396133, 0.4543532484578627, 2.6787206183801753]",[1.64563525e-03 1.70003889e-01 1.00000000e-04 3.28585905e-03],[ 60.28858404 296.67036067],[0. 0.],336.1792387158852,350.20056485961464
10,167.26540925929567,"[1.4444624400911075, 0.4307558800721477, 0.8077047553640975, 0.02556254816476048]",[0.18380735 0.58867474 0.9999     4.9999    ],[0.05416082 0.69075919],[0. 0.],342.53081851859133,356.50306429195354
