participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,67.96852303476702,"[0.25759216489278186, 0.8091799510094352, -32.15943458898387]",[2.69321718 0.08713297 2.28343657],[0.19470079 0.34976246],[0. 0.],141.93704606953403,152.4038592480041
2,45.03047401410893,"[3.9987626384804584, 0.9083074814804959, 98.96332737116603]",[3.87357028 0.11721599 4.77715012],[0.18857516 0.11004823],[0. 0.],96.06094802821787,106.57694263601495
3,169.67014947916792,"[2.8845423960398198, 0.4061651775448344, 58.937864420700606]",[4.99990000e+00 6.00775931e-04 1.15766899e+01],[0.04078906 0.04322203],[0. 0.],345.34029895833584,355.8805851968308
4,168.42939535340855,"[3.5727545140351458, 0.9909628152349271, -7.2574396043696225]",[ 4.99990000e+00  1.02833299e-03 -2.89746988e+00],[0.49860273 0.50087267],[0. 0.],342.8587907068171,353.39907694531206
5,168.3903015554803,"[4.37764371510396, 0.5073674669255863, -10.283480822545627]",[   0.10012115    0.55103148 -100.        ],[2.83766718 1.53732914],[0. 0.],342.7806031109606,353.2843777425948
6,104.58641726241214,"[0.4555699758554454, 0.000427317824210058, -42.44764904096849]",[2.72467784 0.09689901 1.2977685 ],[0.09624696 0.17657946],[0. 0.],215.17283452482428,225.68882913262138
7,154.5113718729687,"[3.474993461748957, 0.41467437753479325, -26.382199780267925]",[ 5.82328753e-01  4.29876980e-02 -1.00000000e+02],[1.65155831 0.55233922],[0. 0.],315.0227437459374,325.55090875582135
8,168.83045419522364,"[2.6179344593035045, 0.18471995304227568, -10.204972857253708]",[ 1.9724844   0.02170146 12.50672001],[0.03440807 0.07841691],[0. 0.],343.6609083904473,354.1646830220815
9,165.8365120643191,"[2.277472575538433, 0.13262185384926212, 47.94488311376196]",[3.66660655e-01 2.78175094e-02 1.00000000e+02],[-0.83415362 -0.23899522],[0. 0.],337.6730241286382,348.1890187364353
10,166.77403805276506,"[3.1904122557688477, 0.18537686266161, -45.24411259084995]",[  0.0871669    0.9999     -63.53758233],[0.16851858 0.29647144],[0. 0.],339.54807610553013,350.0272604355518
11,146.83258776982984,"[4.1888588801717574, 0.39431022785441844, -28.487190490532683]",[ 1.89956958  0.02481678 -3.82787013],[0.32451484 0.15223896],[0. 0.],299.6651755396597,310.1811701474568
12,165.72920947014967,"[2.3039750942523587, 0.4012418161490991, 57.16030515873297]",[ 0.59782926  0.2460471  21.59346397],[-0.35329641 -0.00477086],[0. 0.],337.45841894029934,347.9252321187694
13,168.37385890409666,"[3.365021026428421, 0.9182476733534243, -53.64678751443488]",[1.83680503 0.04738286 8.55127304],[0.09945365 0.14266621],[0. 0.],342.74771780819333,353.30007649758744
14,139.98432390427934,"[2.1406239739683173, 0.3584657621380092, 13.020515598401246]",[3.12992597 0.00871553 3.85329164],[0.20399138 0.11922085],[0. 0.],285.96864780855867,296.5330305621454
15,161.94920510502502,"[0.6201807151686023, 0.37484118541009287, 37.25941846093761]",[ 0.91319658  0.07535049 17.15372313],[ 0.07837272 -0.15985008],[0. 0.],329.89841021005003,340.30259063345545
16,29.310791321338584,"[1.971655850682424, 0.006782364744947505, 49.520357546094914]",[3.85888642e+00 2.34680259e-02 2.37179030e+01],[-0.01193517  0.06590243],[0. 0.],64.62158264267717,75.12535727431136
17,159.19703459823398,"[4.384526338892287, 0.6208306005366544, -84.96592363689727]",[ 3.25185704e-01  5.10249305e-02 -1.00000000e+02],[1.01888071 1.43652736],[0. 0.],324.39406919646797,334.8108812174824
18,168.89098419733483,"[2.8550042558146065, 0.26285616717607374, -13.154818385385141]",[4.99990000e+00 6.26718060e-04 8.06125192e+00],[0.05513677 0.05397298],[0. 0.],343.78196839466966,354.29796300246676
19,166.86860380017444,"[3.4851578502460563, 0.6445395819292025, 30.10959195395145]",[3.41253827e+00 1.00000000e-04 1.00000000e+02],[-0.11641443 -0.12980317],[0. 0.],339.7372076003489,350.253202208146
20,46.225035173905894,"[1.614428985349842, 0.6773572830349418, 14.54345190734962]",[1.72177857e+00 2.19616651e-02 1.00000000e+02],[-0.90080816 -0.16833679],[0. 0.],98.45007034781179,108.92925467783343
21,163.85030361703224,"[3.4662539724769146, 0.8255881949438821, 37.913461293042246]",[ 4.99990000e+00  1.51918036e-03 -1.34881034e+01],[0.57645513 0.57742928],[0. 0.],333.7006072340645,344.17979156408614
22,155.5407917835,"[1.033193640151584, 0.41364589458253775, 1.6243896234669393]",[2.12491255 0.04642302 6.21020136],[0.13667473 0.22079677],[0. 0.],317.081583567,327.5483967454701
23,147.25896086396037,"[2.4368094493528827, 0.12284154384754446, 0.9763542575481381]",[6.80648323e-01 2.14679887e-02 1.00000000e+02],[-1.30926864 -0.21272926],[0. 0.],300.51792172792074,310.9723125283927
24,160.2503344196264,"[3.3086203338429603, 0.7447685791122058, -6.967968958422816]",[ 4.68552013e+00  1.99539742e-03 -5.70978354e+00],[0.87827175 0.87230384],[0. 0.],326.5006688392528,336.95505963972477
25,170.10998260933965,"[1.9350578458630174, 0.06733775243291384, -69.41905804505355]",[ 1.61286085e+00  1.00000000e-04 -6.63360677e+01],[0.15415697 0.2044419 ],[0. 0.],346.2199652186793,356.7359598264764
26,61.44919316090018,"[2.365906505103726, 0.2976152167008658, 15.478648359761266]",[ 3.75764107e+00  2.55046500e-03 -1.85920492e+01],[0.38137184 0.27181632],[0. 0.],128.89838632180036,139.38989099767997
27,102.86188289619972,"[3.5405250957527485, 0.39746175927866706, -10.315564852143694]",[2.6475225  0.11184927 5.06432752],[0.13896962 0.23948577],[0. 0.],211.72376579239943,222.25193080228337
28,126.92102225963178,"[0.9604756751470684, 0.5542006669020321, -54.03852889733969]",[3.37680776 0.01339769 7.64849837],[0.16074894 0.07927172],[0. 0.],259.8420445192636,270.28396128928955
29,60.3982866571874,"[3.031164752553098, 0.45177890038622287, -29.77357175124658]",[  1.91821737   0.0275713  -20.87427079],[0.19517491 0.44251638],[0. 0.],126.7965733143748,137.23849008440078
30,155.36308870740552,"[3.538411080850782, 0.550630608193326, -52.03745756604394]",[4.9999000e+00 4.5671719e-04 2.1447895e+00],[0.13674542 0.14244058],[0. 0.],316.72617741481105,327.24217202260814
31,72.36784875349237,"[3.664597253174282, 0.7770589443878767, 8.1985069886843]",[ 2.74037332  0.03865656 16.38183837],[-0.07337795  0.10406708],[0. 0.],150.73569750698474,161.21488183700637
32,162.20904639249997,"[4.14132715666177, 0.2568693624202491, 16.324038268669867]",[ 3.29629252e+00  3.67312800e-03 -1.71595290e+01],[2.0979268  2.09968367],[0. 0.],330.41809278499994,340.92186741663414
33,53.17477568879526,"[0.29988542640771665, 0.7275283913084913, 45.74709835752779]",[1.15866965e+00 3.66819101e-02 1.00000000e+02],[-1.5429893  -0.83253109],[0. 0.],112.34955137759052,122.90191006698464
34,160.09548272933196,"[2.8319740769661657, 0.7686709373788293, 17.116526144454113]",[3.48290072e+00 4.50557440e-03 5.77289526e+00],[0.07687963 0.10829962],[0. 0.],326.1909654586639,336.6453562591359
35,169.8370880329381,"[3.5509023280119165, 0.6902119528160601, -20.673719248962257]",[   0.19779657    0.21577191 -100.        ],[0.39803276 0.57267227],[0. 0.],345.6741760658762,356.20234107576016
36,121.08364768085895,"[3.9535140747332282, 0.029487181765603766, -68.35476699785744]",[ 1.6380135e+00  8.3217425e-03 -1.0000000e+02],[0.58360758 0.86385475],[0. 0.],248.1672953617179,258.6954603716018
37,162.70655256600006,"[4.582146988923789, 0.12032091452652313, 50.84868459288768]",[ 0.70465822  0.01714715 12.95323636],[-0.04525356  0.04848311],[0. 0.],331.4131051320001,341.7918616744326
38,167.8839898807695,"[1.282115293165841, 0.052230726022798234, 94.04340226246427]",[3.69831154e+00 1.00000000e-04 1.00000000e+02],[-0.56613559 -0.56945793],[0. 0.],341.767979761539,352.24716409156065
39,162.61340305566117,"[0.6290838428273593, 0.6027367574507111, -0.5926345374599293]",[ 3.69406659  0.00687934 -6.66169595],[0.62382291 0.62526207],[0. 0.],331.22680611132233,341.74280071911943
40,81.07556756386958,"[3.030337814621561, 0.1864506678533596, 52.55261904174159]",[4.99990000e+00 1.99935217e-03 2.41367612e+00],[0.1950279  0.20918822],[0. 0.],168.15113512773917,178.64263980361878
41,143.608024895287,"[3.6298444014615354, 0.5408410105724866, 25.949405189440554]",[3.55159152e+00 1.00000000e-04 1.00000000e+02],[-0.20387603 -0.17482269],[0. 0.],293.216049790574,303.7075544664536
42,166.88139915220765,"[3.113983262340259, 0.20586835809889928, -23.23730222741122]",[1.49020875e-01 4.72765025e-02 1.00000000e+02],[-4.33017989 -0.47242021],[0. 0.],339.7627983044153,350.29096331429923
43,153.40517291060493,"[1.0263751010930169, 0.9469252628462489, 73.96617769272919]",[1.94817    0.24586449 5.53482242],[0.08983642 0.14821526],[0. 0.],312.81034582120986,323.31412045284407
44,165.49849686601863,"[4.382480620458742, 0.7688534568262815, -60.59581893700028]",[   0.24206082    0.62029668 -100.        ],[1.38045287 0.25459421],[0. 0.],336.99699373203725,347.4638069105073
45,164.57859298993537,"[2.222358656018412, 0.9935048487713135, -3.923767505890183]",[ 0.51456538  0.32671281 14.99821613],[0.09012036 0.09699747],[0. 0.],335.15718597987075,345.5739980008852
46,124.21775912375709,"[1.931569191687248, 0.8426004157589223, -70.95531212213405]",[3.1403439  0.01709099 4.03430211],[0.14817029 0.06820097],[0. 0.],254.43551824751418,264.93929287914835
47,167.50761073708858,"[3.1543626433615835, 0.6612912412184606, 84.03124442478872]",[ 0.70462032  0.9999     10.23143892],[0.09613051 0.11164967],[0. 0.],341.01522147417717,351.5555077126721
48,167.4858121928498,"[1.474781756804219, 0.9879908822988275, -52.116809263953016]",[ 5.21901486e-02  4.76690899e-01 -1.00000000e+02],[0.85848483 1.90816609],[0. 0.],340.9716243856996,351.4753990173338
49,164.89816540987633,"[1.923672556003121, 0.5604159050769578, -77.90129138651814]",[   0.21685322    0.33891515 -100.        ],[0.2054646  0.54064264],[0. 0.],335.79633081975265,346.26314399822274
50,102.93715211728298,"[4.646537458999195, 0.24975177726292325, -2.4453710342280317]",[6.57945569e-01 3.60099899e-02 1.00000000e+02],[-4.24335334 -0.6213537 ],[0. 0.],211.87430423456595,222.4145904730609
51,126.05372080691376,"[0.7154584054753875, 0.7650713759485289, 9.843923346514359]",[2.29499862 0.06205425 4.79377342],[0.18095733 0.29899953],[0. 0.],258.1074416138275,268.5866259438492
52,147.56271393679262,"[4.051047034433314, 0.4565893134916944, -12.565248170036341]",[ 2.7350871   0.01143094 -2.3261259 ],[0.29324016 0.34062945],[0. 0.],301.12542787358524,311.41346476044856
53,170.1758353691536,"[0.25961789076166497, 0.2269783403355823, -3.7725652456116023]",[  0.09043321   0.98559439 -40.06887809],[0.69028588 0.10113297],[0. 0.],346.3516707383072,356.8676653461043
54,159.26001698589587,"[4.098271652731508, 0.8151898709735094, -71.5820689571899]",[0.86511605 0.9999     1.87488751],[0.04345502 0.11201539],[0. 0.],324.52003397179175,334.86024608679065
55,166.31068047040574,"[1.2055164602910902, 0.08372385636501821, 81.87470985542308]",[1.82180461 0.05268793 6.39155997],[0.14873843 0.11126361],[0. 0.],338.6213609408115,349.0881741192816
56,166.57488723876526,"[4.383647874685667, 0.7699356294567737, 37.334018289795694]",[ 1.228531    0.21090843 35.46291469],[ 0.02938901 -0.09711036],[0. 0.],339.1497744775305,349.6657690853276
57,137.98851606880112,"[3.842215865593499, 0.19193270599101647, 98.82173916468125]",[1.00014522e+00 3.53979400e-02 1.00000000e+02],[-0.55732514 -0.06479468],[0. 0.],281.97703213760224,292.48080676923644
58,162.57575039091188,"[3.3316262223857778, 0.12511290610428502, 6.56515177817613]",[2.46145838e+00 1.00000000e-04 1.00000000e+02],[-0.00131197 -0.02458203],[0. 0.],331.15150078182376,341.5429961969006
59,73.44347250398556,"[3.31632924248756, 0.579523314461549, 43.05786672225588]",[3.60679099 0.02722617 8.35639491],[0.16225773 0.08921762],[0. 0.],152.88694500797112,163.43930369736523
60,164.4927301413174,"[1.0604166929146903, 0.6025818657958726, 5.539224371097902]",[ 0.93513883  0.9999     -3.2774234 ],[0.17006952 0.1383952 ],[0. 0.],334.9854602826348,345.4522734611048
61,153.22847037653688,"[3.2382061611349457, 0.6734769424819804, 23.60578306313799]",[2.21828257 0.10100574 5.70423548],[0.19966092 0.1346324 ],[0. 0.],312.45694075307375,322.9851057629577
62,108.5381850754361,"[1.5550129428050836, 0.6604076108900624, 32.55047634131117]",[4.13442660e-01 3.00192774e-02 1.00000000e+02],[-2.48913608 -0.53254188],[0. 0.],223.0763701508722,233.07452653066832
63,163.01663975424015,"[3.0243791422286836, 0.27768606515430616, 15.960143972261022]",[4.99990000e+00 1.54696269e-03 7.68787635e+00],[0.06737126 0.06287041],[0. 0.],332.0332795084803,342.51246383850196
64,167.7888204421297,"[4.551980210459572, 0.5947336177980888, 52.28274250679567]",[2.86577869e-02 9.99900000e-01 1.00000000e+02],[-0.18293216 -3.49104304],[0. 0.],341.5776408842594,352.06914556013896
65,155.6332419736552,"[0.4465933875746261, 0.9010180320571729, -28.78741228439374]",[1.88261758 0.06068749 2.88707624],[0.20793201 0.12571053],[0. 0.],317.2664839473104,327.79464895719434
66,166.87904475791126,"[0.6527995081470115, 0.9495979028145987, -17.68291167821107]",[0.87770128 0.64202859 3.09057996],[0.07835732 0.49704419],[0. 0.],339.7580895158225,350.28625452570645
67,161.94008777518096,"[0.32383127998430306, 0.4203403439923833, -3.2523564284927033]",[1.61745514 0.17847384 0.2894189 ],[0.10432681 0.21664633],[0. 0.],329.8801755503619,340.396170158159
68,166.86490915164683,"[2.2219283593841554, 0.5191331709268286, -17.460311800155793]",[  0.58939038   0.07566105 -24.4715456 ],[0.54746248 0.30080745],[0. 0.],339.72981830329365,350.22132297917324
69,173.09813329826227,"[4.5078398212979085, 0.36225881487760975, -18.08434785080604]",[ 1.31314888e-02  9.99900000e-01 -1.00000000e+02],[ 0.43646688 15.74950201],[0. 0.],352.19626659652454,362.7606493501113
70,159.71358392398935,"[2.2694126058273607, 0.34136111666606367, -58.28018456310038]",[ 7.81811533e-01  2.63705156e-02 -1.00000000e+02],[1.8618686  1.47485694],[0. 0.],325.4271678479787,335.9431624557758
71,160.9560189656256,"[0.8663154840482329, 0.41611906284504707, 38.95041759844875]",[3.41905810e-01 6.50042499e-02 1.00000000e+02],[-0.17752292 -1.30744864],[0. 0.],327.9120379312512,338.40354260713076
72,169.30790139059116,"[4.241260886866217, 0.9679322869361371, 60.233273647993485]",[1.1268455  0.46431487 8.08642309],[0.04109386 0.18513593],[0. 0.],344.6158027811823,355.14396779106625
73,145.99255543410862,"[0.817565511294605, 0.5386550060431262, 26.30579704216332]",[4.99990000e+00 3.16477915e-04 1.24597682e+01],[0.03378472 0.04021527],[0. 0.],297.98511086821725,308.48888549985145
74,162.63493720899476,"[4.62715816994466, 0.9931270954717843, 48.3649943188195]",[2.47417475e+00 3.98715594e-04 1.00000000e+02],[-1.57102999 -1.59427731],[0. 0.],331.2698744179895,341.6740548413949
75,59.17870101319567,"[0.8865821958765021, 0.47344359032382616, 8.386832726582426]",[2.95414426 0.02538493 1.25739785],[0.31591272 0.12227915],[0. 0.],124.35740202639134,134.86117665802553
76,131.17972853643144,"[1.6894456713597374, 0.9372998503118173, 19.767837596405386]",[2.45063275 0.06045771 4.82649667],[0.10926127 0.25170831],[0. 0.],268.3594570728629,278.83864140288455
77,170.26819797809918,"[4.715639776068593, 0.07860514705308697, 69.58792234051629]",[3.15848197e+00 8.69697633e-03 1.03634872e+01],[0.08359769 0.08093489],[0. 0.],346.53639595619836,357.0766821946933
78,110.91108528245425,"[2.2932077776552693, 0.8249005834022555, 18.369252891165473]",[ 3.40985061  0.03760878 10.21237646],[0.13274467 0.07058428],[0. 0.],227.8221705649085,238.30135489493014
79,108.54685665878281,"[3.1272297502940716, 0.41658052994275563, 50.340417091381056]",[4.49510211 0.00683433 1.62770199],[0.21819683 0.24233366],[0. 0.],223.09371331756563,233.5356300875916
80,165.40520883402408,"[0.7546012829822284, 0.29972763474656394, 24.126738584591465]",[ 0.86540452  0.10790464 12.04522414],[0.02286562 0.07306512],[0. 0.],336.81041766804816,347.2398083238427
81,166.65272289202863,"[4.334547614654026, 0.06955288256612564, 64.8322011438234]",[ 4.09509916e-02  7.61917746e-01 -1.00000000e+02],[1.8586788  1.81809324],[0. 0.],339.30544578405727,349.75983658452924
82,153.24521316773752,"[2.276661844081078, 0.8495831193470348, -79.04097342091987]",[2.79808504 0.04362767 6.74617878],[0.1490557 0.0977569],[0. 0.],312.49042633547504,323.03071257397
83,161.29618383451805,"[4.468275515808196, 0.8812653048838782, 20.41674839925041]",[6.18908584e-01 1.92944941e-02 1.00000000e+02],[-1.9161594  -0.18183586],[0. 0.],328.5923676690361,339.12053267892003
84,65.6231008583943,"[3.107140327394505, 0.3194471893028905, -72.58096944831436]",[2.64727272 0.04431306 3.57188077],[0.16806614 0.3776476 ],[0. 0.],137.2462017167886,147.77436672667253
85,173.05308895979982,"[2.8172746029937774, 0.06708237177449908, 12.773801612570495]",[1.5012436  0.0151073  7.31934758],[0.11999455 0.08762403],[0. 0.],352.10617791959965,362.6705606731864
86,170.10542358011588,"[0.890040330312454, 0.17245665641812472, 23.137466498993746]",[ 0.2304613   0.43073587 32.17182689],[ 0.07475675 -0.21707   ],[0. 0.],346.21084716023176,356.72684176802886
87,147.66756912365497,"[4.845039463932623, 0.3466381247921278, 36.03809824420259]",[ 4.99990000e+00  2.57834828e-04 -1.06703892e+00],[0.10318718 0.09727148],[0. 0.],301.33513824730994,311.7393186707153
88,168.69349471814033,"[3.6899574002364264, 0.30953580869772784, -38.763483391066124]",[0.54159672 0.9999     0.97054408],[0.1658288 0.5461278],[0. 0.],343.38698943628066,353.89076406791486
89,169.994218413891,"[1.5029989325473792, 0.17570788435849108, 30.449207010714133]",[ 0.40174165  0.13401719 20.50584842],[-0.22565125 -0.01650322],[0. 0.],345.988436827782,356.5044314355791
90,70.7870880349967,"[3.628848238975211, 0.03161306977169449, 14.825358217408606]",[2.97030751 0.03171271 1.45949835],[0.1598743 0.300474 ],[0. 0.],147.5741760699934,158.10234107987733
91,169.35329905228303,"[4.035558690346681, 0.0669183681651362, -74.96681353061545]",[ 1.6618901   0.02892956 17.10323285],[0.04984273 0.0633028 ],[0. 0.],344.70659810456607,355.21037273620027
92,168.8913621582597,"[3.133046221215395, 0.907655862670667, -25.79588095193573]",[ 0.23524091  0.9999     -7.73605821],[0.51267452 0.12725042],[0. 0.],343.7827243165194,354.2864989481536
93,146.45165503774447,"[4.346703216316562, 0.7559359076242301, 8.89872139137664]",[ 3.44466704e+00  2.14480888e-03 -2.03057436e+00],[0.14487224 0.18223418],[0. 0.],298.90331007548895,309.40708470712315
94,170.12156159990963,"[0.3294730450568467, 0.3381293666711983, -0.8101122851489606]",[0.5114298  0.4270328  9.18802095],[0.09393575 0.27708907],[0. 0.],346.24312319981925,356.75911780761635
95,169.91914127341497,"[1.372900990938409, 0.043329468071585414, -34.207027125833164]",[ 1.3252232   0.03045867 14.54862276],[0.12265986 0.09315266],[0. 0.],345.83828254682993,356.354277154627
96,154.7268991420434,"[2.934863226208625, 0.25726477666497405, -55.048363999455454]",[ 4.50067847e-02  9.99900000e-01 -1.00000000e+02],[52.18746694 15.97977977],[0. 0.],315.4537982840868,325.70209949070005
97,162.1629974724217,"[2.316944073640856, 0.7302565571074725, 8.406668291447318]",[1.43756218 0.18216149 7.88767454],[0.22909495 0.19107571],[0. 0.],330.3259949448434,340.76791171486934
98,137.86419111807464,"[2.9348304096003757, 0.4621110029371175, -51.33644915034636]",[ 5.91994817e-01  2.43461426e-02 -1.00000000e+02],[0.99319741 2.24518665],[0. 0.],281.7283822361493,292.1951954146193
99,170.2235695124711,"[3.5485039702777588, 0.03912022817420068, -19.668856731144245]",[1.55745877e+00 1.00000000e-04 1.00000000e+02],[-0.24002376 -0.20541205],[0. 0.],346.4471390249422,356.9631336327393
100,69.69690314225959,"[1.94625282003437, 0.18518216226718348, -22.652716202655327]",[2.73328745 0.25122839 4.7620016 ],[0.15171005 0.13826992],[0. 0.],145.39380628451917,155.9219712944031
