participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,69.5595710312424,"[3.908447135082257, 0.5881717851252198, 1.2741659925591133]",[2.31255962e+00 4.10244173e-02 1.00000000e-04],[0.39603216 0.63630319],[0. 0.],145.1191420624848,155.58595524095486
2,42.50848605638234,"[2.164089525289222, 0.9126767883512711, 0.7235494624760592]",[2.24531453 0.16983713 0.12550107],[1.43511491 1.05996222],[0. 0.],91.01697211276468,101.53296672056176
3,172.25078377520416,"[2.4266758128161237, 0.13126129610858314, 6.727130848148028]",[0.07384903 0.9999     9.9999    ],[10.82088108 10.41088308],[0. 0.],350.5015675504083,361.04185378890327
4,170.8188416119022,"[0.40434000071743204, 0.7409646006935653, 3.3814422354156246]",[5.18643536e-01 2.06269043e-01 1.00000000e-04],[0.39437161 0.65407584],[0. 0.],347.6376832238044,358.17796946229936
5,170.23436751176666,"[1.7350303361432473, 0.9742800390411916, 0.04191718023491008]",[0.01881297 0.17845402 9.9999    ],[56.75319323 56.38337317],[0. 0.],346.4687350235333,356.9725096551675
6,104.51643186469958,"[2.3576267885877265, 0.317398147404704, 6.478502683846269]",[1.36571471 0.03554504 0.05098649],[1.53144353 2.0971581 ],[0. 0.],215.03286372939917,225.54885833719626
7,155.38909644627373,"[1.1278431808703933, 0.7128323234784879, 0.9659169368085667]",[1.40747808e+00 1.58678547e-02 1.00000000e-04],[0.63999196 0.37245135],[0. 0.],316.77819289254745,327.3063579024314
8,169.4320908790655,"[4.7215105071436, 0.856888389333086, 1.0848328611354048]",[3.79957381e-03 2.34654262e-02 9.99990000e+00],[393.21715506 410.40855294],[0. 0.],344.864181758131,355.3679563897652
9,166.91622831382801,"[3.7150619424629348, 0.6329824394862937, 1.2844938268116948]",[4.39550135e-03 1.92156387e-02 9.99990000e+00],[440.24376565 492.40531938],[0. 0.],339.83245662765603,350.3484512354531
10,168.7677061254024,"[1.6113625042153001, 0.054032346788701176, 3.388925394136834]",[2.59606852e-01 2.44348660e-01 1.00000000e-04],[0.3023072  0.73035816],[0. 0.],343.5354122508048,354.0145965808265
11,147.95877952441538,"[0.9054400776321493, 0.2674937362281932, 9.713445471875904]",[1.17153058e+00 9.99900000e-01 1.00000000e-04],[0.78006102 0.35011302],[0. 0.],301.91755904883075,312.43355365662785
12,168.43476586225339,"[1.9266594892835651, 0.21296309058895221, 6.314111500205463]",[0.0001 0.0001 0.0001],[0.51354808 0.51029956],[0. 0.],342.86953172450677,353.33634490297686
13,168.59108491542807,"[3.2139656121027405, 0.8079496803299923, 1.4799948233048525]",[8.56006742e-01 3.54847242e-02 1.00000000e-04],[0.36702401 0.65035456],[0. 0.],343.18216983085614,353.73452852025025
14,139.28044866620803,"[4.448454758285365, 0.24740043398840758, 0.7413827580748452]",[1.72187228 0.01663128 0.01331482],[1.40457436 0.98360842],[0. 0.],284.56089733241606,295.1252800860028
15,163.46677936812569,"[3.5686485487099713, 0.834117409910476, 1.855121124323135]",[2.54781725e-03 1.39015348e-02 9.99990000e+00],[614.02406926 542.54206289],[0. 0.],332.93355873625137,343.33773915965673
16,31.4355682725859,"[1.5728506067847647, 0.3963401366237928, 8.20213074424512]",[0.02407835 0.03510052 9.9999    ],[ 93.16656529 285.17443517],[0. 0.],68.8711365451718,79.37491117680598
17,158.41070310224362,"[3.098283504258713, 0.7981528843139983, 7.287563498541852]",[0.28101222 0.06168801 0.62757023],[10.5091857  10.82915036],[0. 0.],322.82140620448723,333.23821822550167
18,169.56288700836438,"[3.1564325831841225, 0.32904579555057417, 5.583797520137867]",[0.58281515 0.05242106 0.09340994],[2.42374055 2.08109578],[0. 0.],345.12577401672877,355.64176862452587
19,168.4365828063411,"[3.5654695240295693, 0.23073318461852887, 2.649795280132617]",[1.97016205e-03 1.00000000e-04 9.99990000e+00],[1400.65915344 1045.04996854],[0. 0.],342.8731656126822,353.3891602204793
20,47.034355557378795,"[3.438953756205778, 0.24043565066229058, 0.8493777129686543]",[0.02998361 0.05255884 9.9999    ],[101.48829344 190.61115432],[0. 0.],100.06871111475759,110.54789544477924
21,168.9286603176594,"[3.709093495547562, 0.676848059113579, 4.153521490456263]",[1.05970465e+00 1.73717615e-03 1.00000000e-04],[0.54168299 0.48076234],[0. 0.],343.8573206353188,354.33650496534045
22,157.06844654334728,"[2.5585015360922716, 0.23083287427508078, 0.1531623210473106]",[1.00812205 0.04134093 0.03614886],[1.18457357 1.56488121],[0. 0.],320.13689308669456,330.60370626516465
23,138.2634119766763,"[2.3031311411505513, 0.1336090504185999, 2.2923263480504117]",[6.22709802e-03 2.42277609e-02 9.99990000e+00],[313.85760788 408.44698527],[0. 0.],282.5268239533526,292.9812147538246
24,166.8808367397235,"[0.4138965372304919, 0.5922964660802741, 6.611822855361755]",[1.29325477e+00 2.60997929e-03 1.00000000e-04],[0.55747196 0.4671506 ],[0. 0.],339.761673479447,350.21606427991895
25,170.98722567369268,"[1.6306195896851243, 0.4042304288974309, 9.723214099571228]",[1.30367614e+00 1.18592403e-03 1.00000000e-04],[0.48832059 0.53464316],[0. 0.],347.97445134738535,358.49044595518245
26,59.867390844183966,"[4.043303807625417, 0.8775863132800479, 2.961802075227066]",[2.06953787 0.0190748  0.01254487],[1.29219073 0.72370379],[0. 0.],125.73478168836793,136.22628636424753
27,100.35782742959165,"[2.0019574754050278, 0.8537618651561338, 2.079893608343236]",[1.57370154 0.22425062 0.12862582],[0.88541897 1.21686362],[0. 0.],206.7156548591833,217.24381986906724
28,132.91438579848793,"[3.11454685308363, 0.06557645433019767, 0.01760059083265444]",[4.99990000e+00 1.24475442e-04 1.06296905e-04],[0.52031253 0.50653376],[0. 0.],271.82877159697586,282.2706883670018
29,58.2839332562891,"[2.7152575041788394, 0.3656296218562109, 4.377344697572488]",[1.93512917 0.10665076 0.04235625],[0.7099577 1.1145983],[0. 0.],122.5678665125782,133.0097832826042
30,154.55340679961472,"[0.013171233284825189, 0.29417336075890255, 1.0025907186860843]",[1.03552449 0.62518238 0.245598  ],[0.75028649 1.07232223],[0. 0.],315.10681359922944,325.62280820702654
31,68.24689002601706,"[1.4786416173396895, 0.8827328393468579, 5.663988462888645]",[0.01422656 0.03482539 9.9999    ],[141.29890166 287.38688388],[0. 0.],142.4937800520341,152.97296438205575
32,170.09112067519945,"[4.772687193072648, 0.756205942609617, 0.8263803149202665]",[2.71242212e-01 9.99900000e-01 1.00000000e-04],[0.35009202 0.39013602],[0. 0.],346.1822413503989,356.6860159820331
33,48.40353268545057,"[1.005261222625752, 0.5226618478443253, 3.694839997014942]",[0.03495458 0.08606646 9.9999    ],[ 73.59062543 116.55514115],[0. 0.],102.80706537090114,113.35942406029527
34,161.64618966153867,"[2.4926429504809935, 0.03718946896880167, 8.074140651964916]",[2.86967976e-03 1.00000000e-04 8.07911297e+00],[ 780.42245299 1155.61570972],[0. 0.],329.29237932307734,339.7467701235493
35,171.88956950648853,"[3.0473640422184984, 0.031598314408718596, 9.198647063109785]",[1.11129235e-03 3.69859957e-02 9.99990000e+00],[268.09618275 268.44731063],[0. 0.],349.77913901297705,360.307304022861
36,122.68786890032129,"[3.079475677695656, 0.817111884461373, 5.403721174173932]",[0.37020492 0.03092903 0.37458665],[10.27252434 12.7478058 ],[0. 0.],251.37573780064258,261.9039028105265
37,163.48292156500673,"[2.719289227430549, 0.602287162464892, 2.0678136556861832]",[2.11374195e-03 2.78560275e-02 9.99990000e+00],[343.13365948 349.10805544],[0. 0.],332.96584313001347,343.34459967244595
38,168.93572646013132,"[2.320178756664327, 0.165342253599232, 5.459378863306138]",[0.05300345 0.9999     9.9999    ],[10.24090308 10.68091408],[0. 0.],343.87145292026264,354.3506372502843
39,169.84559242811733,"[0.9525722223446635, 0.8968377110585928, 0.868514431727702]",[5.62447877e-01 2.58384797e-02 1.00000000e-04],[0.65857754 0.34701087],[0. 0.],345.69118485623466,356.20717946403175
40,82.32666610306347,"[2.601327667746652, 0.6717845150072104, 1.2626919218756674]",[2.4667930e+00 1.5607778e-02 1.0000000e-04],[0.44440303 0.66709775],[0. 0.],170.65333220612695,181.14483688200656
41,145.81610853856458,"[0.6889029926238024, 0.31451056366492836, 7.886573767906827]",[3.66031805e-03 1.05699336e-02 9.99990000e+00],[482.41686561 802.19637204],[0. 0.],297.63221707712916,308.12372175300874
42,168.5238278858913,"[2.6147486512297076, 0.3271514927200559, 9.397481110451672]",[3.23724166e-03 1.29960845e-02 9.99990000e+00],[559.32593756 658.8015141 ],[0. 0.],343.0476557717826,353.57582078166655
43,154.2214737013827,"[1.079990653712053, 0.5077838487026014, 7.227550621255551]",[0.99818805 0.87015934 0.47352591],[0.93435545 1.17834305],[0. 0.],314.4429474027654,324.9467220343996
44,168.42343976144792,"[0.006744574759893634, 0.8713640414224866, 3.520534425866362]",[4.42511152e-02 9.99900000e-01 1.00000000e-04],[0.68009302 0.30010302],[0. 0.],342.84687952289585,353.3136927013659
45,165.662176748272,"[1.9237350729952027, 0.9949998111870341, 2.082797975166164]",[0.0001 0.0001 0.0001],[0.51012414 0.51333482],[0. 0.],337.324353496544,347.74116551755844
46,126.3838569150945,"[2.3555206703363942, 0.5837988152417375, 5.113704908852844]",[1.50617199 0.01607331 0.02038895],[1.8530987  1.24033507],[0. 0.],258.767713830189,269.2714884618232
47,171.51948593679228,"[2.8501645502658763, 0.34391404397235137, 0.46972589301874673]",[0.14519136 0.9999     8.24791909],[8.48875498 8.63877998],[0. 0.],349.03897187358456,359.5792581120795
48,170.24593705675312,"[0.8158306330867783, 0.39864797488522585, 2.321198307860076]",[0.131704   0.9999     4.56123819],[5.24168637 4.82169637],[0. 0.],346.49187411350624,356.99564874514044
49,166.26639581806862,"[1.868634386038263, 0.0951742107741646, 7.4010478279642165]",[5.09852308e-01 9.99900000e-01 1.00000000e-04],[0.35012002 0.61012102],[0. 0.],338.53279163613723,348.9996048146073
50,93.62275761729445,"[2.6473521146098937, 0.7324962068623558, 0.03802633706960186]",[0.01721649 0.03763324 9.9999    ],[188.48233488 265.98756667],[0. 0.],193.2455152345889,203.78580147308386
51,114.47161329927445,"[3.7121287112470727, 0.9562109307541506, 5.508540289198428]",[1.30650389 0.07568856 0.11051758],[1.77520558 2.14549807],[0. 0.],234.9432265985489,245.42241092857054
52,149.21005296568345,"[3.700228612095584, 0.3373077922158598, 2.8876589127530696]",[9.15161875e-01 6.41396672e-01 1.00000000e-04],[0.27219625 0.73566072],[0. 0.],304.4201059313669,314.7081428182302
53,170.54799364610938,"[0.08742908327588807, 0.08879326793190234, 0.08011895524929402]",[0.0104425  0.05747713 9.9999    ],[174.57934807 174.15948474],[0. 0.],347.09598729221875,357.61198190001585
54,160.26123722229025,"[3.155562365139454, 0.5012067365829118, 7.485948409034718]",[0.23035905 0.9999     4.71383998],[5.04431743 5.37432042],[0. 0.],326.5224744445805,336.8626865595794
55,166.4627629429733,"[2.4192318550082805, 0.3708605927097248, 2.998864430045394]",[0.08138378 0.15015838 4.84259791],[32.93787457 32.62328244],[0. 0.],338.9255258859466,349.39233906441666
56,170.7560837975451,"[3.1654187794913327, 0.5456177245432324, 1.7886905221873772]",[5.80711438e-03 4.32081523e-02 9.99990000e+00],[231.13760751 230.46811568],[0. 0.],347.5121675950902,358.0281622028873
57,138.44451188457535,"[0.36871957277231054, 0.5915445868270336, 2.6158724198531615]",[0.01115964 0.02787035 9.9999    ],[298.96631828 357.05753174],[0. 0.],282.8890237691507,293.3927984007849
58,163.9418141336588,"[3.204762259235169, 0.9511298884955753, 5.446320837679699]",[0.0459225  0.49042536 9.9999    ],[20.62042189 20.97722091],[0. 0.],333.8836282673176,344.27512368239445
59,76.14374212371891,"[3.546348384207658, 0.6581561734392778, 7.896437137734783]",[1.83745844 0.02246163 0.01754615],[1.44440042 0.85381549],[0. 0.],158.28748424743782,168.83984293683193
