participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,68.86852685873868,"[4.844997702082135, 0.2937947395995858, 1.6388647472361098, 3.4239528297351685, 0.0013633441418970682]","[1.81945388e+00 4.80940424e-02 1.63886475e+00 3.42395283e+00
 1.36334414e-03]",[0.24188527 0.63077632],[0. 0.],141.73705371747735,148.71492916979074
2,45.155604715524994,"[0.1335341166511363, 0.5038951581185696, 10.612747632704563, 4.349710955171444, 6.28316132085227e-05]","[2.46317634e+00 9.83737895e-02 1.06127476e+01 4.34971096e+00
 6.28316132e-05]",[0.69623993 0.31876731],[0. 0.],94.31120943104999,101.32187250291472
3,171.2073553304938,"[2.8217742322655748, 0.6436285153741086, 12.142879758189567, 9.144862341244195, 0.0027783047281224496]","[1.00000000e-04 1.00000000e-04 1.21428798e+01 9.14486234e+00
 2.77830473e-03]",[0.00834173 0.00399569],[0. 0.],346.4147106609876,353.4415681533176
4,169.5437747885501,"[1.5137495112646318, 0.10341253849532941, 16.189188368161695, 3.054904813788604, 0.005694894891293698]","[4.99915589e-01 2.43251771e-01 1.61891884e+01 3.05490481e+00
 5.69489489e-03]",[0.39958912 0.65125518],[0. 0.],343.0875495771002,350.1144070694302
5,169.12791391959632,"[3.314210618619835, 0.035390324938691174, 13.476604672016395, 23.10975455299197, 0.009761470245011242]","[1.00000000e-04 1.00000000e-04 1.34766047e+01 2.31097546e+01
 9.76147025e-03]",[0.00772451 0.00420194],[0. 0.],342.25582783919265,349.2583442602821
6,103.22032468805706,"[2.2738900112429605, 0.9858842024231591, 7.486913544445421, 20.614363629479804, 0.009032939703687]","[1.68833911e+00 3.10093103e-02 7.48691354e+00 2.06143636e+01
 9.03293970e-03]",[0.26273303 0.66234955],[0. 0.],210.44064937611412,217.45131244797884
7,154.45056473033938,"[4.7906752697304364, 0.808225981836428, 15.25330521646684, 17.405833161650396, 0.006089445145768512]","[1.19678648e+00 1.29860391e-02 1.52533052e+01 1.74058332e+01
 6.08944515e-03]",[0.57492021 0.20698649],[0. 0.],312.90112946067876,319.9199061339347
8,169.1279135568106,"[2.5200238045172485, 0.041011687668329674, 13.879237568810886, 10.314455076712886, 0.005172705506235895]","[1.00000000e-04 1.00000000e-04 1.38792376e+01 1.03144551e+01
 5.17270551e-03]",[0.00708113 0.0044843 ],[0. 0.],342.2558271136212,349.25834353471066
9,169.82106109918195,"[1.6368781981544527, 0.6516185539353544, 19.312179472202534, 1.793272161398899, 0.006606314598347813]","[1.00000000e-04 1.00000000e-04 1.93121795e+01 1.79327216e+00
 6.60631460e-03]",[0.00633385 0.00491195],[0. 0.],343.6421221983639,350.6527852702286
10,167.42484354115905,"[1.263996506449762, 0.4932400385432817, 16.825956583953502, 1.2621869901486773, 0.005315088877193842]","[2.44505039e-01 2.80288029e-01 1.68259566e+01 1.26218699e+00
 5.31508888e-03]",[0.29926098 0.72681371],[0. 0.],338.8496870823181,345.8358099689992
11,167.0484712277469,"[1.7921513258494914, 0.4672615874715783, 2.091295441010222, 12.167033849456717, 0.00738544084374168]","[1.00000000e-04 1.00000000e-04 2.09129544e+00 1.21670338e+01
 7.38544084e-03]",[0.00770896 0.00413631],[0. 0.],338.0969424554938,345.07481790780713
12,167.16335506437179,"[3.489050976439356, 0.3242468533731491, 18.29051568555863, 21.330083808187908, 0.004056449454306931]","[8.20143213e-01 4.63290870e-02 1.82905157e+01 2.13300838e+01
 4.05644945e-03]",[0.36335591 0.64842617],[0. 0.],338.32671012874357,345.361615921673
13,139.0844869978158,"[4.651045076391996, 0.7215120289040229, 12.463695149828645, 6.920212167096281, 0.0018418563868433247]","[2.09537021e+00 7.01533165e-03 1.24636951e+01 6.92021217e+00
 1.84185639e-03]",[0.44918114 0.15279707],[0. 0.],282.1689739956316,289.21189583135606
