participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,67.67595168415453,"[0.7685714130944153, 0.1291957905280113, 0.5265685699863875, 0.47369548236257353, 6.431007717175857, 0.6247794989399942]","[4.99990000e+00 2.18503334e-03 9.04574297e-01 3.65218924e-01
 2.36459430e+00 2.79895880e-01]",[0.5 0.5],[2.3569035  2.29522219],147.35190336830905,168.28552972524918
2,59.45421777654617,"[0.5848869749119201, 0.29776474697171273, 0.14740304283688088, 0.849005484226047, 2.8367178334552463, 0.7671298794339032]",[ 0.1378687   0.20907318  0.9999      0.09104953 23.9999      0.86163224],[0.5 0.5],[4.53437479 3.22841417],130.90843555309235,151.9404247686865
3,167.86671873189474,"[3.364312845700264, 0.3769844802815832, 0.995377622245035, 0.7285030664127088, 21.598436702662006, 0.42777718615830024]",[ 4.83328337  0.27383554  0.60621865  0.47133541 21.59532449  0.76912776],[0.5 0.5],[2.63398488 2.02036628],347.73343746378947,368.8140099407794
4,169.21025533844278,"[1.501012926991063, 0.4304093242709723, 0.5260200594146043, 0.9540042351299426, 1.5194527331475463, 0.01863682373947786]",[0.14549606 0.76719607 0.9999     0.36724369 1.61834975 0.1142533 ],[0.5 0.5],[4.57628736 4.16286572],350.42051067688556,371.50108315387547
5,169.00831829911274,"[2.9606758514935416, 0.6926038123291596, 0.3903239558577203, 0.6498530630217523, 1.894215086106095, 0.4499164992039845]",[4.96970004 0.61357713 0.42780249 0.51368243 2.50516666 0.84004241],[0.5 0.5],[1.72927041 3.62756409],350.0166365982255,371.02418586149383
6,98.17600915169788,"[2.198164731699085, 0.02375814301287991, 0.6204308854605652, 0.9816010328881738, 15.163507679635211, 0.5367034901746275]",[ 3.60767925  0.0296293   0.15415637  0.47521068 23.99989995  0.11638441],[0.5 0.5],[10.01499846  4.38806466],208.35201830339577,229.38400751898993
7,152.41668198249351,"[2.4369643358223523, 0.13706306189680578, 0.6278060468172673, 0.47527471623973305, 1.536069304880904, 0.0005843343681808745]","[2.78229631e+00 1.00000000e-04 3.92924692e-01 7.99273413e-01
 2.39999000e+01 4.11365743e-01]",[0.5 0.5],[23.66264557 23.84396987],316.83336396498703,337.8896939847549
8,166.02896662640842,"[1.491752534783304, 0.40507695227844037, 0.14997399746643747, 0.7294766802445118, 2.8757974279080165, 0.7640237316662113]","[2.84896392e+00 1.00000000e-04 4.88949594e-01 1.00000000e-04
 3.00000000e-01 3.12487099e-01]",[0.5 0.5],[0.33294026 0.3466529 ],344.05793325281684,365.0654825160852
9,165.4905753147258,"[2.5752646732549267, 0.23129544030371216, 0.24352748432265123, 0.24529230427415302, 23.55767640931044, 0.014295318173948824]",[ 3.20422301  0.03406605  0.55628965  0.52227535 23.78890057  0.73019097],[0.5 0.5],[4.61510389 4.10171199],342.9811506294516,364.01313984504577
10,159.2498864885228,"[2.722916486815643, 0.6966359210308237, 0.47205128032819205, 0.3994385760373442, 0.7202336162580628, 0.19747651022832224]","[3.12593492e+00 1.06646615e-04 9.99900000e-01 1.28160860e-02
 3.00000000e-01 2.83478839e-01]",[0.5 0.5],[0.34433422 0.33517979],330.4997729770456,351.4581416370889
