participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,70.10261053977423,"[3.901635729033333, 0.12412040477711701, 0.13052762219943548, 18.74354691572936, 0.8208085309785835]","[1.08170730e+00 8.61682524e-01 2.41129367e-03 2.39999000e+01
 3.27871933e-01]",[1.16442925e-05 8.14401283e-01],[22.77346424 15.07129604],150.20522107954847,167.64990971033188
2,39.04352276492005,"[2.481971891069844, 0.33503509682280636, 0.13263388159538636, 1.4112100839664816, 0.9660248463043608]",[4.9252039  0.19810955 0.04871366 1.4250702  0.95920423],[3.50536768e+00 1.32291953e-03],[4.15973549 3.12219553],88.0870455298401,105.6137032095019
3,169.5312006987517,"[4.638125073420068, 0.36777575177651267, 0.3644987057088711, 3.8580653795306152, 0.978340270867326]","[4.04464803e+00 5.71666729e-01 1.00000000e-04 3.33987327e+00
 1.50200463e-01]",[0.01777375 0.61731047],[3.34363838 3.33896287],349.0624013975034,366.6295451283283
4,168.88525245196595,"[4.607151318413145, 0.2584108890091164, 0.27363589108711783, 8.90567777195875, 0.5504232070860355]","[1.43995037e-01 1.00000000e-04 8.04035977e-01 2.66075773e+00
 1.11668833e-01]",[36.26313529 91.65895704],[4.6300248  4.21016542],347.7705049039319,365.3376486347568
5,169.49481219697452,"[4.95430816355265, 0.8172228098045746, 0.5248868489692282, 11.82319084358616, 0.33884686423221133]","[4.99990000e+00 1.00000000e-04 1.00000000e-04 1.18231908e+01
 3.33333262e-01]",[76.95421345 42.26965916],[11.72362177 11.71863514],348.98962439394904,366.49591544667265
6,100.82891995623515,"[4.986714217795986, 0.6152185071663498, 0.0531364217925411, 10.729742786341259, 0.9891736056639144]","[7.04394150e-01 1.00000000e-04 6.93821951e-02 3.00000000e-01
 3.13592207e-01]",[ 15.72130232 130.99834762],[4.56778199 4.67330437],211.6578399124703,229.18449759213212
7,154.87555641830656,"[2.26671554629029, 0.3378627779075421, 0.8336058029014903, 0.9434891012259572, 0.8826493954018811]","[6.63287587e-01 1.00000000e-04 2.31225184e-02 3.00000000e-01
 4.63673701e-01]",[109.82842194  25.07270669],[3.44215852 3.45861486],319.7511128366131,337.298054519753
8,167.51509831513874,"[2.6342920330707584, 0.5447175455139992, 0.02591874202304106, 9.290501367907419, 0.6562053299832593]","[3.04193060e+00 9.99900000e-01 1.00000000e-04 6.41738570e+00
 1.48953996e-01]",[3.90000e-01 4.10024e-05],[6.38521564 6.38019434],345.0301966302775,362.5364876830011
9,166.55219566790652,"[1.99734790772564, 0.8021456837749971, 0.2210226810931114, 23.95804609817202, 0.03232335774017226]","[3.30741974e-01 9.99900000e-01 1.82939374e-02 2.39999000e+01
 6.35222852e-01]",[3.90000006e-01 4.10000003e-05],[7.26673784 5.23780492],343.10439133581303,360.63104901547484
10,159.09034282900717,"[1.709718608423392, 0.7603457467142197, 0.10151631377960049, 7.960794852929491, 0.12032049906127508]","[3.26916180e+00 9.99900000e-01 1.00000000e-04 3.00000000e-01
 2.83230282e-01]",[2.40000000e-01 6.80061009e-05],[0.34158731 0.33300289],328.18068565801434,345.6459928747171
11,146.1791350376234,"[4.643315209600129, 0.45834859136897294, 0.9852866024012363, 4.694177816123185, 0.7599295716556582]","[1.90743452e+00 1.00000000e-04 3.53609515e-03 4.18599778e+00
 3.42894562e-01]",[113.9627611   24.57225098],[3.81765725 3.93716556],302.3582700752468,319.88492775490863
12,152.25292518145562,"[1.1478030188931052, 0.20953709961249622, 0.5244841800122375, 15.953620715393328, 0.05759186157205036]","[3.33260166e+00 9.99900000e-01 1.00000000e-04 3.00000000e-01
 3.61288020e-01]",[7.50057000e-01 3.50027006e-09],[0.32900634 0.32107209],314.50585036291125,331.9505389936947
13,165.3007271006595,"[1.8862634529781401, 0.9838382030360728, 0.8693088217344768, 2.459335231570797, 0.696671437750059]","[4.99990000e+00 9.99900000e-01 1.13401089e-04 2.25511263e+00
 1.38986597e-01]",[2.70055005e-25 6.90078004e-01],[2.27450758 2.27245321],340.601454201319,358.1887186836425
14,135.7778800831153,"[2.72921809842599, 0.5958817236431012, 0.4279953909995216, 3.931106542603343, 0.6482475198433875]","[4.99989990e+00 6.29856422e-01 3.02772536e-04 2.90691600e+00
 2.86475605e-01]",[1.07774139 0.00450502],[2.88142035 2.89162819],281.5557601662306,299.1630647555418
15,163.31032482159677,"[4.610142690429852, 0.2720400719661738, 0.4938409480268788, 21.055724737419865, 0.4369178646385312]","[2.04073009e+00 9.99900000e-01 1.00000000e-04 1.51707043e+01
 6.74742132e-02]",[3.40044e-01 6.70000e-09],[15.00444106 15.04841872],336.62064964319353,353.9609503488692
16,30.40955459204204,"[2.0823435478264765, 0.4131459151329465, 0.7461757376146119, 13.106061900948124, 0.07250572779792618]","[1.82671083e+00 9.99900000e-01 1.84528935e-03 2.39999000e+01
 7.23359856e-02]",[6.70000000e-273 3.50027006e-001],[23.57833935 16.5654659 ],70.81910918408408,88.32540023680771
17,146.9132291415134,"[3.789343863326669, 0.5404912894057176, 0.5935806830882316, 19.68182324485714, 0.30842447278204477]",[ 0.83818988  0.9999      0.06470089 11.0082703   0.87344874],[5.50048003e-01 7.20054007e-17],[2.94600626 2.48993379],303.8264582830268,321.18781165138415
18,168.88546207845877,"[0.26315527934344374, 0.16363587379164554, 0.016908058227535203, 23.965743799958673, 0.5675008493336413]","[3.14304019e+00 4.45860733e-01 1.00000000e-04 3.00000000e-01
 2.70861753e-02]",[0.96240861 0.24322083],[0.35398284 0.36519071],347.77092415691754,365.29758183657935
19,166.27558410780838,"[4.165188166181976, 0.21898123839612083, 0.6067410219544133, 10.244801916605423, 0.4244406961541832]","[3.70889691e+00 3.06922263e-01 1.63687502e-04 2.80613309e+00
 8.81777437e-02]",[0.83189193 0.62157868],[2.83854232 2.84914403],342.55116821561677,360.0778258952786
20,43.47547323431723,"[2.3220713732495657, 0.5923602795051819, 0.47658600860730554, 5.286825214743457, 0.224349318114236]",[1.89242814 0.9999     0.03179264 3.52784073 0.22582037],[6.10089e-05 3.50000e-01],[3.44679073 2.54174888],96.95094646863446,114.4162536853372
21,168.39780303955354,"[3.6823089932359676, 0.08849267669693002, 0.0009370344134850579, 1.4293766420059006, 0.2055612981518162]","[3.65645675e+00 9.99900000e-01 1.00000000e-04 3.00000000e-01
 3.08221603e-02]",[7.50057007e-01 5.50048003e-17],[0.35301147 0.35320935],346.7956060791071,364.2609132958098
22,138.18496268091977,"[2.364193656646442, 0.4193761132407549, 0.5913567546694033, 17.62341445613918, 0.7688709218168575]","[9.74561191e-01 9.99900000e-01 4.26579500e-03 2.39999000e+01
 9.36395192e-01]",[2.70055e-01 8.20067e-09],[17.24106559 13.64816432],286.36992536183953,303.814613992623
23,126.78046250538682,"[1.044300406362082, 0.23939941611228166, 0.21330091495155645, 9.810573853205486, 0.5137669938700459]",[ 1.01581929  0.75501376  0.04774317 16.59255857  0.52113148],[0.00068357 0.4391944 ],[4.25130807 3.46359487],263.56092501077364,280.9849096782269
24,167.02508197569824,"[4.132332332457582, 0.5916864389237929, 0.170797533882366, 9.120105595887397, 0.4397579936934494]","[5.40559118e-03 1.00000000e-04 1.00001503e-04 3.00000000e-01
 9.99900000e-01]",[84.95767134 37.22288942],[0.33554934 0.3276778 ],344.0501639513965,361.47414861884977
25,170.70501267386078,"[4.4027683767940395, 0.2515886555402741, 0.0076544341694531805, 19.16969821272897, 0.538623390997539]","[4.39353866e+00 1.00000000e-04 7.65443417e-03 1.91696982e+01
 1.66666634e-01]",[39.33363597 83.29693644],[9.20088498 8.78089101],351.41002534772156,368.93668302738337
26,56.68475536870436,"[3.5253441112912127, 0.5013181326968468, 0.09492031678207025, 7.31739764497169, 0.5092038030059335]",[1.03126883 0.31570917 0.2257312  0.3        0.8063861 ],[2.33656410e+00 7.44777956e-08],[3.49826372 5.78543947],123.36951073740872,140.85535186387472
27,100.00441257194025,"[0.8571921280577874, 0.5483114088570861, 0.03957339934219094, 1.9070827699863067, 0.4796562997067521]",[ 0.45344196  0.2497718   0.08249599 23.9999      0.52727665],[0.15312865 2.13401567],[3.68771746 2.49268027],210.0088251438805,227.5557668270204
28,120.41669220943146,"[1.3667950066353116, 0.4744778674382622, 0.8841069320642347, 3.378379484391803, 0.29914905600448577]","[1.94078828e+00 5.66283706e-01 1.69723250e-04 2.39999000e+01
 5.15209514e-01]",[1.14404747e+00 5.77241340e-06],[23.4369072  23.72003019],250.83338441886292,268.2365790355729
29,58.28390876379584,"[1.077006338175184, 0.935105422392906, 0.6092235277815102, 9.746298889052456, 0.4087167921416692]","[3.27281888e-01 1.00000000e-04 2.30508207e-01 1.50483862e+01
 8.54272162e-01]",[  6.6454398  146.05496719],[2.73270994 3.10468397],126.56781752759169,143.97101214430165
30,153.07018955851706,"[3.0732502978361778, 0.20521170359395355, 0.38982151542543964, 5.9235499371229166, 0.6098455079399476]","[4.19200692e+00 1.23622719e-01 1.00000000e-04 4.71245486e+00
 2.97401057e-01]",[0.1058485 5.2311816],[4.69802718 4.68981288],316.1403791170341,333.6670367966959
31,66.13952224617103,"[0.32339240591002355, 0.22890211575718042, 0.15313242697204116, 0.42068252951491736, 0.45337033219930184]","[2.37597374e+00 1.00000000e-04 1.27586610e-02 2.40252112e+00
 7.46107162e-01]",[12.83511581 73.08894581],[2.54048933 2.36798433],142.27904449234205,159.7443517090448
32,147.14884062405804,"[4.276261315806958, 0.8578403068872661, 0.3847034613389283, 6.593488106626922, 0.43492882426012697]","[3.89856431e+00 9.99900000e-01 1.00000000e-04 3.00000000e-01
 4.26919305e-01]",[3.50027006e-13 3.90075006e-01],[0.32279238 0.31778049],304.2976812481161,321.8039723008397
33,45.51751123966296,"[1.3687771083601334, 0.11567198510200413, 0.051767430858639406, 5.496311110385119, 0.6871933985687217]","[3.94062255e+00 1.00000000e-04 1.00000000e-04 3.00000000e-01
 9.43185995e-01]",[ 7.37921952 78.32364053],[0.30096204 0.33800199],101.03502247932592,118.62228696164945
34,143.8978749339886,"[3.9354167917542724, 0.691490221965843, 0.06859294514102839, 20.66586739246863, 0.13869049198292405]","[4.12114096e+00 8.39402442e-01 1.06672476e-02 2.12407753e+01
 2.46113150e-01]",[4.84267848e-22 8.04820362e-01],[9.49354908 6.38492747],297.7957498679772,315.21973453543046
