participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,68.10163188972419,"[1.2155188765053921, 0.8814808261874337, 17.8554896751902, 0.05836845347270247]",[1.06858664 0.17982177 0.3        0.79788812],[0.09564752 3.28733058],[1.75292656 1.85221738],144.20326377944838,158.15901468407512
2,36.40664371847208,"[3.5648174050807517, 0.010385771460415695, 4.463657052488977, 0.35405581523726376]",[4.83984786 0.21419475 2.92010523 0.94571096],[3.23965697e+00 7.96988431e-04],[3.3701292  2.94410946],80.81328743694417,94.83461358067362
3,168.67645045723054,"[4.317831442133111, 0.0320155207329857, 4.059788796360705, 0.9489896798032894]",[3.15056028e+00 1.68174957e-04 3.00000000e-01 2.53706056e-01],[82.11283178 39.42365827],[0.37219987 0.3585907 ],345.3529009144611,359.406615899121
4,169.3005522463735,"[2.0021932826487805, 0.8760575240344932, 1.432729193260485, 0.6472356090200251]",[1.24272054 0.00722453 0.3        0.2746037 ],[17.05361554 42.83468051],[1.92168261 2.09339968],346.601104492747,360.65481947740693
5,167.68170340345048,"[4.9824994462247645, 0.6025791183957393, 3.345177407353651, 0.5402392374286303]",[4.99990000e+00 1.00000000e-04 3.22052904e+00 3.79310388e-01],[76.73956555 41.78176091],[3.22252092 3.22387423],343.36340680690097,357.3684396490799
6,102.43400633564153,"[2.1591931645471076, 0.9306184103486737, 2.2911716314274226, 0.9129121724656775]",[1.16144233e-01 1.00000000e-04 2.30383229e+00 8.09923513e-01],[ 15.83844668 130.51049816],[2.31997445 2.34882332],212.86801267128305,226.8893388150125
7,153.5731367157518,"[1.4232310051301897, 0.44434640274342413, 1.3675837427826443, 0.915797963253307]",[0.57554442 0.03620628 0.3        0.41934745],[12.46679064  2.31795962],[3.25582032 3.85280987],315.1462734315036,329.1838267780155
8,168.88999576967853,"[3.119873254168382, 0.40785138815812283, 14.317315231405912, 0.8801748954574872]",[8.56252282e-02 2.42962388e-02 2.39999000e+01 1.00000000e-04],[12.87277031  7.40084563],[4.60840264 3.78919399],345.77999153935707,359.785024381536
9,166.78839805663367,"[1.4850911225952044, 0.04319195131398719, 13.876789881001601, 0.7957558802043538]",[1.09388050e-01 1.62714785e-02 2.39999000e+01 1.00000000e-04],[16.5219026  11.80894017],[7.89956709 5.71000677],341.57679611326733,355.59812225699676
10,158.03596863777577,"[3.1502260321926956, 0.08832138385892621, 10.5184798161013, 0.7266198359766486]",[0.68377641 0.9999     0.3        0.84221232],[2.40000000e-01 6.80061009e-05],[2.31228007 3.32790379],324.07193727555153,338.04418304891374
11,145.85792016092373,"[4.900756619963708, 0.695889809445854, 0.9807094227868325, 0.8959452614240226]",[3.15096285e+00 1.00000000e-04 9.13645289e+00 1.86414168e-01],[113.47491165  24.68939535],[9.03379318 9.09626146],299.71584032184745,313.7371664655769
12,153.97993018967244,"[2.7311228778358454, 0.28999496057172136, 4.137752363801117, 0.2893057966914536]",[0.77468335 0.9999     0.3        0.9999    ],[7.50057000e-01 3.50027006e-09],[1.32905839 2.01798409],315.9598603793449,329.91561128397166
13,166.7737422959888,"[4.11592963393091, 0.2545836933531207, 11.17802912499949, 0.1690326516790916]",[3.23090085e+00 1.24693263e-03 2.39998999e+01 1.40485652e-01],[31.46596455 81.28501937],[21.52711964 20.58556847],341.5474845919776,355.6172961778364
14,139.61241366173925,"[3.472645736507466, 0.2631488404948242, 3.4153991903901804, 0.6709473982033561]",[5.53222231e-02 1.00000000e-04 2.39999000e+01 8.58503977e-01],[104.36094688  29.34871087],[23.65912656 23.80113943],287.2248273234785,301.3106709949275
15,161.5598819129382,"[2.152764648082777, 0.6079221102405, 21.694625401202824, 0.9006138375704866]",[1.09087892e-01 4.25956570e-01 2.39999000e+01 1.00000000e-04],[0.78046813 0.23772834],[2.58035401 1.98380468],331.1197638258764,344.9920043904169
16,30.907031909091756,"[2.7347611702424452, 0.3180421973708199, 7.8980239095471365, 0.6450856207979471]",[4.37508690e-01 3.93325765e-02 1.56418105e+01 1.00000000e-04],[0.04472931 8.87897201],[11.03699099  2.54961451],69.81406381818351,83.81909666036242
17,146.25392366340435,"[2.5899147954565382, 0.03473218000180942, 20.700876478367363, 0.2975913839357486]",[0.83537325 0.9999     0.3        0.9999    ],[5.50048003e-01 7.20054007e-17],[2.2598622 2.250983 ],300.5078473268087,314.3969300214946
18,168.9274232691614,"[0.7922628164044806, 0.27623457613885455, 11.177002393724319, 0.3087408890024178]",[7.15722935e-02 1.00000000e-04 3.00000000e-01 1.74986291e-01],[85.27589424 37.20813599],[0.36597723 0.35345036],345.8548465383228,359.87617268205224
19,162.9522878207113,"[2.026259024556881, 0.9709636246013957, 7.311125820672435, 0.9059233622782865]",[3.89632828e+00 4.67920304e-04 3.44809351e+00 1.46122407e-01],[44.30220925 65.59597241],[3.51959799 3.52342738],333.9045756414226,347.925901785152
20,46.03317863983757,"[0.2729104841073702, 0.08366248842847777, 23.161586344500968, 0.9963827958444686]",[ 0.25937769  0.05187937 23.9999      0.09124539],[1.38612164 6.10623113],[12.74284846  2.39946369],100.06635727967515,114.03860305303733
21,167.70459903115858,"[2.1498757872617533, 0.051446174273369595, 1.9156615831400259, 0.18218395879610508]",[3.02807465e+00 1.81845121e-04 3.00000000e-01 1.00000000e-04],[80.2777036  39.63744189],[0.39513507 0.39731342],343.40919806231716,357.38144383567936
