participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,69.08722764492654,"[1.6741125672632684, 0.20850654507862892, 0.8071306969642846, 1.504214512942387, 0.7173369193081728]",[2.41902809 0.03688396 0.34084836 0.3        0.96738447],[0.40130753 0.63587425],[1.64693034 2.36206867],148.17445528985309,165.61914392063653
2,128.70655953359963,"[2.863336603144517, 0.4768884189837416, 0.4479835728559546, 16.905646906308732, 0.32195914023803096]","[4.39074097e+00 6.46297420e-04 5.98560640e-01 2.39999000e+01
 7.48531805e-01]",[0.51381588 0.48854304],[6.3682116 3.8498086],267.41311906719926,284.93977674686107
3,170.99848015913344,"[4.867119990999219, 0.5542967696162024, 0.024318268602745313, 2.640200868935558, 0.045844221681137276]","[4.51534697e+00 5.54296769e-01 1.00000000e-04 2.58801075e+00
 1.59583836e-01]",[0.7378245  0.35720043],[2.60119036 2.5962178 ],351.9969603182669,369.5641040490918
4,165.56387307055442,"[0.9350714977597805, 0.3622873076886551, 0.10920184750263146, 4.803350180810751, 0.22691395244704665]","[4.99990000e+00 9.12659602e-01 3.75460358e-03 2.00479929e+00
 5.55494527e-01]",[0.4062301 0.695008 ],[2.44580915 2.45523818],341.12774614110884,358.69488987193375
5,170.20183206838462,"[1.035943484584072, 0.8510516632975994, 0.19130251280670274, 17.56513142067193, 0.9429626813734038]","[3.01453129e-01 1.00000000e-04 2.30644708e-01 2.39999000e+01
 8.24535125e-01]",[0.50193005 0.49779305],[2.25454923 2.83062294],350.40366413676924,367.90995518949285
6,98.3720493037708,"[1.7998764104527825, 0.8970800010157481, 0.19775912104103788, 13.371087491210831, 0.6114043002966261]",[1.60081641 0.1091487  0.06470583 0.3        0.52400654],[0.34976436 0.65482218],[4.59047912 4.63521582],206.7440986075416,224.2707562872034
7,155.03716530044275,"[4.6000612910111185, 0.766039729438838, 0.22316004793767258, 17.581743579178127, 0.29114920896700786]",[ 4.91949009  0.83138927  0.07838491 18.17805872  0.33162741],[0.64809999 0.18655036],[3.17464254 3.80763169],320.0743306008855,337.6212722840254
8,168.21033563196872,"[0.9077013358518012, 0.7648023511522122, 0.39061058176049146, 18.473096875877587, 0.8269495674017795]","[3.17916367e+00 4.20607671e-04 2.32470236e-02 2.19675547e+01
 7.71857623e-01]",[0.50721602 0.49025378],[4.51773576 3.99934565],346.42067126393744,363.92696231666105
9,165.04078215004614,"[3.5906499587703555, 0.2451009136539289, 0.20743704993350395, 18.903985429931925, 0.802023055449747]","[3.36482489e+00 2.47644935e-04 3.31949346e-02 1.96821297e+01
 7.06349129e-01]",[0.50376018 0.49379552],[4.51438033 4.09011492],340.0815643000923,357.6082219797541
10,168.75371699876263,"[1.849854463116323, 0.6888252906083326, 0.0515787143309654, 0.6010119630944901, 0.5193940416518764]","[2.22911366e+00 2.57380332e-01 1.00000000e-04 3.00000000e-01
 4.38131355e-02]",[0.30100893 0.72891595],[0.34158731 0.33300289],347.50743399752525,364.972741214228
11,142.15912318974475,"[2.572297936584354, 0.38088560782330405, 0.431724254719541, 1.3768688063444579, 0.15356797813987214]","[4.73045568e+00 9.99900000e-01 2.07186311e-04 3.90071039e+00
 3.80154658e-01]",[0.779961 0.350013],[3.88258573 3.8884659 ],294.3182463794895,311.8449040591513
12,165.43375316676438,"[1.318910824903342, 0.45148999161607334, 0.8926949649042112, 1.485505040159667, 0.018173860547306804]","[4.99990000e+00 6.85865493e-04 3.41343849e-03 3.00000000e-01
 5.05872167e-01]",[0.51200998 0.48662545],[1.11897319 0.88987354],340.86750633352875,358.3121949643122
13,167.14191260243027,"[4.261942768149732, 0.9935200417843002, 0.6328894261746018, 4.2217315630907475, 0.5901155036515316]","[4.88217123e+00 3.38346142e-04 1.00000000e-04 9.38205706e-01
 4.45197286e-01]",[0.49473882 0.50716515],[0.96894747 0.97247246],344.28382520486053,361.87108968718405
14,138.2451669660186,"[2.98721609753565, 0.7723795742578683, 0.34079924760482433, 14.301506513308997, 0.12441848596288699]",[ 1.87421722  0.01702812  0.02355496 14.23965849  0.68812386],[0.66147945 0.35250001],[2.77849158 3.57157522],286.4903339320372,304.0976385213484
15,161.95718927453734,"[1.8831975360658384, 0.6784243640749854, 0.014430013573177131, 14.151967626208146, 0.4360844774588968]","[3.55383692e+00 1.54072691e-02 3.20572663e-03 1.41597599e+01
 4.33794192e-01]",[0.36787952 0.61146508],[10.15643866 11.06455239],333.9143785490747,351.25467925475033
16,28.057065124033276,"[0.5498837622439929, 0.3607624759623318, 0.8400124707310476, 23.477964557073804, 0.8167184918586575]","[3.30906210e+00 1.00000000e-04 1.97088240e-02 2.34716823e+01
 1.71590054e-02]",[0.50025587 0.49599349],[19.4464961   2.83034061],66.11413024806654,83.62042130079018
17,156.75305623845352,"[4.095526198458046, 0.05304164798748347, 0.651124582767714, 5.809669051958381, 0.6308195036051737]","[2.63046076e+00 1.00000000e-04 9.49860676e-02 9.31824520e+00
 7.17914256e-01]",[0.49845845 0.5022118 ],[3.02021235 2.48882193],323.50611247690705,340.8674658452644
18,168.95505244001782,"[2.3902723413524165, 0.4917270860310028, 0.5130083057798573, 5.890166692156214, 0.926793450010162]","[3.20347957e+00 1.00000000e-04 1.00000000e-04 3.00000000e-01
 1.00000000e-04]",[0.50201732 0.49803186],[0.35398284 0.36519071],347.91010488003565,365.43676255969746
19,166.89172710537898,"[1.4169641926991718, 0.38703267738213576, 0.5396330684983393, 5.640821764837545, 0.8873730271304944]","[5.06815249e-01 1.00000000e-04 5.66473534e-01 1.94825241e+01
 7.09800855e-01]",[0.49758294 0.50171688],[3.44968985 4.31469066],343.78345421075795,361.31011189041976
20,43.63080999468395,"[3.283460476377273, 0.04256037365983169, 0.7619134645150224, 23.83985074962733, 0.7051827722300917]","[4.74366708e+00 1.25394811e-04 2.73320268e-01 2.39678188e+01
 5.01684844e-02]",[0.50025558 0.49524884],[2.95235377 2.61132002],97.2616199893679,114.72692720607064
21,168.33648173832862,"[4.523200414134849, 0.49443922450521705, 0.586099758347228, 11.402648583044819, 0.2054647435718633]",[ 4.88473302  0.81089695  0.17799426 11.38051481  0.01831438],[0.71936563 0.53065816],[5.03475725 4.54980928],346.67296347665723,364.13827069335997
22,155.85239070479054,"[1.7798191263838565, 0.6300924993981892, 0.38120536970217744, 2.0860453707560747, 0.3904373617732673]","[4.34458660e+00 1.11137407e-03 1.00000000e-04 8.12362890e-01
 5.44777394e-01]",[0.4844187 0.525904 ],[0.82682307 0.83817663],321.7047814095811,339.1494700403645
23,131.09481293875442,"[0.8267851621118217, 0.5196910895344955, 0.026071337757071014, 0.924351750433321, 0.7710385500320444]","[3.34110820e+00 6.89651692e-03 7.63629564e-02 1.93950001e+01
 2.56130965e-01]",[0.55518605 0.37919458],[3.6934546  3.48888219],272.18962587750883,289.6136105449621
24,165.6896844722128,"[0.16147444295623947, 0.299000337326623, 0.18591553171648623, 1.25126023339943, 0.7925590642727778]",[2.15045617 0.01633773 0.00500516 0.3        0.50452462],[0.64463898 0.36092476],[1.6097511  1.36659469],341.3793689444256,358.8033536118789
25,169.31244621273692,"[0.9560670398217159, 0.27452382693566785, 0.23987076633586554, 1.1889269360449624, 0.7116305642873287]","[3.70963151e+00 1.00000000e-04 4.48550874e-01 2.48222750e+00
 8.79794792e-01]",[0.49794607 0.50206709],[2.25842895 2.5351384 ],348.62489242547383,366.15155010513564
26,60.27628736330849,"[0.3951979116843755, 0.42151601975554254, 0.16033293777846405, 18.871552557810222, 0.6624455663317982]","[3.35865787e+00 4.38174293e-03 9.18772855e-03 1.88905775e+01
 7.13286450e-01]",[0.59389526 0.47301641],[ 5.55628855 14.77659161],130.55257472661697,148.038415853083
27,99.58796699380656,"[2.894726920842215, 0.4187576646082737, 0.9383909597917115, 8.507905429163376, 0.6103142924099499]","[4.59551594e+00 7.90304956e-01 1.00000000e-04 1.55139091e+00
 8.19089859e-01]",[0.27349138 0.45895522],[1.5544709  1.57104066],209.17593398761312,226.722875670753
28,129.6167781131792,"[3.798482455514146, 0.36820978417285466, 0.8771648938593191, 5.547464494269614, 0.20939623335968083]","[3.79031526e+00 8.64976151e-04 4.32666128e-03 1.31445533e+01
 6.38747110e-01]",[0.52138173 0.48837773],[ 8.1783515  10.16105592],269.2335562263584,286.6367508430684
29,57.52861564154682,"[4.37567984306243, 0.5727723785132922, 0.4969693119706359, 9.655411446231232, 0.6156975091365423]","[4.63731259e+00 6.07173137e-03 1.00000000e-04 1.59265558e+00
 9.33060468e-01]",[0.48405598 0.62197169],[1.59500587 1.61713212],125.05723128309364,142.4604258998036
30,152.70404280047836,"[2.0163483989070223, 0.40554263498775583, 0.8647818107941947, 5.2004191080997355, 0.7557448605406007]","[3.69600993e+00 9.99900000e-01 3.23051663e-04 4.29668850e+00
 3.47758266e-01]",[0.369995 0.670013],[4.2608453  4.24676388],315.4080856009567,332.93474328061853
31,66.95946514774413,"[2.6362781356673333, 0.781896826758797, 0.42050117865272696, 14.440628299488795, 0.21060219270868435]",[1.57388208 0.9999     0.01813471 5.00181629 0.07900149],[0.679995 0.409983],[4.4231315  2.39262792],143.91893029548825,161.384237512191
32,168.94293336003057,"[2.45176205739073, 0.1793102294883158, 0.07901344184749597, 5.306784166374884, 0.5965496937886267]",[0.19115199 0.9999     0.9999     1.69417587 0.34076285],[0.349992 0.390036],[1.6350081 2.4238652],347.88586672006113,365.39215777278474
