participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,65.06482171638304,"[0.5833270891579265, 0.29509433213872466, 13.389520601764858, 0.5096476181855154]",[4.16532996 0.00740499 2.24288022 0.10267461],[0.67392609 0.66935071],[2.24571592 2.16633218],138.12964343276607,152.0853943373928
2,40.89977886047142,"[1.7947148209730834, 0.67211516512955, 4.7711758958474215, 0.3165400042630946]",[4.9648396  0.0258555  2.98872588 0.93362315],[0.66655851 0.32366063],[4.01042925 3.08821453],89.79955772094284,103.8208838646723
3,171.86910485927598,"[3.3734997225227135, 0.07437063617433069, 7.629015263862383, 0.5635781234745073]",[1.51806149e+00 1.00000000e-04 3.00000000e-01 1.00000000e-04],[0.28480804 0.28060028],[0.34313398 0.33500053],351.73820971855196,365.79192470321186
4,169.67596576202175,"[4.780571822011624, 0.14874207214810914, 22.33311995133026, 0.9042362629076186]",[ 4.9999      0.04155686 23.9999      0.11513996],[0.35031317 0.6601652 ],[3.31414205 3.04727016],347.3519315240435,361.4056465087034
5,169.482432772806,"[3.7591484685481977, 0.22339636858625977, 4.636311671459268, 0.7510580641875855]",[4.17127476e-02 9.29621633e-01 3.00000000e-01 1.00000000e-04],[0.67643147 0.40380828],[2.66480032 1.45267719],346.964865545612,360.9698983877909
6,99.63391558119571,"[0.07853562776788263, 0.8034965796153422, 21.017278995869383, 0.0316037490729198]",[3.24334761e+00 1.49274085e-03 2.10738601e+01 2.69310576e-01],[0.60117541 0.63031861],[20.03333005 16.79738183],207.26783116239142,221.28915730612087
7,151.54150523608777,"[2.155365802569507, 0.40558626354725447, 4.2498121856469915, 0.7000402041559398]",[4.99990000e+00 8.10960442e-04 2.11286749e+00 7.51697908e-01],[0.76446995 0.75115485],[2.32829814 2.24550655],311.08301047217554,325.12056381868746
8,168.62611478360907,"[0.6623760031612735, 0.021793017251894933, 21.014673675190863, 0.7301672680475101]",[3.21841959e+00 6.17940738e-04 2.10459933e+01 7.68160601e-01],[0.1735299 0.155308 ],[19.91051874 19.62371727],345.25222956721814,359.2572624093971
9,165.56239460950866,"[0.13276919121739536, 0.340676065768463, 18.004143622473492, 0.37452929874862373]",[3.11731098e+00 5.18113170e-04 2.36716711e+01 6.95407932e-01],[0.29844634 0.28372533],[22.69682    22.20749842],339.1247892190173,353.14611536274674
10,165.5689248111841,"[2.259799555008175, 0.6237655827318905, 0.3426042538804787, 0.6175282522021839]",[0.30638727 0.9999     0.34146703 0.63967205],[0.240006 0.679993],[2.31228007 3.32790379],339.1378496223682,353.1100953957304
