participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,70.82132148556244,"[1.9976558524805914, 0.6107583469810093]",[1.99766445 0.61075946],[0.33846154 0.6526484 ],[0. 0.],145.64264297112487,152.62051842343826
2,129.52894521524547,"[1.7112744903812744, 0.7204007717452943]",[1.71128118 0.72040134],[0.65510791 0.32872727],[0. 0.],263.05789043049094,270.06855350235566
3,171.8766516070242,"[0.08062883070248378, 0.9115390092814464]",[0.08063281 0.91153908],[0.65578125 0.32682927],[0. 0.],347.7533032140484,354.78016070637835
4,169.96315850982884,"[0.5766369421790698, 0.4865269091053123]",[0.57663694 0.48652691],[0.33798165 0.65007042],[0. 0.],343.9263170196577,350.95317451198764
5,169.8212939724913,"[0.7393428700978467, 0.32906605069806855]",[1.00000000e-04 8.94590202e-01],[0.65838983 0.32530769],[0. 0.],343.6425879449826,350.6451043660721
6,115.04721003929713,"[1.6342429294946825, 0.38754024538833365]",[1.63425133 0.38754177],[0.33541667 0.65671642],[0. 0.],234.09442007859425,241.10508315045897
7,154.75778281344773,"[1.6240819879806765, 0.26035181998104867]",[1.07884669 0.50864926],[0.6547929  0.31716049],[0. 0.],313.51556562689547,320.5343423001514
8,169.82152426966292,"[0.2311033399606977, 0.7394986697068143]",[1.00000000e-04 8.63339202e-01],[0.65311927 0.32482014],[0. 0.],343.64304853932583,350.6455649604153
9,170.631956844302,"[0.013533124214034993, 0.6216343317703665]",[0.01353312 0.62163433],[0.64938775 0.32774834],[0. 0.],345.263913688604,352.27457676046873
10,168.17079766505617,"[0.30811253868507166, 0.12134542080588145]",[0.3081154  0.12134596],[0.32623932 0.66054264],[0. 0.],340.34159533011234,347.3277182167934
11,146.91257484966565,"[1.3381235225260064, 0.8803309771376486]",[1.33812352 0.88033098],[0.65227273 0.3430137 ],[0. 0.],297.8251496993313,304.835812771196
12,167.76015888737186,"[0.014835993057654161, 0.9663408714645202]",[0.01483599 0.96634087],[0.64625 0.33288],[0. 0.],339.5203177747437,346.4981932270571
13,168.47704485516087,"[0.7947350524440407, 0.2890779978521198]",[0.79473505 0.289078  ],[0.34707547 0.64527397],[0. 0.],340.95408971032174,347.98899550325115
14,155.65499561967795,"[1.2375735256414184, 0.9725026640929215]",[1.23757353 0.97250266],[0.6586875  0.32107527],[0. 0.],315.3099912393559,322.3529130750804
15,164.27640479591315,"[0.06559770434319102, 0.605310893671041]",[1.00000000e-04 6.52361143e-01],[0.33683453 0.64633663],[0. 0.],332.5528095918263,339.4889298740966
16,169.824906987261,"[0.06517752956585114, 0.5555584923298902]",[1.00000000e-04 5.77075678e-01],[0.64153846 0.3253617 ],[0. 0.],343.649813974522,350.65233039561144
17,159.82244101217034,"[0.7989700530739225, 0.2079041627740156]",[0.79897784 0.20790563],[0.33639175 0.65125   ],[0. 0.],323.6448820243407,330.58942337168367
18,169.6904942142676,"[0.3701028897095692, 0.6139703342166762]",[0.37010289 0.61397033],[0.64864662 0.32508621],[0. 0.],343.3809884285352,350.3916515003999
19,170.5149019928867,"[0.18728448455914823, 0.6986351762358496]",[1.00000000e-04 7.68819322e-01],[0.32713287 0.65811321],[0. 0.],345.0298039857734,352.0404670576381
20,171.59400579118474,"[0.199741345255824, 0.4516925019892608]",[0.0973601 0.482606 ],[0.60266667 0.33199134],[0. 0.],347.1880115823695,354.17413446905056
21,168.3883356764382,"[0.11480917041828327, 0.8549655954023222]",[0.11481791 0.85496585],[0.65103175 0.33783333],[0. 0.],340.7766713528764,347.7627942395575
