participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,69.90467607433854,"[0.6640783566768191, 0.9524812033718736, -16.896691906193496]",[0.1850857  0.02950159 0.00143747],[ 0.7697516  11.44890112],[0. 0.],145.80935214867708,156.27616532714714
2,39.976422552988055,"[2.3599684698477588, 0.9134906594374401, -48.61631376968525]",[1.06337059 0.13710352 0.0753907 ],[1.41128623 0.00821568],[0. 0.],85.95284510597611,96.46883971377319
3,170.15800346922606,"[3.0049977479302243, 0.28784467428016886, 2.694893470045926]",[0.28839748 0.33310904 6.31304605],[0.18331784 0.49905982],[0. 0.],346.3160069384521,356.8562931769471
4,169.8194979963545,"[3.7333449845591415, 0.917992297347903, -34.076988901529276]",[ 2.36475241e-02  5.21553577e-01 -1.00000000e+02],[ 0.57175347 10.52001659],[0. 0.],345.638995992709,356.17928223120396
5,168.39396058110077,"[0.3469178752544756, 0.6120299391943994, 83.7234286845351]",[ 0.22638637  0.46753136 12.06534412],[ 0.51518293 -0.55480853],[0. 0.],342.78792116220154,353.29169579383574
6,100.0954540676201,"[2.344389961373635, 0.1984964596946654, -9.399398764053714]",[  0.03336458   0.20688737 -10.19017427],[ 0.25670964 51.94002762],[0. 0.],206.1909081352402,216.7069027430373
7,155.19894302188519,"[3.029495547607052, 0.5076162884587307, -80.1183183671297]",[0.02144681 0.0001     0.00014302],[61.49332054 24.16827256],[0. 0.],316.39788604377037,326.9260510536543
8,166.24870401730826,"[1.7474879383132291, 0.02073596776264157, -8.34666277159046]",[1.12556648 0.9999     2.76063592],[1.80053638e-01 1.78011764e-05],[0. 0.],338.4974080346165,349.0011826662507
9,163.70319180921348,"[1.9840890427741145, 0.6492941509092327, 26.366838716416368]",[2.25673864e+00 3.40508334e-02 5.50182767e+01],[-15437.52337122 -12953.02547777],[0. 0.],333.40638361842696,343.92237822622405
10,158.26747918450556,"[1.8696043554415367, 0.9417863786253237, -58.992251085861994]",[ 5.63372375e-02  5.07816671e-01 -1.00000000e+02],[2.76231766 3.96855269],[0. 0.],322.5349583690111,333.0141426990328
11,146.66236050685833,"[3.5630957539628443, 0.8289435235186823, -67.36999372408137]",[0.02562976 0.0001     0.0001248 ],[67.62154013 23.82869065],[0. 0.],299.32472101371667,309.84071562151377
12,152.0658219002966,"[0.697409414295475, 0.6481296253005219, 11.174948908259339]",[0.6370455  0.24237046 3.63934404],[ 1.11753832 -0.03740847],[0. 0.],310.1316438005932,320.59845697906326
13,167.35859939665042,"[1.877716049665652, 0.37356927685294883, -6.8735297196442815]",[0.02862877 0.00061366 0.00035961],[27.24794267 22.63095952],[0. 0.],340.71719879330084,351.26955748269495
14,139.5687697650983,"[2.221617708973783, 0.5749252670075491, 29.304370812199352]",[0.05341048 0.0001     0.00014374],[64.80745371 27.40240407],[0. 0.],285.1375395301966,295.70192228378335
15,158.66657857256922,"[1.1673570743642412, 0.04291216868125717, 0.03807372168893153]",[0.07483789 0.05116827 0.20317946],[ -8.53463563 -12.6769371 ],[0. 0.],323.33315714513844,333.7373375685438
16,33.030012383864715,"[3.933653641442486, 0.3249125667431877, 48.895333689919084]",[ 2.26693369e-03  1.14893222e-01 -1.00000000e+02],[5.74908926e-03 2.51015993e+03],[0. 0.],72.06002476772943,82.56379939936362
17,145.80245765627922,"[4.065282291835151, 0.9169080186843265, -33.22632039421107]",[ 0.34356536  0.9999     -7.2834633 ],[1.65156344e+00 2.60775067e-16],[0. 0.],297.60491531255843,308.02172733357287
18,169.1809939430026,"[2.016769528573114, 0.6655171793356561, -59.29262182524406]",[ 1.00000000e-04  1.63152583e-02 -5.98739110e-01],[4168.90695521  472.0765938 ],[0. 0.],344.3619878860052,354.8779824938023
19,170.031486840576,"[2.198300072824759, 0.588844077287773, -75.61097580871223]",[ 1.18634225e-02  3.17015317e-01 -1.00000000e+02],[1.66856211 2.24695069],[0. 0.],346.062973681152,356.5789682889491
20,47.47936336556794,"[2.4931806774323246, 0.08642889874849718, 53.705457155634946]",[ 2.60889426e-03  1.29726297e-01 -1.00000000e+02],[  32.37856978 1157.79142619],[0. 0.],100.95872673113588,111.43791106115754
21,167.74161769550807,"[2.474842364819934, 0.10676809040401361, 95.2113884890112]",[3.51097685e+00 6.83459972e-02 9.51890074e+01],[-8007.3582463  -774.2223347],[0. 0.],341.48323539101614,351.9624197210378
22,137.32248543825992,"[0.8827711026977635, 0.7089804773870074, -87.39534779602995]",[ 0.40810958  0.9999     -7.41365206],[5.40284667e-01 3.31229593e-08],[0. 0.],280.64497087651984,291.1117840549899
23,130.63027612877514,"[3.8678820204109265, 0.4530055979203817, 36.56799861265202]",[2.01193086 0.97403842 2.94819253],[-5.08935973e-10  1.77186562e-01],[0. 0.],267.2605522575503,277.71494305802224
24,166.08998922031674,"[2.666988426001663, 0.37201500376349367, 72.25322564883257]",[ 0.09859527  0.2972047  17.93329567],[ 0.2813906  -0.36223637],[0. 0.],338.1799784406335,348.63436924110545
25,170.18218172528094,"[1.2522122181232478, 0.949841807290834, -42.65094191013663]",[5.47622331e-03 9.99900000e-01 1.00000000e+02],[-3.37499998e-08 -1.56733682e+01],[0. 0.],346.3643634505619,356.880358058359
26,56.12404487131756,"[2.4850896173489465, 0.7230272027296034, -9.313103968217291]",[ 0.24982857  0.25081448 -3.05807142],[1.13515034e+01 4.03056327e-06],[0. 0.],118.24808974263512,128.7395944185147
27,98.84153884532834,"[2.071746807670916, 0.9064080052625288, -21.510703103990764]",[0.37262981 0.0461406  0.00721653],[1.50747092 5.04472921],[0. 0.],203.6830776906567,214.21124270054062
28,122.88647276179161,"[1.2654068502738407, 0.2959976849180611, 30.91314236073751]",[ 0.50651273  0.39078583 -7.58635057],[3.34138595e+00 1.02045880e-03],[0. 0.],251.77294552358322,262.2148622936092
29,55.84907748094097,"[4.262754618767721, 0.6671749229111577, -15.915709546068541]",[0.44098784 0.04496421 0.00573919],[0.53854896 5.63867963],[0. 0.],117.69815496188194,128.1400717319079
30,153.67104150109347,"[2.009460671062518, 0.5436806568406839, -20.944995264833082]",[  0.28139835   0.40796947 -19.57662158],[1.03670620e-04 4.38230894e+00],[0. 0.],313.34208300218694,323.85807760998404
31,70.0144670633771,"[2.5024233976959334, 0.7530439308511468, 64.89189999501633]",[0.35356302 0.02485268 0.00209115],[1.63499597 7.71781857],[0. 0.],146.0289341267542,156.50811845677583
32,146.8786385147066,"[3.9632599543257494, 0.5696952449627238, -63.562001696807016]",[ 8.35192528e-02  5.41300065e-01 -1.00000000e+02],[0.30507568 9.57523639],[0. 0.],299.7572770294132,310.2610516610474
33,45.306650122208225,"[4.067583691389725, 0.03444750740061794, 17.369555190988947]",[1.74089638 0.49962193 6.16865856],[-0.01978201  0.54315422],[0. 0.],96.61330024441645,107.16565893381058
34,151.45545979789887,"[2.8508119705737447, 0.9737172033113768, -25.0935423993282]",[ 0.40951249  0.9999     -4.11187201],[3.00666779e-105 1.63063173e+000],[0. 0.],308.91091959579774,319.3653103962697
35,167.45476032767303,"[3.313402174438457, 0.4578205368945123, 6.834282147412992]",[1.00520937 0.98897887 2.31675847],[2.22284468e-01 2.15925258e-05],[0. 0.],340.90952065534606,351.43768566523
36,119.9067678923422,"[1.2699597198854509, 0.6454596833874977, -93.31820003722943]",[ 0.10457823  0.10399422 -0.13346638],[1.03071471 9.55922281],[0. 0.],245.8135357846844,256.34170079456834
37,159.2357346110541,"[3.363297182138578, 0.477608529863535, 42.733407281036364]",[0.93852378 0.9999     2.13148324],[2.07007149e-01 2.13990958e-05],[0. 0.],324.4714692221082,334.8502257645407
38,161.83527192490274,"[2.3747229256997504, 0.997504901916383, 7.367703065224433]",[1.32746543 0.9999     2.65621534],[1.63501001e-01 6.58830118e-06],[0. 0.],329.6705438498055,340.14972817982715
39,169.19526453868772,"[0.5616184181365605, 0.7981435472726106, 20.639082757665463]",[0.26696428 0.24136346 2.12451295],[0.06673101 0.24798642],[0. 0.],344.39052907737545,354.90652368517254
40,81.92108991797726,"[0.9570489180305478, 0.9526327678530873, 60.1372227155631]",[ 0.22287107  0.11282984 -0.05941758],[ 0.29997558 10.01403349],[0. 0.],169.8421798359545,180.33368451183412
41,148.8496742498626,"[0.8991049623519518, 0.9769053001679384, -73.931602595723]",[1.76036873 0.96613124 3.04066411],[-0.02300148  0.00604599],[0. 0.],303.6993484997252,314.1908531756048
42,165.0151769949826,"[1.0937251865656987, 0.9119421150628484, 51.12960930569827]",[1.00000000e-04 1.00000000e-04 2.51536781e+00],[-161017.00916813 -152540.31931152],[0. 0.],336.0303539899652,346.5585189998491
43,147.28023268309582,"[2.5626087366288717, 0.2529948609242198, -96.42792158540362]",[ 0.45810792  0.53052523 -8.65341367],[0.89159201 0.16642683],[0. 0.],300.56046536619164,311.06423999782584
44,145.2205316231314,"[3.463937550477835, 0.6779012387443277, 3.582354687293005]",[1.52040306 0.9999     2.02026973],[2.13020870e-01 2.09129868e-17],[0. 0.],296.4410632462628,306.9078764247329
45,162.93228437711727,"[3.806452977793099, 0.9157526562002609, 20.644224629090473]",[0.2124752  0.10693144 0.25313196],[1.35838343 0.12888337],[0. 0.],331.86456875423454,342.281380775249
46,125.60338543000896,"[4.934344407109093, 0.5261822347836088, -0.5089221875028898]",[0.04637096 0.0001     0.00013709],[63.8597433  21.70084769],[0. 0.],257.2067708600179,267.7105454916521
47,152.14348570946777,"[2.032226423659153, 0.21330464945388727, 19.687978174583748]",[1.3935201  0.9999     1.88420655],[1.85774145e-09 2.46783206e-01],[0. 0.],310.28697141893554,320.8272576574305
48,165.6707430970031,"[2.8295952585119992, 0.09212114164423968, 66.00724690023242]",[3.05846941e+00 3.29847452e-02 6.60318720e+01],[-36029.17147154 -10928.9729879 ],[0. 0.],337.3414861940062,347.8452608256404
49,165.35057896112775,"[2.7601875336645154, 0.24755606927820792, 41.498112393140445]",[0.30375094 0.22841342 0.94033176],[0.89094883 1.03708192],[0. 0.],336.7011579222555,347.1679711007256
50,97.65556514139568,"[1.2550611436111694, 0.678163078952201, -14.453077821802452]",[  0.01853447   0.13780841 -13.66278154],[  0.4362861  116.46369808],[0. 0.],201.31113028279137,211.85141652128632
51,108.33205549245683,"[1.774694626503274, 0.6200009277648058, 19.771518628284383]",[ 0.58719719  0.36574557 -2.55333204],[0.97556119 0.2268493 ],[0. 0.],222.66411098491366,233.1432953149353
52,140.33530366361683,"[2.0711427060461522, 0.5268414344047753, 35.62027801562351]",[ 5.43273738e-02  7.25801420e-01 -1.00000000e+02],[ 0.3608825  21.22389423],[0. 0.],286.67060732723365,296.958644214097
53,169.46663066454957,"[0.9049072940450067, 0.0705285412667933, -12.701664404372195]",[ 9.40196472e-04  1.91616993e-01 -1.00000000e+02],[37.78050471 65.04751198],[0. 0.],344.93326132909914,355.44925593689624
54,150.7619585852658,"[0.6063568227036829, 0.5895519296036891, 3.9135301473607313]",[1.0153233  0.9999     1.48433392],[2.49224841e-01 3.36818812e-17],[0. 0.],307.5239171705316,317.8641292855305
55,167.42518761984329,"[3.4221983520896386, 0.26626724293740617, 37.00594079000385]",[0.17312739 0.9999     0.22045897],[6.29095926e-01 5.16655579e-09],[0. 0.],340.85037523968657,351.31718841815666
56,166.1001805695414,"[2.2338412084255364, 0.2446972176135729, -3.617337478400515]",[1.0668663  0.90455273 3.75480606],[ 6.42441064e-02 -4.72834680e-06],[0. 0.],338.2003611390828,348.7163557468799
57,139.48320265533962,"[0.5446987382514393, 0.4982022013180492, -19.278267509332167]",[1.58167626 0.79174755 3.45665902],[0.00048002 0.25348263],[0. 0.],284.96640531067925,295.47017994231345
58,158.52210024285336,"[1.4993382907390873, 0.9932221065268747, 95.5531314520097]",[ 0.36929285  0.3109357  15.60464979],[ 0.00415395 -0.28604608],[0. 0.],323.0442004857067,333.43569590078357
59,75.21192535290714,"[4.569825730138952, 0.6928887020664535, 48.64329141375086]",[0.10783216 0.0101339  0.00031584],[28.42354134  1.96168566],[0. 0.],156.4238507058143,166.9762093952084
60,165.04426386194268,"[2.455525014461322, 0.5956260427644502, -55.16611278758703]",[1.00634151 0.98620116 2.62611118],[0.00227607 0.12141206],[0. 0.],336.08852772388536,346.5553409023554
