participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,71.0210119428789,"[4.817356728992819, 34.37677519820511]",[1.99037128 2.09386041],[0.31979004 0.63832696],[0. 0.],146.0420238857578,153.01989933807118
2,49.022482581143045,"[0.06962609418447269, 48.81125944019706]",[ 2.25950814 12.77438051],[0.56951466 0.25580479],[0. 0.],102.04496516228609,109.05562823415082
3,171.69683609336275,"[3.9035737965302033, -25.30569375289376]",[   0.1466091 -100.       ],[1.29735124 0.98883633],[0. 0.],347.3936721867255,354.42052967905545
4,168.57627258765976,"[3.423207237051559, -5.5719452082778105]",[  0.27529134 -70.08237847],[0.74539738 1.20598845],[0. 0.],341.1525451753195,348.17940266764947
5,169.50955409432999,"[3.089186638775572, -87.21170355276016]",[   0.17772035 -100.        ],[1.25771545 1.05246392],[0. 0.],343.01910818865997,350.02162460974944
6,117.361622497703,"[0.8276429327926933, 73.98072679704751]",[1.54505014 4.48108162],[0.29585513 0.62772626],[0. 0.],238.723244995406,245.7339080672707
7,154.50217644579268,"[3.4455599476285013, -38.78926835356204]",[ 1.01100185 -2.83343083],[0.68441386 0.33405703],[0. 0.],313.00435289158537,320.0231295648413
8,169.36625974962112,"[2.102305535795393, 75.52393216505095]",[  0.12613474 100.        ],[-0.10213244 -0.24909933],[0. 0.],342.73251949924224,349.7350359203317
9,170.51475579352285,"[3.364823189838836, 99.22108701410127]",[1.e-04 1.e+02],[-0.10590465 -0.23651327],[0. 0.],345.0295115870457,352.0401746589104
10,166.31880917155766,"[1.09974583738169, 1.767872175993432]",[   0.40759695 -100.        ],[1.06997967 1.40335382],[0. 0.],336.6376183431153,343.6237412297964
11,146.8586325952835,"[1.9295137509170814, 55.30866438671498]",[1.28687082 0.65960578],[0.65125059 0.33965256],[0. 0.],297.717265190567,304.7279282624317
12,167.74172036689396,"[3.1498700987262147, -99.89391709742794]",[ 1.0000000e-04 -9.9006659e+01],[1.23462619 1.00589647],[0. 0.],339.4834407337879,346.46131618610127
13,168.33068255333805,"[3.2714699283210895, 93.65704137521561]",[0.71334886 9.72027153],[0.26651767 0.58417347],[0. 0.],340.6613651066761,347.6962708996055
14,151.24273202937377,"[3.7082364289457788, -81.39563423433935]",[ 1.09166076 19.19434189],[0.53920541 0.19199524],[0. 0.],306.48546405874754,313.528385894472
15,161.53434084696596,"[2.1845366333804646, 94.20755888016657]",[8.91449489e-02 1.00000000e+02],[-0.31659681 -0.20821397],[0. 0.],327.0686816939319,334.0048019762022
16,100.7191811667197,"[1.529958367031839, -82.02597823172788]",[  0.94532576 100.        ],[-1.10396008 -0.29072876],[0. 0.],205.4383623334394,212.44087875452885
17,159.26153530231684,"[0.16423639862944187, 34.166955158266205]",[  0.74102616 -13.8095095 ],[0.44436312 0.75462939],[0. 0.],322.5230706046337,329.46761195197666
18,169.83130826497637,"[4.853958634227659, 24.467917858212388]",[ 0.33925153 -8.2037875 ],[0.70938091 0.39733685],[0. 0.],343.66261652995274,350.67327960181746
19,170.51456988446148,"[3.4555113940921336, -97.00356623088024]",[ 1.00000000e-04 -8.99682565e+01],[0.91290871 1.3758937 ],[0. 0.],345.02913976892296,352.0398028407877
20,90.11298358881565,"[1.1068421265054251, 60.48778027275827]",[  0.79837107 100.        ],[-1.47088071 -0.26766323],[0. 0.],184.2259671776313,191.2120900643124
21,167.62836456760076,"[2.9163641102982347, -60.992556435326684]",[   0.12363661 -100.        ],[1.45679707 0.94683952],[0. 0.],339.2567291352015,346.2428520218826
22,158.2164551294495,"[1.2518288659407486, -20.410269154882684]",[0.93907911 0.63514419],[0.32922987 0.65990039],[0. 0.],320.432910258899,327.4107857112124
23,152.83289118005564,"[4.290081573979031, 21.519098331943255]",[  0.17245285 100.        ],[-0.20797388 -0.36067438],[0. 0.],309.6657823601113,316.6353762270926
24,166.3011374390411,"[2.0000100540172583, -70.7818722741178]",[  0.19639095 -40.05614528],[0.97718146 0.58990313],[0. 0.],336.6022748780822,343.5718687450635
25,169.9090778002414,"[3.9826132683560767, 95.22110933101871]",[  0.19890387 100.        ],[-0.2786952  -0.00482809],[0. 0.],343.8181556004828,350.8288186723475
26,89.44831425374063,"[1.3907486871919088, 24.368535398279036]",[ 1.76028156 13.7425063 ],[0.54927202 0.15602654],[0. 0.],182.89662850748127,189.89096495806768
27,103.71872360005497,"[2.425896845750843, 89.15791668069787]",[1.70582537 1.91826457],[0.31593415 0.65038669],[0. 0.],211.43744720010994,218.4562238733659
28,151.86115424883783,"[0.9272408420752338, -92.87478079170222]",[1.0712667  6.20958022],[0.61507207 0.28312238],[0. 0.],307.72230849767567,314.68358634435964
29,61.35237476652985,"[0.29746833279480767, 92.12970236860627]",[ 2.03870361 -0.29313   ],[0.34924728 0.66535434],[0. 0.],126.7047495330597,133.66602737974367
30,153.78756826870034,"[1.7520986217767243, -23.011159766794336]",[ 1.10787535 -1.64199974],[0.34660041 0.68255579],[0. 0.],311.5751365374007,318.5857996092654
31,152.33017858156987,"[2.967935276608053, 37.21972062491639]",[  1.0128632 100.       ],[-0.08617268 -0.30342685],[0. 0.],308.66035716313974,315.6464800498208
32,169.7092568011005,"[1.2825959778385232, 25.366874268221906]",[0.17479993 6.3239919 ],[0.29692157 0.60746856],[0. 0.],343.418513602201,350.4210300232905
33,58.5823942046533,"[1.0373607650606707, 92.1891336075127]",[  0.46947668 100.        ],[-1.92154607 -0.28850443],[0. 0.],121.1647884093066,128.199694202236
34,162.03330769401035,"[1.1902858468902726, 53.64613985237733]",[0.70984119 2.8137898 ],[0.29991286 0.65342366],[0. 0.],328.0666153880207,335.036209255002
35,170.45499471801998,"[1.9985906124532697, 33.62831949260777]",[8.39711384e-02 1.00000000e+02],[ 0.01201817 -0.37625943],[0. 0.],344.90998943603995,351.9287661092959
36,131.86258644572058,"[1.7924006171892306, 1.4015151445029517]",[1.50266591 4.63579552],[0.32658325 0.62253611],[0. 0.],267.72517289144116,274.7439495646971
37,162.88982212407097,"[1.0654905752449306, -99.44466451954604]",[ 1.00000000e-04 -9.93003532e+01],[1.30332729 0.9888367 ],[0. 0.],329.77964424814195,336.69881527643025
38,168.43476778796565,"[4.800717236117872, 98.88975224844381]",[1.e-04 1.e+02],[-0.34731817 -0.1386444 ],[0. 0.],340.8695355759313,347.8556584626124
39,169.1436505793996,"[0.8554049940453989, -21.285448389850714]",[ 0.42932422 -3.2660123 ],[0.68640377 0.35374691],[0. 0.],342.2873011587992,349.2979642306639
40,95.25910776318884,"[2.4369914814995264, 61.133266760959685]",[  1.75596928 -10.62249101],[0.44452006 0.73564418],[0. 0.],194.51821552637767,201.5125519769641
41,169.06926108393506,"[1.9034163905576407, 27.54614013713767]",[3.31311148e-02 1.00000000e+02],[-0.10469462 -0.29945733],[0. 0.],342.1385221678701,349.1328586184565
42,169.57593690415487,"[2.2577192569880506, 24.540866191138292]",[  0.12838186 100.        ],[-0.23223002 -0.22789169],[0. 0.],343.15187380830974,350.1706504815657
43,155.81159159888074,"[0.8267275236503075, 74.75307245606808]",[1.03763343 2.01315981],[0.32385261 0.64489987],[0. 0.],315.6231831977615,322.62569961885094
44,167.74163043068836,"[4.303645035015973, 96.09632057384366]",[1.0000000e-04 9.7245286e+01],[ 0.08642165 -0.33048095],[0. 0.],339.4832608613767,346.4611363136901
45,164.9691267418307,"[3.6432644427656378, 99.53344403846131]",[1.00000000e-04 9.70256472e+01],[-0.25461479  0.00450171],[0. 0.],333.9382534836614,340.8827948310044
46,146.23164283466275,"[1.9968683474555033, 84.11542591044247]",[ 1.24262794 16.44365751],[0.55618244 0.22843684],[0. 0.],296.4632856693255,303.46580209041497
47,171.6427090496067,"[1.3174508274581178, 15.540601602178967]",[  0.11134461 -45.96096217],[0.64199654 0.98321045],[0. 0.],347.2854180992134,354.31227559154337
48,169.3631111758249,"[2.8954812261118392, -16.884308311443334]",[   0.16334815 -100.        ],[1.39221954 1.07269325],[0. 0.],342.7262223516498,349.7287387727393
49,165.00768071020497,"[0.44070261602337013, 44.08127691999678]",[  0.48915413 -83.32493986],[0.94367569 1.28244145],[0. 0.],334.01536142040993,340.9932368727233
50,171.90346577778857,"[3.5537971442312757, -98.710462115871]",[ 1.e-04 -1.e+02],[1.22074694 1.01422362],[0. 0.],347.80693155557714,354.8337890479071
51,119.74195768734053,"[1.6900484884769433, 74.19392170553613]",[1.4777557  7.78444749],[0.25714856 0.61549397],[0. 0.],243.48391537468106,250.47003826136216
52,149.1903800650945,"[3.2292350641149326, 85.03885778925141]",[1.03771672 9.28764973],[0.27723253 0.59217955],[0. 0.],302.380760130189,309.2394513880979
53,170.28937794004472,"[3.763971335835062, 33.280218192885485]",[ 0.17337716 21.06283919],[0.51241689 0.1844384 ],[0. 0.],344.57875588008943,351.58941895195414
54,159.53376738530017,"[4.500159929277352, 81.70574622222574]",[ 0.40513314 17.90573262],[0.21485835 0.52654167],[0. 0.],323.06753477060033,329.96100951393294
55,167.63069162469338,"[2.342534348837985, 46.03650001974117]",[8.44931686e-02 1.00000000e+02],[-0.05216074 -0.28454388],[0. 0.],339.26138324938677,346.2392587017001
56,170.32011153339815,"[0.5869925395344383, 43.526624531517996]",[5.02410452e-02 1.00000000e+02],[-0.41909554 -0.07431408],[0. 0.],344.6402230667963,351.650886138661
57,169.82248866142263,"[4.670548451259139, 86.89956947116809]",[1.e-04 1.e+02],[-0.06201833 -0.285007  ],[0. 0.],343.64497732284525,350.6474937439347
58,163.3571287026309,"[0.5304365035508887, 38.8173117824835]",[2.86781684e-02 1.00000000e+02],[-0.48419295 -0.12709155],[0. 0.],330.7142574052618,337.641921015313
59,97.10574420085844,"[2.154801987329651, -8.6968260396431]",[ 1.74729115 11.30117563],[0.58062092 0.22858457],[0. 0.],198.21148840171688,205.24639419464629
60,167.74164180853805,"[4.118851065615424, 98.06636058952313]",[1.e-04 1.e+02],[-0.35347604  0.0572636 ],[0. 0.],339.4832836170761,346.46115906938945
61,145.90543261834483,"[1.2886019649817664, -85.62035036311848]",[ 1.0454202  32.06654603],[0.42602173 0.09404766],[0. 0.],295.81086523668966,302.8296419099456
62,107.10946509963856,"[0.9424926657368651, 95.88014794105251]",[1.51923255 8.11046845],[0.26045804 0.59658333],[0. 0.],218.2189301992771,224.88436778580785
63,161.9303303120082,"[0.6335197679483996, 11.989606194252005]",[0.73677441 7.744561  ],[0.61196456 0.27159205],[0. 0.],327.8606606240164,334.8467835106975
64,169.11521336397004,"[3.930403919994218, 90.7585060933788]",[1.39396574e-02 1.00000000e+02],[-0.29562312 -0.14208249],[0. 0.],342.2304267279401,349.2247631785265
65,156.79989125038574,"[2.58777233347291, -79.86735892641236]",[ 1.14979387 13.9369409 ],[0.55428632 0.22415036],[0. 0.],317.5997825007715,324.61855917402744
66,170.0876924841191,"[0.13078858689459388, 20.551666322176175]",[ 0.38556648 -2.73763782],[0.32683295 0.70185014],[0. 0.],344.1753849682382,351.19416164149413
67,160.8625635517985,"[0.646999535150627, 79.74406343957568]",[ 0.82460038 -2.9064427 ],[0.33018095 0.68892317],[0. 0.],325.725127103597,332.7357901754617
68,167.27968498913646,"[2.808259417656111, 17.698030647905313]",[ 0.46604849 -5.67661901],[0.70465813 0.37296475],[0. 0.],338.5593699782729,345.5537064288593
69,173.02187931044068,"[0.8952789299305342, 32.941949446540264]",[5.88217937e-02 1.00000000e+02],[-0.33895668 -0.14663427],[0. 0.],350.04375862088136,357.08668045660585
70,165.16121184376104,"[1.6345992114712293, -10.79783832491114]",[  0.74537462 -13.40808683],[0.75016543 0.44355583],[0. 0.],334.3224236875221,341.3330867593868
71,167.86798870039422,"[1.0137633192891766, 36.17926940312833]",[  0.13132643 100.        ],[-0.25280017 -0.33524197],[0. 0.],339.73597740078844,346.73031385137483
72,170.9708832956477,"[0.1704729246913751, -57.89297302726513]",[  0.24689737 -36.08208642],[0.5816042  0.87904537],[0. 0.],345.9417665912954,352.96054326455135
73,169.82240365426716,"[3.6570495435934642, 99.20847893928405]",[1.e-04 1.e+02],[-0.01082722 -0.3298549 ],[0. 0.],343.6448073085343,350.6473237296238
74,164.2762888832135,"[0.3495560087905862, -93.18577811512772]",[ 1.00000000e-04 -9.31374725e+01],[0.93699135 1.30369418],[0. 0.],332.552577766427,339.4886980486973
75,73.06343071212656,"[2.595440286829215, -64.28553551776864]",[ 1.93601119 50.77563463],[ 0.33678919 -0.0164037 ],[0. 0.],150.12686142425312,157.1293778453426
76,134.46821705477828,"[1.193189454655032, -57.15767079244613]",[1.40648863 8.8680638 ],[0.27249276 0.60269532],[0. 0.],272.93643410955656,279.92255699623763
77,171.90065201003497,"[0.8759144116982542, 97.99573753384544]",[1.00000000e-04 9.73541314e+01],[-0.29367914 -0.1821677 ],[0. 0.],347.80130402006995,354.8281615123999
