participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,53.63508745306094,"[3.5103605576743866, 0.00171395647449988, 15.44430443860379, 11.191746162386806, 0.844533577737205, 4.181317070970189]","[3.51105269e+00 1.71785841e-03 1.54482799e+01 1.11917455e+01
 8.44531682e-01 4.18131707e+00]",119.27017490612188,133.56233471416516
4,56.62380733477714,"[4.422281431379587, 0.36446517675774365, 20.99438588860026, 18.409331165901246, 0.05788422126921393, 4.070879167246192]","[5.63907818e-02 1.00000000e-04 2.18067268e+01 1.62549266e+01
 1.00000000e-04 1.00000000e-04]",125.24761466955428,139.76065831633386
11,53.57170448949642,"[2.574251736695237, 0.3259720154061189, 15.266618298286398, 5.319834971342932, 0.21974234758455954, 2.633328594305475]","[1.26135424e-01 1.00000000e-04 8.11263589e+00 1.70136711e+00
 9.99900000e-01 7.72453635e-01]",119.14340897899284,133.65645262577243
16,50.210619387422085,"[4.090036009015968, 0.5956638809683554, 16.03061247501616, 6.334798471670658, 0.5680974212275187, 3.927007905692442]","[2.68955796e-01 1.00000000e-04 2.09603198e+01 2.39875313e+01
 1.00000000e-04 2.52288744e+00]",112.42123877484417,126.71339858288746
19,56.1449216253576,"[4.494771752152726, 0.6441943158705259, 1.9662042256932457, 3.986853076251509, 0.7972367286643478, 2.7385037698064774]","[4.75893449e+00 1.00000000e-04 1.79003241e+01 1.00000000e-04
 9.99900000e-01 2.73850377e+00]",124.2898432507152,138.80288689749477
21,55.73390757741108,"[2.779654155152328, 0.0073606780502119325, 21.88882967613693, 20.45779869383689, 0.20150577489888805, 0.5581594902369191]","[3.4507088e-02 1.0000000e-04 2.3999900e+01 1.0000000e-04 1.0000000e-04
 1.0000000e-04]",123.46781515482216,137.98085880160176
23,52.30058262722641,"[1.5631850389274493, 0.108862094661519, 22.285602250004153, 19.934622261459015, 0.9825830313315161, 3.33225508465947]","[1.01819283e-01 1.00000000e-04 5.63879734e+00 2.39999000e+01
 8.93267112e-01 2.01250522e-01]",116.60116525445282,130.96786018248747
24,56.18270850973967,"[2.8731450685886606, 0.10275653688424298, 14.007019318774846, 6.85293575827979, 0.826194394255079, 0.5635105839437654]","[6.96576357e-02 1.00000000e-04 7.16090191e+00 1.41744461e+01
 9.59442723e-01 1.00000000e-04]",124.36541701947934,138.87846066625892
26,49.52777600485391,"[2.782878402054229, 0.020680829410650706, 16.285530246996185, 11.76903471613296, 0.7274880837253274, 0.2942063611899867]","[6.50250296e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 1.00000000e-04 1.00000000e-04]",111.05555200970782,125.49586749329335
30,56.8380688067808,"[4.668696581609253, 0.03541697252462835, 9.643472584324956, 8.265422728879955, 0.8227403783877505, 4.006859810774831]",[4.6686909  0.03554487 9.64347187 8.26542273 0.82274038 4.00685981],125.6761376135616,140.18918126034117
31,58.224363167035435,"[3.8073135798961424, 0.20997093986845564, 22.250960928365235, 19.284381112863493, 0.06265062682395563, 0.7263148260735108]","[4.99990000e+00 1.00000000e-04 2.22509609e+01 2.39999000e+01
 1.00000000e-04 7.26314826e-01]",128.44872633407087,143.03362712713076
32,56.6896077756279,"[4.689673820869774, 0.5280889353503071, 18.644225048281562, 3.0269501907831846, 0.930353406206709, 0.1185535569752889]","[9.6582806e-03 1.0000000e-04 2.3999900e+01 1.0000000e-04 1.0000000e-04
 1.0000000e-04]",125.3792155512558,139.8195310348413
