participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,30.70032777830325,"[3.496066213408839, 6.330828659438129, 12.724790865071299, 0.00846061334999021]",[ 0.14597319  0.         11.21694479  0.11259209],69.4006555566065,78.92876209530203
4,57.30678132717104,"[0.9182778840127108, 12.75381694585068, 17.867226614197005, 0.0023518229529698653]",[8.16588791e-03 1.88591589e-04 1.79681519e+01 1.00000000e-04],122.61356265434208,132.28892508552846
11,57.433616286737696,"[1.5068675382876184, 7.748110697571604, 8.580917960471274, 0.006317627816487053]",[5.30681882e-03 0.00000000e+00 1.67731670e+01 7.11941923e-02],122.86723257347539,132.5425950046618
16,55.289173760212606,"[1.5215933194020264, 21.220706899068144, 0.5340433514246188, 0.006623898933042736]",[1.22272116e-02 1.00000000e-02 1.00000000e-04 2.39999000e+01],118.57834752042521,128.10645405912072
19,26.225674973120388,"[4.23403588298703, 20.860993308442787, 5.147478491050534, 0.004067214773284849]",[1.15932726 0.01       1.47654104 0.17612481],60.451349946240775,70.12671237742717
21,41.9583601686467,"[2.299998581051784, 13.603200601447705, 3.1178266408773454, 0.009721131644196204]",[2.99000761e+00 1.18050553e-06 1.74107611e+01 1.73702916e+01],91.9167203372934,101.5920827684798
23,54.45784283909895,"[3.257416366014095, 18.39457467030067, 7.374884404857096, 0.00846703429623536]",[1.96893012e-02 6.67981953e-04 1.00000000e-04 2.39998997e+01],116.9156856781979,126.49348229688766
24,56.92905208945259,"[1.3114770601688577, 12.821449415736417, 23.8995491122859, 0.009739128322882814]",[2.27180644e-02 1.00000000e-02 1.00000000e-04 2.39999000e+01],121.85810417890518,131.53346661009158
26,35.52457852319954,"[2.1635283554103393, 21.795155037371057, 3.8486040195836164, 0.00871872712244253]",[3.37813074e+00 2.21932707e-06 6.66160724e+00 6.63026061e+00],79.04915704639907,88.67603403545608
30,13.561908245329654,"[1.2770064521838296, 19.91084537579545, 15.82024944086786, 0.008567884229020278]",[2.23768898e-01 0.00000000e+00 1.17450798e+01 8.56813298e-03],35.12381649065931,44.7991789218457
31,14.746100157718226,"[1.1059497867397354, 9.576743757674189, 7.718126371578367, 0.0067501129968456225]",[0.71097295 0.01       4.93440048 4.53026123],37.49220031543645,47.2154675108097
32,32.72132750248701,"[0.8463708468006819, 20.693477334958718, 17.05285449277747, 0.003607253593669594]",[4.39119382e+00 2.43990788e-06 5.66853657e+00 5.66157020e+00],73.44265500497401,83.06953199403102
33,13.486423605732464,"[0.14497963612990405, 22.3518179113604, 16.015074052717434, 0.00720952450548813]",[1.67988281e-01 0.00000000e+00 1.60184436e+01 7.18159661e-03],34.972847211464924,44.550643830154684
36,56.91993943331028,"[3.244492465301915, 0.7519144801958393, 15.662273049810725, 0.0050272265153197705]",[ 0.01763791  0.         12.64225898  0.11439419],121.83987886662057,131.51524129780697
40,47.95075063567685,"[1.7750104292307551, 9.722722157508862, 4.966967689621163, 0.002874603854731689]",[5.49095529e-01 2.61927873e-03 4.24081134e+00 3.59702920e+00],103.9015012713537,113.47929789004345
41,58.17209346626803,"[1.8341296480605316, 8.829201002899703, 0.6826313204514279, 0.0034892393982584435]",[7.02076213e-03 1.00000000e-02 1.00000000e-04 2.39998998e+01],124.34418693253606,134.06745412790931
46,54.05061773178469,"[2.1230068269758524, 3.6654643195092005, 6.939291836656118, 0.002439348729808517]",[0.06773606 0.01       3.34119518 4.2119037 ],116.10123546356938,125.52807077032774
49,29.179932860197134,"[3.3807274430476415, 0.33164752306948875, 0.2294106091868848, 0.0014032138458882825]",[3.35335251e+00 3.64389801e-06 2.11040119e-01 1.57226002e-01],66.35986572039427,76.08313291576752
50,45.96557752337561,"[4.8451329923352455, 6.860235331492785, 23.634994901822072, 0.0013329157156973903]",[4.40743252e-02 0.00000000e+00 2.24789733e+01 1.72906715e-03],99.93115504675121,109.55803203580822
51,44.65265407677576,"[4.781271708528239, 20.511170517836728, 2.161918467183507, 0.007379302308696083]",[0.91794346 0.00189079 1.6664372  1.19498581],97.30530815355152,106.73214346030989
60,53.967074968358375,"[4.542437264530033, 17.228072428607273, 14.1321011814436, 0.00045514413775323947]",[ 0.05965065  0.          9.83715607 18.74037138],115.93414993671675,125.60951236790314
65,55.433711231617316,"[1.5970204855127368, 3.795914062538995, 2.727512116149608, 0.009559935544357601]",[1.55378412e-02 2.16911692e-04 1.00000000e-04 2.39996831e+01],118.86742246323463,128.49429945229164
72,26.9033462656645,"[1.7025122342097907, 5.039922477034353, 2.6851038957416438, 0.0027548250948698605]",[7.19965822e-01 2.06571094e-03 2.70308808e+00 1.16113255e+00],61.806692531329,71.52995972670226
74,3.4219971997452197,"[2.8803470410271954, 15.713854606296369, 15.3453497714217, 0.009540975124108717]",[3.10154250e+00 1.65421901e-04 2.39519358e+01 2.39999000e+01],14.84399439949044,24.519356830676834
76,56.86146518330734,"[2.0362400223375974, 1.7303871306646343, 12.260563506950858, 0.0035964153431643697]",[ 0.05216672  0.          4.9072625  11.10306115],121.72293036661468,131.44619756198793
83,28.795678051111082,"[3.4206331526461624, 3.792397413912072, 0.03374899373778256, 0.0036457810103814148]",[3.54638524e+00 7.33173422e-07 3.34262087e+00 3.30188468e+00],65.59135610222216,75.16915272091192
84,58.051364130905355,"[0.3337503310802499, 10.735844953025124, 9.444463613017868, 0.004477901261648451]",[1.29132645e-02 4.24983021e-04 1.08576529e+01 1.00000000e-04],124.10272826181071,133.82599545718398
87,56.53706650424436,"[4.874656824039803, 2.623619465829015, 8.736687351485061, 0.009720109736352338]",[1.57220242e-02 1.00000000e-02 2.39999000e+01 1.00000000e-04],121.07413300848872,130.70100999754573
88,55.97120010030846,"[0.4640253853584983, 23.785911283846012, 23.81676862760043, 0.008655664974863933]",[1.25293483e-02 1.00000000e-02 2.39999000e+01 1.00000000e-04],119.94240020061692,129.52019681930668
89,19.5239184113245,"[2.2036527890279705, 8.292391980605025, 13.12737335994046, 0.004179324380801497]",[2.16376654e-01 0.00000000e+00 1.01938654e+01 4.17433706e-03],47.047836822649,56.723199253835396
90,57.49329856288483,"[2.4420549912335225, 16.948558993914464, 18.349195910728756, 0.003758725175874822]",[1.42126462e-02 0.00000000e+00 2.85353694e+00 1.97966180e+01],122.98659712576966,132.7098643211429
94,55.51828376267705,"[0.2894880597167247, 17.524079455772295, 4.905568816091433, 0.003561338607366321]",[0.4093637  0.         2.25967656 2.70221611],119.0365675253541,128.61436414404386
95,43.150701519109205,"[4.930483927905188, 4.255789885095747, 11.082105284977636, 0.003231727028443574]",[0.03214816 0.         7.48412368 0.26534698],94.30140303821841,102.87394194378454
96,52.48887830333048,"[3.877204641481828, 22.572417822276712, 2.723703524761078, 0.006157189041825553]",[2.31850508e-02 0.00000000e+00 5.77378890e-04 2.39956950e+01],112.97775660666096,122.55555322535072
97,49.18633968534614,"[3.2356042770856974, 21.700402874144203, 11.825804928911547, 0.008684435388172386]",[9.48515177e-02 1.96855638e-04 8.07904855e+00 1.00000000e-04],106.37267937069228,115.9007859093878
98,56.52464317792479,"[1.7882455495910166, 8.315759032919175, 22.16769553097781, 6.0736028837389266e-05]",[1.69138798e-02 1.00000000e-02 2.39981325e+01 1.00000000e-04],121.04928635584957,130.6761633449066
