participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,30.526265981261147,"[0.5972395444055344, 0.00874310443655698, 13.80235274582706, 23.64996451950421, 0.0018037782415375736]","[9.28790800e-02 1.46191361e-02 2.39999000e+01 1.00000000e-04
 2.82240769e-03]",71.0525319625223,82.9626651358917
4,57.336054307111255,"[2.78892351935213, 0.30232272875880356, 0.7794588064721086, 9.338519545928785, 0.0014503428270484986]","[4.26568903e-03 1.00000000e-04 2.39999000e+01 1.00000000e-04
 1.73914680e-04]",124.67210861422251,136.7663116532055
11,55.407157936858916,"[2.348991469650063, 0.5826813781376771, 21.363461708613574, 0.24687439505338507, 0.0005712907907774001]","[1.87438741e-01 1.00000000e-04 2.39999000e+01 2.12234256e+01
 1.00000000e-02]",120.81431587371783,132.90851891270083
16,53.372332975055116,"[4.900136933629098, 0.15277596942235924, 21.39332808714414, 8.348184592443086, 0.0020373396225634053]","[4.83687424e+00 1.63711023e-01 2.13933281e+01 8.26718793e+00
 1.94161321e-03]",116.74466595011023,128.65479912347965
19,31.212507593055435,"[3.254605596569477, 0.7105086280107671, 4.604961315137953, 18.09307495856243, 0.009022661853172164]","[1.31988411e-01 1.00000000e-04 2.39999000e+01 1.23128358e+01
 1.00000000e-02]",72.42501518611087,84.51921822509385
21,42.70344129742766,"[1.651684795988111, 0.1809321523316223, 7.3492744534383085, 11.09849779539128, 0.002770027879126238]",[4.3613404e-02 1.0000000e-04 2.3999900e+01 1.0000000e-04 0.0000000e+00],95.40688259485532,107.5010856338383
23,54.17409779857399,"[1.7983121646455025, 0.18469236935890432, 11.838779604540662, 15.739264498729884, 0.008080535793740035]","[3.88931063e-02 1.38717875e-01 1.00000000e-04 2.39999000e+01
 1.00000000e-02]",118.34819559714798,130.32044137051017
24,57.3673439983131,"[1.9652286800280538, 0.2533875409542587, 17.89651375015463, 8.830960875546733, 0.0034864965004706293]","[4.06057493e-02 3.36672233e-02 3.90882786e+00 1.00000000e-04
 0.00000000e+00]",124.7346879966262,136.8288910356092
26,36.33498056389107,"[2.0645444981662333, 0.27699321616816647, 21.825172465608183, 6.6172741343119155, 0.008077396330979012]","[5.65275333e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 0.00000000e+00]",82.66996112778214,94.7035573641034
30,8.853183193820213,"[2.402593353994567, 0.44016779486017166, 23.63058772145679, 11.262589591051846, 0.0034456483178578402]","[7.31550311e-01 3.51763999e-02 2.39999000e+01 6.10401107e+00
 9.95846910e-03]",27.706366387640426,39.80056942662341
31,18.375585321323804,"[0.7669155706557217, 0.012552687754088618, 16.585579140784603, 7.050587855681313, 0.004491180486353898]","[3.65509681e-01 1.68104214e-03 2.39999000e+01 2.22692853e+01
 1.00000000e-02]",46.75117064264761,58.90525463686417
32,36.611881155434745,"[2.181868929850283, 0.5032127762066623, 8.042052058286796, 4.3573179313312975, 2.1598118768278997e-05]","[6.55240303e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 0.00000000e+00]",83.22376231086949,95.25735854719076
33,10.41672682986152,"[3.469107401564848, 0.03962116625144515, 10.378392675422816, 7.940563249244323, 0.00028633675633114034]",[ 0.34277281  0.03061541 23.9999      2.44265269  0.        ],30.83345365972304,42.80569943308524
36,53.11751052865406,"[0.23758086024768588, 0.21516557673018274, 18.410769419154192, 8.76692222166056, 0.00131230788979271]","[2.32925038e-01 5.82961350e-02 2.39999000e+01 1.81336486e+01
 6.84044285e-03]",116.23502105730812,128.3292240962911
40,44.460575431476116,"[0.4465472700594328, 0.3080861071931365, 17.840676412922047, 19.08542054242606, 0.0041754104354578825]","[3.17432846e-01 1.00000000e-04 2.39999000e+01 1.91457501e+01
 8.37094939e-04]",98.92115086295223,110.89339663631443
41,56.75196577106758,"[0.3109842800240183, 0.9770497332040979, 16.00456665853011, 3.3592389357812027, 0.0076479123508860205]","[6.01598062e-02 1.63091212e-01 1.12294079e+01 1.00000000e-04
 0.00000000e+00]",123.50393154213516,135.65801553635174
46,49.294736228125934,"[2.4508649528575104, 0.1740840776383911, 15.678235381272817, 18.82058789543614, 0.008109041403627617]","[2.07384869e-01 1.00000000e-04 1.97149002e+01 2.39999000e+01
 1.00000000e-02]",108.58947245625187,120.37301658969983
