participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,30.607719641545323,"[2.60228974086153, 0.7957974689506341, 0.9519089667046597, 20.931064180606867, 0.008699068882151117]","[3.35662023e+00 1.00000000e-04 5.66360130e-02 1.00000000e-04
 1.00000000e-02]",71.21543928309065,83.12557245646005
4,57.31154541291556,"[1.9392681374116612, 0.9842644398471356, 3.2093724935455716, 8.275643730847879, 0.0023874831151204866]","[5.92922990e-02 1.00000000e-04 3.20974189e+00 1.02774325e+00
 4.24938811e-05]",124.62309082583111,136.7172938648141
11,54.18658739450495,"[1.4410176489903324, 0.7986803164292124, 11.311258235766926, 21.59147674967899, 0.002397761232301037]","[4.99491235e+00 3.97804816e-04 2.70697539e-03 9.45660108e-04
 1.00000000e-02]",118.3731747890099,130.4673778279929
16,52.59829242401901,"[0.5367016682844675, 0.771013427481894, 2.268373821911835, 20.954154234165177, 0.004112263732214306]","[4.99990000e+00 3.34132269e-04 1.00000000e-04 3.07350922e-03
 1.00000000e-02]",115.19658484803801,127.10671802140742
19,28.80715182508467,"[1.806644509462004, 0.9329415952760781, 1.481412259240123, 15.415327458901002, 0.0007269078612912861]","[2.06532373e-01 2.93283278e-01 2.39999000e+01 1.00000000e-04
 0.00000000e+00]",67.61430365016935,79.70850668915233
21,41.850649493201495,"[2.238974514264328, 0.5585511849284591, 12.68996013494776, 14.798111331110237, 0.002176028765738968]","[4.99990000e+00 6.07569783e-04 2.37864652e+00 2.37437947e+00
 0.00000000e+00]",93.70129898640299,105.79550202538599
23,53.47780841133775,"[0.6807548047662825, 0.7945114586541573, 4.833238947730544, 2.124821138149248, 0.009640867160393822]","[4.95707811e+00 1.00000000e-04 1.00000000e-04 4.84067752e-03
 1.00000000e-02]",116.9556168226755,128.9278625960377
24,56.95306993772995,"[0.18513743871850807, 0.8367466376673811, 3.8618999192539576, 23.61682905845184, 0.0022799420395044523]","[3.69607937e-02 2.00739645e-01 1.00000000e-04 2.39999000e+01
 0.00000000e+00]",123.9061398754599,136.00034291444288
26,35.40924156490996,"[2.974226945303336, 0.986829415069869, 5.678345744040489, 6.428166629989687, 0.0012397472042406676]","[4.17880338e+00 1.00000000e-04 6.74921160e+00 6.73868086e+00
 5.86411469e-03]",80.81848312981992,92.8520793661412
30,13.336774666537442,"[0.5076659777255813, 0.1939855486027548, 18.002053888888096, 2.139171038010592, 0.009263425248646973]","[4.03337364e+00 1.01165168e-04 4.90150281e-02 1.00000000e-04
 0.00000000e+00]",36.67354933307489,48.76775237205787
31,4.596148900030169,"[3.900437213355066, 0.7190502531421423, 13.144413723259712, 21.104914261389172, 0.009888152508353188]",[4.98538483 0.02809173 2.93921935 3.0534035  0.00812289],19.192297800060338,31.346381794276905
32,34.02764245173121,"[2.0129513512676973, 0.22182131187208406, 21.96955326715328, 11.345078199886984, 0.008873615681293624]","[2.89177073e+00 1.00000000e-04 2.39999000e+01 2.39733233e+01
 0.00000000e+00]",78.05528490346242,90.0888811397837
