participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,18.656675058409018,"[1.7852473013473875, 0.982800236407838, 22.241044679941595, 2.309507133014829]",[4.48737725e+00 1.00000000e-04 2.90122233e-02 1.06807099e-04],45.313350116818036,54.89114673550779
2,13.307228660340972,"[1.5096714834708316, 0.8369821944316665, 20.736148185429563, 8.018859138702387]",[2.20289849e+00 1.00000000e-04 2.37456011e+01 2.39999000e+01],34.61445732068194,44.289819751868336
3,55.81358096739367,"[2.3116788243301007, 0.9384272164135559, 7.13956999397016, 9.57808407724789]",[2.89694228e+00 2.53433943e-03 2.34343997e+00 2.31779556e+00],119.62716193478734,129.3504291301606
4,54.3316631050648,"[3.669367686585382, 0.7286013730520832, 0.5048699003394087, 11.146113607510502]",[4.99990000e+00 6.10108913e-04 8.97923173e-01 8.95526642e-01],116.6633262101296,126.38659340550285
5,54.76931513521039,"[2.561505906756773, 0.65583052729936, 7.0459493260831385, 8.340136548567889]",[4.99990000e+00 1.24667001e-04 4.58628880e-03 1.00000000e-04],117.53863027042078,127.16550725947779
6,32.69320157294051,"[3.022124789052482, 0.09968267999841851, 6.917983163835125, 18.555390167697944]",[ 0.1622412   0.0932967  23.9999     20.43840342],73.38640314588102,83.0617655770674
7,47.10125674946208,"[0.8646969748522242, 0.8755649390565043, 4.302119452544173, 5.828663081713816]",[3.86483966e+00 1.00000000e-04 1.00000000e-04 2.36980586e-02],102.20251349892416,111.92578069429742
8,57.18420571806508,"[2.211250755573352, 0.35257758989884214, 17.107900687706618, 12.343994474669316]",[1.53743654e-01 3.18954715e-01 8.73285793e+00 1.00000000e-04],122.36841143613016,132.0916786315034
9,54.13573116422701,"[1.5952057969310662, 0.4204286033755818, 1.4889315954397047, 9.54072461374396]",[3.75369579e+00 1.08169188e-04 8.24363058e-03 1.00000000e-04],116.27146232845402,125.79956886714955
10,56.12539255853874,"[1.3857207608634727, 0.9926531440426882, 7.328563888840131, 1.8475377638333792]",[4.88808301e+00 1.00000000e-04 1.00000000e-04 1.57476752e-03],120.25078511707748,129.8776621061345
11,55.963120775982716,"[0.6788594403104805, 0.38494758428539805, 10.966836572799645, 0.20766286203446907]",[4.85567609e-02 9.99900000e-01 2.39999000e+01 1.00000000e-04],119.92624155196543,129.55311854102246
12,56.02528122102018,"[4.4481463689178184, 0.8014677766246286, 3.372741959851597, 1.897200883491556]",[4.75230115e+00 1.00000000e-04 4.10506535e-03 1.00000000e-04],120.05056244204036,129.72592487322675
13,27.004015135932562,"[0.4621575806371073, 0.5362628621989156, 20.967642028617853, 22.892988281130055]",[7.27100022e-01 1.00000000e-04 2.10034484e+01 2.27729602e+01],62.008030271865124,71.73129746723838
14,52.146723797191946,"[1.3367238017402943, 0.2817948357263777, 2.443889601749232, 0.6502306466364315]",[4.99990000e+00 1.42784628e-04 1.00000000e-04 3.03610444e-03],112.29344759438389,121.72028290114226
15,5.309610462421186,"[1.3000988239143942, 0.005627099682150543, 11.158810432345206, 13.699150870966122]",[3.10105129e+00 1.18875031e-04 2.39999000e+01 2.39098730e+01],18.619220924842374,28.294583356028767
16,52.68295400771635,"[2.0354042650826867, 0.9503370574189001, 10.459453706820469, 21.188238906177958]",[2.14099717e-01 9.99900000e-01 2.39999000e+01 1.00000000e-04],113.3659080154327,122.89401455412822
17,53.791076475627264,"[0.5615498978198165, 0.6493479657198507, 6.47408092848246, 0.16179907303150387]",[4.99990000e+00 2.13159933e-04 1.00000000e-04 1.11600289e-03],115.58215295125453,125.25751538244091
18,50.69784586496936,"[1.557967462738268, 0.9383630840609986, 13.44779879992241, 17.029390395943516]",[3.88385994e+00 1.00000000e-04 1.00000000e-04 1.54968448e-02],109.39569172993872,119.07105416112512
19,13.151603115694982,"[4.9495235433251334, 0.2674267537551706, 2.899828873204369, 4.198623410191023]",[4.15909715e+00 1.00000000e-04 4.65109949e-02 1.00000000e-04],34.303206231389964,44.02647342676322
20,57.31245970740952,"[2.838667058939189, 0.4672422492935598, 8.757929071900701, 1.2212266362041642]",[3.86684696e-02 1.00000000e-04 1.01710840e-04 3.37788760e+00],122.62491941481905,132.30028184600545
21,47.96597015912268,"[2.960463001761741, 0.4367070552561905, 13.277230966405899, 4.453948830429559]",[4.99990000e+00 3.01437536e-04 2.28860944e+00 2.28208200e+00],103.93194031824537,113.40973172811346
22,43.40177718561373,"[2.210206333564825, 0.5788451296582854, 20.203999001739728, 6.701355601971872]",[4.34993806e+00 1.00000000e-04 1.58595960e-02 1.00000000e-04],94.80355437122746,104.1787760586422
23,55.745639348612094,"[1.6758348399539438, 0.055841841885168324, 14.285135463585345, 14.524274204937289]",[7.58170617e-03 1.00000000e-04 1.00000000e-04 2.39999000e+01],119.49127869722419,129.06907531591395
24,57.1416318269284,"[3.604723768926137, 0.1841020102750118, 22.344076682903587, 2.3750786449738563]",[7.39723688e-03 1.00000000e-04 2.39999000e+01 1.00000000e-04],122.2832636538568,131.9586260850432
25,6.056507739770159,"[3.493904395720088, 0.48010550361200693, 20.28874235450588, 0.07312066387792605]",[1.51914984e-01 1.00000000e-04 1.00000000e-04 2.39999000e+01],20.113015479540316,29.64112201823584
26,37.99436301559337,"[1.8375149551573347, 0.020326730724036554, 23.313427689250144, 23.433870030501264]",[1.71011053 0.01533085 2.19757912 1.63922878],83.98872603118674,93.71199322656
27,24.149402871986727,"[4.200146876754119, 0.6586397300931656, 23.083087512350616, 16.350204118209117]",[5.21171421e-01 1.00000000e-04 2.10698944e+01 2.39999000e+01],56.29880574397345,65.72564105073182
28,24.43125073520735,"[2.7725631990089816, 0.7985410562091828, 21.03665186112903, 22.94234946713188]",[8.48984522e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04],56.8625014704147,66.44029808910446
29,46.089315752325945,"[1.9855996079048583, 0.5601886713887254, 16.339454901743004, 20.980792986845124]",[3.12219662e+00 1.00000000e-04 2.34518310e+01 2.34415481e+01],100.17863150465189,109.90189870002514
30,19.308294291733297,"[0.792547555594492, 0.7033548631255221, 16.08917366445714, 22.745372155510765]",[1.57025041e+00 1.00000000e-04 2.39999000e+01 2.34826779e+01],46.616588583466594,56.194385202156354
31,54.14990015889394,"[0.9729652704217628, 0.10033749422667974, 4.586661943209535, 2.251203537850865]",[2.18936322e-01 9.99900000e-01 1.00000000e-04 6.37493693e+00],116.29980031778788,125.87759693647764
32,21.99402710481666,"[2.7874470362880444, 0.8492582829174846, 6.7718700478903155, 1.0700782660396009]",[3.73249749e+00 1.00000000e-04 5.02805228e-02 1.00000000e-04],51.98805420963332,61.66341664081971
33,40.20254174738992,"[4.611141511022398, 0.05866951345415603, 8.806769371426725, 12.512370508945942]",[ 4.72418115  0.04479402 13.23275307  8.8673475 ],88.40508349477984,98.08044592596625
34,56.85519422689159,"[4.332935931666573, 0.9096429090819488, 21.277602007365243, 9.658670616274664]",[6.62044232e-02 4.21019785e-01 1.00000000e-04 2.06095540e+01],121.71038845378318,131.38575088496958
35,37.48981991138595,"[0.9667443201226924, 0.07993559901819254, 12.312709582141272, 23.656203298754477]",[1.25442456e+00 1.48650824e-02 1.71503125e+00 1.00000000e-04],82.9796398227719,92.70290701814515
36,55.24288508258828,"[3.96578624946744, 0.5184364959804797, 3.9011545455578025, 3.824979361675416]",[4.71232063e+00 1.00000000e-04 1.00000000e-04 3.22221372e-03],118.48577016517656,128.06356678386632
37,54.758627264240644,"[4.718349899406029, 0.20195379768548483, 1.9335058804638783, 5.5318321176829235]",[4.79927866 0.17838463 2.39601862 5.53183212],117.51725452848129,127.1441315175383
38,54.76138718484879,"[4.161864807922498, 0.02572620085900906, 13.141745048334734, 21.39207009555452]",[ 4.16182934  0.02630308 13.14174353 21.3920701 ],117.52277436969759,127.1496513587546
39,16.61289789123017,"[2.188141918729287, 0.3175866921419135, 4.916486138928981, 6.380887081082948]",[2.44908480e+00 1.00000000e-04 2.26174448e-01 1.00000000e-04],41.22579578246034,50.85267277151735
40,40.94262295276488,"[0.22973181005639137, 0.24247045229063913, 6.899485915763152, 13.318127521919745]",[1.77251443e-01 1.46336697e-03 6.69074919e+00 1.00000000e-04],89.88524590552976,99.51212289458677
41,52.405189535225816,"[4.039789998616695, 0.8113034429468915, 3.1563192067144143, 18.60971501898425]",[4.98792968e+00 1.00000000e-04 7.35045173e-03 1.00000000e-04],112.81037907045163,122.48574150163802
42,51.073811962793854,"[2.021434253103024, 0.22367741842139885, 18.97126266804649, 3.6861319216502446]",[5.48700537e-02 6.61161091e-02 2.39999000e+01 1.00000000e-04],110.14762392558771,119.77450091464472
43,56.8630024878141,"[2.1409567439224144, 0.9166434392812388, 11.946844241588101, 1.4056584387149222]",[4.73849457e+00 1.00000000e-04 1.00000000e-04 2.21600729e-03],121.7260049756282,131.4013674068146
44,53.48291675251661,"[0.12527609529255912, 0.8014213791957051, 3.6248672596741986, 5.238250284513598]",[9.67376291e-02 6.51235012e-01 8.54928454e-01 1.00000000e-04],114.96583350503322,124.39266881179158
45,26.522293956840894,"[1.9025373925992166, 0.8728362455690696, 18.114885819291214, 7.677465876053924]",[4.49525235e+00 1.67425243e-04 5.01117271e+00 5.02564859e+00],61.04458791368179,70.5726944523773
46,53.07937831252232,"[2.5892327359483787, 0.07384238383738495, 16.466963406145382, 12.812331848336914]",[1.51002152e-01 9.99900000e-01 1.00000000e-04 1.07650038e+01],114.15875662504465,123.7365532437344
47,48.40544060876081,"[0.08611634851032063, 0.25330891227373925, 10.30938366213514, 15.135679706212889]",[2.51055998e+00 1.89597132e-02 1.00000000e-04 2.82074310e-01],104.81088121752163,114.48624364870801
48,52.82495433711072,"[1.13054943941319, 0.4399311985374986, 9.606556005606944, 5.53235021313415]",[4.99990000e+00 2.38461643e-04 4.76543081e-03 1.00000000e-04],113.64990867422144,123.17801521291696
49,32.87563572455304,"[3.847280064102048, 0.9875355883549215, 21.14241540897757, 0.7641425994705358]",[3.71953000e+00 1.00000000e-04 4.09439435e-02 1.00000000e-04],73.75127144910608,83.47453864447934
50,44.01007058133287,"[0.4862624073031164, 0.017004737129480637, 10.56091580614652, 11.106221331436647]",[4.99990000e+00 1.50565880e-03 1.88591659e+00 1.88156822e+00],96.02014116266574,105.64701815172275
51,46.937837636996115,"[3.6570352914046573, 0.5302828017518686, 1.5304256936984462, 7.865658262884543]",[4.99990000e+00 4.85354442e-04 2.68745548e+00 2.68158517e+00],101.87567527399223,111.45347189268199
52,53.28563837501139,"[2.7475477202154783, 0.9229333473056753, 3.609534942358035, 3.3527693742591533]",[4.87284867e+00 1.08325078e-03 3.33681397e+00 3.31880690e+00],114.57127675002278,124.19815373907979
53,49.538393528904464,"[2.840703014519694, 0.9773875160097959, 7.7783015733715075, 0.5544753633663124]",[4.75039836e+00 1.19888634e-03 3.79881315e+00 3.78727428e+00],107.07678705780893,116.55457846767702
54,55.35645130566834,"[3.2875843565273613, 0.30462653311706994, 3.7424688926916327, 1.4493582823447597]",[3.88698491e+00 6.14816897e-04 1.00000000e-04 1.17938633e-02],118.71290261133667,128.33977960039368
55,54.7586272642377,"[4.633455998950425, 0.2951993828062726, 0.3673048315376176, 16.01163857030322]",[ 4.633456    0.29519938  0.36730483 16.01163857],117.5172545284754,127.09505114716517
56,50.21958737561301,"[0.4144635316630201, 0.23192098092915514, 13.289243024979648, 17.88936876512677]",[4.24956648e+00 1.00000000e-04 1.68213166e-02 1.00000000e-04],108.43917475122602,118.11453718241242
57,52.39569192608442,"[0.7518488715172169, 0.8290606972192871, 0.8641511297308229, 0.3116763560793695]",[4.58191279e+00 1.00000000e-04 4.14126334e-04 1.00000000e-04],112.79138385216883,122.16660553958357
58,10.101296067873557,"[1.1511854088950009, 0.27251218159614965, 12.825830424840117, 8.247398015028313]",[2.57390392e+00 1.00000000e-04 1.00000128e-04 2.47508431e-01],28.202592135747114,37.925859331120364
59,48.851598675208905,"[4.507487138718974, 0.46937900876351096, 9.490778504575209, 7.362032295369815]",[4.83827205e+00 3.88766650e-04 3.43260225e+00 3.44659210e+00],105.70319735041781,115.23130388911333
60,49.0221220811169,"[1.7953529752814192, 0.8160616850396107, 3.4284844624937105, 2.4147405667716138]",[2.41946591e-01 1.00000000e-04 1.00000000e-04 3.04731096e+00],106.0442441622338,115.6711211512908
61,39.555615674721,"[1.5898849508906525, 0.5502134366811641, 14.180879023612034, 8.472232662061106]",[3.98352213e+00 1.00000000e-04 2.72584748e-02 1.00000120e-04],87.111231349442,96.63933788813752
62,51.397281344402984,"[4.348208480395739, 0.22409851137276793, 3.359280626558585, 6.249954801293455]",[4.90078159e+00 4.66508532e-04 3.21092057e+00 3.21190602e+00],110.79456268880597,120.46992511999235
63,53.36995997170374,"[0.7767803525821171, 0.3017623361573597, 2.872057360083562, 13.27246045349139]",[4.77816817e+00 1.00000000e-04 1.00000000e-04 6.98130867e-03],114.73991994340749,124.31771656209725
64,52.44131809384182,"[1.269771430333765, 0.2474968585010196, 20.631507641172693, 9.770283232260713]",[4.99990000e+00 4.61387697e-04 2.27098518e+00 2.27065802e+00],112.88263618768364,122.6059033830569
65,55.63798957980318,"[2.2212886718361795, 0.9134436296171015, 8.101588145774906, 1.1078161292648936]",[4.87854487e+00 1.06782024e-04 4.27858385e-03 1.00000000e-04],119.27597915960636,128.95134159079277
67,55.447373946345984,"[0.9948377391600851, 0.6488920455608337, 6.674666833792462, 3.8104453930140805]",[4.99990000e+00 1.14446145e-04 4.32414430e-03 1.00000000e-04],118.89474789269197,128.57011032387837
68,55.101313070026016,"[3.6655409962969476, 0.2435929980962767, 1.8293889500612959, 9.114353886814401]",[3.29960973e+00 1.19316003e-03 1.00963047e-04 2.57143081e-02],118.20262614005203,127.82950312910904
69,57.30825171059206,"[3.2071625470140144, 0.07852328366203913, 1.1357700865942202, 17.225258548595715]",[4.76548154e-02 9.99900000e-01 2.39999000e+01 1.00000000e-04],122.61650342118412,132.33977061655736
70,49.679500869291765,"[0.8301988232337612, 0.39349451548174846, 9.872896373873562, 6.547996782812983]",[1.32198899e+00 1.00000000e-04 8.94983172e+00 9.23505473e+00],107.35900173858353,117.08226893395678
71,53.08137445644812,"[2.5009594374350144, 0.6300994665508848, 10.815540597018796, 13.898539870202505]",[2.74691570e-01 1.00000000e-04 1.08164377e+01 1.24141978e+01],114.16274891289623,123.740545531586
72,54.75489975699784,"[2.309238791923637, 0.36616771405116233, 5.231725510320884, 0.5574446694071384]",[8.41379839e-02 9.77971449e-01 2.30695381e+01 1.00000000e-04],117.50979951399567,127.23306670936893
73,35.582604485882776,"[3.3290764171352634, 0.3616113582021828, 10.849425192788173, 4.128330073525683]",[4.49111615e+00 1.00000000e-04 1.84908750e-02 1.00000000e-04],79.16520897176555,88.84057140295195
74,49.64648787444835,"[1.2647750141658325, 0.048850285849548154, 22.05043158434291, 15.594569380410572]",[2.83112981e+00 5.08234705e-03 1.00000000e-04 1.66880823e-01],107.2929757488967,116.87077236758645
75,4.35247205346509,"[0.5527112330494959, 0.3666309470239154, 12.5911845698364, 6.472364796166195]",[4.99990000e+00 1.93386496e-03 2.69953782e+00 2.74820008e+00],16.704944106930178,26.282740725619938
76,43.06152785184983,"[0.9503934148678503, 0.649647842324635, 0.4927613685419213, 12.32400483346247]",[4.99990000e+00 2.63994908e-04 2.73998045e+00 2.73255779e+00],94.12305570369966,103.79841813488605
77,56.819289007156215,"[4.180985668567245, 0.3154834741871527, 1.8675585887503745, 4.629784593023615]",[1.25833403 0.00813916 0.00509292 0.07506199],121.63857801431243,131.31394044549882
78,28.941357625860313,"[4.49947726836018, 0.08760209076660105, 11.934805195587051, 2.537928198298596]",[7.62766460e-01 1.00000000e-04 2.24735347e+01 2.39999000e+01],65.88271525172063,75.50959224077764
79,25.510764172717263,"[2.2483296019295285, 0.9553054890345655, 0.28458340601652304, 12.648247052954755]",[ 0.16901413  0.04441285 23.9999     20.25931834],59.021528345434525,68.59932496412428
80,56.09320416875363,"[1.7548072580282936, 0.737598460961079, 5.734067458274284, 6.324074832646446]",[3.49204061e+00 2.33157773e-04 1.09081142e-04 9.29692233e-03],120.18640833750726,129.81328532656428
81,57.22535045773076,"[0.17609608316770842, 0.33565816605297444, 16.881560355194743, 10.324671172004152]",[1.29028510e-01 1.78641717e-01 4.80660327e+00 1.00000000e-04],122.45070091546152,132.12606334664792
82,48.55952663164409,"[1.3515934673490229, 0.708506132659117, 22.392841198197218, 14.069940599254748]",[1.96946459e+00 1.00000000e-04 2.38965760e+01 2.39999000e+01],105.11905326328818,114.84232045866143
83,49.1103591806261,"[4.0930974671833225, 0.831314628243264, 10.464982207731463, 0.8260420927560006]",[4.05266106e+00 1.00000000e-04 1.82582545e-02 1.00000000e-04],106.2207183612522,115.94398555662545
84,13.598619429257193,"[1.4308098119467347, 0.9471341272127215, 0.14780003867882796, 20.014298219583512]",[4.64458119e-01 1.00000000e-04 2.39999000e+01 1.91341674e+01],35.19723885851438,44.920506053887635
85,57.86585489751199,"[1.1711541610595873, 0.6468664146593841, 13.281671464885344, 0.8323925588519505]",[4.34138994e-02 3.52361965e-01 2.39999000e+01 1.00000000e-04],123.73170979502397,133.45497699039723
86,56.8089026821083,"[1.0055281810830645, 0.20466823653094343, 0.9027151702113573, 0.9183731724611186]",[4.05109346e+00 1.00000000e-04 1.00000000e-04 5.57582627e-03],121.6178053642166,131.29316779540298
87,39.14020225907462,"[2.353811935541368, 0.6115567089707437, 9.300714629290567, 4.707255293438275]",[4.14376664e+00 1.00000000e-04 2.48246811e+00 2.50504161e+00],86.28040451814924,95.90728150720625
88,54.9081308394914,"[3.9238271638383355, 0.30440995095992895, 12.652865702718014, 12.528964688563288]",[6.87240234e-02 9.99900000e-01 1.00000000e-04 1.99435091e+01],117.8162616789828,127.39405829767256
89,56.52312751275409,"[0.7716917132009762, 0.21786303705521137, 6.250824152838939, 19.513090571422122]",[1.31009306e-01 7.64100119e-01 2.39999000e+01 1.00000000e-04],121.04625502550817,130.72161745669456
90,18.027954138950932,"[0.8366012382342003, 0.8564412303076195, 12.966863802419697, 13.646618654671961]",[2.79932591e+00 1.00000000e-04 2.39999000e+01 2.39246233e+01],44.055908277901864,53.77917547327512
91,53.98693885846459,"[2.9394002492843407, 0.3706722085144852, 1.3620097783487974, 9.41621482274675]",[4.9910359e+00 1.7965016e-04 1.0000000e-04 6.4322538e-03],115.97387771692918,125.64924014811558
92,53.980658301225546,"[1.2969312495544099, 0.18739053322432753, 3.112005694614385, 7.512555989026604]",[3.66728357e+00 1.11433879e-04 1.55067739e+00 1.55875801e+00],115.96131660245109,125.48942314114662
93,40.86958329769293,"[3.7637750643048937, 0.8306089644547963, 2.6458030201516807, 9.513317255185552]",[3.04129700e+00 1.00000000e-04 5.93971055e-02 1.00000000e-04],89.73916659538585,99.36604358444286
94,53.40696020532574,"[0.8402717325470566, 0.7952074196278145, 0.7117942577322007, 0.3136546736547955]",[5.89110142e-02 9.99900000e-01 2.39999000e+01 1.00000000e-04],114.81392041065148,124.29171182051957
95,53.93895431615151,"[3.417945619897795, 0.6562468301506613, 1.4797230203205316, 20.38292039220878]",[4.99990000e+00 1.63662183e-04 1.00055020e-04 4.27443599e-03],115.87790863230302,125.50478562136003
96,45.91420354506786,"[2.0305728953889255, 0.20991320999595062, 4.252501790664492, 11.162971391355303]",[6.88263817e-02 9.99900000e-01 1.81619676e+00 1.00000000e-04],99.82840709013573,108.64717756769959
97,57.19580762859689,"[2.9777114861081477, 0.8887467460571886, 17.912970437680094, 17.824848067510132]",[1.37996332e+00 1.00000000e-04 1.77414881e+01 1.78253530e+01],122.39161525719378,132.11488245256703
98,48.77430656628945,"[1.8223651910848728, 0.5823257192983967, 2.0038269645045226, 1.400884874696997]",[3.09287489e+00 1.00711971e-04 3.26077921e-02 1.00000000e-04],105.5486131325789,115.02640454244698
99,53.142410610714975,"[3.942950943077344, 0.5100645595199873, 16.729377315311798, 6.748627506685707]",[4.99990000e+00 5.57097566e-04 1.97086884e+00 1.97685272e+00],114.28482122142995,123.86261784011971
100,33.5791919986226,"[2.2098725783929334, 0.33244808096701056, 8.05274606742022, 9.03394050762058]",[4.99990000e+00 1.47707032e-04 2.27207271e-02 1.00000000e-04],75.1583839972452,84.8337464284316
