participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,4.015176228863001,"[3.43323287894362, 0.46178689523265776, 12.685821373080657, 6.949858331011886, 0.35748871943699834]",[ 2.31711948  0.50535036 12.68582137  6.94985833  0.35748872],12.030352457726002,12.635522643714094,1,1,10
2,6.931471853433086,"[4.802151220821233, 0.44058363805968953, 12.400017950035254, 9.889686630756094, 0.3130233878158816]","[1.00000000e-04 1.00000000e-04 1.24000180e+01 9.88968663e+00
 3.13023388e-01]",17.862943706866172,18.468113892854262,1,1,10
3,6.841842173874256,"[1.0756628698674324, 0.23906721974267675, 2.7114735035422095, 5.859955376278175, 0.004827036103669985]","[6.94197832e-01 4.26281851e-01 2.71147350e+00 5.85995538e+00
 4.82703610e-03]",17.68368434774851,18.288854533736604,1,1,10
4,6.491416363571915,"[0.5541572496350898, 0.5711673581913866, 15.29378740432554, 2.5918413378958527, 0.07905313738149364]",[ 1.25255054  0.9999     15.2937874   2.59184134  0.07905314],16.98283272714383,17.588002913131923,1,1,10
5,6.931471814772819,"[1.4552937276708793, 0.3588058727353366, 20.5909667000191, 2.612011249705508, 0.590493552966786]","[1.00000000e-04 1.00000000e-04 2.05909667e+01 2.61201125e+00
 5.90493553e-01]",17.86294362954564,18.46811381553373,1,1,10
6,0.6931569577563932,"[3.173014277088763, 0.7007884742751901, 4.689767376979728, 0.9537780688518807, 0.4713242056539513]",[4.9999     0.97736938 4.68976738 0.95377807 0.47132421],5.386313915512787,5.991484101500879,1,1,10
7,6.931471814662261,"[4.167799453786136, 0.8694108319457482, 6.327539020603416, 0.9086115787792525, 0.348291355318232]","[1.00000000e-04 1.00000000e-04 6.32753902e+00 9.08611579e-01
 3.48291355e-01]",17.862943629324523,18.468113815312613,1,1,10
8,6.931471815816461,"[1.7049299927178712, 0.4894921476813941, 0.09605803362346822, 8.202885356391892, 0.09180489105329798]","[1.00000000e-04 1.00000000e-04 9.60580336e-02 8.20288536e+00
 9.18048911e-02]",17.862943631632923,18.468113817621013,1,1,10
9,6.931471825921782,"[3.910389626048137, 0.7021918759210887, 8.160170707974428, 19.24453955679862, 0.9913612339413826]","[1.00000000e-04 1.00000000e-04 8.16017071e+00 1.92445396e+01
 9.91361234e-01]",17.862943651843565,18.468113837831655,1,1,10
10,6.7703813725935476,"[0.5582159330519859, 0.4581049439433184, 9.981861096065558, 5.902327809950292, 0.7155918330628906]",[0.65290951 0.9999     9.9818611  5.90232781 0.71559183],17.540762745187095,18.14593293117519,1,1,10
11,6.931471834213295,"[1.5301898800607205, 0.26413833888105026, 11.399822886951611, 10.005033044698761, 0.4076272126650118]","[1.00000000e-04 1.00000000e-04 1.13998229e+01 1.00050330e+01
 4.07627213e-01]",17.86294366842659,18.468113854414682,1,1,10
12,6.931471832129097,"[3.2139171841877063, 0.062056245724939035, 22.85039570613332, 17.64520767599946, 0.0426849819839739]","[1.00000000e-04 1.00000000e-04 2.28503957e+01 1.76452077e+01
 4.26849820e-02]",17.862943664258196,18.468113850246286,1,1,10
13,6.822011769905531,"[3.207438412637231, 0.6248564164793252, 4.238697460018542, 19.625457677050928, 0.6960086652221864]",[ 0.83209486  0.79253961  4.23869746 19.62545768  0.69600867],17.644023539811062,18.249193725799152,1,1,10
14,5.787450558772075,"[2.084792933051835, 0.46820874080639946, 18.613610778758893, 17.377197739999858, 0.7810966133936689]","[4.99990000e+00 5.51619632e-03 1.86136108e+01 1.73771977e+01
 7.81096613e-01]",15.57490111754415,16.18007130353224,1,1,10
15,6.931471842835608,"[2.0353472933670274, 0.0054055332851778385, 2.3770626068042535, 9.039044442214637, 0.923230223631885]","[1.00000000e-04 1.00000000e-04 2.37706261e+00 9.03904444e+00
 9.23230224e-01]",17.862943685671215,18.468113871659305,1,1,10
16,6.9314718175729535,"[3.0104451869380062, 0.479937100470193, 9.54199362232455, 1.0353841913367965, 0.377880664960478]","[1.00000000e-04 1.00000000e-04 9.54199362e+00 1.03538419e+00
 3.77880665e-01]",17.862943635145907,18.468113821133997,1,1,10
17,6.931471814058442,"[3.318901657757213, 0.9392785269730395, 16.1799379491064, 7.811620492870887, 0.700127198481424]","[1.00000000e-04 1.00000000e-04 1.61799379e+01 7.81162049e+00
 7.00127198e-01]",17.862943628116884,18.468113814104974,1,1,10
18,5.432422267464535,"[0.865999823803694, 0.8122714884616214, 7.850652295866518, 5.83614988851577, 0.23171660918959516]",[1.47660214 0.9999     7.8506523  5.83614989 0.23171661],14.86484453492907,15.470014720917161,1,1,10
19,6.931471839321001,"[2.9569250422161506, 0.23526096798461424, 19.598808411764157, 11.053998694437954, 0.8132678740780434]","[1.00000000e-04 1.00000000e-04 1.95988084e+01 1.10539987e+01
 8.13267874e-01]",17.862943678642004,18.468113864630094,1,1,10
20,5.543441373408778,"[0.004673514600943892, 0.6117907501270732, 15.728403801443283, 8.162385535070754, 0.3095967455064332]",[ 1.74156329  0.32109065 15.7284038   8.16238554  0.30959675],15.086882746817556,15.692052932805648,1,1,10
21,0.693147181006029,"[0.9950026971377789, 0.5812673631630734, 2.1670511327730853, 15.68319004654114, 0.49661053601630634]",[ 4.9999      0.58707948  2.16705113 15.68319005  0.49661054],5.386294362012058,5.99146454800015,1,1,10
22,6.931471831139505,"[3.112280484540458, 0.07471465137450613, 12.742493588226807, 0.24462360547233508, 0.5194716916366833]","[1.00000000e-04 1.00000000e-04 1.27424936e+01 2.44623605e-01
 5.19471692e-01]",17.862943662279008,18.4681138482671,1,1,10
23,6.649161044367079,"[4.766144920283518, 0.9053843236793575, 22.01095530223198, 9.608993694926914, 0.8625406527590376]",[ 0.89309308  0.9999     22.0109553   9.60899369  0.86254065],17.29832208873416,17.90349227472225,1,1,10
24,6.931471836961378,"[4.414534510893234, 0.04313099223886807, 22.820868145835796, 8.65193911036611, 0.5075581883259316]","[1.00000000e-04 1.00000000e-04 2.28208681e+01 8.65193911e+00
 5.07558188e-01]",17.862943673922757,18.468113859910847,1,1,10
25,4.5550656926231685,"[3.7495825435945807, 0.03805565139498861, 17.263346474424512, 20.265106712201312, 0.9072369999026197]",[ 1.48099001  0.79749186 17.26334647 20.26510671  0.907237  ],13.110131385246337,13.715301571234429,1,1,10
26,4.989858011415551,"[4.659777665056485, 0.5267015902660769, 5.8570084849732975, 4.897277164358024, 0.673884624517301]",[1.72975647 0.90670008 5.85700848 4.89727716 0.67388462],13.979716022831102,14.584886208819194,1,1,10
27,6.450166904028857,"[1.4104094057238592, 0.7060388728781556, 14.423691269329149, 20.71397102779346, 0.5836374326931673]",[ 1.01512142  0.9999     14.42369127 20.71397103  0.58363743],16.900333808057717,17.505503994045807,1,1,10
28,3.4656669918042216,"[1.4248231596037069, 0.7487627266074031, 12.266319961436867, 8.730628093468853, 0.519342255896358]",[ 2.2539068   0.70425393 12.26631996  8.73062809  0.51934226],10.931333983608443,11.536504169596535,1,1,10
29,5.254541036414583,"[3.988952867562768, 0.2821602207034642, 15.730569599874954, 6.3895644607060715, 0.29346735581144506]","[4.99990000e+00 6.28894641e-03 1.57305696e+01 6.38956446e+00
 2.93467356e-01]",14.509082072829166,15.114252258817258,1,1,10
30,6.931471848161593,"[1.987750263072346, 0.04790998730605174, 15.229754624584722, 18.313405895785138, 0.2625635975384524]","[1.00000000e-04 1.00000000e-04 1.52297546e+01 1.83134059e+01
 2.62563598e-01]",17.862943696323185,18.46811388231128,1,1,10
31,5.764811667201729,"[2.5395670048556718, 0.63473659438811, 1.03850114504471, 12.218990903448274, 0.3695925766221644]",[ 1.20192881  0.9999      1.03850115 12.2189909   0.36959258],15.529623334403459,16.13479352039155,1,1,10
32,6.931471836300328,"[1.01219443310003, 0.7347216091129374, 9.856584344607562, 8.848637862492188, 0.33719851744758794]","[1.00000000e-04 1.00000000e-04 9.85658434e+00 8.84863786e+00
 3.37198517e-01]",17.862943672600657,18.468113858588747,1,1,10
33,6.929960111441467,"[3.3259489908191844, 0.7791702464232256, 1.3670703495586458, 16.42022756099373, 0.8397232699217297]",[ 0.10421936  0.9999      1.36707035 16.42022756  0.83972327],17.859920222882934,18.465090408871028,1,1,10
34,6.931471837400545,"[1.3627477536971568, 0.5062252628952176, 23.648858731881116, 5.261958757263404, 0.7758825827948111]","[1.00000000e-04 1.00000000e-04 2.36488587e+01 5.26195876e+00
 7.75882583e-01]",17.862943674801087,18.46811386078918,1,1,10
35,5.401536059613516,"[1.9850710100052693, 0.9355275864807341, 0.08942218540858711, 6.018315766822544, 0.10442127000340543]",[4.9999     0.0076174  0.08942219 6.01831577 0.10442127],14.803072119227032,15.408242305215124,1,1,10
36,6.931471829929352,"[3.7641498141485616, 0.21030962320666657, 4.259734411014353, 6.264954993624022, 0.3794591404711519]","[1.00000000e-04 1.00000000e-04 4.25973441e+00 6.26495499e+00
 3.79459140e-01]",17.862943659858704,18.468113845846794,1,1,10
37,6.931244890754954,"[0.8953544032250135, 0.6299598812447099, 10.536613546551713, 10.816838233517773, 0.46533891194076166]",[ 0.04063043  0.9999     10.53661355 10.81683823  0.46533891],17.862489781509908,18.467659967498,1,1,10
38,5.8272909977128435,"[4.7118232467244106, 0.07993898443558377, 0.24019616159940926, 2.4698469929672524, 0.467144207181726]",[1.29649888 0.75457618 0.24019616 2.46984699 0.46714421],15.654581995425687,16.25975218141378,1,1,10
39,4.30183824220064,"[0.06421775543333338, 0.8034713181046405, 7.222618210389994, 23.01457065731045, 0.12034191019642608]",[ 2.34712812  0.39653423  7.22261821 23.01457066  0.12034191],12.60367648440128,13.208846670389372,1,1,10
