participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,0.6931471812488781,"[0.8208711966085009, 0.888608753948344, 22.637974917333004, 2.432440319467773, 0.34668967195414935]","[4.17169589e+00 8.25806535e-01 2.28439525e+01 2.27176268e+00
 1.00000000e-04]",11.386294362497756,12.899219827467986,1,1,10
2,0.6931476013540979,"[4.125939717793623, 0.5087123648247938, 0.9907950999296237, 4.62081404633412, 0.9671454126262002]","[4.60701863e+00 2.03131540e-01 8.87473495e-01 4.46346015e+00
 1.00000000e-04]",11.386295202708196,12.899220667678426,1,1,10
3,6.479302770954904,"[3.115945006147916, 0.09386913168236483, 21.668875859503448, 14.327555387074408, 0.6353840063021098]","[1.72535842e+00 3.72943469e-01 2.39999000e+01 1.00000000e-04
 5.55574187e-01]",22.958605541909808,24.47153100688004,1,1,10
4,4.004017173094558,"[0.46206939327064395, 0.057794073856773945, 5.655181642560889, 2.4490746638431315, 0.8458567219370073]","[4.99990000e+00 6.05475332e-03 8.44222900e-02 1.00000000e-04
 3.03102953e-01]",18.008034346189117,19.520959811159347,1,1,10
5,3.5654879047478563,"[0.7495118802492055, 0.36102616681090227, 3.272945626914903, 2.663541176447827, 0.34183808138874155]","[4.99990000e+00 1.24010305e-01 1.02093391e+00 1.00000000e-04
 1.42863160e-01]",17.130975809495713,18.643901274465943,1,1,10
6,5.2806857821883995,"[0.2834615162172109, 0.9121938820832736, 23.747213780172164, 23.158891930989586, 0.21786451162634562]",[ 1.91643011  0.49691745 23.74813459 23.15815135  0.66652967],20.5613715643768,22.07429702934703,1,1,10
7,3.007555539089891,"[3.757567881701323, 0.7685967981756231, 2.3748011953012758, 9.653287324046728, 0.5260371466521236]","[4.99990000e+00 2.75486463e-03 1.00000000e-04 5.84186021e-02
 1.00000000e-04]",16.015111078179782,17.528036543150012,1,1,10
8,3.682611925234,"[0.5901580615392599, 0.8554171449609812, 9.163148696882722, 7.381688578516117, 0.5849260602534714]","[4.99990000e+00 2.81748494e-02 6.00403108e-01 1.00000000e-04
 1.29216988e-01]",17.365223850468,18.87814931543823,1,1,10
9,5.293613045199811,"[2.1654147559570367, 0.8312641351621579, 5.254385310008758, 5.0943401873096095, 0.48585845363256724]","[6.99754400e-01 5.81693572e-01 1.00000000e-04 1.00000000e-04
 1.00000000e-04]",20.58722609039962,22.10015155536985,1,1,10
10,3.694393350414451,"[2.250603577182401, 0.3362844716354669, 1.5575959159252304, 6.564390628661739, 0.7781703308492065]",[4.83792512 0.53369897 0.63735979 6.36664272 0.22871355],17.388786700828902,18.901712165799132,1,1,10
11,5.493237409639381,"[4.391582663922095, 0.802573708629385, 4.5538217067470965, 0.8400798161205884, 0.7886556511351702]",[4.9999     0.9999     4.55382047 0.84007982 0.42926046],20.98647481927876,22.499400284248992,1,1,10
12,5.2765694284993385,"[1.7939427788318971, 0.2458487648287202, 3.9478671247250974, 0.7029135581286425, 0.1945274572605192]",[2.34720797 0.17729216 0.52173629 0.40955164 0.42255399],20.55313885699868,22.06606432196891,1,1,10
13,4.058205523232608,"[0.3331364837136424, 0.6942018210647151, 0.22272340083421605, 0.21320385423720112, 0.174897020667172]","[4.99084989e+00 7.15388098e-01 2.60610436e-01 2.03802470e-03
 5.99991790e-01]",18.116411046465217,19.629336511435447,1,1,10
14,4.85849537726167,"[2.625130222405869, 0.7970260824214609, 3.4340623245048563, 20.434406348477317, 0.9248982552669314]","[2.94301622e+00 7.47520476e-01 1.00000000e-04 2.39999000e+01
 2.92816406e-01]",19.71699075452334,21.22991621949357,1,1,10
15,0.6935972264706498,"[4.388882617020478, 0.0771104583946444, 23.099538944930437, 7.387563438328497, 0.8295673495465448]","[9.77934109e-01 1.00000000e-04 2.30995389e+01 3.87838081e+00
 1.00000000e-04]",11.3871944529413,12.90011991791153,1,1,10
16,5.843662110299156,"[2.414716800020473, 0.14500619436224174, 14.586175036632422, 8.14033592248312, 0.9286925248064122]","[4.07679200e+00 8.81608715e-03 1.45861750e+01 8.14033592e+00
 8.31158574e-01]",21.687324220598313,23.200249685568544,1,1,10
17,4.852093856342265,"[3.249552488353303, 0.08227426125509271, 19.5875022176118, 9.844128175037186, 0.262816797304964]","[4.00379572e+00 1.61757835e-01 1.96836781e+01 9.59831567e+00
 1.00000000e-04]",19.70418771268453,21.21711317765476,1,1,10
18,2.0801534418539704,"[2.5572633113762846, 0.2057477765031368, 17.599430558042286, 13.6207827023914, 0.9782426316841318]","[4.16977493e+00 5.01375070e-02 7.24590810e+00 6.73988009e+00
 1.00000000e-04]",14.16030688370794,15.673232348678171,1,1,10
19,3.5648684313675996,"[4.639255104826147, 0.2420892059929533, 8.006227478888063, 3.5644343456558225, 0.017584509741411788]",[ 4.68373848  0.97508844 23.9999      3.56421539  0.14274399],17.1297368627352,18.64266232770543,1,1,10
20,5.846039292082898,"[0.1981663094778795, 0.05972885446808456, 3.5488324160834592, 16.953434640073255, 0.576420923188767]","[4.99990000e+00 4.22790707e-02 1.02362652e+00 1.41429180e-04
 4.02577930e-01]",21.692078584165795,23.205004049136026,1,1,10
21,2.5996371508829244,"[3.1350128676714406, 0.834515487721882, 5.379636224060773, 16.696890784515553, 0.4217130455910648]",[ 3.65219473  0.78445045  7.25458254 23.9999      0.3376831 ],15.199274301765849,16.712199766736077,1,1,10
22,2.773170862491254,"[3.4745493115865935, 0.22790133948515343, 15.027876243308027, 13.175371648446644, 0.9972008310138487]","[3.57853010e+00 3.16749196e-02 1.51543240e+01 1.40058344e+01
 1.00000000e-04]",15.546341724982508,17.059267189952738,1,1,10
23,1.2522114495755514,"[3.47745700941962, 0.2906456484026971, 6.067152968514731, 17.29492340123256, 0.899722939164116]","[4.99990000e+00 7.11277059e-02 2.28501813e-01 1.00000000e-04
 1.00000000e-04]",12.504422899151102,14.017348364121332,1,1,10
24,5.313916170174189,"[2.8507294559683993, 0.5736840209427426, 0.057096364363631684, 0.3957650474998075, 0.5539808538057376]","[4.99990000e+00 7.74356732e-03 1.00000000e-04 1.65991516e-02
 2.37085597e-01]",20.627832340348377,22.140757805318607,1,1,10
25,0.6931471980685712,"[3.9111262732790593, 0.500700040950763, 6.349008546641617, 5.6651647772589495, 0.7644369695887252]","[4.54629346e+00 4.51085548e-01 5.89655749e+00 5.66516478e+00
 1.00000000e-04]",11.386294396137142,12.899219861107373,1,1,10
26,0.6931471835159,"[4.682982965804924, 0.04339133397295121, 11.733959965999107, 1.045076121720929, 0.03224116895053259]","[4.70686419e+00 5.41663380e-01 1.17339600e+01 1.04507612e+00
 1.00000000e-04]",11.3862943670318,12.89921983200203,1,1,10
27,0.6931471819130877,"[0.10623301667746846, 0.46743634954313273, 6.420842624588356, 19.85410064895684, 0.06201364349165469]","[3.89618743e+00 7.74560658e-01 6.37210500e+00 1.99534001e+01
 1.00000000e-04]",11.386294363826176,12.899219828796406,1,1,10
