participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,132.67484849668605,"[2.3312274859265063, 0.15837738055200218, 1.6040038742729055, 0.037527980776611444, 0.4804729229728357]",[0.74975509 0.9999     1.60400387 0.74614845 0.66009174],"[np.float64(1.2877978166753736), np.float64(-0.00015334736341011227)]","[np.float64(-1.2877978166753736), np.float64(0.00015334736341011227)]",275.3496969933721,294.22245472109415
2,59.365613040946634,"[2.901424866768558, 3.3093380947567717, 22.7606845783919, 0.11664063634329268, 2.9509027602804228]",[ 0.68265124  0.9999     22.76068458  0.89211226  0.70480534],"[np.float64(4.949779811320994), np.float64(-2.8138510895474094e-100)]","[np.float64(-4.949779811320994), np.float64(2.8138510895474094e-100)]",128.73122608189328,146.2578837615551
3,169.94407111000655,"[1.2449314778283145, 1.0320495373049339, 3.0806012630004598, 0.2880167536568216, 2.7839307833425853]","[4.32370880e-02 1.00000000e-04 3.08060126e+00 1.00000000e-04
 1.00000000e-04]","[np.float64(-1.981017902307046), np.float64(-3.0845988681104983)]","[np.float64(1.981017902307046), np.float64(3.0845988681104983)]",349.8881422200131,367.455285950838
4,225.02206718620383,"[0.8923618147296776, 0.43706872707980776, 0.5005165370133764, 0.4248874416244217, 1.7639929874206193]","[1.83036018e-01 9.15842327e-01 5.00516537e-01 9.99900000e-01
 1.00000000e-04]","[np.float64(0.012842007533934784), np.float64(0.0004005411915654495)]","[np.float64(-0.012842007533934784), np.float64(-0.0004005411915654495)]",460.04413437240765,479.05472624929297
5,170.07322827875385,"[2.616185530932492, 1.5687217495270607, 21.965443305864344, 0.8498209451868749, 2.413449545285766]","[4.21746443e-03 1.00000000e-04 2.19653534e+01 9.99900000e-01
 1.52245055e+00]","[np.float64(-13.562278152977617), np.float64(18.593632061791453)]","[np.float64(13.562278152977617), np.float64(-18.593632061791453)]",350.1464565575077,367.6527476102313
6,135.67027756404826,"[1.0354662034304736, 2.6054474133180623, 23.958126585109692, 0.5242784200859164, 1.9574763613344812]",[ 0.60666972  0.9999     23.95812659  0.26702232  0.18998621],"[np.float64(1.138045813780826e-24), np.float64(0.35482158466362973)]","[np.float64(-1.138045813780826e-24), np.float64(-0.35482158466362973)]",281.3405551280965,298.86721280775834
7,167.8925881115472,"[3.587667576275803, 0.5471955874056428, 5.073062982694573, 0.0758845756762556, 0.6190268877410539]","[1.29047083e-01 4.92162431e-02 5.07306180e+00 6.05604752e-01
 1.00000000e-04]","[np.float64(-1.7342241417062922), np.float64(2.541117793266503)]","[np.float64(1.7342241417062922), np.float64(-2.541117793266503)]",345.7851762230944,363.3321179062343
8,163.8604921380986,"[1.3077841447236382, 0.5375997465036955, 9.148297384198916, 0.6886913972210164, 0.2458033510129702]",[0.38162336 0.47387728 9.14829738 0.08137643 0.12363793],"[np.float64(-0.007271206277005865), np.float64(-0.5661592255076063)]","[np.float64(0.007271206277005865), np.float64(0.5661592255076063)]",337.7209842761972,355.2272753289208
9,166.94448351141276,"[3.556236592928858, 0.7879940570553233, 22.333068507892246, 0.276552570056031, 1.5948876006624573]","[1.75275623e-01 1.58382735e-02 2.23330687e+01 1.00000000e-04
 5.49256452e-01]","[np.float64(-0.7110098985652566), np.float64(-2.8887274483042633)]","[np.float64(0.7110098985652566), np.float64(2.8887274483042633)]",343.8889670228255,361.4156247024873
10,158.2266724865033,"[4.371109663567017, 0.37938084614131945, 0.4042895054078421, 0.425702072819183, 3.8387150560235224]",[0.40344207 0.92050376 0.40428951 0.32625042 0.36175296],"[np.float64(0.7449385248558633), np.float64(-0.09576484273362623)]","[np.float64(-0.7449385248558633), np.float64(0.09576484273362623)]",326.4533449730066,343.91865218970935
11,167.01096189996488,"[3.279322653723282, 1.882548777329253, 1.8033752709646087, 0.057634563242274554, 0.35514125030708543]","[6.32435550e-02 1.00000000e-04 1.80337556e+00 7.01392202e-01
 9.24525077e-02]","[np.float64(11.337830297557522), np.float64(6.33639388672999)]","[np.float64(-11.337830297557522), np.float64(-6.33639388672999)]",344.02192379992977,361.5485814795916
12,204.49127921226565,"[0.14114342476628353, 0.4310559858648702, 8.608674356078344, 0.4520567770666938, 4.593167035378816]","[5.71127079e-01 8.88017642e-01 8.60867436e+00 1.00000000e-04
 7.28403668e-01]","[np.float64(0.6585859804809414), np.float64(-1.1614763749423747e-05)]","[np.float64(-0.6585859804809414), np.float64(1.1614763749423747e-05)]",418.9825584245313,437.90168433618
13,167.93536423309067,"[1.287238100209555, 4.91325235691104, 6.027666709286674, 0.9746849297649174, 4.534009323464911]",[0.21634124 0.40227744 6.02579647 0.53790352 0.40218132],"[np.float64(0.026112687916447688), np.float64(1.6552812442350617)]","[np.float64(-0.026112687916447688), np.float64(-1.6552812442350617)]",345.87072846618133,363.45799294850485
14,150.93129850977294,"[0.1401332358181073, 0.7284121915082433, 0.6291516451137504, 0.9086409057887754, 4.537373724470891]","[3.30400380e-01 9.99900000e-01 6.29151645e-01 1.00000000e-04
 2.91208493e+00]","[np.float64(0.9999529481608349), np.float64(1.0000585022129411e-16)]","[np.float64(-0.9999529481608349), np.float64(-1.0000585022129411e-16)]",311.8625970195459,329.4699016088571
15,161.75711138580337,"[0.9634865390645685, 4.248292032980331, 1.4539328668898288, 0.027970878617834094, 4.239199818163577]","[1.35757072e-01 1.00000000e-04 1.45393289e+00 1.00000000e-04
 1.00000000e-04]","[np.float64(3.368617855302893), np.float64(6.360797516591808)]","[np.float64(-3.368617855302893), np.float64(-6.360797516591808)]",333.51422277160674,350.8545234772824
16,50.01132327772971,"[3.6609216079533438, 0.4440372234729941, 18.388327504568903, 0.5237471395174962, 1.5533776942450304]","[1.12192569e+00 9.99900000e-01 1.83883275e+01 1.00000000e-04
 4.99990000e+00]","[np.float64(9.999977754340907e-273), np.float64(0.9999518640741303)]","[np.float64(-9.999977754340907e-273), np.float64(-0.9999518640741303)]",110.02264655545942,127.52893760818306
17,200.85702041081706,"[0.23643732479477517, 1.1096178966216157, 6.055374229552986, 0.06343793343089617, 3.3895564569370795]","[5.55404855e-01 9.99900000e-01 6.05537423e+00 1.00000000e-04
 5.43214066e-01]","[np.float64(5.43217678715977e-17), np.float64(0.5431961499430582)]","[np.float64(-5.43217678715977e-17), np.float64(-0.5431961499430582)]",411.7140408216341,430.524297735535
18,166.7753642744279,"[3.3068487918131466, 0.09638371150737711, 12.809365270529051, 0.9262670597896214, 1.9518807093679238]","[7.65777160e-02 1.00000000e-04 1.28093660e+01 3.91956252e-01
 1.66212580e-01]","[np.float64(-17.36145541078302), np.float64(-17.96784034834321)]","[np.float64(17.36145541078302), np.float64(17.96784034834321)]",343.5507285488558,361.0773862285176
19,169.23427279265022,"[0.8781997451860857, 3.3647156405166894, 13.877306074970459, 0.2385728853342525, 1.1487682790898965]","[2.50657668e-01 9.99900000e-01 1.38773061e+01 1.00000000e-04
 1.00000000e-04]","[np.float64(1.0000546400736312), np.float64(-0.00010001365774572734)]","[np.float64(-1.0000546400736312), np.float64(0.00010001365774572734)]",348.46854558530043,365.99520326496224
20,101.38836966119578,"[0.31629243860203443, 4.366660331439691, 0.770638554771796, 0.24193698835746472, 3.580960396485186]","[1.06824663e+00 9.99900000e-01 7.70638555e-01 1.00000000e-04
 1.05619003e+00]","[np.float64(1.0000908702989264), np.float64(-9.999865306730791e-05)]","[np.float64(-1.0000908702989264), np.float64(9.999865306730791e-05)]",212.77673932239156,231.7112262292251
21,164.35861235374105,"[0.08904698363212277, 0.8714635016463329, 7.970170489139122, 0.5919018698579018, 1.0104290399255353]",[0.09723965 0.18633773 7.97017043 0.9999     0.09629854],"[np.float64(2.5359710179407697), np.float64(1.359078964292568)]","[np.float64(-2.5359710179407697), np.float64(-1.359078964292568)]",338.7172247074821,356.18253192418484
22,188.48672058508996,"[0.3026935435334521, 0.6020679053776415, 22.192388905527938, 0.707410794191925, 4.065154908508818]",[ 0.48570572  0.96384143 22.19238891  0.65128835  0.65515967],"[np.float64(1.4099444300495333e-06), np.float64(1.6248722039762524)]","[np.float64(-1.4099444300495333e-06), np.float64(-1.6248722039762524)]",386.9734411701799,405.8925670818286
23,139.58858595482144,"[0.19984972229126727, 2.4793328276394293, 22.676891423521127, 0.8309673082391273, 3.005744045197261]",[ 0.34094615  0.9999     22.67689142  0.95737897  0.28606904],"[np.float64(-1.2687005276728167e-20), np.float64(2.649416235044461)]","[np.float64(1.2687005276728167e-20), np.float64(-2.649416235044461)]",289.1771719096429,306.60115657709616
24,222.74475202219193,"[2.6621824764924513, 2.739561327435971, 12.913469941861873, 0.32230804218776005, 4.4651168676889466]","[9.66147237e-03 1.00000000e-04 1.29134763e+01 2.43087487e-01
 4.99990000e+00]","[np.float64(32.95777076613647), np.float64(10.642787223028323)]","[np.float64(-32.95777076613647), np.float64(-10.642787223028323)]",455.48950404438386,474.3622617721059
25,228.15945921095988,"[3.064049661504059, 0.00697869946065981, 8.515886819631696, 0.22002705477301737, 2.6841892124074214]","[6.69123396e-02 6.72406603e-02 8.46003331e+00 1.00000000e-04
 1.00000000e-04]","[np.float64(0.5464696436442401), np.float64(-1.0399864848105604)]","[np.float64(-0.5464696436442401), np.float64(1.0399864848105604)]",466.31891842191976,485.29920717574663
26,79.10846919829294,"[3.340271148855539, 0.9243272461551951, 21.35374172173667, 0.06005083564985094, 4.8075464211919705]","[1.01032817e+00 9.99900000e-01 2.13537402e+01 1.00000000e-04
 1.24980474e+00]","[np.float64(1.2499095388123467), np.float64(1.250069373266069e-160)]","[np.float64(-1.2499095388123467), np.float64(-1.250069373266069e-160)]",168.21693839658587,185.70277952305187
27,177.09015143296372,"[1.1898434391351267, 3.545477100239997, 14.041724099371251, 0.3498463894799845, 2.0133995381608374]","[6.28823054e-01 9.99900000e-01 1.40418925e+01 1.00000000e-04
 1.52418699e+00]","[np.float64(-1.0000808738214595e-28), np.float64(1.5242540129528632)]","[np.float64(1.0000808738214595e-28), np.float64(-1.5242540129528632)]",364.18030286592744,383.1605916197543
28,132.72308392356499,"[0.47402551761249057, 2.1230735724673164, 16.796784836511662, 0.5632228141581903, 2.452299961365498]","[6.00037841e-01 9.99900000e-01 1.67967848e+01 1.00000000e-04
 1.48525465e+00]","[np.float64(1.4853363745580972), np.float64(-1.0000400795535876e-52)]","[np.float64(-1.4853363745580972), np.float64(1.0000400795535876e-52)]",275.44616784712997,292.84936246383995
29,83.98479278919784,"[1.8830587467195978, 1.994368246772155, 13.057723549803464, 0.43229867409646244, 3.501771248112956]",[ 0.82757267  0.9999     13.0577235   0.47300089  0.77842829],"[np.float64(1.5752748404476509e-80), np.float64(1.492761226451831)]","[np.float64(-1.5752748404476509e-80), np.float64(-1.492761226451831)]",177.96958557839568,195.37278019510563
30,162.32644816047275,"[0.9883410242964651, 2.9132711334913592, 23.427063122668745, 0.26017478758315465, 1.6589228617050022]",[ 0.20129583  0.9999     23.42706303  0.9999      0.28426846],"[np.float64(1.587734173197811e-72), np.float64(0.8728554914416169)]","[np.float64(-1.587734173197811e-72), np.float64(-0.8728554914416169)]",334.6528963209455,352.1795540006073
31,121.68090749866535,"[0.4242754044684946, 4.6125340564829305, 5.245603663757882, 0.1193395911769799, 2.299010691565244]",[1.04006597 0.9999     5.24560366 0.0335123  0.7642033 ],"[np.float64(7.931365514380215e-49), np.float64(0.7914266471346968)]","[np.float64(-7.931365514380215e-49), np.float64(-0.7914266471346968)]",253.3618149973307,272.29630190416424
32,174.57454859096194,"[0.8552261678574814, 4.415407292176106, 1.3810686785426391, 0.8966207316822916, 2.650741614303411]",[0.84373435 0.83873339 1.38106874 0.05540777 0.69265291],"[np.float64(0.025719041853560182), np.float64(0.8677512624078036)]","[np.float64(-0.025719041853560182), np.float64(-0.8677512624078036)]",359.1490971819239,378.12938593575075
33,122.11657458937545,"[0.3679109543038481, 3.2235097953289014, 0.3633540263032053, 0.8805842000968498, 4.50810809108441]","[8.40548042e-01 9.99900000e-01 3.63354026e-01 1.00000000e-04
 1.74778203e+00]","[np.float64(1.0000303806038303e-112), np.float64(0.9999500260277212)]","[np.float64(-1.0000303806038303e-112), np.float64(-0.9999500260277212)]",254.2331491787509,273.2437410556362
34,188.52218326509671,"[3.018111658951243, 2.19610017663147, 0.6710655549767266, 0.2532550335461876, 3.4054211757752246]",[0.63169254 0.9999     0.67106555 0.12319904 0.7249655 ],"[np.float64(-8.356941578139455e-21), np.float64(1.0276866821260475)]","[np.float64(8.356941578139455e-21), np.float64(-1.0276866821260475)]",387.04436653019343,405.9171242579155
35,167.24871271983483,"[1.9151816054433728, 3.0374283980663184, 16.68276001066632, 0.9518750374890258, 2.9712839306182732]","[1.26990027e-01 5.21747145e-01 1.66827609e+01 1.00000000e-04
 3.95444647e+00]","[np.float64(-0.8916735885160334), np.float64(0.9913534161907422)]","[np.float64(0.8916735885160334), np.float64(-0.9913534161907422)]",344.49742543966966,362.04436712280955
36,145.7340137435382,"[2.5377311150474644, 0.7455116488773279, 3.295449655065745, 0.11225329427318348, 0.789778002633966]","[7.12314992e-01 9.99900000e-01 3.29544979e+00 1.00000000e-04
 4.49862928e-01]","[np.float64(-4.499365025512476e-13), np.float64(0.9999872171285162)]","[np.float64(4.499365025512476e-13), np.float64(-0.9999872171285162)]",301.4680274870764,319.0149691702163
37,214.73600055729167,"[3.071095103004471, 0.9964775093751262, 15.896210516093046, 0.6954817993069462, 1.9413492294193038]","[8.28256996e-02 2.88388399e-04 1.58962099e+01 9.99900000e-01
 4.12382919e-01]","[np.float64(-16.451154915475787), np.float64(-14.119183705708348)]","[np.float64(16.451154915475787), np.float64(14.119183705708348)]",439.47200111458335,458.28225802848425
38,165.03469346424725,"[1.7501444025385717, 1.1771892535633826, 5.436057510099411, 0.26948582505065566, 4.296616164492245]","[3.11294450e-01 9.78773004e-01 5.43605596e+00 1.00000000e-04
 7.52884426e-01]","[np.float64(1.000545791798583), np.float64(-0.02122918888153282)]","[np.float64(-1.000545791798583), np.float64(0.02122918888153282)]",340.0693869284945,357.53469414519725
39,167.8875224662201,"[0.023935070069980965, 0.13533883169124108, 2.6383248692579047, 0.947726095027439, 4.53230712433061]",[0.02098449 0.02582224 2.63832562 0.9999     1.38442806],"[np.float64(8.446382305247893), np.float64(14.296225603134364)]","[np.float64(-8.446382305247893), np.float64(-14.296225603134364)]",345.7750449324402,363.301702612102
40,103.85291741050453,"[2.8137935398289446, 1.991227269450881, 8.237937735063941, 0.26972450380362906, 2.4569584739772425]","[7.94818117e-01 9.99900000e-01 8.23793813e+00 1.00000000e-04
 1.68590570e+00]","[np.float64(-1.0000698656507991e-28), np.float64(0.99994253443222)]","[np.float64(1.0000698656507991e-28), np.float64(-0.99994253443222)]",217.70583482100906,235.19167594747506
