participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,105.92716098543784,"[0.745863787132625, 1.1684244899695737, 17.91295341605171]",[ 0.23937605  0.05530882 17.91295561],"[np.float64(1.897567252908273), np.float64(7.531380840648243)]","[np.float64(-1.897567252908273), np.float64(-7.531380840648243)]",217.85432197087567,229.1779766075089
2,45.60553420211737,"[0.33509689429440015, 0.25247451147108557, 5.561257958541314]",[1.15727168 0.23308141 5.56125796],"[np.float64(1.6598705068647197), np.float64(0.00027851124751288904)]","[np.float64(-1.6598705068647197), np.float64(-0.00027851124751288904)]",97.21106840423474,107.72706301203182
3,168.9237817139691,"[4.522010209978487, 0.4348902906047619, 14.900991644728101]",[ 0.41971685  2.06438332 15.74954541],"[np.float64(-0.4517553214185415), np.float64(0.3743276141968975)]","[np.float64(0.4517553214185415), np.float64(-0.3743276141968975)]",343.8475634279382,354.38784966643317
4,227.7753348920146,"[0.24728541542394908, 0.21405614334161147, 6.364053905834083]",[0.3455396  1.80737471 0.32423161],"[np.float64(-0.0426927160050436), np.float64(0.12609794912814962)]","[np.float64(0.0426927160050436), np.float64(-0.12609794912814962)]",461.5506697840292,472.9570249101604
5,169.64527752557188,"[0.36060335547703537, 3.5496161088242917, 21.58273521226805]",[ 0.2448162  3.8446959 20.8371211],"[np.float64(-3.981811713805103e+109), np.float64(-4.064887156287128e+109)]","[np.float64(3.981811713805103e+109), np.float64(4.064887156287128e+109)]",345.29055505114377,355.79432968277797
6,104.80567232118844,"[0.7714944184754798, 1.3085853689391276, 4.564222813184049]",[0.59670456 0.09108006 4.5660576 ],"[np.float64(0.6912607221582842), np.float64(2.2787473949634762)]","[np.float64(-0.6912607221582842), np.float64(-2.2787473949634762)]",215.61134464237688,226.12733925017397
7,157.46714357623804,"[2.4698211626150903, 3.9640168498195387, 11.888523116014857]",[5.05108945e-02 3.88408797e-03 1.18885231e+01],"[np.float64(41.14516231681443), np.float64(17.474145630310666)]","[np.float64(-41.14516231681443), np.float64(-17.474145630310666)]",320.9342871524761,331.46245216236
8,164.9501206834309,"[1.7137188840842645, 3.9961112471813416, 2.645315379907885]",[0.62166539 1.61954334 3.19622407],"[np.float64(0.20680090964382036), np.float64(-0.16599362328423453)]","[np.float64(-0.20680090964382036), np.float64(0.16599362328423453)]",335.9002413668618,346.404015998496
9,168.06727043197984,"[2.7719437679492462, 2.667130727523312, 12.168548455635339]",[4.52572244e-02 4.14549825e-03 1.28648831e+01],"[np.float64(22.848564483105676), np.float64(31.653913717591834)]","[np.float64(-22.848564483105676), np.float64(-31.653913717591834)]",342.13454086395967,352.65053547175677
10,157.91010798740902,"[2.342191674398638, 2.496459350245572, 5.803235923548987]",[0.78185292 1.72587606 0.3       ],"[np.float64(0.013457603126515172), np.float64(-0.25218658615859885)]","[np.float64(-0.013457603126515172), np.float64(0.25218658615859885)]",321.82021597481804,332.2994003048397
11,149.866182311484,"[0.8203505741574263, 4.132655251738431, 4.938780813235203]",[0.09503486 0.01299614 4.93878081],"[np.float64(21.86853653978561), np.float64(8.057397127769944)]","[np.float64(-21.86853653978561), np.float64(-8.057397127769944)]",305.732364622968,316.2483592307651
12,204.09641558946666,"[0.30467878465679266, 1.0394699309210091, 0.4842665189449352]",[ 0.77586922  1.16002188 23.9999    ],"[np.float64(0.27335485162284906), np.float64(-2.08034614273203e-05)]","[np.float64(-0.27335485162284906), np.float64(2.08034614273203e-05)]",414.1928311789333,425.5443067259225
13,169.87654062534554,"[2.303818328263313, 3.9287070816956624, 1.925608632822639]",[ 0.51496428  1.25073596 23.9999    ],"[np.float64(-2.0150057736974034e-05), np.float64(0.3182602144421541)]","[np.float64(2.0150057736974034e-05), np.float64(-0.3182602144421541)]",345.7530812506911,356.3054399400852
14,143.04948937294608,"[2.1575814291111017, 2.5403004196102414, 6.995689917305075]",[0.14389933 0.02804483 0.36337223],"[np.float64(15.449121888213341), np.float64(2.384123222056211)]","[np.float64(-15.449121888213341), np.float64(-2.384123222056211)]",292.09897874589217,302.6633614994789
15,158.69280677655163,"[0.6302114981292437, 3.0247357783374462, 14.89684497214091]",[ 0.9362381   4.01166046 23.9999    ],"[np.float64(-3.674833434530832e+110), np.float64(-1.9868761671623962e+112)]","[np.float64(3.674833434530832e+110), np.float64(1.9868761671623962e+112)]",323.38561355310327,333.7897939765087
16,32.075716152873724,"[0.3381703348606018, 0.752555559218191, 3.7528882131589714]",[0.44942751 0.04979587 3.75288819],"[np.float64(0.0317605778771943), np.float64(9.26093080487345)]","[np.float64(-0.0317605778771943), np.float64(-9.26093080487345)]",70.15143230574745,80.65520693738164
17,200.7656081929656,"[3.4230861184965375, 2.906222258863408, 21.155545445584057]",[ 0.77823488  0.93353777 20.64408568],"[np.float64(6.975692684243071e-06), np.float64(0.2769804358814561)]","[np.float64(-6.975692684243071e-06), np.float64(-0.2769804358814561)]",407.5312163859312,418.81737053427173
18,169.12791205662998,"[4.288078230683889, 2.7228812925812425, 23.944343663642556]",[ 4.9999      4.9999     23.94434366],"[np.float64(-5.261628398337637e+146), np.float64(-3.5644831729105744e+146)]","[np.float64(5.261628398337637e+146), np.float64(3.5644831729105744e+146)]",344.25582411325996,354.77181872105706
19,167.64591285441347,"[1.3448383242188737, 2.4542533122964354, 17.72038491493266]",[4.24246211e-02 1.00000000e-04 1.93780234e+01],"[np.float64(47.63900458254701), np.float64(30.709535166518823)]","[np.float64(-47.63900458254701), np.float64(-30.709535166518823)]",341.29182570882693,351.80782031662403
20,79.97483928673384,"[3.77762030561029, 0.9323567657941809, 20.72109969918636]",[ 0.69699802  0.15846668 20.7210997 ],"[np.float64(1.2508877657845923), np.float64(1.0330559185242538)]","[np.float64(-1.2508877657845923), np.float64(-1.0330559185242538)]",165.94967857346768,177.3103707175678
21,167.49432159813992,"[2.9113400824292572, 2.3728046150622144, 16.432991102240976]",[ 0.06739396  4.89264718 21.93485332],"[np.float64(-1.0908489861103946e+142), np.float64(-1.1308574890121797e+142)]","[np.float64(1.0908489861103946e+142), np.float64(1.1308574890121797e+142)]",340.98864319627984,351.4678275263015
22,200.16998220601113,"[0.4551135693404872, 1.5496428807505966, 5.537326343818841]",[0.78817705 0.78063281 5.53643318],"[np.float64(0.0031125315089537736), np.float64(0.6307818197661172)]","[np.float64(-0.0031125315089537736), np.float64(-0.6307818197661172)]",406.33996441202225,417.69143995901146
23,138.585722608734,"[1.5568444309473046, 3.7581810299492124, 10.328501697100435]",[ 0.59087987  0.1899656  10.33116082],"[np.float64(0.3155047272224529), np.float64(1.3436038312527765)]","[np.float64(-0.3155047272224529), np.float64(-1.3436038312527765)]",283.171445217468,293.62583601793995
24,222.17279244173753,"[0.3352833879864015, 4.058222256040254, 13.376504052960744]",[9.16489305e-03 4.99990000e+00 1.41531711e+01],"[np.float64(-4.89347368945463e+192), np.float64(-4.688161077607426e+192)]","[np.float64(4.89347368945463e+192), np.float64(4.688161077607426e+192)]",450.34558488347506,461.6692395201083
25,227.8367723533597,"[0.6705876021471511, 3.928320775730595, 4.805296404297295]",[0.18421134 4.03251263 4.80529733],"[np.float64(-4.7726175008182754e+157), np.float64(-4.6777650131939674e+157)]","[np.float64(4.7726175008182754e+157), np.float64(4.6777650131939674e+157)]",461.6735447067194,473.0617179590155
26,61.33304158079915,"[4.4215379394709, 0.7732422126056391, 15.031677551795784]",[ 0.78436986  0.16440642 15.03167754],"[np.float64(2.2266851987817695), np.float64(9.127663873769117e-05)]","[np.float64(-2.2266851987817695), np.float64(-9.127663873769117e-05)]",128.6660831615983,139.1575878374779
27,143.10612904046295,"[3.46806629158832, 1.617617551995901, 17.542828773716643]",[ 0.3199433   0.07717539 17.55266474],"[np.float64(0.6059775657655317), np.float64(5.45356724865026)]","[np.float64(-0.6059775657655317), np.float64(-5.45356724865026)]",292.2122580809259,303.600431333222
