participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,222.50052282114007,"[2.473036663200549, 0.11141403923672136, 13.412589608314434, 6.99121066758365, 0.09701627168668599, 1.630264635729708]","[1.00000000e-04 2.57141562e-01 1.34125896e+01 6.99121067e+00
 9.70162717e-02 1.63026464e+00]","[np.float64(-2.110813988891859), np.float64(-2.520377447088065)]",[2.11081399 2.52037745],449.00104564228013,456.5501487333689
2,169.82110780334637,"[4.6760259143412, 0.08735354993137102, 16.75000761358381, 22.11822786755046, 0.6118081034783562, 2.027137882968665]","[1.00000000e-04 1.00000000e-04 1.67500076e+01 2.21182279e+01
 6.11808103e-01 2.02713788e+00]","[np.float64(-0.05533553050061162), np.float64(-0.03338354180187001)]",[0.05533553 0.03338354],343.64221560669273,350.65287867855744
3,170.81840853218355,"[4.3168977974863685, 0.43586467316715244, 16.97689931336957, 20.516912565288816, 0.9349748562917567, 0.8267191827373385]",[ 0.03613136  0.9999     16.97689931 20.51691257  0.93497486  0.82671918],"[np.float64(-2.5168945404876157), np.float64(-1.559102283200112)]",[2.51689454 1.55910228],345.6368170643671,352.66367455669706
4,227.34292512042256,"[0.1374339464700766, 0.2441789711903828, 19.389914506618407, 5.234109890911883, 0.1812724509702384, 3.29373193362014]",[ 0.08152051  0.95672633 19.38991451  5.23410989  0.18127245  3.29373193],"[np.float64(-4.543872338836194), np.float64(-3.907961231531522)]",[4.54387234 3.90796123],458.6858502408451,466.29008699159925
5,169.11976379095938,"[3.2465560429535842, 0.028883682358268978, 8.17745461560822, 0.3316878005798798, 0.7795185694895728, 4.555396726219444]",[0.01121475 0.46227868 8.17745462 0.3316878  0.77951857 4.55539673],"[np.float64(-1.9052859933119681), np.float64(-3.299772124592561)]",[1.90528599 3.29977212],342.23952758191876,349.24204400300823
6,103.86648124561606,"[0.16879454380120995, 0.6594349465143902, 3.5640484972428284, 0.2753144011916373, 0.9795039551724646, 3.5559762763665863]",[0.81669814 0.06377693 3.5640485  0.2753144  0.97950396 3.55597628],"[np.float64(-4.59874924436986), np.float64(-4.627576067035091)]",[4.59874924 4.62757607],211.73296249123212,218.74362556309683
7,168.9795305982953,"[4.49838256937474, 0.16325910742074526, 2.4014121514151654, 22.74888262634142, 0.9201115074900689, 0.5752833184445714]",[ 0.30356479  0.07781999  2.40141215 22.74888263  0.92011151  0.57528332],"[np.float64(-3.1771372171337675), np.float64(-3.7817965402447706)]",[3.17713722 3.78179654],341.9590611965906,348.97783786984655
8,169.12792083857076,"[0.8692729921358011, 0.49514920523176364, 12.339459762631353, 21.007824050335927, 0.9523973091195009, 1.3113378808832539]","[1.00000000e-04 1.00000000e-04 1.23394598e+01 2.10078241e+01
 9.52397309e-01 1.31133788e+00]","[np.float64(-0.03664371686226033), np.float64(-0.05076466662842457)]",[0.03664372 0.05076467],342.2558416771415,349.258358098231
9,169.8210916777765,"[2.077444535116432, 0.2388792886664892, 1.0933336528477746, 15.051748368293989, 0.8132539214356572, 0.210843294181835]","[1.00000000e-04 1.00000000e-04 1.09333365e+00 1.50517484e+01
 8.13253921e-01 2.10843294e-01]","[np.float64(-0.037333272687736), np.float64(-0.06060867745213044)]",[0.03733327 0.06060868],343.642183355553,350.6528464274177
10,167.4341715314133,"[2.0219959474622478, 0.3644720347371538, 15.822862712714661, 16.867208143450185, 0.7752795529104213, 4.239635946465997]","[2.85588869e+00 1.00000000e-04 1.58228627e+01 1.68672081e+01
 7.75279553e-01 4.23963595e+00]","[np.float64(-0.045562223406019786), np.float64(-0.036818604749641874)]",[0.04556222 0.0368186 ],338.8683430628266,345.8544659495077
11,223.77082071820573,"[0.4939291911756174, 0.3199347484205698, 12.264716477440045, 13.851826170689884, 0.7975668665103234, 2.0821820157261377]",[ 0.13713478  0.17168827 12.26471648 13.85182617  0.79756687  2.08218202],"[np.float64(-2.8275623359754074), np.float64(-2.4816465748902)]",[2.82756234 2.48164657],451.54164143641145,459.1092918010709
12,168.46439030427342,"[3.8419734546893745, 0.9429147841869555, 3.4329991585000954, 1.7263761553235237, 0.33195818507548647, 0.33705281831944445]",[0.53277827 0.02496994 3.43299916 1.72637616 0.33195819 0.33705282],"[np.float64(-3.482320041644919), np.float64(-3.076458178484123)]",[3.48232004 3.07645818],340.92878060854684,347.96368640147625
