participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,223.8865393208628,"[2.3881581146790425, 0.17958498556262487, 14.319000815905524, 0.005120818558331482]",[4.99990e+00 1.00000e-04 2.39999e+01 0.00000e+00],"[np.float64(-435611485650.6407), np.float64(-1.0898543205906954e+88)]","[np.float64(435611485650.6407), np.float64(1.0898543205906954e+88)]",455.7730786417256,470.87128482390324
2,171.00651759580833,"[1.4537860997923535, 1.4729777134593143, 9.918824953368425, 0.003960260303087135]",[1.00000000e-04 8.87470413e-01 3.01560477e-01 1.00000000e-02],"[np.float64(-511.61238835331636), np.float64(9.028385789718296e-24)]","[np.float64(511.61238835331636), np.float64(-9.028385789718296e-24)]",350.01303519161667,364.0343613353461
3,171.90050077886775,"[3.5820023954582156, 0.13061437082185706, 21.464972577895594, 0.005006817058754519]",[3.58200240e+00 1.30614371e-01 2.14649726e+01 5.00681706e-03],"[np.float64(-7.904005597373839e+27), np.float64(-4.6317899045604116e+26)]","[np.float64(7.904005597373839e+27), np.float64(4.6317899045604116e+26)]",351.8010015577355,365.8547165423954
4,230.12486394590232,"[2.0602809023792084, 0.29659003095139674, 21.65589301477824, 0.0027320231062566524]",[4.99990e+00 1.00000e-04 2.39999e+01 0.00000e+00],"[np.float64(1.9932044413173277e+45), np.float64(1.1695763579609047e+57)]","[np.float64(-1.9932044413173277e+45), np.float64(-1.1695763579609047e+57)]",468.24972789180464,483.4582013933129
5,167.76870816038573,"[0.9832628457657334, 1.4180666765622862, 5.056156222913426, 0.0007659322488838138]",[ 0.02494973  0.54595695 14.60179965  0.        ],"[np.float64(18.49566642137096), np.float64(-4.186791582807194)]","[np.float64(-18.49566642137096), np.float64(4.186791582807194)]",343.53741632077146,357.5424491629504
6,171.2073535983068,"[3.529659586517253, 0.30884667850196695, 14.018877058525673, 0.00135393145443637]",[4.99990e+00 1.00000e-04 2.39999e+01 0.00000e+00],"[np.float64(-1888805938175370.5), np.float64(-3.431995701008685e+61)]","[np.float64(1888805938175370.5), np.float64(3.431995701008685e+61)]",350.4147071966136,364.43603334034304
7,169.05738535274793,"[0.44550950422114555, 1.0788539047842685, 19.82462783642889, 0.0011268268309176344]",[0.05610581 0.9999     0.3        0.        ],"[np.float64(0.0005693232773290311), np.float64(-3.5750000000015993)]","[np.float64(-0.0005693232773290311), np.float64(3.5750000000015993)]",346.11477070549586,360.15232405200777
8,170.51420641774686,"[2.8276619966697862, 0.4002500546937428, 13.346804584589131, 0.008349226745522988]",[4.99990000e+00 1.00000000e-04 1.33468046e+01 0.00000000e+00],"[np.float64(2.416136059963549e+33), np.float64(3.590681952031141e+42)]","[np.float64(-2.416136059963549e+33), np.float64(-3.590681952031141e+42)]",349.0284128354937,363.03344567767266
9,171.2073535983068,"[4.327640326391625, 0.4446327348934685, 15.053783114711306, 0.009711284960874339]",[4.99990000e+00 1.00000000e-04 1.50538565e+01 0.00000000e+00],"[np.float64(-1.1743557742987377e+30), np.float64(-1.6251834378342763e+46)]","[np.float64(1.1743557742987377e+30), np.float64(1.6251834378342763e+46)]",350.4147071966136,364.43603334034304
10,169.12791205662697,"[4.627742197725063, 0.24248217834716282, 15.158075055073624, 0.007372270700972865]",[4.62774220e+00 2.42482178e-01 1.51580751e+01 7.37227070e-03],"[np.float64(61186687547260.75), np.float64(2.1077262890163215e+18)]","[np.float64(-61186687547260.75), np.float64(-2.1077262890163215e+18)]",346.25582411325394,360.22806988661614
11,171.2073535983068,"[3.916437588240774, 0.20735536518906753, 18.340889008771594, 0.0008809311270372344]",[3.91643759e+00 2.07355365e-01 1.83408890e+01 8.80931127e-04],"[np.float64(-2.4636789879804265e+38), np.float64(-48.32858094130766)]","[np.float64(2.4636789879804265e+38), np.float64(48.32858094130766)]",350.4147071966136,364.43603334034304
12,225.97367234656542,"[4.588172207905919, 0.8775029614716032, 10.808432202744743, 0.0024573561735949045]",[1.000e-04 9.999e-01 3.000e-01 0.000e+00],"[np.float64(-1.1810390610071193), np.float64(2.5010756973558418e-20)]","[np.float64(1.1810390610071193), np.float64(-2.5010756973558418e-20)]",459.94734469313084,475.0826454224498
13,173.28679513998665,"[2.204339909007562, 0.1478701515738869, 18.789444763971886, 0.004034567497253136]",[4.99990e+00 1.00000e-04 2.39999e+01 0.00000e+00],"[np.float64(5.3068042708148036e+32), np.float64(7.995962161874227e+44)]","[np.float64(-5.3068042708148036e+32), np.float64(-7.995962161874227e+44)]",354.5735902799733,368.6434018658321
14,173.783989988063,"[4.303920003906376, 1.3637672763577213, 8.170541211034946, 0.004524648476222153]",[1.83572615e-04 7.37785844e-01 2.39999000e+01 1.00000000e-02],"[np.float64(1651.9053122152363), np.float64(-0.008485730517437853)]","[np.float64(-1651.9053122152363), np.float64(0.008485730517437853)]",355.567979976126,369.653823647575
15,164.4303232030617,"[4.249443262167938, 0.8448622172396096, 3.1731007391506165, 0.0007113439669044308]",[0.01065026 0.63769572 7.90155466 0.        ],"[np.float64(-6.573105018460917), np.float64(-0.5459171867055871)]","[np.float64(6.573105018460917), np.float64(0.5459171867055871)]",336.8606464061234,350.7328869706639
16,170.51420641774686,"[3.740395234791992, 0.9152137554560565, 10.801456247042582, 0.0018118739176389376]",[4.20419635e+00 1.00000000e-04 1.51990061e+01 0.00000000e+00],"[np.float64(23834.293914237394), np.float64(3.875434046597816e+71)]","[np.float64(-23834.293914237394), np.float64(-3.875434046597816e+71)]",349.0284128354937,363.03344567767266
