participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,102.91734551425684,"[2.2809967700620453, 0.35645313747714275, 6.865592050194765, 0.009016660693074706]",[3.58249334e-01 3.47630985e-02 1.35605582e+01 5.64596251e-05],"[np.float64(-5.507042398984207), np.float64(-2.194548144012365)]",[5.5070424  2.19454814],213.83469102851367,228.9328972106913
2,133.28539488978018,"[4.671136880682663, 0.5129285688491716, 15.589738075570066, 0.005073567967615587]",[ 0.12641336  0.19437722 23.9999      0.        ],"[np.float64(-4.487287758792725), np.float64(-3.2146108504568445)]",[4.48728776 3.21461085],274.57078977956036,288.5921159232898
3,171.6633949760018,"[1.302013349203142, 0.03875618939948267, 16.396989828639253, 0.004253358971290367]",[ 0.0415996  0.9999    23.9999     0.       ],"[np.float64(-2.516894555115713), np.float64(-1.5591023090167526)]",[2.51689456 1.55910231],351.3267899520036,365.3805049366635
4,228.7304346594379,"[0.09702756831059897, 0.7205597069783892, 19.75215252365749, 0.0027089327597803812]",[0.07924834 0.98612403 2.541107   0.01      ],"[np.float64(-4.640473648464752), np.float64(-3.991436528646817)]",[4.64047365 3.99143653],465.4608693188758,480.66934282038403
5,170.27467338012718,"[3.759499706550125, 0.11760669038722855, 8.207763373053865, 0.006624879462066305]",[ 0.03900485  0.1992227  23.9999      0.        ],"[np.float64(-2.3065164958333657), np.float64(-2.7952821478833845)]",[2.3065165  2.79528215],348.54934676025437,362.5543796024333
6,104.43416466420192,"[0.5436842679913839, 0.6410692259203326, 5.210049002873157, 0.0014181474576172382]",[6.77281939e-01 5.62241944e-02 6.34211023e+00 2.88161262e-07],"[np.float64(-5.023956020399448), np.float64(-4.564608500655579)]",[5.02395602 4.5646085 ],216.86832932840383,230.88965547213328
7,156.64504266311113,"[1.6604900638804063, 0.14076499877901327, 1.7953676449176286, 0.002148859514996092]",[1.59473238e-01 8.77543408e-03 2.39999000e+01 0.00000000e+00],"[np.float64(-8.276846035642443), np.float64(-14.036659447506759)]",[ 8.27684604 14.03665945],321.29008532622225,335.32763867273417
8,169.48363214505994,"[4.535135178657836, 0.8439830348506473, 6.073424186705778, 0.007065892901759151]",[7.86181035e-02 2.26393847e-02 2.39999000e+01 0.00000000e+00],"[np.float64(-4.805715300593813), np.float64(-4.1581748104916985)]",[4.8057153  4.15817481],346.9672642901199,360.9722971322988
9,167.03783971937654,"[2.5640931077346294, 0.08047892973527758, 21.979328545841447, 0.0033180035443665756]",[1.08408766e-01 1.69878542e-02 2.39999000e+01 0.00000000e+00],"[np.float64(-7.731655633726994), np.float64(-5.516391285957532)]",[7.73165563 5.51639129],342.07567943875307,356.0970055824825
10,168.88584955926862,"[2.253599671401148, 0.19690550162146409, 8.085986336948036, 0.005132902642263189]",[2.77628584e+00 1.00000000e-04 3.00000000e-01 1.00000000e-02],"[np.float64(-0.34162386927651484), np.float64(-0.33304319764978474)]",[0.34162387 0.3330432 ],345.77169911853724,359.74394489189945
11,147.89029263667095,"[4.174527586164869, 0.11930060530935511, 16.222063454227868, 0.0008070491985577899]",[0.60095372 0.01174264 8.6508122  0.00999937],"[np.float64(-4.120571528572114), np.float64(-5.527112174538672)]",[4.12057153 5.52711217],303.7805852733419,317.8019114170713
12,225.0809174615743,"[3.0768608653088867, 0.17611480789448433, 16.78521767281819, 0.007247352513225475]",[0.07519074 0.9999     0.3        0.        ],"[np.float64(-3.161948613789212), np.float64(-4.364857910797938)]",[3.16194861 4.36485791],458.1618349231486,473.29713565246755
