participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,99.01517923979213,"[1.6427318560858224, 0.2773663850063415, 0.41016296078974857, 0.537153956043557, 0.8967529528691154]",[0.18972967 0.01207996 0.80266542 0.34435346 0.70940689],208.03035847958427,226.9031162073063
2,38.39604718141838,"[2.507207942751295, 0.7980058281577979, 0.1051036591483939, 0.013326279895072683, 0.5826799061575724]",[4.87205082 0.17590115 0.5151205  0.9999     0.93969352],86.79209436283676,104.31875204249857
3,169.60569622155825,"[2.7974850459865297, 0.1594983768610421, 0.4999013510124836, 0.5304377651322677, 0.2757106655008211]",[4.9999     0.70575433 0.42013975 0.59123782 0.26878955],349.2113924431165,366.7785361739414
4,225.25243286550733,"[1.352500296829784, 0.27434574427210073, 0.39855077831740565, 0.26715947409814, 0.12625790512048438]","[2.54048622e+00 1.00171018e-04 5.03870569e-01 3.94012644e-01
 1.87553625e-01]",460.50486573101466,479.5154576079
5,168.07359626526772,"[1.4930222479663893, 0.848524018086382, 0.6819719242842566, 0.443031669981885, 0.847545374530715]","[1.16945315e+00 5.84496373e-01 1.00000000e-04 6.67103686e-01
 6.75978586e-01]",346.14719253053545,363.65348358325906
6,101.9418363049875,"[2.860824170964991, 0.2745130699812673, 0.5674804802639619, 0.5338390403934645, 0.9574169413171185]","[1.14281371e-01 1.00000000e-04 1.96294763e-01 3.58687902e-01
 8.61972332e-01]",213.883672609975,231.41033028963682
7,151.2701924768349,"[1.4806291292121412, 0.7592209883246015, 0.5636488767964544, 0.3619236722301971, 0.5678928421695653]","[2.79067692e-02 1.00000000e-04 3.59038222e-01 8.76607939e-01
 6.73238611e-01]",312.5403849536698,330.0873266368097
8,165.57981146202079,"[1.5993121239790067, 0.4652109025343042, 0.44666072942415264, 0.4321018622559306, 0.2855555976320305]","[1.00000000e-04 9.99900000e-01 5.86365560e-01 1.00000000e-04
 7.48289677e-01]",341.15962292404157,358.6659139767652
9,166.25361562353018,"[2.25636828192407, 0.17076179976142836, 0.22059763806926236, 0.30969905848497187, 0.9990209661194639]","[4.99990000e+00 9.71247497e-01 1.00000000e-04 6.22677244e-01
 4.59030975e-01]",342.50723124706036,360.03388892672217
10,158.7950795877111,"[3.0695305181374417, 0.5808015543997871, 0.22771975524348306, 0.03035439357884066, 0.8796058739311591]","[1.00000000e-04 9.99900000e-01 9.99900000e-01 9.30327600e-02
 6.92849455e-01]",327.5901591754222,345.0554663921249
11,204.9454303525389,"[1.5394734232071603, 0.03182714636763038, 0.7548250547475741, 0.7909454159092381, 0.06598313703322634]","[1.00000000e-04 9.99900000e-01 9.65271699e-01 1.00000000e-04
 6.37308808e-01]",419.8908607050778,438.80998661672646
12,165.94166747939076,"[4.785004651106602, 0.3836818417476098, 0.7545519042546233, 0.0699520060603443, 0.8617917465075864]","[1.67650836e-01 1.00000000e-04 5.25048346e-01 3.51586905e-01
 2.78011012e-01]",341.8833349587815,359.47059944110504
13,136.3881706286682,"[1.0065789790959996, 0.695845125047558, 0.3788844161932975, 0.12726834538748816, 0.6809799482587424]","[6.28212071e-02 1.00000000e-04 6.94922259e-01 1.00000000e-04
 7.51597676e-01]",282.7763412573364,300.38364584664765
