participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,121.5472373650296,"[0.393599021372929, 0.002892121055374665, 0.8125688059315265]",[0.91532255 0.00289212 0.35616432],[0.5 0.5],[0. 0.],249.0944747300592,260.4181293666924
2,63.59489115737858,"[0.9045139334303591, 0.0007456408479707968, 0.37667235399239724]",[9.40740663e-01 7.45640848e-04 8.18183030e-02],[0.5 0.5],[0. 0.],133.18978231475717,143.70577692255424
3,170.06148750620576,"[0.598459870882661, 0.7238566715514765, 0.8533326794996411]",[0.61290322 0.72385667 0.48780455],[0.5 0.5],[0. 0.],346.12297501241153,356.6632612509065
4,227.38467315579817,"[0.6932392411431177, 0.09780697303389413, 0.17633597854951205]",[0.5988371  0.09780697 0.48734189],[0.5 0.5],[0. 0.],460.76934631159634,472.1757014377275
5,170.0557564787803,"[0.7758416497041326, 0.9771334313363579, 0.579670573310484]",[0.51587289 0.97713343 0.56779749],[0.5 0.5],[0. 0.],346.1115129575606,356.6152875891948
6,135.6645135386434,"[0.3779056712434499, 0.024614823845763457, 0.14106730983671295]",[0.82269517 0.02461482 0.35576907],[0.5 0.5],[0. 0.],277.3290270772868,287.8450216850839
7,161.61850412707798,"[0.449481610231369, 0.3175535046054067, 0.16062408118290514]",[0.62676058 0.3175535  0.6730777 ],[0.5 0.5],[0. 0.],329.23700825415597,339.7651732640399
8,165.29003084060776,"[0.46708332311000816, 0.2949467295909556, 0.5105750202718654]",[0.49999998 0.29494673 0.34677414],[0.5 0.5],[0. 0.],336.5800616812155,347.0838363128497
9,168.00831495863926,"[0.7250559706976786, 0.06803096528656705, 0.8578189983397575]",[0.4495414  0.06803097 0.38970599],[0.5 0.5],[0. 0.],342.0166299172785,352.5326245250756
10,159.43393339749835,"[0.3661856459637549, 0.40058168815424566, 0.23333972851487023]",[0.67796601 0.40058169 0.39516131],[0.5 0.5],[0. 0.],324.8678667949967,335.34705112501837
11,151.78609559172884,"[0.883746880466983, 0.9959582740753927, 0.17344437456767214]",[0.77391305 0.99595827 0.58461541],[0.5 0.5],[0. 0.],309.5721911834577,320.0881857912548
12,204.95071873306784,"[0.22018265133306356, 0.4577893437552534, 0.9478630061877367]",[0.63690419 0.45778934 0.28205162],[0.5 0.5],[0. 0.],415.9014374661357,427.2529130131249
13,169.28000536737133,"[0.34773591320165737, 0.39862693478110955, 0.06929895498399692]",[0.62962965 0.39862693 0.47787602],[0.5 0.5],[0. 0.],344.56001073474266,355.1123694241368
14,152.83033681909052,"[0.10977341061051461, 0.5367959536734163, 0.7361935309809857]",[0.7637795  0.53679595 0.38524598],[0.5 0.5],[0. 0.],311.66067363818104,322.2250563917678
15,162.15063332767912,"[0.5665271220487055, 0.02500036965765775, 0.59025910167261]",[0.45283017 0.02500037 0.39230774],[0.5 0.5],[0. 0.],330.30126665535823,340.70544707876365
16,52.453416257968094,"[0.5294134199582669, 0.004790975165032795, 0.7664077204559487]",[0.85999997 0.00479098 0.03608247],[0.5 0.5],[0. 0.],110.90683251593619,121.41060714757037
17,200.11499599004668,"[0.7049388230814062, 0.07223357167741987, 0.5241064246221796]",[0.72781067 0.07223357 0.39189185],[0.5 0.5],[0. 0.],406.22999198009336,417.5161461284339
18,171.11691294945155,"[0.337618780698138, 0.6816491318840907, 0.3314120832614478]",[0.50420171 0.68164913 0.5555556 ],[0.5 0.5],[0. 0.],348.2338258989031,358.7498205067002
19,168.763876798932,"[0.05065311164552222, 0.016130430105470304, 0.033157467644802534]",[0.42727273 0.01613043 0.41481477],[0.5 0.5],[0. 0.],343.527753597864,354.0437482056611
20,100.96777147788599,"[0.5512496176256106, 0.8336345489947512, 0.5760166121052689]",[0.88343557 0.83363455 0.06790123],[0.5 0.5],[0. 0.],207.93554295577198,219.2962350998721
21,169.22345861303128,"[0.8466813200161598, 0.8102234533256043, 0.8540759580888796]",[0.54471544 0.81022345 0.52100844],[0.5 0.5],[0. 0.],344.44691722606257,354.92610155608423
22,182.9137186468512,"[0.3359759545919752, 0.07818549793168567, 0.18061027168919358]",[0.81920906 0.0781855  0.37414961],[0.5 0.5],[0. 0.],371.8274372937024,383.1789128406916
23,136.67928889401486,"[0.7147885761638675, 0.003968708918627024, 0.8980707861025887]",[0.5526315  0.00396871 0.20121953],[0.5 0.5],[0. 0.],279.3585777880297,289.8129685885017
24,220.45295830166384,"[0.9972517608062893, 0.01697559425969912, 0.9234400698332127]",[0.57058829 0.01697559 0.58940391],[0.5 0.5],[0. 0.],446.9059166033277,458.22957123996093
25,228.26715074216207,"[0.2398913079759918, 0.9354176173422417, 0.45001201104960564]",[0.50887578 0.93541762 0.55974837],[0.5 0.5],[0. 0.],462.53430148432415,473.92247473662025
26,79.7732735857625,"[0.33448552556215005, 0.010014976644412447, 0.5658920632721711]",[0.91616745 0.01001498 0.13157874],[0.5 0.5],[0. 0.],165.546547171525,176.0380518474046
27,165.20752364342349,"[0.4696728404416458, 0.003892477655167852, 0.9057434364376896]",[0.85042766 0.00389248 0.43616994],[0.5 0.5],[0. 0.],336.41504728684697,347.80322053914307
28,130.77852905491366,"[0.19680882551854206, 0.007260390460532566, 0.4540115173352221]",[0.81944436 0.00726039 0.33684211],[0.5 0.5],[0. 0.],267.5570581098273,277.9989748798533
29,81.41404259973085,"[0.36114765444847985, 0.015361812412328198, 0.8682928885730004]",[0.93877562 0.01536181 0.19565201],[0.5 0.5],[0. 0.],168.8280851994617,179.27000196948768
30,157.8145799201509,"[0.6649270752013926, 0.016240861833530115, 0.9946515344451483]",[0.70860928 0.01624086 0.55319148],[0.5 0.5],[0. 0.],321.6291598403018,332.1451544480989
31,98.15036256917598,"[0.6751957820689782, 0.0001651159508566765, 0.8534782638425658]",[4.76190403e-01 1.65115951e-04 6.36042370e-02],[0.5 0.5],[0. 0.],202.30072513835196,213.66141728245208
32,174.31718319313293,"[0.9725637432840915, 0.00887845245977269, 0.6458827983631532]",[0.82051289 0.00887845 0.29323295],[0.5 0.5],[0. 0.],354.63436638626587,366.02253963856197
33,117.68699060855901,"[0.06270381973572309, 0.01460610596575211, 0.8994182799553762]",[0.75652174 0.01460611 0.06511628],[0.5 0.5],[0. 0.],241.37398121711803,252.78033634324922
34,183.75657847036564,"[0.41095550411829795, 0.016412249779095434, 0.5157538907883304]",[0.80000017 0.01641225 0.37404507],[0.5 0.5],[0. 0.],373.5131569407313,384.83681157736453
35,168.20221187810972,"[0.7022643545876307, 0.6432790869594803, 0.3236859727099494]",[0.63114756 0.64327909 0.47580644],[0.5 0.5],[0. 0.],342.40442375621944,352.9325887661034
36,141.91601921716156,"[0.29757990787649113, 0.013174004564002438, 0.766867393300005]",[0.80405413 0.013174   0.41836739],[0.5 0.5],[0. 0.],289.8320384343231,300.36020344420706
37,217.77028208129676,"[0.39032346236067283, 0.017958445905898, 0.9317224100977961]",[0.50322581 0.01795845 0.38888885],[0.5 0.5],[0. 0.],441.5405641625935,452.82671831093404
38,164.74482979256666,"[0.27228502456648856, 0.03430814962669584, 0.32474406834540465]",[0.54310343 0.03430815 0.36507937],[0.5 0.5],[0. 0.],335.4896595851333,345.968843915155
39,170.17211422311323,"[0.5021681601016504, 0.27244153143061967, 0.03988147239002329]",[0.55555562 0.27244153 0.56363645],[0.5 0.5],[0. 0.],346.34422844622645,356.86022305402355
40,95.13108531055185,"[0.22560302211992517, 0.013540375796334322, 0.1276469892263786]",[0.93037974 0.01354038 0.31764702],[0.5 0.5],[0. 0.],196.2621706211037,206.75367529698332
41,196.2100720482226,"[0.3366125969700772, 0.029922897772858906, 0.1914369687004041]",[0.54285733 0.0299229  0.22282605],[0.5 0.5],[0. 0.],398.4201440964452,409.7716196434344
42,226.25263235796544,"[0.15412153916826904, 0.4472602646559363, 0.01630028852505489]",[0.48427676 0.44726026 0.38596492],[0.5 0.5],[0. 0.],458.5052647159309,469.91161984206207
43,151.3814873092901,"[0.08820745202737627, 0.3944140149164913, 0.3398615142145325]",[0.75555556 0.39441401 0.42201833],[0.5 0.5],[0. 0.],308.7629746185802,319.2667492502144
44,147.8603048300951,"[0.7338749286654509, 0.9455350727352311, 0.6604546002476885]",[0.728      0.94553507 0.3189654 ],[0.5 0.5],[0. 0.],301.7206096601902,312.18742283866027
45,164.28873916961655,"[0.850869850423997, 0.6640113619948307, 0.5882195220074727]",[0.59166673 0.66401136 0.48717958],[0.5 0.5],[0. 0.],334.5774783392331,344.99429036024753
46,139.50692520301345,"[0.4639429614874678, 0.006473023128094086, 0.05900590087720414]",[0.79874226 0.00647302 0.4117648 ],[0.5 0.5],[0. 0.],285.0138504060269,295.5176250376611
47,195.91347522873056,"[0.43190886828006864, 0.2491616635491654, 0.6551784010622383]",[0.74269004 0.24916166 0.31818189],[0.5 0.5],[0. 0.],397.8269504574611,409.18764260156127
48,169.38766586211884,"[0.9053433123825502, 0.1538795713037281, 0.9848470559907452]",[0.58333341 0.15387957 0.47580587],[0.5 0.5],[0. 0.],344.7753317242377,355.2791063558719
49,166.96350837921307,"[0.2540085394443893, 0.10365125704336943, 0.902709315175288]",[0.59055119 0.10365126 0.5175438 ],[0.5 0.5],[0. 0.],339.92701675842613,350.39382993689617
50,150.95032993790696,"[0.48058840384699175, 0.007402938037050399, 0.4870733161203686]",[0.57575756 0.00740294 0.11206892],[0.5 0.5],[0. 0.],307.9006598758139,319.3160647825634
51,159.23395927098258,"[0.8979900132249629, 0.026522203224145335, 0.35939659205965213]",[0.87700507 0.0265222  0.3357668 ],[0.5 0.5],[0. 0.],324.46791854196516,335.81939408895437
52,190.4099609616255,"[0.5612253878012946, 0.059618962426325854, 0.183207407053216]",[0.7455622  0.05961896 0.41911742],[0.5 0.5],[0. 0.],386.819921923251,397.99067722910814
53,171.28724794312987,"[0.2696394699193063, 0.8701932922531035, 0.13634138456427797]",[0.52799995 0.87019329 0.54166669],[0.5 0.5],[0. 0.],348.57449588625974,359.09049049405684
54,151.01995303287927,"[0.9463509053773804, 0.2635444896636677, 0.7399346806519858]",[0.68695652 0.26354449 0.38793104],[0.5 0.5],[0. 0.],308.03990606575854,318.38011818075745
55,167.5867303221289,"[0.02287985665243657, 0.998910410843035, 0.45808265635926815]",[0.48305094 0.99891041 0.42276419],[0.5 0.5],[0. 0.],341.1734606442578,351.64027382272786
56,166.90058385680805,"[0.8088559688395861, 0.26674323519099286, 0.6632222837066155]",[0.41176467 0.26674324 0.38888891],[0.5 0.5],[0. 0.],339.8011677136161,350.3171623214132
57,137.0359308348134,"[0.19853256621173004, 0.0021066072779404674, 0.5467714838199601]",[0.49999999 0.00210661 0.19411767],[0.5 0.5],[0. 0.],280.0718616696268,290.575636301261
58,162.85871082922927,"[0.07670269158992038, 0.9846665272065414, 0.6907876469871712]",[0.47540979 0.98466653 0.40707957],[0.5 0.5],[0. 0.],331.71742165845853,342.1089170735354
59,107.33075027378851,"[0.3502375040296112, 0.0064764005811906505, 0.9951360267083733]",[0.88505743 0.0064764  0.27027024],[0.5 0.5],[0. 0.],220.66150054757702,231.21385923697113
60,166.89698548305438,"[0.45794974830463575, 0.45946382724300355, 0.03789706642523397]",[0.59349595 0.45946383 0.48305087],[0.5 0.5],[0. 0.],339.79397096610876,350.2607841445788
61,214.4892674974188,"[0.7781401759293116, 0.0863319759650686, 0.4412387272961549]",[0.70165692 0.08633198 0.54054069],[0.5 0.5],[0. 0.],434.9785349948376,446.37581295821917
62,112.56350510702389,"[0.2967691111320915, 0.013760031828270212, 0.831004645327364]",[0.84126991 0.01376003 0.47500022],[0.5 0.5],[0. 0.],231.12701021404777,241.1251665938439
63,161.65929091015695,"[0.7744001816837702, 0.3497173209446435, 0.13685251751073843]",[0.66929133 0.34971732 0.5565217 ],[0.5 0.5],[0. 0.],329.3185818203139,339.7977661503356
64,168.24931288666477,"[0.06207527071589814, 0.9769662052198926, 0.5953082275155288]",[0.48360667 0.97696621 0.40495864],[0.5 0.5],[0. 0.],342.49862577332954,352.9901304492091
65,163.41561898795626,"[0.060513143476917254, 0.009456337577560231, 0.2176651542091603]",[0.673616   0.00945634 0.53922187],[0.5 0.5],[0. 0.],332.83123797591253,343.35940298579646
66,228.81301496578888,"[0.0014247882982322078, 0.5895294930467254, 0.8034958647479269]",[0.53416169 0.58952949 0.52694606],[0.5 0.5],[0. 0.],463.62602993157776,475.01420318387386
67,164.31428756618286,"[0.9677631248613346, 0.14153124972992748, 0.24005753250490924]",[0.66666663 0.14153125 0.52212396],[0.5 0.5],[0. 0.],334.6285751323657,345.1445697401628
68,166.83907759260728,"[0.6946061887713743, 0.006419576924648329, 0.9871946451036631]",[0.50370347 0.00641958 0.62962986],[0.5 0.5],[0. 0.],339.67815518521456,350.16965986109415
69,168.33381420745343,"[0.48924632327241707, 0.06254796597913892, 0.1769348183912263]",[0.57142848 0.06254797 0.35772347],[0.5 0.5],[0. 0.],342.66762841490686,353.2320111684936
70,162.66415222805827,"[0.5057522276041315, 0.36650148275314215, 0.4020723446469142]",[0.67716542 0.36650148 0.43220332],[0.5 0.5],[0. 0.],331.32830445611654,341.84429906391364
71,164.45150583249892,"[0.9306892306952473, 0.4503278243895973, 0.7314652277855901]",[0.41441444 0.45032782 0.37121203],[0.5 0.5],[0. 0.],334.90301166499785,345.39451634087743
72,171.3152492824516,"[0.37770933872663154, 0.3305889253822119, 0.7188399441429941]",[0.5348837  0.33058893 0.56410256],[0.5 0.5],[0. 0.],348.6304985649032,359.1586635747871
73,183.51684729860648,"[0.7066300745191039, 0.012909687588043143, 0.14123424181862046]",[0.60330583 0.01290969 0.18840572],[0.5 0.5],[0. 0.],373.03369459721296,384.42186784950906
74,158.24441320414314,"[0.676584742717352, 0.44224137080066184, 0.6392630012510443]",[0.4482758  0.44224137 0.33333336],[0.5 0.5],[0. 0.],322.4888264082863,332.89300683169165
75,102.71543983061903,"[0.49737845279225346, 0.01610867719785939, 0.6742688036073103]",[0.93193718 0.01610868 0.13235295],[0.5 0.5],[0. 0.],211.43087966123807,222.8099204863905
76,140.1324370101438,"[0.12316338115316308, 0.4598216807325079, 0.5967380935822505]",[0.82258061 0.45982168 0.41525422],[0.5 0.5],[0. 0.],286.2648740202876,296.7440583503093
77,229.80826218168696,"[0.5758856297344468, 0.714811214384288, 0.07258550781002751]",[0.50310559 0.71481121 0.42941185],[0.5 0.5],[0. 0.],465.6165243633739,477.0319292701234
78,142.67145401322622,"[0.7044366662007636, 0.015608823466377838, 0.46212905188465364]",[0.78571429 0.01560882 0.38235285],[0.5 0.5],[0. 0.],291.34290802645245,301.8220923564741
79,122.85581740052481,"[0.676616501020648, 0.0025641074897230455, 0.6632268328060292]",[0.84090909 0.00256411 0.50793735],[0.5 0.5],[0. 0.],251.71163480104963,262.1535515710756
80,149.31705848421765,"[0.966252562429498, 0.13021681607272614, 0.7240831521246863]",[0.7118644  0.13021682 0.33333334],[0.5 0.5],[0. 0.],304.6341169684353,315.0635076242298
81,167.92987215386657,"[0.8337399177019752, 0.04787431180527296, 0.9144602278986744]",[0.50420165 0.04787431 0.45454537],[0.5 0.5],[0. 0.],341.85974430773314,352.3141351082051
82,158.97166418053916,"[0.07168688331567816, 0.013063676832271998, 0.975409579283133]",[0.71942443 0.01306368 0.45370372],[0.5 0.5],[0. 0.],323.94332836107833,334.4836145995733
83,157.6974028011304,"[0.1474195257527385, 0.011311223778986707, 0.2865308505071146]",[0.38709731 0.01131122 0.30065342],[0.5 0.5],[0. 0.],321.3948056022608,331.92297061214475
84,117.79018067737532,"[0.49691755852725605, 0.002972641244164771, 0.8163100106224948]",[0.91869919 0.00297264 0.25925919],[0.5 0.5],[0. 0.],241.58036135475064,252.95940217990307
85,232.45112820127213,"[0.49125845847611727, 0.29331870967927814, 0.7870495879859002]",[0.47878791 0.29331871 0.47023806],[0.5 0.5],[0. 0.],470.90225640254425,482.33567938147434
86,171.07797128539593,"[0.6393479450325166, 0.1421335769972802, 0.7024308876802474]",[0.44166656 0.14213358 0.49600002],[0.5 0.5],[0. 0.],348.15594257079186,358.67193717858896
87,158.1220442825199,"[0.6844760225212352, 0.4535895682005389, 0.005857468040821921]",[0.66929126 0.45358957 0.52293589],[0.5 0.5],[0. 0.],322.2440885650398,332.64826898844524
88,200.30889247244525,"[0.15002423223953434, 0.3028179956177873, 0.7780365182199145]",[0.68518506 0.302818   0.28048773],[0.5 0.5],[0. 0.],406.6177849448905,417.98766545758224
89,207.6633244149746,"[0.5503349482981675, 0.14846678342112107, 0.17723182657731062]",[0.64024392 0.14846678 0.29629615],[0.5 0.5],[0. 0.],421.3266488299492,432.69652934264093
90,136.9356147693632,"[0.796731707412773, 0.017765178728838347, 0.8661426869426635]",[0.89855076 0.01776518 0.23770488],[0.5 0.5],[0. 0.],279.8712295387264,291.268507502108
91,228.5476165141497,"[0.7646473457794145, 0.9959312475885443, 0.6187933778944719]",[0.53939401 0.99593125 0.5337424 ],[0.5 0.5],[0. 0.],463.0952330282994,474.4834062805955
