participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,124.3307671239771,"[4.3902646763555895, 0.47539250230358415, 0.037341920808229644, 0.9609888668480485, 0.5815729496631914]",[4.39026468 0.4753925  0.92537313 0.26666669 0.58157295],258.6615342479542,277.53429197567624
2,62.157161953401115,"[3.9358279091712616, 0.8561911500348937, 0.4848058465508562, 0.8517844845627287, 0.5158957171539359]",[3.93582791 0.85619115 0.94475138 0.109375   0.51589572],134.31432390680223,151.84098158646404
3,170.55291630696567,"[2.1626100205216128, 0.12303514969579356, 0.26884484617898563, 0.5599652529186944, 0.5596470616306755]",[2.16261002 0.12303515 0.57600003 0.4508197  0.55964706],351.10583261393134,368.67297634475625
4,227.11328394402554,"[0.2860401531973696, 0.15024002599508446, 0.7927584249963358, 0.3384193157241244, 0.7071749656825596]",[0.28604015 0.15024003 0.59171596 0.47826087 0.70717497],464.2265678880511,483.2371597649364
5,170.1425973687554,"[2.6764164252333886, 0.6038884517112596, 0.23058629820214782, 0.8034045745584142, 0.706706719924537]",[2.67641643 0.60388845 0.46280994 0.5121951  0.70670672],350.2851947375108,367.7914857902344
6,133.7036026759043,"[4.104968006708134, 0.21053667725728883, 0.5851595649825749, 0.2776068055708127, 0.48734019181485944]",[4.10496801 0.21053668 0.82165606 0.38636366 0.48734019],277.4072053518086,294.9338630314704
7,160.86052926525997,"[2.74669817725997, 0.13786805385250486, 0.6002474491222837, 0.9307855195148402, 0.749599905790593]",[2.74669818 0.13786805 0.62500002 0.6764706  0.74959991],331.72105853051994,349.26800021365983
8,166.137260312391,"[4.7307563520702685, 0.715217611975196, 0.3552148342017111, 0.3516993313961571, 0.9962073291239267]",[4.73075635 0.71521761 0.52173912 0.37209302 0.99620733],342.274520624782,359.7808116775056
9,167.35388086891257,"[0.8763152096444394, 0.8159398753134348, 0.7516589442236498, 0.8973442188813475, 0.5739916809285811]",[0.87631521 0.81593988 0.44859813 0.39130436 0.57399168],344.70776173782514,362.23441941748695
10,159.32019565572287,"[4.412649021014828, 0.6344094013825967, 0.0620032871876231, 0.37012212076498013, 0.6393464416804834]",[4.41264902 0.6344094  0.6557377  0.37499998 0.63934644],328.64039131144574,346.1056985281485
11,205.43749530472914,"[3.639271124381479, 0.24577946405849532, 0.5311214520816974, 0.9065793951384521, 0.17030943177867616]",[3.63927112 0.24577946 0.66875    0.31707318 0.17030943],420.8749906094583,439.79411652110696
12,169.05212082065924,"[0.25251163388058834, 0.9446348772809747, 0.3034580672893377, 0.7515160059998843, 0.25325259337585865]",[0.25251163 0.94463488 0.62043793 0.46846848 0.25325259],348.1042416413185,365.691506123642
13,151.25429379491905,"[3.566512314659955, 0.9330299481262887, 0.9563621438441544, 0.025582773828226688, 0.2603394767112526]",[3.56651231 0.93302995 0.75000001 0.43209878 0.26033948],312.5085875898381,330.11589217914934
14,161.37661877928403,"[0.052012034663142054, 0.10118655305017121, 0.15765362777968686, 0.7501285552270077, 0.5693688101938242]",[0.05201203 0.10118655 0.45454547 0.38888888 0.56936881],332.75323755856806,350.0935382642437
15,52.39794684320908,"[0.9537467852517523, 0.4803102221987671, 0.9371467148114839, 0.8356148925492098, 0.8839801488498333]",[0.95374679 0.48031022 0.89534883 0.03164558 0.88398015],114.79589368641815,132.30218473914178
16,201.11641808736059,"[2.626966606035282, 0.5089766542454015, 0.8663299013376631, 0.1278428023352571, 0.1064575210249764]",[2.62696661 0.50897665 0.70700638 0.3625     0.10645752],412.23283617472117,431.0430930886221
17,170.85720444722102,"[2.369132122095738, 0.8021890415292235, 0.537318396747404, 0.6095311369086104, 0.5402055037412063]",[2.36913212 0.80218904 0.47058826 0.52293576 0.5402055 ],351.71440889444204,369.24106657410385
18,168.07072961837108,"[4.0457202528240686, 0.868268257587261, 0.9093841957368991, 0.8194709423449423, 0.11350681499518923]",[4.04572025 0.86826826 0.42727273 0.41481484 0.11350681],346.14145923674215,363.66811691640396
19,98.57306338797142,"[4.9846862125768645, 0.7520908658707308, 0.6967494810723744, 0.7096166112180996, 0.6618471791209979]",[4.98468621 0.75209087 0.85937501 0.0609137  0.66184718],207.14612677594283,226.08061368277637
20,168.98031153905907,"[0.8455816294037463, 0.9624071451906634, 0.5113083974938956, 0.4476379319248444, 0.2693699978306903]",[0.84558163 0.96240715 0.52459018 0.50000001 0.26937   ],347.96062307811815,365.4259302948209
21,183.97331967601468,"[1.3872738822036017, 0.6459952293192928, 0.586667750745267, 0.7045824333118679, 0.16608322384978]",[1.38727388 0.64599523 0.80208334 0.37121213 0.16608322],377.94663935202936,396.86576526367804
22,139.8017915713851,"[2.8508804274525645, 0.8046694939033241, 0.8914006001462672, 0.8186915092151485, 0.16318975631652272]",[2.85088043 0.80466949 0.63207546 0.20895525 0.16318976],289.6035831427702,307.0275678102235
