participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,124.33076712397741,"[0.9084189663317179, 0.8485619251453058]",[0.92537313 0.26666666],252.66153424795482,260.2106373390436
2,62.15716195340112,"[0.3099146411845718, 0.1474850963265225]",[0.94475138 0.10937499],128.31432390680226,135.32498697866697
3,170.5529163069656,"[0.7919113512953925, 0.8245057452266168]",[0.576      0.45081969],345.1058326139312,352.1326901062612
4,227.11328394402491,"[0.11677568778513397, 0.39147881801035256]",[0.59171596 0.47826089],458.22656788804983,465.83080463880395
5,170.14259736875533,"[0.27445561462556317, 0.48006397527607936]",[0.46280993 0.5121951 ],344.28519473751066,351.28771115860013
6,133.7036026759042,"[0.8631244703215957, 0.4441640215716105]",[0.82165605 0.38636363],271.4072053518084,278.4178684236731
7,160.86052926526006,"[0.23279899756610392, 0.9707704196085518]",[0.625      0.67647061],325.7210585305201,332.73983520377607
8,166.1372603123907,"[0.31014472476750493, 0.097047652464537]",[0.52173913 0.37209303],336.2745206247814,343.2770370458709
9,167.3538808689127,"[0.5145270313533092, 0.8357845811102981]",[0.4485981  0.39130434],338.7077617378254,345.71842480969013
10,159.32019565572278,"[0.7869893895792334, 0.5979856747989871]",[0.65573771 0.37500001],322.64039131144557,329.62651419812664
11,205.43749530472877,"[0.8441451812420389, 0.06855942296016529]",[0.66874997 0.31707319],414.87499060945754,422.442640974117
12,169.05212082065913,"[0.3827397674946841, 0.2541510363693487]",[0.62043793 0.46846845],342.10424164131825,349.13914743424766
13,151.25429379491896,"[0.12073793693203921, 0.6630696075240479]",[0.75      0.4320988],306.50858758983793,313.5515094255624
14,161.3766187792841,"[0.31789500062675224, 0.07087811187763543]",[0.45454542 0.38888888],326.7532375585682,333.68935784083845
15,52.39794684320912,"[0.7488760568362646, 0.5188770549772924]",[0.89534883 0.03164557],108.79589368641824,115.79841010750769
16,201.1164180873605,"[0.44355707527103166, 0.011669191880993017]",[0.70700637 0.36249998],406.232836174721,413.7569389402814
17,170.85720444722077,"[0.24125624487097538, 0.5268884246537635]",[0.47058822 0.52293581],345.71440889444153,352.72507196630625
18,168.07072961837147,"[0.06541680063555785, 0.2051096716010207]",[0.42727272 0.41481477],340.14145923674295,347.15212230860766
19,98.57306338797147,"[0.01978769893373704, 0.5468713680432415]",[0.859375   0.06091371],201.14612677594295,208.71992153867637
20,168.98031153905904,"[0.6640429979216479, 0.379769232371319]",[0.52459017 0.49999999],341.9606230781181,348.94674596479916
21,183.9733196760147,"[0.9500249348569739, 0.2165898410819518]",[0.80208333 0.37121214],371.9466393520294,379.5142897166889
22,139.80179157138537,"[0.8732736067962673, 0.5434732244913701]",[0.63207545 0.2089552 ],283.60358314277073,290.57317700975204
23,220.07030327869822,"[0.42442524993905656, 0.22708463767976672]",[0.56725148 0.58666666],444.14060655739644,451.68970964848523
24,228.29493168166857,"[0.5257799787001893, 0.6523217996037608]",[0.46666665 0.51533746],460.58986336333714,468.1819788648679
25,78.90788942534789,"[0.31883886631169156, 0.659358000128829]",[0.91764706 0.13698629],161.81577885069578,168.8101153012822
26,166.89890214605614,"[0.15193399719361655, 0.09831015440086946]",[0.8742857  0.35294115],337.7978042921123,345.38991979364306
27,130.2809201365314,"[0.05995484154430073, 0.6514633415243313]",[0.81632653 0.3369565 ],264.5618402730628,271.52311811974675
28,81.4741759671547,"[0.9829545317745316, 0.7664271251115052]",[0.93984963 0.17924528],166.9483519343094,173.90962978099336
29,159.27281449804016,"[0.9199224728030695, 0.8531518108131003]",[0.70212765 0.51923076],322.5456289960803,329.55629206794504
30,116.65244750870535,"[0.7202325245079342, 0.40555958000692954]",[0.8029197  0.06914893],237.3048950174107,244.87868978014413
31,172.60734443581114,"[0.6290097250106789, 0.9207260832930527]",[0.82741118 0.30534353],349.2146888716223,356.80680437315306
