participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,103.9886151530778,"[1.4625528736671805, 0.6260772456916766]",[0.33447657 0.056973  ],"[np.float64(0.5247521874577679), np.float64(4.841232983793907)]",[0. 0.],211.9772303061556,219.52633339724443
2,47.258170722379155,"[1.0761284677438054, 0.7814239345796574]",[1.36298721 0.14772939],"[np.float64(1.7177523710719436), np.float64(0.0012932993893632885)]",[0. 0.],98.51634144475831,105.52700451662304
3,171.07926317252284,"[1.1772560181036724, 0.612069779666255]",[0.59887817 0.9999    ],"[np.float64(3.2599070793070787e-21), np.float64(0.2629983955049685)]",[0. 0.],346.1585263450457,353.18538383737564
4,226.8721536833708,"[2.8028451087179374, 0.4953361768311179]",[0.69064902 0.94337645],"[np.float64(0.0036580139234065967), np.float64(0.16225661561510385)]",[0. 0.],457.7443073667416,465.34854411749575
5,170.22119436784888,"[1.853829725290664, 0.9772734929903283]",[0.20467432 0.3297531 ],"[np.float64(0.8184518570764248), np.float64(0.12688836182710164)]",[0. 0.],344.44238873569776,351.44490515678723
6,103.23500070910087,"[4.887108716014321, 0.5614218183550621]",[0.82638175 0.10208448],"[np.float64(0.25562589194761487), np.float64(1.3652313896937887)]",[0. 0.],210.47000141820175,217.48066449006646
7,156.54360109540426,"[3.1462796470815992, 0.6754318314698048]",[0.06734466 0.0075196 ],"[np.float64(19.61992417573559), np.float64(3.9893456995790753)]",[0. 0.],317.0872021908085,324.10597886406447
8,169.29433288106713,"[1.6408840475347624, 0.019850011066172568]",[0.58187159 0.9999    ],"[np.float64(0.10658649904369429), np.float64(1.4443492265117765e-05)]",[0. 0.],342.58866576213427,349.59118218322374
9,171.16894752224644,"[1.3362550819900971, 0.4193875390161548]",[0.13879756 0.9999    ],"[np.float64(0.0698924740980253), np.float64(1.1314597208975624e-05)]",[0. 0.],346.3378950444929,353.3485581163576
10,161.65069386066602,"[2.7070675217311915, 0.6067789140614513]",[0.9954248 0.9999   ],"[np.float64(0.02622091117666339), np.float64(2.9416539558013558e-05)]",[0. 0.],327.30138772133205,334.2875106080131
11,147.4948653489156,"[1.2540959118588153, 0.40421436448803766]",[0.12420388 0.01701263],"[np.float64(11.100966775880753), np.float64(2.2036737233131687)]",[0. 0.],298.9897306978312,306.0003937696959
12,208.47400769674343,"[0.674376221085134, 0.5052328818024526]",[1.10770185 0.9999    ],"[np.float64(0.23405780472556512), np.float64(1.0544901519159668e-21)]",[0. 0.],420.94801539348686,428.5156657581463
13,168.23293465467356,"[2.652662441363051, 0.575017205057989]",[0.8831674 0.9999   ],"[np.float64(6.434774495852864e-26), np.float64(0.24366481661811906)]",[0. 0.],340.4658693093471,347.5007751022765
14,140.89988134906355,"[4.478860974958844, 0.23739112071584823]",[0.06974409 0.00138254],"[np.float64(48.49549136316122), np.float64(12.21512545602007)]",[0. 0.],285.7997626981271,292.8426845338516
15,164.58645464486497,"[1.5245272212467742, 0.9723694694925648]",[0.30644977 0.9999    ],"[np.float64(0.10197847957076975), np.float64(1.57050388258853e-09)]",[0. 0.],333.17290928972994,340.1090295720002
16,40.19548958259258,"[1.2561120673148505, 0.9765664223829322]",[0.80600322 0.03663663],"[np.float64(0.054832811686208516), np.float64(4.28517404238579)]",[0. 0.],84.39097916518516,91.39349558627461
17,196.97569200453717,"[2.2946411686802084, 0.9715908699101808]",[1.23389812 0.9999    ],"[np.float64(8.609953848578672e-18), np.float64(0.15458021021307547)]",[0. 0.],397.95138400907433,405.4754867746347
18,169.70880694843564,"[3.4590729766007415, 0.6429542410035732]",[0.02303781 0.0001    ],"[np.float64(27.29749504289049), np.float64(9.819288797700912)]",[0. 0.],343.4176138968713,350.428276968736
19,170.74273536692823,"[4.351865200005488, 0.7341227277058671]",[0.44538364 0.74235429],"[np.float64(0.26471784179480473), np.float64(0.029534673595586203)]",[0. 0.],345.48547073385646,352.4961338057212
20,82.67936470177503,"[4.897489195779553, 0.7057552537559318]",[0.9271003 0.0758267],"[np.float64(1.6307831665971002), np.float64(0.9126898623123278)]",[0. 0.],169.35872940355006,176.93252416628349
21,169.01802265620043,"[4.675709100903785, 0.9920993682316288]",[0.00857338 0.0001    ],"[np.float64(22.68581620116494), np.float64(11.139364897832477)]",[0. 0.],342.03604531240086,349.02216819908193
22,192.7446878631059,"[4.978294400309797, 0.5446853338818683]",[1.21782177 0.82572476],"[np.float64(0.00040915101838264216), np.float64(0.3072737244157915)]",[0. 0.],389.4893757262118,397.05702609087126
23,141.30519395647087,"[3.4841492488731536, 0.9088055631363249]",[0.29206165 0.00805978],"[np.float64(7.031011730023523), np.float64(9.55828950317017)]",[0. 0.],286.61038791294175,293.57998177992306
24,221.67905365960627,"[4.640321334467743, 0.7445649936646018]",[0.01387558 0.0001    ],"[np.float64(52.31556431691368), np.float64(22.712071289121017)]",[0. 0.],447.35810731921254,454.90721041030133
25,228.3792558513305,"[1.0489696340942511, 0.2235331139451854]",[0.00465013 0.0001    ],"[np.float64(27.151957679412313), np.float64(61.05824086383194)]",[0. 0.],460.758511702661,468.35062720419177
26,59.0477491452469,"[4.424110999649545, 0.7593902563929418]",[0.84984815 0.10641023],"[np.float64(2.353247699269426), np.float64(0.0003876905761269759)]",[0. 0.],122.0954982904938,129.0898347410802
27,142.22646038192832,"[0.44789157763220694, 0.8398585508775022]",[0.53781683 0.10959744],"[np.float64(0.1592106632863324), np.float64(2.7129708759188342)]",[0. 0.],288.45292076385664,296.0450362653874
28,132.66774940421504,"[0.306347604227701, 0.7722851900322152]",[1.32979063 0.58509611],"[np.float64(0.37411996290712746), np.float64(2.170679730305863e-06)]",[0. 0.],269.3354988084301,276.29677665511406
29,62.568840815786686,"[4.678630012423189, 0.9066549146214337]",[0.64012807 0.09749024],"[np.float64(0.06392145886315508), np.float64(2.5510869314461435)]",[0. 0.],129.13768163157337,136.09895947825734
30,155.31785847441486,"[4.10414136490089, 0.7805176630497054]",[0.04421873 0.0001    ],"[np.float64(11.992638288090024), np.float64(41.4415291790569)]",[0. 0.],314.6357169488297,321.64638002069444
