participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,101.91346178196045,"[2.5107871656697256, 0.4673360012468716]",[0.30325803 0.09436949],[0.52862758 5.57485665],[0. 0.],207.8269235639209,215.37602665500972
2,44.383826936678794,"[1.2702857330429824, 0.5866590358225446]",[0.91847113 0.22520739],[3.07951557e+00 5.59999830e-04],[0. 0.],92.76765387335759,99.77831694522231
3,170.38621768569442,"[1.0669022509890609, 0.9226789489461598]",[0.31506554 0.9999    ],[8.20473127e-21 4.10024006e-01],[0. 0.],344.77243537138884,351.7992928637188
4,226.67891321902297,"[1.1806611770501185, 0.6503942185807231]",[0.34294657 0.88550118],[0.0342908  0.65000014],[0. 0.],457.35782643804595,464.9620631888001
5,169.7723080220802,"[4.953236878520093, 0.805143265469459]",[0.04200217 0.33252997],[1.31450502 0.45906573],[0. 0.],343.5446160441604,350.5471324652499
6,102.5057684004169,"[0.47370214302471597, 0.16166233136618904]",[0.22033012 0.06995295],[0.93476538 7.84846642],[0. 0.],209.0115368008338,216.0221998726985
7,155.50029361720718,"[4.956482432469875, 0.9391954253766271]",[0.02723278 0.00876892],[46.14321125  9.50514608],[0. 0.],315.00058723441435,322.0193639076703
8,168.90964578687314,"[2.865321046160042, 0.030073382684221946]",[0.26417133 0.9999    ],[3.90000000e-01 4.10065005e-05],[0. 0.],341.8192915737463,348.82180799483575
9,170.4053983961924,"[0.8445808383909301, 0.9396502394117576]",[0.10287023 0.9999    ],[3.90000006e-01 4.10041004e-05],[0. 0.],344.8107967923848,351.8214598642495
10,159.60835657915146,"[4.698051694828076, 0.1314756069199596]",[0.64105736 0.9999    ],[2.40000000e-01 6.80129021e-05],[0. 0.],323.2167131583029,330.202836044984
11,146.8113985040668,"[4.652682678126282, 0.9857642189750818]",[0.03828913 0.01160163],[40.28022318  7.06441255],[0. 0.],297.6227970081336,304.6334600799983
12,208.34324027856408,"[4.090992175528825, 0.20284685166888566]",[0.7519075 0.9999   ],[7.40076015e-01 4.60267072e-21],[0. 0.],420.68648055712816,428.25413092178763
13,167.88691484581688,"[2.5715787966995722, 0.16395920327118532]",[0.49035165 0.9999    ],[2.70217084e-25 6.90078012e-01],[0. 0.],339.77382969163375,346.80873548456316
