participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,98.71248351241275,"[1.30093324375463, 0.46762070305384856, 0.3069034160318234, 2.877570574124186]",[3.99357061e+00 3.88291384e-03 2.69538399e-01 1.36583402e-02],[0.4389037  0.46907519],[0. 0.],205.4249670248255,220.52317320700314
2,135.7263855866236,"[3.9342783771337615, 0.31779519372569526, 0.08410635111548023, 3.0886464215524585]",[1.57755360e+00 1.00381149e-01 1.00000000e-04 1.00000000e-04],[0.49717525 0.20868465],[0. 0.],279.4527711732472,293.4740973169766
3,172.06884400341897,"[3.4697861452669687, 0.16993655602987362, 0.7123973103106804, 1.979286319713148]",[1.53549617e-01 7.35989094e-01 1.00000000e-04 1.00000000e-04],[0.99979958 0.73582398],[0. 0.],352.13768800683795,366.19140299149785
4,226.41733246287686,"[0.749293344340248, 0.24702957361230302, 0.2662984776186313, 1.4452985519801622]",[1.02033548e+00 4.17502071e-01 9.99900000e-01 1.00000000e-04],[0.00597137 0.18397809],[0. 0.],460.8346649257537,476.04313842726197
5,170.1814908178509,"[3.790042930229274, 0.5067578972889744, 0.6838544866724937, 2.5199854559650707]",[0.02989943 0.9990637  0.32023121 4.9999    ],[ 0.42271895 -3.28763281],[0. 0.],348.3629816357018,362.3680144778807
6,104.24308603693032,"[4.0460793292894435, 0.40775436396617687, 0.34521257378965414, 1.4363004399112707]",[1.68183721e+00 1.29527457e-02 1.00000000e-04 1.00000000e-04],[0.28212596 0.67773523],[0. 0.],216.48617207386064,230.5074982175901
7,154.1762801806598,"[4.614634250404462, 0.21723169825619207, 0.41649746708767993, 0.8246186770626858]",[3.22489967e+00 3.17158399e-03 9.99900000e-01 1.42015462e+00],[0.34984276 0.32621851],[0. 0.],316.3525603613196,330.3901137078315
8,170.51420843304058,"[2.8484624838433867, 0.9503566370261107, 0.8654754506876414, 0.1409020233876609]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49646902 0.493183  ],[0. 0.],349.02841686608116,363.0334497082601
9,171.20735927865837,"[0.6344860017642069, 0.8880891510500162, 0.8134852179242509, 2.8485625222942086]",[1.00000000e-04 1.00000000e-04 9.99899998e-01 1.00006777e-04],[0.49679958 0.49258248],[0. 0.],350.41471855731675,364.43604470104617
10,166.35780022199594,"[3.5968893297366713, 0.9584151850935246, 0.31446067602113814, 1.561213331155201]",[7.11772887e-02 7.36929201e-01 1.00000000e-04 4.99990000e+00],[-4.91859253 -0.16904289],[0. 0.],340.7156004439919,354.6878462173541
11,142.66472292086686,"[3.350613578376186, 0.8474805447802476, 0.6863167488982932, 1.177587494638341]",[3.29459395e+00 1.71355277e-02 7.68847736e-01 1.00000000e-04],[0.17610883 0.14758793],[0. 0.],293.32944584173373,307.35077198546315
12,225.44619362024793,"[2.3925965981495323, 0.15284325179318667, 0.7223668771324768, 2.9545176431908713]",[5.18999847e-01 6.57277713e-01 9.99900000e-01 1.00000000e-04],[0.04867459 0.05444976],[0. 0.],458.89238724049585,474.0276879698148
13,167.51059192863372,"[1.6487362987359144, 0.984019938019927, 0.6941402390805294, 2.3878495833108255]",[4.99990000e+00 3.09169266e-04 9.99900000e-01 3.37075780e-01],[0.48264678 0.48473245],[0. 0.],343.02118385726743,357.09099544312625
14,145.84572279474682,"[1.4933223126089097, 0.062440076435241625, 0.1545198029818006, 4.16854983257608]",[4.67672395e+00 1.00000000e-04 1.00000000e-04 1.00000000e-04],[0.50704096 0.49611626],[0. 0.],299.69144558949364,313.7772892609426
15,164.96903204975663,"[0.9164011762087316, 0.7260794932879131, 0.9045277436922962, 0.11233658208699357]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49322051 0.49659404],[0. 0.],337.93806409951327,351.8103046640538
16,170.51427658484266,"[2.8315101098282347, 0.8740499040753695, 0.4920488882191309, 1.3539594993651731]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49970655 0.48848503],[0. 0.],349.0285531696853,363.03358601186426
17,216.35586710037015,"[2.589500079121624, 0.9886089178309323, 0.23709955936409002, 3.400701561318801]",[3.46221573e-01 1.36891799e-01 1.00000000e-04 1.00000000e-04],[0.02334583 0.94144735],[0. 0.],440.7117342007403,455.759939731861
18,169.0967056088162,"[0.2636030584851676, 0.8825323665057209, 0.40750311456505645, 1.1537637285372506]",[2.80897055e-01 7.65011659e-01 1.00000000e-04 1.00000000e-04],[ 9.99851573e-01 -9.99978056e-05],[0. 0.],346.1934112176324,360.2147373613618
19,171.20735772525887,"[0.7350438489633151, 0.07585699013893629, 0.6653503660834882, 2.040097152396987]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49303288 0.49654078],[0. 0.],350.41471545051775,364.4360415942472
20,226.6592288100578,"[2.2157831001329367, 0.23183021609431048, 0.11670926165227309, 0.22249133536556914]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49908775 0.48539194],[0. 0.],461.3184576201156,476.4660471455825
21,168.69650823545618,"[4.86511475350607, 0.1426079677407761, 0.9465814867742672, 2.618885535555687]",[4.28745863e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.4957726 0.4941571],[0. 0.],345.39301647091236,359.36526224427456
22,200.3728155861858,"[1.248368265375036, 0.38029213275237783, 0.4893300173709089, 4.511092678992247]",[2.23909451e+00 7.44504693e-03 5.55529850e-01 1.00000000e-04],[0.22878862 0.32892574],[0. 0.],408.7456311723716,423.88093190169053
23,167.74164126787474,"[3.134034246750092, 0.9401793442403055, 0.9359632297628989, 1.6097223115576895]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49809549 0.49098497],[0. 0.],343.4832825357495,357.4224702697121
24,220.47196077389168,"[4.750581720119074, 0.7320537651199823, 0.9463488653921979, 0.8121092244804403]",[3.90808772e-01 7.43780958e-01 2.00347200e-01 1.00000000e-04],[0.77825541 0.00862802],[0. 0.],448.94392154778336,464.042127729961
25,227.68561700647595,"[0.7256801099466644, 0.7599915033378638, 0.037464971780247526, 3.417037845938951]",[0.0818723  0.9999     0.95695601 4.9999    ],[-1.68006423  0.63280136],[0. 0.],463.3712340129519,478.5554650160134
26,63.64898314162371,"[4.438634013865877, 0.9274810401791039, 0.11400185618461894, 1.500656629212191]",[4.99990000e+00 2.43305525e-04 1.00000000e-04 1.00000000e-04],[0.5206063 0.4963652],[0. 0.],135.29796628324743,149.28663918442024
27,150.96474957119761,"[4.24684195731303, 0.6120409934522254, 0.03432119014639645, 1.9705626265724479]",[1.23424384e+00 1.88767257e-01 1.00000000e-04 1.00000000e-04],[0.03096195 0.87437086],[0. 0.],309.92949914239523,325.1137301454567
28,136.20654790881835,"[1.8411345809145567, 0.04124251208852307, 0.8832216229208032, 0.2604742355506611]",[4.71527143e+00 1.06003627e-04 1.00000000e-04 1.00000000e-04],[0.50746001 0.49609303],[0. 0.],280.4130958176367,294.33565151100464
29,54.5665217843381,"[2.9784117666798937, 0.11974931976422655, 0.4477624207492921, 1.654476825627944]",[3.93383193e+00 2.58647311e-03 2.19351331e-01 3.84069792e+00],[0.36581827 0.40878903],[0. 0.],117.1330435686762,131.05559926204415
30,154.28992232528995,"[0.15313274308163863, 0.7081443612801849, 0.7764279664102485, 1.73551186010638]",[6.51003090e-01 3.28884576e-01 1.00000000e-04 1.00000000e-04],[0.00113626 0.75727455],[0. 0.],316.5798446505799,330.6011707943093
31,226.6592384491559,"[1.428945696788168, 0.9078406812333707, 0.848064189760984, 0.502570578737704]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49924993 0.48510959],[0. 0.],461.3184768983118,476.46606642377867
32,208.40416605613967,"[3.6550021381811733, 0.14714222191696597, 0.6767757747490901, 3.8892664203802507]",[4.11037836e+00 1.00000000e-04 1.00000000e-04 1.00000000e-04],[0.49458334 0.50860763],[0. 0.],424.80833211227934,439.99256311534083
33,230.1249680320914,"[4.041828689132745, 0.6911625949839364, 0.44852480264733285, 1.7101336968392584]",[0.0001 0.0001 0.0001 0.0001],[0.50089865 0.48685152],[0. 0.],468.2499360641828,483.45840956569106
34,184.44175427498143,"[3.2993509933878657, 0.750376921603466, 0.7722585525867037, 0.11554588630497781]",[4.4659106e+00 1.0000000e-04 1.0000000e-04 1.0000000e-04],[0.49552111 0.50968598],[0. 0.],376.88350854996287,391.9817147321405
35,171.27526358070008,"[4.9937370661774, 0.6129906697454072, 0.5735488969222987, 2.7696877823571535]",[3.16696252e-02 7.48590030e-01 1.00000000e-04 4.98899157e+00],[-3.76607336 -3.78973176],[0. 0.],350.55052716140017,364.5880805079121
36,122.59594240980242,"[3.938636926304869, 0.00789229222734353, 0.5052309779944429, 0.22083685902887762]",[1.09333380e+00 4.38053752e-03 1.00000000e-04 4.99990000e+00],[-0.58739079  0.24776272],[0. 0.],253.19188481960484,267.2294381661167
37,221.11395293861386,"[2.9678247816066046, 0.02783529480177542, 0.3664855845489833, 4.793743491738982]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49515919 0.49147972],[0. 0.],450.2279058772277,465.2761114083484
38,169.12791329229935,"[3.820790165236873, 0.65359240225422, 0.45772312985277736, 4.3749191042901305]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49367727 0.49614495],[0. 0.],346.2558265845987,360.2280723579609
39,168.87686538201118,"[3.176184984130966, 0.9859738732333934, 0.9010081625305372, 1.8829092462733332]",[4.99990000e+00 1.89670748e-04 9.99900000e-01 1.00000000e-04],[0.49146798 0.48970459],[0. 0.],345.75373076402235,359.7750569077518
40,81.08788242437991,"[4.444193688908996, 0.9924750961831508, 0.26240991361509586, 3.035257464062477]",[2.07111852e+00 7.69716732e-03 1.00000000e-04 3.79473347e-01],[0.3126822  0.63887163],[0. 0.],170.17576484875983,184.16443774993263
41,225.96601458811256,"[3.1283916171469337, 0.15314528496854557, 0.3783431889922694, 4.116009337543623]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49681061 0.48846091],[0. 0.],459.9320291762251,475.06732990554406
42,230.12487265926922,"[2.9143203578245758, 0.1840729870532416, 0.9637124096861338, 0.8121798101779334]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.4955417  0.49030578],[0. 0.],468.24974531853843,483.4582188200467
43,154.55370260232098,"[1.4153255993729819, 0.6895324394864345, 0.7997907140244005, 0.4563182950805289]",[0.44278271 0.34776914 0.9999     4.9999    ],[-0.77275673  0.10236052],[0. 0.],317.10740520464196,331.1124380468209
44,167.07671548660468,"[1.0918146019920345, 0.8497050070426018, 0.021569250254240856, 2.2611235315030433]",[6.90630165e-01 9.99900000e-01 9.99900000e-01 1.00000000e-04],[ 6.99836122e-02 -3.00035241e-06],[0. 0.],342.15343097320937,356.10918187783614
45,165.40810130744933,"[2.891657236870917, 0.4867074763722282, 0.8662440997638433, 0.7558524457456844]",[3.01671026e-01 9.99900000e-01 9.99900000e-01 1.00000000e-04],[9.96124448e-07 2.90058877e-05],[0. 0.],338.81620261489866,352.70528530958455
46,127.50056918287478,"[1.9793273409853047, 0.30569891208236494, 0.3859883048548223, 4.717298880707675]",[4.94868245e+00 1.00000000e-04 1.00000000e-04 1.00000000e-04],[0.50767988 0.49691007],[0. 0.],263.00113836574957,277.0061712079285
47,223.4729668383744,"[2.196774019512046, 0.40873479002481344, 0.4076235182748067, 3.1091416378759864]",[0.11030585 0.9999     0.43598566 4.9999    ],[0.58255589 0.33235042],[0. 0.],454.9459336767488,470.09352320221564
48,170.17624369063861,"[0.4173354975020605, 0.02050544082916292, 0.7304936155078144, 3.1288535319395425]",[6.42291500e-01 1.71267278e-02 9.99900000e-01 1.00000000e-04],[0.18553462 0.06514956],[0. 0.],348.35248738127723,362.35752022345616
49,166.19564683096374,"[4.994560764376132, 0.6627941860547049, 0.7160051120744401, 2.8345004817123405]",[9.31215852e-01 4.50704081e-01 9.99900000e-01 1.00000000e-04],[6.22166302e-05 1.20646455e-01],[0. 0.],340.3912936619275,354.34704456655425
50,230.8181003059248,"[0.5429312166458037, 0.412330900691899, 0.027953382126406183, 1.1102602715335927]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49863286 0.48574598],[0. 0.],469.6362006118496,484.85674048751554
51,175.0980074296967,"[3.0793098552429554, 0.3806248164053203, 0.6366325518583892, 4.400609704731568]",[0.68100344 0.18882982 0.9999     4.9999    ],[-1.07942227 -0.04492963],[0. 0.],358.1960148593934,373.33131558871236
52,191.52903336572794,"[2.338519307716611, 0.49585021540018787, 0.9715884745496705, 1.9818188643660746]",[2.41101404 0.01182    0.9999     0.41960304],[0.08224921 0.16242044],[0. 0.],391.0580667314559,405.9524071392654
53,169.22394614745005,"[1.4165227637895228, 0.842550030971372, 0.16535678151478128, 3.335856793882284]",[5.13384885e-02 9.14964728e-01 1.00000000e-04 4.99990000e+00],[ 0.99625268 -4.95582493],[0. 0.],346.4478922949001,360.4692184386295
54,160.32602284064055,"[3.3772446630779047, 0.48523842982954873, 0.2722728586162135, 2.083538832644296]",[3.27219226e-01 9.99900000e-01 2.61571960e-01 1.00000000e-04],[-4.79119946e-05 -1.32850918e-05],[0. 0.],328.6520456812811,342.43899516794636
55,168.41953213241098,"[3.7243213916186506, 0.7391767285465024, 0.5711467950517841, 4.291909573080051]",[1.10512971e-01 5.37932645e-01 9.99900000e-01 1.00000000e-04],[0.09545348 0.00900467],[0. 0.],344.83906426482196,358.7948151694487
56,171.20735480856573,"[1.2624067155029373, 0.033158688942649193, 0.33393883581770334, 0.4118654470199485]",[1.00000000e-04 1.00000000e-04 9.99899994e-01 1.00006688e-04],[0.49337123 0.49628831],[0. 0.],350.41470961713145,364.4360357608609
57,170.5142292162219,"[3.1428366653603352, 0.8318149344119377, 0.8998773956028869, 3.092408604999763]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49789834 0.49101982],[0. 0.],349.0284584324438,363.03349127462275
58,164.27588267984495,"[0.7402187408500397, 0.45875565193888085, 0.6891552711661485, 0.3917082532119958]",[1.000e-04 1.000e-04 9.999e-01 1.000e-04],[0.49394683 0.49614212],[0. 0.],336.5517653596899,350.40709257979233
59,78.24964504486064,"[1.3724350241188397, 0.0315448003425988, 0.1741733909082289, 0.870085599617688]",[3.09240565e+00 1.77430661e-03 1.00000000e-04 1.00000000e-04],[0.625528   0.47084986],[0. 0.],164.49929008972128,178.5691016755801
60,168.24026551132349,"[0.009258082718512745, 0.3916400939006937, 0.1324773966348708, 4.530409434821469]",[1.86734952e-02 8.23268097e-01 1.00000000e-04 4.51046992e+00],[0.82783436 0.193883  ],[0. 0.],344.48053102264697,358.43628192727374
61,211.01681489299534,"[0.5915770845562659, 0.10863726041126817, 0.6939097374207921, 4.643090447257445]",[7.23830677e-01 2.02304868e-02 1.00000000e-04 1.00000000e-04],[0.82229262 0.08231387],[0. 0.],430.0336297859907,445.2300004038328
62,107.34439562307196,"[3.3527748528782864, 0.3732392632457995, 0.9599067642500755, 0.32156578002026537]",[1.15288281e+00 4.08492659e-02 1.00000000e-04 1.00000000e-04],[0.07891573 0.61033318],[0. 0.],222.68879124614392,236.0196664192054
63,162.6071227154829,"[3.0330073799641393, 0.20028985187260237, 0.7935274279232296, 2.831287700534304]",[4.52239794e-01 4.43948625e-01 1.00000000e-04 1.00000000e-04],[0.83970084 0.00727444],[0. 0.],333.2142454309658,347.186491204328
64,169.6468307425737,"[0.27232764443019886, 0.8353603928166168, 0.7880408643473548, 1.616270249543447]",[0.04423003 0.9999     0.9999     4.9999    ],[0.07964025 0.22006031],[0. 0.],347.2936614851474,361.28233438632026
65,156.9132118000814,"[0.9402868709368593, 0.02025703748522559, 0.7646023845786931, 1.4271314135791948]",[4.99990000e+00 1.69621734e-04 9.99900000e-01 1.96485324e+00],[0.49085155 0.48708286],[0. 0.],321.8264236001628,335.8639769466747
66,228.212285382953,"[0.7315935971545511, 0.6282616415218936, 0.671012464270024, 0.615866523564396]",[0.09543388 0.96245254 0.9999     3.0164348 ],[-0.37760213  0.29623595],[0. 0.],464.424570765906,479.6088017689675
67,162.088068855507,"[4.897234150015779, 0.8385659730295957, 0.28763694830554637, 3.395516605910852]",[5.12923128e-01 1.06554073e-01 1.00000000e-04 1.00000000e-04],[0.05671673 0.89357255],[0. 0.],332.176137711014,346.19746385474343
68,166.84749678261082,"[4.3761231778183545, 0.01689424942777359, 0.3085428990044555, 0.3254926731184023]",[4.99990000e+00 3.18612066e-04 9.99900000e-01 1.00000000e-04],[0.4855788  0.48330606],[0. 0.],341.69499356522164,355.68366646639447
69,173.94951385339877,"[4.840107690697621, 0.21109967822981132, 0.018316248033519594, 0.9712211155923073]",[2.82646606e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.49367239 0.49589401],[0. 0.],355.89902770679754,369.9848713782465
70,161.81585230395262,"[3.8522278580542233, 0.10729480796699177, 0.3024737749821272, 0.9611132584323383]",[4.1561078e+00 1.0000000e-04 1.0000000e-04 1.0000000e-04],[0.50630164 0.49596932],[0. 0.],331.63170460790525,345.6530307516347
