participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,101.4820794956548,"[3.2717900520137246, 0.11307068939248499]",[2.23732259 0.04503377],[0.1733974  0.33723802],[0. 0.],206.9641589913096,214.51326208239843
2,48.839445605375445,"[3.2864702534532126, 0.03798947489522992]",[3.74421639 0.07425795],[0.2373474  0.12138452],[0. 0.],101.67889121075089,108.68955428261562
3,171.2073542928302,"[2.8878996979350857, 0.3602066948151408]",[0.0001 0.0001],[0.00314888 0.00164187],[0. 0.],346.4147085856604,353.44156607799033
4,226.8934813559248,"[1.1590090421531163, 0.14047997026904407]",[0.77986848 0.28821882],[0.12849594 0.23528065],[0. 0.],457.7869627118496,465.3911994626037
5,169.0772538523704,"[0.2620202601719957, 0.6348841086352524]",[0.17695841 0.75394441],[0.47077693 0.1062655 ],[0. 0.],342.1545077047408,349.1570241258303
6,101.96886554521535,"[1.4992981689937168, 0.0015263323627829777]",[2.74240476 0.08015279],[0.10835437 0.17639545],[0. 0.],207.9377310904307,214.94839416229541
7,154.84234052169646,"[0.07948839948050353, 0.436098465820218]",[1.95080924 0.01215674],[0.2168702  0.07087301],[0. 0.],313.6846810433929,320.70345771664887
8,169.1279125403926,"[2.182132906638127, 0.6465806080760449]",[0.0001 0.0001],[0.0027473  0.00166228],[0. 0.],342.2558250807852,349.25834150187467
9,169.8210602571372,"[1.5664111000419363, 0.8815912360431841]",[0.0001 0.0001],[0.00238854 0.0016675 ],[0. 0.],343.6421205142744,350.6527835861391
10,167.56367847836773,"[3.4335082295793566, 0.49442544611064876]",[0.28741123 0.4041898 ],[0.09562911 0.31352807],[0. 0.],339.12735695673547,346.11347984341654
11,224.35419639878774,"[0.5442401309233886, 0.5491796397633584]",[0.2535948 0.9999   ],[0.2340344  0.10538577],[0. 0.],452.70839279757547,460.27604316223494
12,167.58515741685372,"[4.8960725924247805, 0.11997605089949001]",[1.24063836 0.0335835 ],[0.12961419 0.27001613],[0. 0.],339.17031483370744,346.20522062663684
13,139.52513598203322,"[3.800283737469491, 0.1504047400274021]",[3.23801512e+00 2.50953034e-03],[0.11402962 0.03352205],[0. 0.],283.05027196406644,290.0931937997909
14,163.5827357441248,"[1.7971157935895705, 0.019625863551274342]",[0.0001 0.0001],[0.00227535 0.00314894],[0. 0.],331.1654714882496,338.10159177051986
15,44.53635364967444,"[1.042217338034469, 0.8156609827832302]",[4.06819387 0.00943416],[0.02944912 0.12552226],[0. 0.],93.07270729934888,100.07522372043833
16,215.09146568140972,"[2.409337025464906, 0.4754387653748561]",[0.97158671 0.16737099],[0.11683325 0.3497602 ],[0. 0.],434.18293136281943,441.7070341283798
17,168.24364127789602,"[0.9081210019992852, 0.25160028579701044]",[1.30457153 0.01478016],[0.18815812 0.06851344],[0. 0.],340.48728255579204,347.49794562765675
18,169.80914291604634,"[4.486597662894132, 0.27718712173812304]",[0.10311758 0.9999    ],[0.26054703 0.09955278],[0. 0.],343.6182858320927,350.6289489039574
19,82.69133558257714,"[3.435038789771161, 0.2810458442063569]",[3.48465108 0.031828  ],[0.15650992 0.14098525],[0. 0.],169.38267116515428,176.9564659278877
20,167.63006461057452,"[1.8599980879071765, 0.6903508462576436]",[4.1840506e+00 1.0000000e-04],[0.00223246 0.00109599],[0. 0.],339.26012922114904,346.2462521078301
21,200.93561331158256,"[1.4411176644702612, 0.20858975863879295]",[1.77306896 0.01224312],[0.13291142 0.32100545],[0. 0.],405.8712266231651,413.4388769878246
22,138.73781633285336,"[2.1921299825346687, 0.6879075952650012]",[3.97913275 0.0045954 ],[0.05939339 0.06903405],[0. 0.],281.4756326657067,288.445226532688
23,220.27786843512973,"[1.8972618886044297, 0.989256827356256]",[1.65832756 0.00396582],[0.15176982 0.06992502],[0. 0.],444.55573687025947,452.10483996134826
24,226.99101409175407,"[2.9060767338112488, 0.03592563500081978]",[3.59560042e+00 1.00000000e-04],[0.0026901  0.00610757],[0. 0.],457.98202818350813,465.5741436850389
25,58.59834436970932,"[1.3460914833314386, 0.5735857306071295]",[2.96971642 0.02600277],[0.25890792 0.0684608 ],[0. 0.],121.19668873941863,128.19102519000504
26,141.40203400340374,"[0.19786873738963331, 0.5011027712352684]",[2.17275472 0.08205146],[0.18212655 0.3182578 ],[0. 0.],286.8040680068075,294.39618350833825
27,132.67080542912962,"[1.6573430346873161, 0.03916980183282796]",[4.9999000e+00 3.6597471e-04],[0.01568045 0.00451512],[0. 0.],269.34161085825923,276.3028887049432
28,61.10131974294064,"[2.4560876585665596, 0.18153915786090716]",[2.47683114 0.07063152],[0.12838301 0.26683775],[0. 0.],126.20263948588128,133.16391733256526
29,153.99161491013922,"[2.1692089842669304, 0.11838350435153809]",[4.9999000e+00 2.0845175e-04],[0.00244469 0.00849077],[0. 0.],311.98322982027844,318.99389289214315
30,83.99173960202155,"[2.1991121998683316, 0.3924388592848638]",[3.3957159  0.01866175],[0.098777   0.16878142],[0. 0.],171.9834792040431,179.55727396677653
31,203.73197196667266,"[4.215958917587691, 0.02028088391517133]",[4.99990000e+00 1.15140655e-04],[0.00277794 0.01008359],[0. 0.],411.4639439333453,419.0560594348761
32,98.21161728477003,"[3.7014254043644628, 0.5066661594563504]",[2.90485074 0.01742005],[0.18207239 0.22301775],[0. 0.],200.42323456954006,208.02747132029418
33,179.50669546980322,"[1.6937391634082415, 0.38777487759110857]",[4.99990000e+00 1.79486391e-04],[0.0023215  0.01252236],[0. 0.],363.01339093960644,370.56249403069523
34,170.43660791973738,"[0.6098008477800169, 0.38463246259738787]",[0.2449693  0.64504265],[0.34040708 0.07255284],[0. 0.],344.87321583947477,351.8919925127307
35,119.28884551849954,"[4.439377280498857, 0.9696629458209542]",[2.2743029  0.03725034],[0.10991436 0.23502223],[0. 0.],242.57769103699908,249.59646771025504
36,219.7276576967495,"[3.605767091318412, 0.5976697714559978]",[0.0001 0.0001],[0.00502654 0.00272128],[0. 0.],443.455315393499,450.9794181590594
37,167.74161847948545,"[2.8519375264186766, 0.49939894628608655]",[0.0001 0.0001],[0.00113051 0.00208411],[0. 0.],339.4832369589709,346.469359845652
38,168.68775095782905,"[3.948760805577363, 0.35077860002516026]",[1.26358097 0.01704487],[0.20087675 0.1301205 ],[0. 0.],341.3755019156581,348.3861649875228
39,81.89315491964373,"[0.43770964652540717, 0.10450283631765567]",[2.56641852 0.02402209],[0.09201074 0.26526701],[0. 0.],167.78630983928747,174.78064628987389
40,224.57968677132376,"[3.685895352339396, 0.2195845933909618]",[0.0001 0.0001],[0.00351566 0.00393685],[0. 0.],453.15937354264753,460.727023907307
41,228.73857377600933,"[0.5849422766631548, 0.3465874941802129]",[0.0001 0.0001],[0.0056378 0.0029649],[0. 0.],461.47714755201866,469.0813843027728
42,156.19621207568656,"[1.8908466431605984, 0.31430311413255896]",[1.56907803 0.06836658],[0.12287072 0.2711164 ],[0. 0.],316.3924241513731,323.3949405724626
43,167.0484707139171,"[0.3921595488530627, 0.3760313728200968]",[0.0001 0.0001],[0.0023346  0.00143504],[0. 0.],338.0969414278342,345.0748168801476
44,164.19645661855213,"[4.833053777298117, 0.32550798875621134]",[0.17925904 0.9999    ],[0.02538462 0.1213832 ],[0. 0.],332.39291323710427,339.33745458444724
45,125.31020775397783,"[4.5413700539402795, 0.4654196156230644]",[3.24382052 0.00879399],[0.13991074 0.06279765],[0. 0.],254.62041550795567,261.62293192904514
46,218.2677714930746,"[4.339947252839616, 0.18379403451463305]",[1.00263243 0.9999    ],[0.13340798 0.16264856],[0. 0.],440.5355429861492,448.10933774888264
47,168.7755035719912,"[0.5000714506490568, 0.7265705654556806]",[0.50942155 0.04551722],[0.26454729 0.14453922],[0. 0.],341.5510071439824,348.5535235650719
48,163.5570430850254,"[1.1628773895202502, 0.2275836151700211]",[1.1268984  0.78256061],[0.07896949 0.15841996],[0. 0.],331.1140861700508,338.0919616223642
49,137.64891853510136,"[2.886176931572691, 0.4248877814647897]",[3.73035831 0.00555262],[0.10648694 0.14100491],[0. 0.],279.2978370702027,286.9081070080357
50,170.45927368940514,"[2.248936902715156, 0.5496727802095726]",[1.94112531 0.05841095],[0.20356489 0.34474648],[0. 0.],344.9185473788103,352.48619774346975
51,192.73690889269983,"[1.1930929448460468, 0.06197167879804205]",[1.9516361  0.00931126],[0.08350117 0.23367331],[0. 0.],389.47381778539966,396.9209879893044
52,169.23879203757878,"[4.6176480420274375, 0.7068724444629471]",[0.49927652 0.9999    ],[0.14016441 0.04151869],[0. 0.],342.47758407515755,349.48824714702226
53,156.3685959048286,"[3.9314220324533347, 0.6774116857962039]",[1.0245464  0.86538534],[0.06892035 0.1441932 ],[0. 0.],316.7371918096572,323.6306665529898
54,167.009306265738,"[0.24617941731741072, 0.08357118477176492]",[0.28345871 0.04212805],[0.25602322 0.13762785],[0. 0.],338.018612531476,344.99648798378934
55,169.821059540739,"[4.486645055727522, 0.5723884011301618]",[0.0001 0.0001],[0.00086589 0.00154184],[0. 0.],343.642119081478,350.6527821533427
56,167.79832924391278,"[0.6882757655344887, 0.8176325688455477]",[4.9999000e+00 3.1348493e-04],[0.00494019 0.00570525],[0. 0.],339.59665848782555,346.599174908915
57,162.8800963522581,"[0.9400149789860919, 0.24980619443552382]",[0.10281402 0.9999    ],[0.06756342 0.36350653],[0. 0.],329.7601927045162,336.68785631456745
58,75.88206577166181,"[2.779596227292351, 0.8343890136766943]",[2.99747248 0.01397265],[0.22195683 0.05846349],[0. 0.],155.76413154332363,162.79903733625304
59,167.04847183851857,"[1.6256036939105103, 0.04015427882210269]",[0.0001 0.0001],[0.00138787 0.00257863],[0. 0.],338.09694367703713,345.0748191293505
60,202.56790797638513,"[3.7448579877800627, 0.42024722851171253]",[2.11050812 0.0939062 ],[0.28137609 0.16358552],[0. 0.],409.13581595277026,416.73400126169133
61,109.71632450081242,"[0.2934014844102915, 0.7089252860127618]",[2.21793145 0.03203521],[0.1108173 0.2566922],[0. 0.],223.43264900162484,230.09808658815558
62,161.60195894674683,"[1.5013760764826147, 0.554671453405611]",[1.19370354 0.43307376],[0.17358934 0.07380774],[0. 0.],327.20391789349367,334.19004078017474
63,168.43476564492906,"[4.648219099272894, 0.1107051582299161]",[0.0001 0.0001],[0.00141167 0.00287225],[0. 0.],340.8695312898581,347.8638677404445
64,155.37988033865747,"[0.04067195596776152, 0.935718106527653]",[1.6383861  0.05967921],[0.27510869 0.13234624],[0. 0.],314.75976067731494,321.7785373505709
65,225.9676493537197,"[4.098145885761288, 0.7150838082488509]",[0.4815552 0.9999   ],[0.06794321 0.22562626],[0. 0.],455.9352987074394,463.5274142089702
66,162.25350983662412,"[3.019428604298965, 0.6830796697344995]",[1.63279181 0.08834878],[0.11122872 0.23881568],[0. 0.],328.50701967324824,335.51768274511295
67,166.5193594495977,"[2.5995242361114377, 0.13071241704083303]",[1.04413787 0.10157669],[0.26298577 0.16396796],[0. 0.],337.0387188991954,344.03305534978176
68,172.59364800316794,"[3.5546429852310197, 0.8627032668352483]",[0.0001 0.0001],[0.00160043 0.00331396],[0. 0.],349.1872960063359,356.23021784206037
69,160.68767866200332,"[4.710469663313117, 0.7672367179272267]",[4.99990000e+00 2.97126983e-04],[0.00998965 0.00494606],[0. 0.],325.37535732400664,332.38602039587136
70,168.43476595954832,"[1.648337870070144, 0.30359612091263743]",[0.0001 0.0001],[0.00171278 0.00216778],[0. 0.],340.86953191909663,347.863868369683
71,169.60503222186446,"[1.3620047847663446, 0.7952345496790758]",[0.5954111  0.89066453],[0.03640919 0.0970685 ],[0. 0.],343.2100644437289,350.2288411169849
72,224.91132039572167,"[4.1452914579508064, 0.9821223128757446]",[4.99990000e+00 1.97269837e-04],[0.00524444 0.0071503 ],[0. 0.],453.82264079144335,461.4147562929741
73,163.58273543410522,"[4.31065962683813, 0.7392714292356097]",[0.0001 0.0001],[0.00158983 0.00216806],[0. 0.],331.16547086821043,338.1015911504807
74,65.48746566640372,"[1.3605480709856426, 0.7895967002866515]",[2.6798259 0.0192193],[0.34977763 0.07794922],[0. 0.],134.97493133280744,142.56095854957573
75,130.20377036480082,"[4.554358788261619, 0.4528277147715866]",[2.11022245 0.04263263],[0.12165266 0.31172509],[0. 0.],264.40754072960164,271.3936636162827
76,229.26925441246115,"[1.9023522004381144, 0.6423996788051988]",[0.25600985 0.9999    ],[0.13854885 0.27712617],[0. 0.],462.5385088249223,470.1487787627553
77,121.15197634726867,"[2.636672157576464, 0.8073667574041573]",[2.68062001 0.01714707],[0.24802256 0.09830249],[0. 0.],246.30395269453734,253.29007558121845
78,110.44965960458111,"[2.834620965417219, 0.3488736923693734]",[2.33308986 0.01552767],[0.0624946  0.26235809],[0. 0.],224.89931920916223,231.8605970558462
79,164.96902921641382,"[4.733953543134621, 0.7123104632357379]",[0.0001 0.0001],[0.00216319 0.00167398],[0. 0.],333.93805843282763,340.89098553669066
80,166.35532396366085,"[1.87419528042777, 0.8667245289097565]",[0.0001 0.0001],[0.0016295  0.00324962],[0. 0.],336.7106479273217,343.680241794303
81,152.53309339821683,"[2.490759731872643, 0.3825922038913579]",[2.69597014 0.03754439],[0.18022858 0.13279696],[0. 0.],309.06618679643367,316.0930442887636
82,169.6468086390634,"[2.623671064671228, 0.1564656825135407]",[4.99990000e+00 4.12223116e-04],[0.00787716 0.00810142],[0. 0.],343.2936172781268,350.3123939513828
83,101.80042546758861,"[3.921026340711161, 0.5391073867056141]",[2.29190605 0.03052718],[0.17118976 0.44494085],[0. 0.],207.60085093517722,215.1868781519455
84,230.79131057342855,"[4.966461801320832, 0.5292537503729212]",[0.0872424 0.9999   ],[0.32491462 0.16401084],[0. 0.],465.5826211468571,473.2049031328105
85,169.8210595936393,"[3.1068456792524297, 0.685798942721426]",[0.0001 0.0001],[0.00139887 0.00280848],[0. 0.],343.6421191872786,350.6527822591433
86,146.91920210456064,"[1.260481042235373, 0.5497173415006769]",[4.99990000e+00 2.23730443e-04],[0.00842623 0.00191262],[0. 0.],297.8384042091213,304.77452449139156
87,225.82659032923075,"[3.4378269662794794, 0.7217253823456679]",[0.3926477  0.00851439],[0.09905285 0.27185545],[0. 0.],455.6531806584615,463.233101000256
88,225.96598122574372,"[3.3191170704076756, 0.49315493940631816]",[0.0001 0.0001],[0.00459415 0.0029093 ],[0. 0.],455.93196245148744,463.5118827932819
89,94.2389012263418,"[1.240177532278486, 0.6821710238000319]",[2.39078024 0.03308038],[0.09727766 0.32147581],[0. 0.],192.4778024526836,200.07598776160464
90,224.28831598750443,"[0.9847799421594874, 0.5342395633270063]",[0.76081436 0.9999    ],[0.19844581 0.21587366],[0. 0.],452.57663197500887,460.16874747653964
91,169.00834568276633,"[0.12013839207197063, 0.49235027443715196]",[0.25503845 0.64951005],[0.08466762 0.17430952],[0. 0.],342.01669136553267,349.01920778662213
92,145.77290159827035,"[1.3303709096515464, 0.33449522575646395]",[2.29495874 0.0074571 ],[0.04485615 0.18349863],[0. 0.],295.5458031965407,302.54831961763017
93,169.82057337002223,"[0.213831247100475, 0.933162464933766]",[0.01832059 0.08026842],[0.13129591 0.33316835],[0. 0.],343.64114674004446,350.6518098119092
94,223.47310934233045,"[2.683767972361381, 0.8708600462640826]",[0.9286405  0.59328702],[0.2211067  0.18219288],[0. 0.],450.9462186846609,458.5261390264554
95,198.20163186375706,"[0.806383958064882, 0.044314758848101626]",[4.33946526e+00 1.00000000e-04],[0.00193613 0.00472413],[0. 0.],400.4032637275141,407.729184687786
96,215.67273027112427,"[4.898135762941834, 0.5192626153130397]",[2.02315866 0.00240884],[0.1203197  0.04422581],[0. 0.],435.34546054224853,442.88834278850857
97,185.81258028642026,"[3.6513402463707907, 0.9330486784699236]",[1.80402718 0.03814225],[0.15705518 0.32668959],[0. 0.],375.6251605728405,383.1742636639293
98,226.3054370049866,"[0.5721127922795354, 0.2933915921560986]",[0.34566006 0.9999    ],[0.27402764 0.23764457],[0. 0.],456.6108740099732,464.1969012267415
99,75.99530144439359,"[4.2858916447741215, 0.8060396572852198]",[2.36821645 0.13991532],[0.15968088 0.2194225 ],[0. 0.],155.99060288878718,163.00937956204314
