participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,103.56068466052992,"[1.0405457494347887, 0.260826234656983]",[2.130384   0.05112748],[0.35984886 0.66467655],[0. 0.],211.12136932105983,218.67047241214865
2,138.30076228537447,"[3.975388788594503, 0.45001115141946074]",[4.9999000e+00 2.1354102e-04],[0.50469298 0.49612739],[0. 0.],280.60152457074895,287.61218764261366
3,172.59301653539615,"[4.347024840501336, 0.7980101950189504]",[0.01275636 0.11670712],[0.68735096 0.36522066],[0. 0.],349.1860330707923,356.21289056312224
4,227.94428249358202,"[3.850497324687321, 0.512586278821833]",[0.47684631 0.39271636],[0.34621914 0.62905326],[0. 0.],459.88856498716405,467.49280173791817
5,170.514208159011,"[2.9032773646400436, 0.8108733752448181]",[0.0001 0.0001],[0.50193024 0.49779283],[0. 0.],345.028416318022,352.03093273911145
6,106.19812932563156,"[1.0092050591625132, 0.629663846719974]",[2.12904339 0.01880774],[0.40499789 0.65835431],[0. 0.],216.3962586512631,223.40692172312782
7,155.38293381199793,"[0.12780104936741385, 0.31228328475949313]",[1.415235   0.01571491],[0.63400547 0.36857105],[0. 0.],314.76586762399586,321.7846442972518
8,170.51420887280236,"[0.34688611002083874, 0.6321190263224519]",[0.0001 0.0001],[0.5017457  0.49763112],[0. 0.],345.0284177456047,352.0309341666942
9,171.2073590179862,"[2.3486563907848383, 0.034690328193199435]",[0.0001 0.0001],[0.501529   0.49746729],[0. 0.],346.4147180359724,353.4253811078371
10,168.76765230901643,"[2.6546181329357412, 0.6512822373210283]",[0.25962669 0.2443038 ],[0.30190081 0.72995219],[0. 0.],341.53530461803285,348.5214275047139
11,146.50699054937704,"[1.4612493210819117, 0.32579173921679355]",[1.60170142 0.01827862],[0.64727934 0.38627661],[0. 0.],297.0139810987541,304.0246441706188
12,225.96598251275512,"[4.731147295889118, 0.34100757412216093]",[0.0001 0.0001],[0.50239574 0.49722274],[0. 0.],455.93196502551024,463.4996153901697
13,168.59095015318164,"[3.442152368761637, 0.9873931967460872]",[0.8563695 0.0354328],[0.36426711 0.64754097],[0. 0.],341.1819003063633,348.2168060992927
14,145.8489138799338,"[0.5214396454126761, 0.30091153550767324]",[4.99990000e+00 1.86539299e-04],[0.50480222 0.49701276],[0. 0.],295.6978277598676,302.7407495955921
15,164.96903257820176,"[0.9267982266983761, 0.038810984227049226]",[0.0001 0.0001],[0.49778574 0.50151985],[0. 0.],333.9380651564035,340.8741854386738
16,170.51423515824317,"[3.2238682950359645, 0.12831293564439752]",[0.0001 0.0001],[0.5002559  0.49599309],[0. 0.],345.02847031648633,352.0309867375758
17,216.46721947083427,"[0.17415968668588816, 0.2932809269859992]",[0.65940683 0.25227582],[0.28075605 0.66007928],[0. 0.],436.93443894166853,444.4585417072289
18,169.4955895199637,"[3.0399612037886885, 0.6922614044275098]",[4.23135903e+00 1.00000000e-04],[0.50201752 0.49803167],[0. 0.],342.9911790399274,350.0018421117921
19,171.20735963109436,"[3.205684826772201, 0.5982553650009134]",[0.0001 0.0001],[0.4975827  0.50171705],[0. 0.],346.4147192621887,353.42538233405344
20,226.6591665287257,"[2.6730125475949356, 0.16461405413744504]",[0.0001 0.0001],[0.50047045 0.49495228],[0. 0.],457.3183330574514,464.89212782018484
21,168.9071851382241,"[2.096075686231868, 0.5034028849218812]",[3.32448757e+00 1.00000000e-04],[0.50194083 0.49810318],[0. 0.],341.8143702764482,348.80049316312926
22,201.6431507530058,"[2.135032102870529, 0.3866082561664539]",[1.37407558 0.01798205],[0.35214193 0.65986556],[0. 0.],407.2863015060116,414.8539518706711
23,167.74163025735936,"[3.52761958553417, 0.7311268918772683]",[0.0001 0.0001],[0.50096337 0.49693469],[0. 0.],339.4832605147187,346.45285438170004
24,221.35174510041065,"[4.449064618623217, 0.20493155775663827]",[4.03763857e+00 1.00000000e-04],[0.50285612 0.49753808],[0. 0.],446.7034902008213,454.2525932919101
25,228.2808982987359,"[4.567830990386718, 0.2264399512411871]",[3.21376383e+00 1.00000000e-04],[0.49720529 0.50280478],[0. 0.],460.5617965974718,468.1539120990026
26,63.43773088136238,"[2.8916028131504468, 0.7362272866690173]",[4.99990000e+00 6.00521294e-04],[0.51883732 0.49605378],[0. 0.],130.87546176272474,137.86979821331116
27,145.26369006794613,"[1.2670212221848398, 0.9947923032201242]",[1.72094396 0.36852854],[0.47264398 0.73650921],[0. 0.],294.52738013589226,302.11949563742303
28,136.790182342702,"[1.0462671736016518, 0.877857943656678]",[4.99990000e+00 2.05746265e-04],[0.5053576  0.49716773],[0. 0.],277.580364685404,284.54164253208796
29,59.67742959363326,"[2.9868206046669483, 0.20017440432145459]",[2.2983572  0.09017603],[0.37288569 0.71137303],[0. 0.],123.35485918726653,130.3161370339505
30,154.770623797665,"[4.162088567497717, 0.6097154874909834]",[1.04089051 0.63240569],[0.35768441 0.67975421],[0. 0.],313.54124759533,320.5519106671947
31,226.6591723973035,"[2.336139830907101, 0.2268929923295025]",[0.0001 0.0001],[0.50034468 0.49480063],[0. 0.],457.318344794607,464.89213955734044
32,208.37776634241223,"[4.193533185385361, 0.030672663244961405]",[4.99990000e+00 1.02500444e-04],[0.49793324 0.50327438],[0. 0.],420.75553268482446,428.34764818635523
33,230.12490417082645,"[3.930145098135168, 0.34918136756330015]",[0.0001 0.0001],[0.50037563 0.49484552],[0. 0.],464.2498083416529,471.85404509240703
34,183.9475622045086,"[1.5724508953005585, 0.7075358982482384]",[4.99990000e+00 1.48186302e-04],[0.49735584 0.50535299],[0. 0.],371.8951244090172,379.444227500106
35,171.89196801261835,"[0.8857890585177643, 0.7943063735638373]",[1.8675142e+00 1.0000000e-04],[0.50200207 0.49778756],[0. 0.],347.7839360252367,354.80271269849266
36,124.8240202599419,"[0.8982870708884784, 0.2211090190115336]",[1.9048668  0.02342942],[0.39521007 0.66068853],[0. 0.],253.6480405198838,260.66681719313976
37,221.11395429185455,"[4.97389662246416, 0.0076690484804301596]",[0.0001 0.0001],[0.50231198 0.49704524],[0. 0.],446.2279085837091,453.7520113492695
