participant_id,best_initial_guess,best_parameters,best_nll,AIC,BIC
1,"[1.1194314472157887, 0.23915132382087334, 0.3999796716004526, 3.80801278368134]",[9.99890464e-01 2.02296627e-02 1.00000000e-04 2.64620636e+00],97.83973532165956,203.67947064331912,218.77767682549677
2,"[4.811735204960657, 0.09951850036518892, 0.8798941474361706, 4.87048158434011]",[1.47517319 0.06295005 0.9999     4.84944665],43.96135748429116,95.92271496858233,109.94404111231178
3,"[1.0611043248652259, 0.5450357386720484, 0.5760616863104017, 0.1082817064834772]",[9.35575064e-01 4.03869947e-02 9.34463118e-03 1.00000000e-04],169.94568700730295,347.8913740146059,361.9450889992658
4,"[2.6728092254820597, 0.7774288004943913, 0.5018053927842805, 4.709256842474089]",[4.01729930e-01 7.72465564e-02 1.00000000e-04 4.84551101e-02],225.175636149886,458.351272299772,473.55974580128026
5,"[2.989379795733258, 0.3322906255605268, 0.6012769381330862, 1.5051411251905653]",[0.0001 0.0001 0.0001 0.0001],169.82106097890076,347.6421219578015,361.64715479998046
6,"[1.62929279733917, 0.011394965251449108, 0.45654896174833365, 2.6491243842297636]",[7.37771366e-01 1.68690504e-02 1.00000000e-04 2.28738914e+00],102.88980497900651,213.77960995801303,227.80093610174248
7,"[1.6579112131919231, 0.2266700131034272, 0.6480252186756715, 3.0830301125145323]",[0.5020882  0.00611603 0.92877801 2.09240408],154.30553647095707,316.61107294191413,330.64862628842604
8,"[2.127062575901307, 0.726553084115853, 0.9640872285599855, 1.690497613530599]",[0.0001 0.0001 0.0001 0.0001],169.82106169292592,347.64212338585185,361.6471562280308
9,"[0.5501673037508843, 0.9460635933887623, 0.5423237286591451, 2.67255707946605]",[1.00000000e-04 8.39484922e-01 1.00000000e-04 4.92291729e+00],168.43797299566836,344.8759459913367,358.89727213506615
10,"[2.90157042907496, 0.4813379356541658, 0.13923596433782623, 1.9866883081628102]",[2.53798805e-04 5.01591929e-01 1.00000000e-04 1.86045723e+00],164.20380485526994,336.4076097105399,350.3798554839021
11,"[1.2729646147152587, 0.5002116638487139, 0.8591354379405409, 2.6889936550347286]",[0.30770505 0.02465877 0.77536426 2.13731376],143.45700047870355,294.9140009574071,308.9353271011365
12,"[1.0519121416561839, 0.9230948649058943, 0.5661041326242148, 1.7287118527049783]",[1.0000000e-04 6.3054597e-01 1.0000000e-04 4.9999000e+00],223.63404432653343,455.26808865306685,470.4033893823858
13,"[2.856153430236925, 0.5851463356226754, 0.1364065882700944, 4.6935808609944445]",[8.34677100e-01 7.43575877e-02 1.00000000e-04 6.56690967e-01],166.41565121443122,340.83130242886244,354.90111401472126
14,"[2.9736350793606707, 0.4364897812350426, 0.9177079599639467, 3.1659222607201025]",[1.00377128e+00 6.44047647e-02 4.87813490e-01 1.00000000e-04],141.27929123374625,290.5585824674925,304.64442613894147
15,"[3.1599704199630017, 0.4802143545868274, 0.37533818841437133, 4.321812593791013]",[0.0001 0.0001 0.0001 0.0001],164.2758853984036,336.5517707968072,350.4240113613477
16,"[2.5757663173196588, 0.060758128813995095, 0.07859612248734055, 1.0314582206197822]",[1.59950970e+00 7.26312631e-02 1.00000000e-04 1.00000000e-04],107.9101363145046,223.8202726290092,237.8253054711881
17,"[1.7682473296802126, 0.6417380041136845, 0.4799849857101926, 2.718586793605892]",[3.79828041e-01 2.58374236e-01 1.00000000e-04 1.00000000e-04],212.96373630544494,433.9274726108899,448.97567814201057
18,"[0.3931260386774953, 0.5332021890991089, 0.8517515941761779, 2.2594559139465407]",[0.05252457 0.26897507 0.87013443 2.32830145],167.80410290448907,343.60820580897814,357.62953195270757
19,"[1.1127190881710576, 0.6212783350797598, 0.9940695185000196, 2.9015659035204244]",[0.0001 0.0001 0.0001 0.0001],170.51421245150507,349.02842490301015,363.0497510467396
20,"[3.995051741937683, 0.25305741770768186, 0.6661765137824437, 4.88413919152547]",[1.42740662e+00 6.43074173e-02 9.25516246e-01 1.00000000e-04],152.33897528850525,312.6779505770105,327.82554010247736
21,"[2.8488407803868907, 0.42825920159292047, 0.4186724884187462, 4.747093291111527]",[1.00000000e-04 4.37956903e-01 8.42437122e-02 2.36370374e+00],163.21881484745523,334.43762969491047,348.4098754682727
22,"[2.0928094488328184, 0.08383148151886131, 0.7355006260350224, 0.41630316411436546]",[0.23972851 0.04282281 0.00444354 1.36222835],198.0549952441965,404.109990488393,419.24529121771195
23,"[2.044579658120987, 0.9141715079587365, 0.10341972612737975, 3.322371737911773]",[0.0001 0.0001 0.0001 0.0001],167.04848307787896,342.0969661557579,356.03615388972054
24,"[2.5181530645723336, 0.45877783517615855, 0.2462220875832072, 2.632437110930864]",[3.65301067e-02 1.18088727e-01 1.00000000e-04 6.75027916e-01],220.62668585628444,449.2533717125689,464.3515778947465
25,"[0.600586515377609, 0.3750421559924873, 0.273794636401173, 0.3254745478252056]",[3.03916615e-03 5.19937375e-01 4.52270660e-04 1.76620122e+00],223.5824156939294,455.1648313878588,470.34906239092027
26,"[0.09181575617183717, 0.11236715720281841, 0.2579841487819989, 1.4615736829046369]",[1.6306656  0.05631627 0.06658241 1.2729055 ],62.10656123577408,132.21312247154816,146.20179537272097
27,"[3.469250959512298, 0.7599434296894545, 0.16323991176735295, 4.964424626272757]",[6.41429551e-01 4.39310044e-03 8.62643154e-01 4.99990000e+00],138.4911137697997,284.9822275395994,300.1664585426609
28,"[2.9453197354234897, 0.0027578110112123438, 0.6726570291131287, 3.6323116020063067]",[2.94560059e+00 2.05745949e-04 1.00000000e-04 4.99990000e+00],136.09705155039754,280.1941031007951,294.116658794163
29,"[2.8361449913894266, 0.15405956206758617, 0.33218976067227923, 3.7097619151319674]",[1.18309745 0.02134147 0.23229784 3.57680973],55.62287492810664,119.24574985621328,133.16830554958125
30,"[1.2673447688301822, 0.6232131050237446, 0.7790417239337443, 0.7898794166765989]",[5.40754912e-01 6.75806913e-01 9.99900000e-01 1.00000000e-04],152.42109944677046,312.8421988935409,326.86352503727034
31,"[3.0091894830927326, 0.5062635808615095, 0.4352626162220977, 4.7629244371797705]",[0.0001 0.0001 0.0001 0.0001],225.96602521750907,459.93205043501814,475.079639960485
32,"[1.6528874123203747, 0.659481660428041, 0.6612824151395129, 3.799243573117888]",[1.00030311e-04 1.02498960e-04 1.00000000e-04 4.99990000e+00],207.68462299036457,423.36924598072915,438.55347698379063
33,"[4.535422975273364, 0.6667405161601867, 0.5065721720871273, 3.0268767016006413]",[4.9999     0.01064766 0.9943959  2.10216833],93.0269566355545,194.053913271109,209.26238677261725
34,"[1.7257326640379442, 0.47243313052901403, 0.27501941323421836, 2.4690760072930207]",[1.77426426e+00 1.48184026e-04 1.00000000e-04 4.99990000e+00],183.25442114125937,374.50884228251874,389.6070484646964
35,"[0.7961239999841623, 0.8897345426602428, 0.648189551436501, 1.042972425126719]",[1.00000000e-04 1.12456316e-01 1.00000000e-04 6.27694473e-01],169.4087885293867,346.8175770587734,360.8551304052853
36,"[1.2461023587602167, 0.45816603271844863, 0.2629085541639053, 2.1292987648892225]",[1.23571669e+00 4.94131836e-02 1.00000000e-04 1.44405448e+00],117.52659732839433,243.05319465678866,257.0907480033006
37,"[1.3824192272409277, 0.8149225775749833, 0.22842032870318743, 0.8203951776523577]",[0.0001 0.0001 0.0001 0.0001],220.42080711183755,448.8416142236751,463.8898197547958
38,"[0.5769213510892212, 0.7717449893132591, 0.4931169469333262, 3.6817504682252373]",[1.00000000e-04 5.86171571e-01 3.23995742e-01 3.69935187e+00],167.76970864101332,343.53941728202665,357.51166305538885
39,"[0.7660929411062302, 0.5237371698752448, 0.8274879531766877, 3.2897609314799587]",[0.01294216 0.25382409 0.6091683  3.17929224],162.09736909411365,332.1947381882273,346.2160643319567
40,"[1.961758930925234, 0.39034133505873225, 0.687745328063041, 3.2180627328817732]",[1.33934270e+00 2.09498312e-02 1.00000000e-04 2.24437351e+00],80.66234276519786,169.32468553039573,183.31335843156853
41,"[2.790505256802436, 0.258357402251912, 0.6454323454287346, 2.596157217532006]",[0.0001 0.0001 0.0001 0.0001],225.2728553148793,458.5457106297586,473.68101135907756
42,"[0.7100227230278043, 0.8659895821116238, 0.4984239050371248, 2.907742273122964]",[1.00000000e-04 6.12994154e-01 7.20110154e-01 2.59885691e+00],227.7291646820726,463.4583293641452,478.66680286565344
43,"[3.0098675535519437, 0.6599019772250605, 0.4475251319710801, 0.8909061504144284]",[6.59952396e-01 1.32039193e-01 4.45767777e-01 1.00000000e-04],150.786749026334,309.573498052668,323.57853089484695
44,"[0.009603278134947275, 0.8675469835809029, 0.9050183214972914, 4.626250827564732]",[0.02631803 0.92113097 0.91866524 4.62624465],167.72020836002798,343.44041672005596,357.39616762468273
45,"[0.3637336406127342, 0.9621073742099092, 0.9834192111055655, 1.2799546942093634]",[1.00000000e-04 5.13007551e-01 3.60744942e-04 1.25951810e+00],163.6262187572916,335.2524375145832,349.1415202092691
46,"[1.2778191013054838, 0.5293184579051275, 0.741903060431663, 3.8109300788248475]",[1.12143336e+00 2.52960629e-04 1.00000000e-04 4.99990000e+00],127.66455082257532,263.3291016451507,277.33413448732955
47,"[2.980956222377088, 0.4345433435739373, 0.6519375789754394, 0.4429946666422193]",[1.00000000e-04 2.93229785e-01 1.95165590e-02 8.45298155e-01],224.43335076649925,456.8667015329985,472.01429105846535
48,"[2.6465619621127585, 0.629106486258481, 0.4889900971688307, 3.2881086767774494]",[3.27704753e-01 7.16402655e-02 1.74510178e-01 1.00000000e-04],168.8496913326056,345.6993826652112,359.70441550739014
49,"[2.9109403091630597, 0.5238277134868871, 0.8346196896503532, 3.0183472651513217]",[3.18697489e-01 2.73292510e-01 1.00000000e-04 1.00000000e-04],164.0722094464183,336.1444188928366,350.10016979746337
50,"[4.303852518184566, 0.4889839030673028, 0.7114579943704957, 4.45194886284448]",[0.0001 0.0001 0.0001 0.0001],230.12490397850624,468.2498079570125,483.47034783267844
51,"[3.028578916806586, 0.6216598892836886, 0.01917771978980183, 0.2901719224357309]",[0.78945925 0.19655852 0.92663364 0.070382  ],160.4537622770103,328.9075245540206,344.04282528333954
