participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,101.91364818526857,"[4.274113550630119, 0.0716485594628068, 0.7568218371465161, 0.29994191962416167]",[0.30324457 0.09436154 0.75682184 0.9999    ],[0.52865119 5.57539643],"[np.float64(-0.8515189454222254), np.float64(-4.772027847547614)]",211.82729637053714,226.92550255271476
2,40.795405799677,"[4.451876389924477, 0.6910532019736424, 10.002383705485716, 0.4629582912047406]",[ 1.07180666  0.22350863 10.00238371  0.64064973],[3.10319210e+00 5.91521483e-04],"[np.float64(-2.0791628543846836), np.float64(-0.0006894432311413118)]",89.590811599354,103.61213774308345
3,170.38623129836094,"[4.63898914286298, 0.672645318043151, 7.541224746124804, 0.9319613691647337]",[0.31507311 0.9999     7.54122475 0.9999    ],[8.20063007e-21 4.10024004e-01],"[np.float64(-6.840126748476658e-21), np.float64(-0.38740754385623705)]",348.7724625967219,362.8261775813818
4,226.67895078865016,"[1.2747924798430046, 0.14026699275512244, 6.470674138556008, 0.08468345716590833]",[0.34295308 0.8855001  6.47067414 0.9999    ],[0.03429119 0.65000014],"[np.float64(-0.061645175794346495), np.float64(-0.2147767303804322)]",461.3579015773003,476.56637507880856
5,168.69073078070682,"[4.425932720034069, 0.2276081766824825, 0.8259561131760202, 0.033731381590710104]",[2.27134510e-01 2.81319588e-01 8.25956113e-01 1.00000000e-04],[1.62548995 0.49791601],"[np.float64(-1.1993484352919777), np.float64(-0.8704105117465472)]",345.38146156141363,359.38649440359256
6,102.50590958958279,"[2.8475513220985462, 0.3893099388858494, 12.178451347692278, 0.26338398920335815]",[ 0.22034899  0.06995335 12.17845135  0.9999    ],[0.93476048 7.84842192],"[np.float64(-0.8046993980308035), np.float64(-3.346008997919736)]",213.01181917916557,227.03314532289502
7,155.500304803023,"[4.23105348730353, 0.1426162554262756, 4.435596376853151, 0.036376585730920744]",[0.02723498 0.0087691  4.43559638 0.9999    ],[46.14259655  9.50500192],"[np.float64(-27.819060615201153), np.float64(-10.721887444492229)]",319.000609606046,333.0381629525579
8,168.75575584243998,"[1.7097510830391744, 0.7143240028695699, 9.852875352410678, 0.9596114766347951]",[0.32319012 0.9999     9.85287535 0.34288155],[3.90000e-01 4.10024e-05],"[np.float64(-0.35223670306465227), np.float64(-1.43035391502066e-05)]",345.51151168487996,359.5165445270589
9,168.17049011118814,"[3.65955280386144, 0.5008622979676042, 15.607216892588655, 0.9062203073535766]",[4.09130110e-02 5.33579517e-03 1.56072169e+01 1.00000000e-04],[36.06179918 27.22288957],"[np.float64(-19.76473128608365), np.float64(-28.82249740125958)]",344.3409802223763,358.3623063661057
10,157.70537886501273,"[0.5289681697982624, 0.2396837338296307, 1.1678360411824067, 0.06397272429434853]",[0.78513007 0.9999     1.16783604 0.26913275],[2.40000000e-01 6.80061009e-05],"[np.float64(-0.43252595155709345), np.float64(-3.005230440127227e-05)]",323.41075773002547,337.38300350338767
