participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,94.941039433168,"[2.863827434423358, 0.932694695561979, 0.21264232999505678, 22.551506969556392, 11.283895554571002, 0.25927197143870995]",[ 4.73129406  0.99296505  0.11649322 23.9999      5.14613426  0.24723717],201.882078866336,224.52938813960245
2,38.264799882889555,"[2.7744560399189537, 0.35735849789646346, 0.4974559838703926, 20.1519287418814, 23.439787664161493, 0.03600381419860052]","[1.32636824e+00 2.19689672e-01 8.34869381e-03 2.39999000e+01
 2.34477413e+01 9.67411660e-01]",88.52959976577911,109.56158898137329
3,165.13706708900435,"[3.404029500130535, 0.21161251034164666, 0.5751350472196644, 6.7913252553102215, 11.881720921657571, 0.701594282341745]","[4.99990000e+00 9.98907346e-01 5.98128289e-03 1.00000000e-04
 5.02128855e-01 7.71372960e-01]",342.2741341780087,363.3547066549986
4,225.55558894323175,"[1.5598786200138324, 0.9625320961469371, 0.4572156260364439, 14.01469703976242, 6.267767525513339, 0.4832669713995631]",[ 4.89021019  0.99810128  0.21689289 22.49238676  1.98376862  0.90432458],463.1111778864635,485.9238881387259
5,168.38736625606631,"[3.6772430333441313, 0.22942308801598277, 0.8351522205461113, 1.8542028751457147, 18.51717996298062, 0.9155772306761715]","[1.01064479e-01 9.99900000e-01 1.82992440e-01 1.00000000e-04
 2.39999000e+01 4.49053061e-01]",348.77473251213263,369.782281775401
6,99.54951644443062,"[3.2640872701861405, 0.8322113755293098, 0.5988357760327392, 8.221001112168802, 6.52510499770608, 0.9402756308941616]","[1.01076407e+00 3.64870450e-01 7.61513440e-02 3.60963739e-02
 1.00000000e-04 4.60249763e-01]",211.09903288886125,232.1310221044554
7,154.09880690624757,"[3.3368175428674696, 0.013758673736737935, 0.7115718700861341, 0.10330706606161177, 1.031235116761443, 0.35056408364252617]","[6.89675425e-01 1.00000000e-04 2.29261947e-02 1.01850755e-01
 1.00000000e-04 4.85962100e-01]",320.19761381249515,341.253943832263
8,165.5285136380427,"[3.078326173212557, 0.9037270956538154, 0.688950977988965, 19.65154149721877, 2.903190226367685, 0.7871051917986087]","[4.96559521e+00 9.97626490e-01 8.73698041e-04 1.96516815e+01
 2.91299621e+00 7.99714583e-01]",343.0570272760854,364.06457653935377
9,164.25428830669392,"[2.6320366519126783, 0.37233193070827336, 0.7259541802946112, 19.95642584769198, 10.239992752375422, 0.25738496004152583]",[ 3.90681908  0.99631618  0.03643873 19.94589188 10.24288077  0.77258708],340.50857661338785,361.54056582898204
10,158.8721602453313,"[0.7484714604793252, 0.40946945240128335, 0.4255146817177528, 7.310487538254818, 14.167025081349497, 0.6775797420955783]","[4.99990000e+00 9.02196507e-01 1.00000000e-04 2.97862417e+00
 1.99448330e+01 2.81777349e-01]",329.7443204906626,350.70268915070585
