participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,100.007518294575,"[3.966088971561486, 0.4302950409321999, 8.33754042892517, 7.796132230583307, 0.33917839611922684]",[ 0.69730521  0.07636209  4.44120432 23.9999      0.80336664],210.01503658915,228.88779431687203
2,38.49662616467698,"[0.009481767402606967, 0.2640753778053342, 0.9152678780669175, 11.217306555820869, 0.8862479449870536]",[ 4.91151146  0.16414083  0.9303755  11.21568038  0.96007234],86.99325232935396,104.51991000901577
3,169.49109210353686,"[1.2817636927719318, 0.736397848338503, 17.14571149722547, 13.535226599857511, 0.4006417628115476]","[1.55293272e+00 9.06067308e-01 2.39999000e+01 1.00000000e-04
 9.06313723e-01]",348.9821842070737,366.5493279378986
4,226.04354399543848,"[2.7950701171555377, 0.17909451129659623, 9.517449079908852, 12.362480039012345, 0.4206629296050304]","[9.80047387e-01 7.96709052e-01 2.05599244e+01 1.00000000e-04
 9.17549435e-01]",462.08708799087697,481.0976798677623
5,168.23207915588597,"[4.935957600756086, 0.011394559627453761, 18.8871438179525, 20.516606305095856, 0.8090095202990002]","[4.93595760e+00 1.13945596e-02 1.88871438e+01 2.05166063e+01
 3.12499986e-01]",346.46415831177194,363.97044936449555
6,99.85108660772934,"[0.6942262778425646, 0.6696168935581007, 6.430650484784731, 4.4568900631111035, 0.8381865723525187]","[6.22108220e-01 7.56539224e-02 1.00000000e-04 9.52595614e-01
 4.31672936e-01]",209.70217321545869,227.2288308951205
7,152.9252573963076,"[4.873154036174816, 0.1716472142363046, 21.728092011529476, 2.992506348010624, 0.6273776990432645]",[ 4.99242671  0.10967444 22.1261436   2.8662222   0.34752387],315.8505147926152,333.39745647575506
8,167.65047772005423,"[4.192614857536636, 0.031590511910565444, 18.2022967263116, 0.5567341309369077, 0.6220459534001179]","[2.29783744e-02 1.18165317e-02 1.82119982e+01 5.41644563e-01
 1.00000000e-04]",345.30095544010845,362.80724649283206
9,170.31043719261706,"[0.29826542787411436, 0.9027175768102005, 3.7784683146892246, 9.930656709251497, 0.45613474530022613]",[ 1.29827955  0.97279054  0.34797188 10.00288565  0.9638746 ],350.6208743852341,368.1475320648959
10,159.98513237892524,"[4.113822406405666, 0.5122483658940008, 8.310162246852336, 10.326567368113642, 0.8459105111710022]","[4.99990000e+00 9.95892236e-01 1.00031855e-04 1.01272817e+00
 9.99900000e-01]",329.9702647578505,347.4355719745532
11,206.39811552534863,"[4.199618958010061, 0.5476641591703627, 18.802063405058643, 17.833013836253613, 0.10793045512675199]",[ 4.98000789  0.99390593 18.80215593 17.83302738  0.88578563],422.79623105069726,441.71535696234594
12,166.33661502057043,"[3.4346469091443437, 0.4573694850763863, 3.161691117165862, 20.69955799343138, 0.5131520508890688]","[9.99793228e-01 1.60163798e-02 1.00000000e-04 4.24416725e-01
 1.89428747e-01]",342.67323004114087,360.2604945234644
13,138.27918827746817,"[3.292926567648963, 0.6174870238527204, 16.132364339261027, 10.60878332502419, 0.6852163597571901]","[1.04324363e-01 1.27791393e-02 2.39999000e+01 2.71751258e-01
 8.39994176e-01]",286.55837655493633,304.16568114424757
14,160.39447813954797,"[1.16136827470756, 0.9095909511761814, 4.228431827079975, 15.26560316851832, 0.2865748757153116]","[3.39835966e+00 1.23920488e-04 1.00000000e-04 1.80202605e-02
 1.00407319e-04]",330.78895627909594,348.1292569847716
15,30.829985596178833,"[2.528052357170599, 0.8560764089864619, 13.40620244069048, 14.458046889908054, 0.574825609673558]","[2.73733119e-01 3.21061778e-02 2.39999000e+01 2.31716634e+01
 1.00000000e-04]",71.65997119235766,89.1662622450813
16,196.62009150355595,"[4.622380765738212, 0.4564655967036054, 3.57583536851381, 2.315616394728559, 0.4256576225817128]",[4.83540611 0.99262907 3.26321355 2.33016748 0.98885721],403.2401830071119,422.0504399210128
17,165.60703593074896,"[1.9219518100901762, 0.7422109524727867, 0.1202299394441821, 7.161899914479095, 0.6278008461915482]","[3.30318417e+00 3.45568690e-04 1.28031752e-01 1.03775084e-01
 6.21276264e-02]",341.2140718614979,358.74072954115974
18,162.87379467112373,"[0.3856215128827884, 0.034600095387920304, 0.23142247384269274, 2.4108148199137895, 0.15980896492961835]","[2.98803451e+00 2.36711005e-04 1.00000000e-04 6.25974748e-02
 3.86298076e-01]",335.74758934224747,353.2742470219093
19,75.04920595488231,"[2.915808433506738, 0.40443765194173786, 8.587979987554192, 8.588544687332, 0.7134367808683825]","[9.08465959e-01 1.61386337e-01 2.39999000e+01 1.00000000e-04
 5.14518966e-01]",160.09841190976462,179.03289881659816
20,167.97671996511224,"[1.8202708776620329, 0.9433648663624122, 14.335001683486341, 6.66553588518932, 0.8833783144430991]","[4.88918288e-01 9.64760057e-01 1.00000000e-04 3.89053562e+00
 9.07520415e-01]",345.9534399302245,363.4187471469272
21,182.2708361033708,"[0.44214860788324356, 0.8322348993154778, 20.692892466705363, 4.78880532465025, 0.13084861264904138]",[ 4.11321111  0.97883945 20.80561915  4.28037974  0.9999    ],374.5416722067416,393.4607981183903
22,130.73486793244672,"[0.04632499479124194, 0.9533730940455891, 10.720600740533841, 6.3865778638259245, 0.2294573112082365]","[2.77227567e+00 1.01677600e-04 8.47685031e-02 1.00000000e-04
 1.00000000e-04]",271.46973586489344,288.8937205323467
23,220.87342798123717,"[0.24770060208691125, 0.2880267432966815, 12.454660308172246, 12.889988657911713, 0.3421189205985442]","[3.44450947e-02 1.00000000e-04 9.69685012e-01 1.00000000e-04
 2.38396302e-01]",451.74685596247434,470.6196136901964
