participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,100.08563052599868,"[2.8897263373468562, 0.07304461952226429, 0.8277022542641036, 1.6286975990611046, 0.2999167674155498]",[2.56933156 0.04058789 0.12579588 0.40711713 0.91272624],[0.37329418 0.66464336],[1.9860724 2.3431433],210.17126105199736,229.0440187797194
2,128.70656070379653,"[0.45695363237534525, 0.2680274876984603, 0.5281242523730615, 11.342263734566812, 0.5157053667962529]","[4.39082059e+00 6.46262089e-04 5.98554289e-01 2.39999000e+01
 7.48524112e-01]",[0.51381516 0.48854365],[6.36817692 3.84979619],267.41312140759305,284.93977908725486
3,170.45743092654666,"[3.0977846194497984, 0.7433653609345781, 0.09142620983469407, 7.9805080712583525, 0.32458134174463293]","[4.40862255e+00 1.64453613e-03 1.74573364e-04 1.37962993e+00
 3.16868529e-01]",[0.53075147 0.46896715],[1.42879329 1.4193195 ],350.9148618530933,368.48200558391824
4,225.0834274362469,"[0.713817367182601, 0.02291679879646985, 0.6103279986013208, 0.31722008366361953, 0.4914977926933537]","[4.99990000e+00 9.20522267e-01 1.00000000e-04 1.17847465e+00
 3.66212676e-01]",[0.26025592 0.63668684],[1.20870783 1.21229891],460.1668548724938,479.1774467493791
5,170.2018320684227,"[1.29128309779088, 0.9126344681303733, 0.6521044531218584, 16.702665436151452, 0.808236590814291]","[3.01453130e-01 1.00000000e-04 2.30645816e-01 2.39999000e+01
 8.24534035e-01]",[0.50193005 0.49779305],[2.25454742 2.8306244 ],350.4036641368454,367.909955189569
6,98.37204930376964,"[3.299823443961874, 0.5479297045447711, 0.93032108619821, 22.831691013987594, 0.15930422712079076]",[1.60081656 0.10914853 0.06470582 0.3        0.52400684],[0.34976433 0.65482223],[4.59047914 4.63521576],206.74409860753929,224.2707562872011
7,154.44173806630013,"[1.012924869903801, 0.13560962255374615, 0.31552364420564494, 21.905857538326465, 0.3609517886751217]","[3.25650352e+00 4.71196995e-04 3.05296625e-02 2.27297587e+01
 7.60157541e-01]",[0.51205534 0.49325108],[3.55265295 5.62128313],318.88347613260026,336.43041781574016
8,168.29314797647447,"[0.7025315102987275, 0.9262772824036996, 0.7486610535884048, 17.543163218352998, 0.3637560266200893]","[1.65933131e+00 1.00000000e-04 4.60396227e-02 2.39999000e+01
 8.40322255e-01]",[0.50174553 0.49763136],[2.92900626 3.12099649],346.58629595294894,364.09258700567256
9,164.736363863409,"[1.821968950468208, 0.37772776878982156, 0.23672256222821855, 22.196476169809454, 0.016952228629354978]",[ 3.5659171   0.9999      0.03129774 14.61898112  0.39826398],[0.390018 0.409994],[4.39375052 4.07813485],339.472727726818,356.9993854064798
10,168.75371699620928,"[1.226714131009862, 0.2532861076325079, 0.009769705202091278, 0.9513570103890281, 0.273121861631211]","[2.22881613e+00 2.57329186e-01 1.00000000e-04 3.00000000e-01
 4.38210747e-02]",[0.30101258 0.72892025],[0.34158731 0.33300289],347.50743399241856,364.9727412091213
