participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,100.86773208294828,"[4.1803246784863015, 0.19435231016741217, 2.2586868145357593, 0.8342311298528099]",[4.99990000e+00 2.01612377e-03 1.68656992e+00 9.20766850e-01],[0.48901382 0.57033189],[1.71497528 1.90189342],209.73546416589656,224.83367034807418
2,128.75721763124955,"[3.9461692622683393, 0.9392783864095663, 1.2400140818732484, 0.6501671518728908]",[3.10041549e+00 3.20940138e-03 2.39993697e+01 7.37087051e-01],[0.55859187 0.45008557],[16.89734351 17.81688294],265.5144352624991,279.5357614062285
3,171.0161279397329,"[3.9320434725100877, 0.50147757961498, 1.4899732394157046, 0.7258620503874638]",[4.63693549e+00 1.00817034e-04 4.32629473e+00 1.45711993e-01],[0.50206997 0.49791566],[4.31763839 4.31331773],350.0322558794658,364.0859708641257
4,227.21019535718509,"[0.9228667453662444, 0.22616917236395742, 4.872188031290063, 0.6200223851216463]",[0.44728584 0.9999     2.42626569 0.84498242],[0.250012 0.649981],[4.65573811 4.00576771],462.42039071437017,477.6288642158784
5,170.18054297351878,"[4.979804787287793, 0.40091897229480505, 4.1011541635065, 0.9360560948097378]",[4.68553265e+00 1.00029120e-04 4.10115416e+00 1.00000000e-04],[0.50193061 0.49779241],[4.09064456 4.09557627],348.36108594703757,362.3661187892165
6,98.48558319283218,"[4.621720895876757, 0.8232974719912719, 16.537310459835545, 0.0735750343253765]",[1.6672952  0.06627162 0.3        0.55650593],[0.34785102 0.66277628],[4.58390701 4.64803747],204.97116638566436,218.99249252939381
7,154.26610150436636,"[4.362085095200318, 0.03507562437237715, 11.497709068195311, 0.6452477554054001]",[ 4.99989696  0.11338382 23.99989973  0.34707764],[0.61356458 0.31221048],[3.05298705 3.68964779],316.5322030087327,330.56975635524464
8,169.48363604404173,"[3.1891084787320043, 0.0654707841900438, 15.854663626567147, 0.5352283463237685]",[7.86263300e-02 2.26392358e-02 2.39999000e+01 1.00000000e-04],[0.64627669 0.34074137],[4.80574655 4.15819505],346.96727208808346,360.9723049302624
9,165.97246045502584,"[0.36767490555504706, 0.04533433900038089, 8.774886987588053, 0.34095451360867957]",[1.88506813e+00 2.42333617e-03 2.39999000e+01 6.68711615e-01],[0.53331181 0.44795871],[19.81689174 17.91411286],339.9449209100517,353.9662470537811
10,168.76777711360293,"[4.331217497226726, 0.5535953668491159, 6.6803189783417425, 0.015783304516717927]",[0.2595392  0.24442623 0.3        0.9999    ],[0.30189289 0.72994312],[4.70402293 2.66623409],345.53555422720586,359.50780000056807
