participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,101.77848364250572,"[0.4004737413886275, 0.1503660938781287, -46.63998851901492]",[0.33920201 0.08722618 0.00766657],[0.55188578 4.97526435],[0. 0.],209.55696728501144,220.88062192164466
2,39.976422552984474,"[4.997776883727068, 0.6890150802941077, 77.00500189004177]",[1.06337168 0.1371036  0.0753909 ],[1.41128108 0.00821566],[0. 0.],85.95284510596895,96.46883971376603
3,170.15800346921193,"[2.8072772959764722, 0.8724414698765258, 48.20570085033094]",[0.28839703 0.33310917 6.3130772 ],[0.18331744 0.4990582 ],[0. 0.],346.31600693842387,356.8562931769188
4,224.57751149977616,"[1.9137224286474686, 0.5025427964148506, -49.90858228682149]",[ 3.24525785e-02  5.07617480e-01 -1.00000000e+02],[ 1.11132983 21.36160554],[0. 0.],455.15502299955233,466.5613781256835
5,168.00739465692757,"[4.66245511804755, 0.5947832738828717, 20.74040732467384]",[1.00007139e-04 3.53770481e-02 1.30880233e+01],[-5895.3601072  -1699.16031865],[0. 0.],342.01478931385515,352.51856394548935
6,100.09545406976491,"[1.6214091204536092, 0.9972739512705818, -19.66031778047406]",[  0.03339408   0.20688799 -10.18054326],[ 0.25665729 51.89287455],[0. 0.],206.19090813952982,216.70690274732692
7,155.19894303245513,"[2.733250666333436, 0.6498942893334978, 42.40378371960159]",[0.02144605 0.0001     0.00014301],[61.49732685 24.16837117],[0. 0.],316.39788606491027,326.9260510747942
8,166.2487040173064,"[0.49530422512010464, 0.2638064058108373, -22.486726293850552]",[1.12556721 0.9999     2.76063636],[1.80053604e-01 1.78011726e-05],[0. 0.],338.4974080346128,349.001182666247
9,163.70319182587568,"[0.6413659030405678, 0.8161769761106046, -21.943321297503118]",[2.25679856e+00 3.40418004e-02 5.50075702e+01],[-15446.85116137 -12961.50183713],[0. 0.],333.40638365175136,343.92237825954845
10,158.26747918450542,"[3.3117157175389864, 0.9303762365089315, -3.320997050344772]",[ 5.63372424e-02  5.07816703e-01 -1.00000000e+02],[2.7623178  3.96855224],[0. 0.],322.53495836901084,333.0141426990325
11,146.66236050533288,"[2.5338668582959376, 0.8642634767198113, -75.49495977619216]",[0.025631   0.0001     0.00012481],[67.61898073 23.82864261],[0. 0.],299.32472101066577,309.84071561846287
12,204.89874905885776,"[3.7067701804781894, 0.45701038273094996, 34.204976810796296]",[1.38326101 0.9999     2.0727593 ],[1.72611232e-01 2.40760162e-21],[0. 0.],415.7974981177155,427.1489736647047
13,167.88664953215155,"[0.09302852152110107, 0.08715697709109807, -13.52677588362998]",[ 0.47736908  0.9999     -0.11182913],[2.74131207e-25 7.16696310e-01],[0. 0.],341.7732990643031,352.3256577536972
14,139.56876976488914,"[1.3218624436743043, 0.9251980233250674, -61.44005415576073]",[0.05341184 0.0001     0.00014375],[64.80485823 27.40227635],[0. 0.],285.1375395297783,295.70192228336504
15,158.66657857467172,"[0.37221079755142633, 0.35978613322331066, 31.154978984671516]",[0.07483665 0.05116845 0.20318786],[ -8.53505542 -12.67745518],[0. 0.],323.33315714934344,333.73733757274886
16,33.03001238407275,"[2.0992015725761797, 0.16629741366703907, -88.4943507704433]",[ 2.26684821e-03  1.14891705e-01 -1.00000000e+02],[5.74975958e-03 2.51027174e+03],[0. 0.],72.0600247681455,82.56379939977968
17,195.58203835219098,"[0.601442570139845, 0.9872419167198583, -70.61619042910189]",[ 0.42712703  0.9999     -4.839979  ],[4.01268770e-17 1.88574264e+00],[0. 0.],397.16407670438196,408.4502308527225
18,169.1809939852862,"[1.0315749669323744, 0.35110880205781436, -56.92947267753148]",[ 1.00088384e-04  1.63134256e-02 -5.98069042e-01],[4165.41222791  471.70424836],[0. 0.],344.3619879705724,354.8779825783695
19,169.1605239674205,"[1.8409942997909836, 0.6304121998912775, 17.55817844140462]",[1.92770648e-04 3.39803143e-02 4.52308612e+00],[-1364.47559828  -819.05920236],[0. 0.],344.321047934841,354.8370425426381
20,82.1847343308377,"[2.0444229058851686, 0.6004545161394339, -14.872417163973253]",[ 0.46150934  0.09744833 -0.04843637],[4.00268756 2.1689664 ],[0. 0.],170.3694686616754,181.7301608057755
21,166.3553233343902,"[4.683597848070826, 0.10323930426473577, 34.647685318889444]",[ 4.68359785  0.1032393  34.64768532],[-679.90290599  -54.29480668],[0. 0.],338.7106466687804,349.18983099880205
22,181.20594419793073,"[0.3637677882897059, 0.48232005854111026, -20.16934861527426]",[  0.24648253   0.99756159 -16.58043094],[4.35835694e-11 2.21329033e+00],[0. 0.],368.41188839586147,379.7633639428507
23,130.63027612877553,"[2.204521905226107, 0.7707843696134324, 31.777841201288624]",[2.01193091 0.97403847 2.94819238],[-5.08930781e-10  1.77186539e-01],[0. 0.],267.26055225755107,277.71494305802304
24,221.79778019943294,"[1.5294022941629193, 0.5877928497135223, 93.0157815448508]",[0.19803528 0.29643904 8.34250251],[1.32148815 0.30274246],[0. 0.],449.59556039886587,460.9192150354991
25,227.73733358362827,"[0.8682923586947061, 0.4985975628963688, -10.994171622897554]",[0.07793931 0.06925188 0.05586685],[ 1.84936416 -0.18114037],[0. 0.],461.47466716725654,472.86284041955264
26,56.124044872079516,"[4.867148188903633, 0.3458785205399788, 31.213307908548074]",[ 0.24983663  0.25081352 -3.05786479],[1.13511079e+01 4.03068767e-06],[0. 0.],118.24808974415903,128.73959442003863
27,136.98586149946638,"[3.3968477573431035, 0.6271254995152733, -27.89138539748744]",[0.33855327 0.04336273 0.00625951],[1.13961917 5.30079362],[0. 0.],279.97172299893276,291.35989625122886
28,122.88647276179475,"[0.004405111775078245, 0.3357426697452541, 13.535188853111336]",[ 0.50651202  0.39078577 -7.58637355],[3.34139331e+00 1.02046155e-03],[0. 0.],251.7729455235895,262.21486229361545
29,55.84907748158727,"[2.0032433020651808, 0.2036661986119696, 7.999730230135427]",[0.44098604 0.04496429 0.0057392 ],[0.53854775 5.63869354],[0. 0.],117.69815496317455,128.14007173320053
30,153.67104150113266,"[1.1417811393908104, 0.7756493209631948, -83.89773738223252]",[  0.28139725   0.40796932 -19.57670666],[1.03671329e-04 4.38233099e+00],[0. 0.],313.3420830022653,323.8580776100624
31,83.67927673586601,"[2.2154189847476644, 0.24868729215643293, 97.69028573305681]",[0.34640353 0.0261303  0.00191077],[1.12057659 7.92145881],[0. 0.],173.35855347173202,184.71924561583214
32,173.65896903561747,"[0.4406214761574603, 0.19182096447465283, -34.37024290318551]",[1.21011102 0.9999     0.54718595],[3.64009020e-09 5.72177238e-01],[0. 0.],353.31793807123495,364.70611132353105
33,87.36907667781836,"[1.915471137447227, 0.6150273858957651, -3.5511700825192634]",[0.52611832 0.06073989 0.00471496],[0.48588547 4.77083359],[0. 0.],180.7381533556367,192.1445084817679
34,171.10343408598715,"[2.2357788867859107, 0.14620028411639333, -15.325058283672703]",[ 2.60142949e-04  1.04514748e-01 -1.00000000e+02],[1.99734629e+00 1.02966343e+04],[0. 0.],348.2068681719743,359.53052280860754
35,167.45476032767817,"[2.340412391187521, 0.549671832167938, -18.965695749973065]",[1.00520982 0.98897875 2.31675939],[2.22284487e-01 2.15929895e-05],[0. 0.],340.90952065535635,351.4376856652403
36,119.90676789234843,"[3.677866208738286, 0.7061625908354422, -48.69036219295464]",[ 0.10457852  0.10399473 -0.13346838],[1.03070919 9.55918157],[0. 0.],245.81353578469685,256.3417007945808
37,218.46209957638052,"[0.5075230949918127, 0.8462659716009983, 19.376791347111208]",[0.8417658  0.9999     2.61915337],[1.39560452e-13 1.90769676e-01],[0. 0.],442.92419915276105,454.2103533011016
38,161.83527192490226,"[0.15756293224872744, 0.37521928042552033, -28.53124379418594]",[1.32746558 0.9999     2.65621531],[1.63501002e-01 6.58830181e-06],[0. 0.],329.6705438498045,340.1497281798262
39,169.19526453854226,"[2.4032217990154594, 0.5433464955368911, -5.4995607193971665]",[0.26696496 0.24136339 2.12449895],[0.06674158 0.24798712],[0. 0.],344.3905290770845,354.9065236848816
40,81.92108991797342,"[3.5618734425917125, 0.22233818445166775, 10.540553066822795]",[ 0.22287095  0.11283005 -0.05941817],[ 0.29997493 10.01403734],[0. 0.],169.84217983594684,180.33368451182645
41,196.0853532576026,"[2.9629316536338806, 0.6996699799699571, -52.550340384278414]",[1.78480302 0.94320845 3.18826444],[-0.15678215  0.00802047],[0. 0.],398.1707065152052,409.5221820621944
42,224.0575257132551,"[1.0453979925452548, 0.6133904645905992, -10.110387816930526]",[1.16145203 0.97437273 3.12395409],[0.04711809 0.00401256],[0. 0.],454.1150514265102,465.5214065526414
