participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,133.82755480685663,[0.1499885878393976],[0.85625],[0. 0.],[0. 0.],269.65510961371325,273.42966115925765
2,63.76020769598667,[0.9492551852639712],[0.93032787],[0. 0.],[0. 0.],129.52041539197336,133.02574692790571
3,170.75981829993043,[0.15178899953462616],[0.56097561],[0. 0.],[0. 0.],343.51963659986086,347.03306534602586
4,228.03990880408867,[0.6475976795233945],[0.55623099],[0. 0.],[0. 0.],458.07981760817734,461.8819359835544
5,170.16630372994766,[0.706857557245861],[0.47325103],[0. 0.],[0. 0.],342.3326074598953,345.83386567044005
6,139.2892168286683,[0.3109369108308882],[0.74999999],[0. 0.],[0. 0.],280.5784336573366,284.08376519326896
7,171.8984599568725,[0.36049977779524883],[0.50204082],[0. 0.],[0. 0.],345.796919913745,349.306308250373
8,167.68634732047738,[0.3141999875857302],[0.57613171],[0. 0.],[0. 0.],337.37269464095476,340.8739528514995
9,170.38676114676878,[0.6139928088616307],[0.5409836],[0. 0.],[0. 0.],342.77352229353755,346.27885382946994
10,159.1107419126421,[0.6621130441772995],[0.64315355],[0. 0.],[0. 0.],320.2214838252842,323.71454526862476
11,167.91381937884572,[0.6967239559996109],[0.58196721],[0. 0.],[0. 0.],337.82763875769143,341.3329702936238
12,205.0377796020802,[0.025703165790980628],[0.67801858],[0. 0.],[0. 0.],412.0755592041604,415.85938438649015
13,169.86815976219296,[0.5434516512055274],[0.58299597],[0. 0.],[0. 0.],341.7363195243859,345.2537724208506
14,155.71228494590636,[0.04791047368240316],[0.68951614],[0. 0.],[0. 0.],313.4245698918127,316.946030809675
15,164.2001048558997,[0.07787767029497387],[0.54042554],[0. 0.],[0. 0.],330.4002097117994,333.86826985293453
16,55.6242308448979,[0.06762876216051066],[0.94238683],[0. 0.],[0. 0.],113.2484616897958,116.74971990034054
17,201.56166395138274,[0.9080571966896744],[0.67405064],[0. 0.],[0. 0.],405.1233279027655,408.88537928554564
